session_id,user_id,session_start,session_end,session_duration_minutes,page_view_count,interaction_count,error_count,workflow_completed,workflow_name,final_page_url,device_type,browser,region,customer_segment,conversion_occurred
sess_00000013,user_011789,2025-10-11 19:21:00.160420,2025-10-11 19:24:36.727099,3.609444650661607,5,6,0,False,PIX Transfer,/login,desktop,Samsung Internet,Porto Alegre,retail,False
sess_00000014,user_012387,2025-10-11 19:36:00.160420,2025-10-11 19:48:28.473958,12.471892300811275,9,7,0,True,Profile Update,/login,desktop,Safari,Rio de Janeiro,premium,False
sess_00000015,user_014818,2025-10-11 19:51:00.160420,2025-10-11 19:58:39.314512,7.652568206559683,11,11,0,True,Card Activation,/cards/activate,desktop,Firefox,Salvador,corporate,True
sess_00000016,user_011250,2025-10-11 20:06:00.160420,2025-10-11 20:06:30.160420,0.5,6,8,1,True,Card Activation,/bills/pay,mobile,Edge,São Paulo,youth,False
sess_00000017,user_011642,2025-10-11 20:21:00.160420,2025-10-11 20:25:00.430608,4.004503135611946,8,14,0,True,Loan Application,/investments/portfolio,desktop,Chrome,Rio de Janeiro,premium,False
sess_00000018,user_010102,2025-10-11 20:36:00.160420,2025-10-11 20:38:22.864079,2.378394320352667,10,10,2,True,Support Request,/dashboard,desktop,Chrome,Curitiba,premium,False
sess_00000019,user_013687,2025-10-11 20:51:00.160420,2025-10-11 21:06:38.578128,15.640295136933338,3,12,0,True,Account Opening,/cards/activate,mobile,Chrome,Curitiba,youth,False
sess_00000020,user_008784,2025-10-11 21:06:00.160420,2025-10-11 21:06:30.160420,0.5,2,11,0,True,PIX Transfer,/login,mobile,Chrome,Fortaleza,premium,False
sess_00000021,user_010957,2025-10-11 21:21:00.160420,2025-10-11 21:25:15.202710,4.250704840517124,8,11,2,True,Loan Application,/cards/activate,mobile,Chrome,Fortaleza,retail,False
sess_00000022,user_007140,2025-10-11 21:36:00.160420,2025-10-11 21:52:12.696044,16.20892706765097,2,14,0,True,Bill Payment,/account/documents,mobile,Safari,Manaus,corporate,True
sess_00000023,user_009179,2025-10-11 21:51:00.160420,2025-10-11 22:21:42.801226,30.71068010100689,4,15,0,True,Profile Update,/bills/list,mobile,Chrome,Rio de Janeiro,youth,False
sess_00000024,user_006150,2025-10-11 22:06:00.160420,2025-10-11 22:14:42.455672,8.70492086850049,3,8,0,True,Bill Payment,/investments/portfolio,tablet,Edge,Salvador,retail,False
sess_00000025,user_011901,2025-10-11 22:21:00.160420,2025-10-11 22:23:18.566522,2.306768364884176,6,13,0,False,Loan Application,/investments/buy,desktop,Chrome,Porto Alegre,retail,False
sess_00000026,user_009499,2025-10-11 22:36:00.160420,2025-10-11 22:40:56.552647,4.939870441835536,3,10,1,True,Bill Payment,/profile/edit,tablet,Safari,Curitiba,senior,False
sess_00000027,user_004214,2025-10-11 22:51:00.160420,2025-10-11 22:51:30.160420,0.5,1,17,0,False,Investment Purchase,/login,desktop,Edge,Curitiba,corporate,True
sess_00000028,user_008387,2025-10-11 23:06:00.160420,2025-10-11 23:13:02.013423,7.030883379307194,5,9,0,True,Account Opening,/cards/list,mobile,Safari,Fortaleza,premium,False
sess_00000029,user_002698,2025-10-11 23:21:00.160420,2025-10-11 23:24:24.385152,3.40374552790113,6,9,0,True,Card Activation,/loans/apply,mobile,Safari,Porto Alegre,youth,True
sess_00000030,user_012531,2025-10-11 23:36:00.160420,2025-10-11 23:40:33.059320,4.548314992205741,4,21,2,False,Login Flow,/investments/portfolio,mobile,Edge,Rio de Janeiro,retail,True
sess_00000031,user_008557,2025-10-11 23:51:00.160420,2025-10-11 23:52:18.730909,1.3095081574310894,5,21,0,True,Login Flow,/pix/confirm,desktop,Chrome,Rio de Janeiro,retail,True
sess_00000032,user_012180,2025-10-12 00:06:00.160420,2025-10-12 00:06:30.160420,0.5,6,12,1,True,Card Activation,/dashboard,desktop,Chrome,Recife,premium,True
sess_00000033,user_008832,2025-10-12 00:21:00.160420,2025-10-12 00:21:30.160420,0.5,4,7,1,False,Investment Purchase,/login,desktop,Safari,Brasília,premium,False
sess_00000034,user_003166,2025-10-12 00:36:00.160420,2025-10-12 00:38:42.774537,2.7102352771832297,8,13,0,True,Statement Download,/pix/confirm,desktop,Firefox,Rio de Janeiro,corporate,False
sess_00000035,user_014129,2025-10-12 00:51:00.160420,2025-10-12 01:15:01.756496,24.026601268777572,3,15,0,True,Statement Download,/loans/status,desktop,Chrome,Belo Horizonte,retail,True
sess_00000036,user_013015,2025-10-12 01:06:00.160420,2025-10-12 01:10:04.763366,4.07671576256228,5,11,1,False,Login Flow,/account/documents,mobile,Chrome,Recife,retail,True
sess_00000037,user_007029,2025-10-12 01:21:00.160420,2025-10-12 01:31:05.989779,10.097155984134332,5,14,0,False,Bill Payment,/cards/activate,mobile,Chrome,Porto Alegre,retail,True
sess_00000038,user_013841,2025-10-12 01:36:00.160420,2025-10-12 01:41:50.858003,5.844959711804994,4,10,0,True,Support Request,/account/documents,desktop,Safari,São Paulo,senior,True
sess_00000039,user_002333,2025-10-12 01:51:00.160420,2025-10-12 02:03:19.896208,12.328929801668327,4,12,2,True,Support Request,/investments/buy,mobile,Chrome,Porto Alegre,retail,False
sess_00000040,user_010415,2025-10-12 02:06:00.160420,2025-10-12 02:06:30.160420,0.5,6,8,1,True,Support Request,/dashboard,desktop,Chrome,Salvador,premium,True
sess_00000041,user_005674,2025-10-12 02:21:00.160420,2025-10-12 02:47:09.397680,26.153954327455754,6,9,0,True,Statement Download,/account/documents,tablet,Edge,Brasília,corporate,True
sess_00000042,user_002905,2025-10-12 02:36:00.160420,2025-10-12 02:47:51.350019,11.853159976974808,5,14,0,True,Card Activation,/cards/activate,desktop,Chrome,Belo Horizonte,youth,False
sess_00000043,user_013170,2025-10-12 02:51:00.160420,2025-10-12 03:15:26.950222,24.446496704742156,3,10,0,True,Profile Update,/account/open,desktop,Safari,Rio de Janeiro,retail,True
sess_00000044,user_001445,2025-10-12 03:06:00.160420,2025-10-12 03:12:56.347878,6.936457627066246,3,14,1,True,Support Request,/bills/list,mobile,Firefox,Manaus,youth,True
sess_00000045,user_009853,2025-10-12 03:21:00.160420,2025-10-12 03:24:31.822907,3.527708123430451,5,16,1,False,Card Activation,/dashboard,desktop,Chrome,São Paulo,retail,True
sess_00000046,user_006370,2025-10-12 03:36:00.160420,2025-10-12 03:37:54.631667,1.907854124726953,8,8,1,True,Card Activation,/account/documents,desktop,Edge,Salvador,retail,True
sess_00000047,user_005527,2025-10-12 03:51:00.160420,2025-10-12 03:53:16.099749,2.265655478269286,4,6,0,False,Account Opening,/pix/confirm,mobile,Chrome,Curitiba,youth,False
sess_00000048,user_010473,2025-10-12 04:06:00.160420,2025-10-12 04:13:02.109554,7.032485570333817,7,12,0,True,PIX Transfer,/investments/portfolio,desktop,Chrome,Rio de Janeiro,youth,False
sess_00000049,user_007602,2025-10-12 04:21:00.160420,2025-10-12 04:26:11.611416,5.190849926821103,4,4,0,True,PIX Transfer,/pix/confirm,desktop,Chrome,Belo Horizonte,retail,False
sess_00000050,user_013113,2025-10-12 04:36:00.160420,2025-10-12 04:47:48.625908,11.807758139715446,5,15,1,True,Support Request,/profile/edit,desktop,Safari,Fortaleza,premium,True
sess_00000051,user_008698,2025-10-12 04:51:00.160420,2025-10-12 04:53:39.471817,2.6551899511812795,3,8,1,True,Login Flow,/dashboard,desktop,Samsung Internet,Porto Alegre,premium,True
sess_00000052,user_009040,2025-10-12 05:06:00.160420,2025-10-12 05:06:30.160420,0.5,10,13,0,True,Statement Download,/pix/confirm,desktop,Edge,Brasília,retail,True
sess_00000053,user_007575,2025-10-12 05:21:00.160420,2025-10-12 05:31:20.770039,10.343493648807623,5,11,1,True,Card Activation,/pix/confirm,mobile,Firefox,Porto Alegre,retail,True
sess_00000054,user_010195,2025-10-12 05:36:00.160420,2025-10-12 05:44:41.235779,8.684589322863895,3,16,0,True,Account Opening,/pix/confirm,mobile,Samsung Internet,Belo Horizonte,premium,True
sess_00000055,user_012231,2025-10-12 05:51:00.160420,2025-10-12 05:56:44.761883,5.743357714244556,4,13,2,True,Bill Payment,/pix/transfer,desktop,Samsung Internet,Belo Horizonte,youth,False
sess_00000056,user_005709,2025-10-12 06:06:00.160420,2025-10-12 07:06:00.160420,60.0,3,10,0,False,Statement Download,/pix/transfer,mobile,Samsung Internet,Belo Horizonte,retail,True
sess_00000057,user_007514,2025-10-12 06:21:00.160420,2025-10-12 06:29:31.643319,8.5247149869468,4,12,1,False,Support Request,/cards/activate,mobile,Chrome,Brasília,youth,False
sess_00000058,user_011453,2025-10-12 06:36:00.160420,2025-10-12 06:46:45.612051,10.757527190857141,3,9,0,False,Bill Payment,/investments/buy,desktop,Edge,Brasília,premium,False
sess_00000059,user_001389,2025-10-12 06:51:00.160420,2025-10-12 06:52:14.524976,1.2394092657993039,4,10,0,True,Statement Download,/cards/activate,mobile,Safari,Recife,senior,True
sess_00000060,user_013153,2025-10-12 07:06:00.160420,2025-10-12 07:11:37.087854,5.61545722620181,5,14,0,False,Investment Purchase,/account/open,desktop,Edge,Manaus,retail,True
sess_00000061,user_004750,2025-10-12 07:21:00.160420,2025-10-12 07:23:32.280185,2.535329413785847,2,13,1,False,Profile Update,/account/documents,mobile,Chrome,Belo Horizonte,youth,True
sess_00000062,user_011689,2025-10-12 07:36:00.160420,2025-10-12 07:39:14.560591,3.240002846333937,6,14,0,False,Login Flow,/investments/portfolio,mobile,Chrome,Curitiba,retail,True
sess_00000063,user_003100,2025-10-12 07:51:00.160420,2025-10-12 07:53:36.094938,2.5989086343086183,9,6,1,True,Profile Update,/loans/apply,mobile,Edge,Salvador,senior,True
sess_00000064,user_012445,2025-10-12 08:06:00.160420,2025-10-12 08:06:30.160420,0.5,5,13,1,True,Login Flow,/cards/activate,mobile,Chrome,São Paulo,youth,True
sess_00000065,user_014970,2025-10-12 08:21:00.160420,2025-10-12 08:22:42.889657,1.7121539479121306,4,13,1,False,Bill Payment,/investments/portfolio,mobile,Chrome,Recife,retail,False
sess_00000066,user_002481,2025-10-12 08:36:00.160420,2025-10-12 08:47:44.187280,11.73378099290064,4,13,1,True,Support Request,/bills/pay,desktop,Chrome,Brasília,retail,True
sess_00000067,user_013836,2025-10-12 08:51:00.160420,2025-10-12 08:52:37.637277,1.624614286359456,4,13,0,True,Card Activation,/bills/pay,desktop,Firefox,Rio de Janeiro,premium,True
sess_00000068,user_010699,2025-10-12 09:06:00.160420,2025-10-12 09:10:36.122675,4.599370918003174,3,14,1,True,Statement Download,/loans/status,mobile,Chrome,São Paulo,premium,False
sess_00000069,user_008243,2025-10-12 09:21:00.160420,2025-10-12 09:23:00.983908,2.0137248068988782,2,11,0,True,Card Activation,/loans/apply,mobile,Safari,Salvador,retail,False
sess_00000070,user_011420,2025-10-12 09:36:00.160420,2025-10-12 09:37:25.643432,1.4247168684406715,4,18,1,True,Account Opening,/loans/status,mobile,Chrome,Fortaleza,retail,False
sess_00000071,user_013846,2025-10-12 09:51:00.160420,2025-10-12 10:10:10.718462,19.175967368519036,3,14,1,True,Statement Download,/cards/activate,tablet,Chrome,Porto Alegre,senior,True
sess_00000072,user_010300,2025-10-12 10:06:00.160420,2025-10-12 10:07:36.824924,1.6110750745193763,3,10,1,False,Profile Update,/cards/activate,tablet,Safari,Recife,retail,False
sess_00000073,user_004077,2025-10-12 10:21:00.160420,2025-10-12 10:27:57.691861,6.958857357836073,4,12,0,False,Statement Download,/bills/list,mobile,Chrome,Salvador,premium,True
sess_00000074,user_008998,2025-10-12 10:36:00.160420,2025-10-12 10:45:44.600437,9.740666957463489,4,18,0,True,PIX Transfer,/account/documents,mobile,Chrome,Manaus,premium,False
sess_00000075,user_006942,2025-10-12 10:51:00.160420,2025-10-12 11:00:52.605118,9.874078304692246,2,4,0,True,Support Request,/investments/buy,mobile,Edge,Porto Alegre,premium,True
sess_00000076,user_014422,2025-10-12 11:06:00.160420,2025-10-12 11:08:37.553952,2.623225527315283,3,10,0,True,Profile Update,/bills/pay,desktop,Safari,São Paulo,premium,True
sess_00000077,user_005847,2025-10-12 11:21:00.160420,2025-10-12 11:29:29.093235,8.482213581601712,2,13,0,True,Loan Application,/loans/status,mobile,Chrome,Salvador,senior,False
sess_00000078,user_008996,2025-10-12 11:36:00.160420,2025-10-12 11:36:30.160420,0.5,5,8,1,True,Statement Download,/pix/confirm,desktop,Chrome,Porto Alegre,retail,True
sess_00000079,user_013957,2025-10-12 11:51:00.160420,2025-10-12 11:52:20.195937,1.3339252816108391,7,13,0,True,Loan Application,/profile/edit,mobile,Chrome,Manaus,retail,True
sess_00000080,user_001606,2025-10-12 12:06:00.160420,2025-10-12 12:10:11.347490,4.186451159197514,5,12,0,False,Support Request,/investments/buy,desktop,Chrome,Rio de Janeiro,premium,True
sess_00000081,user_006076,2025-10-12 12:21:00.160420,2025-10-12 12:21:30.160420,0.5,3,18,0,True,Investment Purchase,/bills/list,tablet,Chrome,Manaus,retail,True
sess_00000082,user_004702,2025-10-12 12:36:00.160420,2025-10-12 12:38:01.124123,2.01606171031404,2,8,0,False,Profile Update,/loans/apply,desktop,Safari,Salvador,corporate,True
sess_00000083,user_012815,2025-10-12 12:51:00.160420,2025-10-12 12:51:57.459983,0.9549927118914666,5,11,0,True,Login Flow,/dashboard,desktop,Safari,Manaus,retail,True
sess_00000084,user_006937,2025-10-12 13:06:00.160420,2025-10-12 13:13:22.509666,7.3724874387434784,6,12,1,False,Account Opening,/account/documents,desktop,Chrome,Brasília,youth,False
sess_00000085,user_005588,2025-10-12 13:21:00.160420,2025-10-12 13:42:13.883553,21.228718883217912,1,9,0,False,Account Opening,/investments/buy,desktop,Safari,Fortaleza,youth,False
sess_00000086,user_000262,2025-10-12 13:36:00.160420,2025-10-12 13:38:31.101370,2.5156824949164407,4,14,1,True,Investment Purchase,/loans/apply,mobile,Chrome,São Paulo,senior,True
sess_00000087,user_006982,2025-10-12 13:51:00.160420,2025-10-12 14:01:11.819288,10.194314464681268,3,10,2,True,Investment Purchase,/pix/transfer,mobile,Chrome,Brasília,corporate,True
sess_00000088,user_014355,2025-10-12 14:06:00.160420,2025-10-12 14:15:20.509692,9.339154541651844,11,12,3,True,Bill Payment,/bills/pay,desktop,Chrome,Fortaleza,premium,False
sess_00000089,user_010335,2025-10-12 14:21:00.160420,2025-10-12 14:22:40.892462,1.6788673725868377,6,12,0,True,Bill Payment,/profile/edit,mobile,Safari,Rio de Janeiro,retail,False
sess_00000090,user_001144,2025-10-12 14:36:00.160420,2025-10-12 14:40:23.296737,4.385605287279805,3,10,1,True,Loan Application,/account/open,mobile,Safari,Rio de Janeiro,retail,True
sess_00000091,user_003982,2025-10-12 14:51:00.160420,2025-10-12 15:02:24.226868,11.401107468127877,7,13,0,True,Bill Payment,/pix/confirm,mobile,Safari,Salvador,youth,True
sess_00000092,user_009920,2025-10-12 15:06:00.160420,2025-10-12 15:09:16.456264,3.271597404251264,10,16,0,False,Support Request,/investments/portfolio,mobile,Chrome,Curitiba,senior,False
sess_00000093,user_003109,2025-10-12 15:21:00.160420,2025-10-12 15:26:00.710829,5.009173480159323,4,16,0,False,Profile Update,/cards/activate,mobile,Safari,Porto Alegre,retail,False
sess_00000094,user_013340,2025-10-12 15:36:00.160420,2025-10-12 15:39:03.855377,3.0615826230679777,3,7,0,True,Support Request,/loans/status,mobile,Firefox,Curitiba,retail,True
sess_00000095,user_014974,2025-10-12 15:51:00.160420,2025-10-12 16:10:14.359761,19.236655681393493,2,8,0,True,Loan Application,/cards/activate,mobile,Edge,Recife,retail,False
sess_00000096,user_013086,2025-10-12 16:06:00.160420,2025-10-12 16:14:25.728334,8.426131891704884,6,19,0,True,Support Request,/bills/pay,mobile,Chrome,Salvador,retail,False
sess_00000097,user_007488,2025-10-12 16:21:00.160420,2025-10-12 16:22:16.350826,1.2698400950469564,5,13,0,False,Investment Purchase,/account/documents,desktop,Safari,Fortaleza,retail,False
sess_00000098,user_010987,2025-10-12 16:36:00.160420,2025-10-12 16:53:34.135875,17.566257581353565,4,12,0,False,Account Opening,/loans/status,desktop,Chrome,Porto Alegre,corporate,False
sess_00000099,user_006846,2025-10-12 16:51:00.160420,2025-10-12 17:04:47.327184,13.786112730056809,3,11,1,True,Investment Purchase,/loans/status,desktop,Firefox,São Paulo,retail,True
sess_00000100,user_001397,2025-10-12 17:06:00.160420,2025-10-12 17:17:19.607771,11.324122520177763,6,18,0,True,Account Opening,/loans/apply,mobile,Safari,São Paulo,corporate,False
sess_00000101,user_009784,2025-10-12 17:21:00.160420,2025-10-12 17:21:48.971294,0.8135145690087211,4,9,0,False,Account Opening,/pix/transfer,tablet,Safari,Brasília,retail,False
sess_00000102,user_007778,2025-10-12 17:36:00.160420,2025-10-12 17:48:20.591917,12.340524948756961,10,10,0,True,Loan Application,/profile/edit,desktop,Chrome,São Paulo,premium,False
sess_00000103,user_000136,2025-10-12 17:51:00.160420,2025-10-12 17:53:41.759690,2.693321159299493,8,10,0,True,PIX Transfer,/loans/status,desktop,Safari,São Paulo,retail,True
sess_00000104,user_001057,2025-10-12 18:06:00.160420,2025-10-12 18:06:30.160420,0.5,6,7,0,True,Loan Application,/login,mobile,Safari,Rio de Janeiro,retail,False
sess_00000105,user_005457,2025-10-12 18:21:00.160420,2025-10-12 18:22:55.260751,1.9183388529862115,4,13,1,True,Card Activation,/account/documents,desktop,Firefox,Curitiba,youth,True
sess_00000106,user_009769,2025-10-12 18:36:00.160420,2025-10-12 18:44:08.400712,8.137338192959561,3,7,0,False,Bill Payment,/login,mobile,Firefox,São Paulo,premium,True
sess_00000107,user_011666,2025-10-12 18:51:00.160420,2025-10-12 19:04:43.133063,13.716210709558334,4,10,1,True,Loan Application,/dashboard,desktop,Chrome,Manaus,retail,True
sess_00000108,user_000069,2025-10-12 19:06:00.160420,2025-10-12 19:10:35.370319,4.586831645228495,6,6,0,True,Card Activation,/investments/portfolio,tablet,Safari,Curitiba,retail,False
sess_00000109,user_010794,2025-10-12 19:21:00.160420,2025-10-12 19:54:19.454216,33.32156326437719,5,6,0,False,Profile Update,/loans/status,mobile,Chrome,Fortaleza,premium,True
sess_00000110,user_005749,2025-10-12 19:36:00.160420,2025-10-12 19:36:30.160420,0.5,6,9,0,True,Statement Download,/pix/confirm,tablet,Chrome,Rio de Janeiro,retail,True
sess_00000111,user_007108,2025-10-12 19:51:00.160420,2025-10-12 19:58:45.289599,7.752152975843621,6,12,0,True,Account Opening,/profile/edit,desktop,Chrome,Fortaleza,retail,True
sess_00000112,user_011981,2025-10-12 20:06:00.160420,2025-10-12 20:06:58.578292,0.9736311961144571,6,14,0,False,PIX Transfer,/pix/transfer,desktop,Safari,Recife,retail,True
sess_00000113,user_007900,2025-10-12 20:21:00.160420,2025-10-12 20:29:34.084770,8.565405836772936,4,11,0,True,Support Request,/bills/pay,desktop,Safari,Belo Horizonte,premium,True
sess_00000114,user_014032,2025-10-12 20:36:00.160420,2025-10-12 20:37:50.612262,1.840864025153437,2,7,0,True,Statement Download,/bills/pay,desktop,Chrome,Fortaleza,retail,True
sess_00000115,user_014001,2025-10-12 20:51:00.160420,2025-10-12 21:06:33.897360,15.562282339842294,5,14,0,False,PIX Transfer,/account/open,tablet,Chrome,Porto Alegre,premium,True
sess_00000116,user_009222,2025-10-12 21:06:00.160420,2025-10-12 21:10:41.521439,4.689350313719864,5,10,0,False,Loan Application,/investments/buy,mobile,Safari,Manaus,youth,False
sess_00000117,user_004361,2025-10-12 21:21:00.160420,2025-10-12 21:27:48.973911,6.81355818879955,6,16,0,True,Bill Payment,/profile/edit,mobile,Safari,Belo Horizonte,premium,False
sess_00000118,user_008850,2025-10-12 21:36:00.160420,2025-10-12 21:39:41.546505,3.689768080100693,7,8,0,True,PIX Transfer,/cards/activate,desktop,Chrome,Brasília,corporate,False
sess_00000119,user_008718,2025-10-12 21:51:00.160420,2025-10-12 21:57:30.154983,6.499909387162873,3,15,0,True,Profile Update,/login,desktop,Edge,Salvador,retail,True
sess_00000120,user_013804,2025-10-12 22:06:00.160420,2025-10-12 22:18:29.648410,12.491466496369242,10,12,1,True,Investment Purchase,/dashboard,mobile,Safari,Curitiba,retail,True
sess_00000121,user_010101,2025-10-12 22:21:00.160420,2025-10-12 22:22:12.945285,1.2130810760176114,2,15,0,True,Bill Payment,/account/documents,desktop,Chrome,Manaus,premium,True
sess_00000122,user_012224,2025-10-12 22:36:00.160420,2025-10-12 22:44:17.182228,8.283696803042961,3,9,0,False,Card Activation,/bills/list,desktop,Firefox,São Paulo,youth,False
sess_00000123,user_007058,2025-10-12 22:51:00.160420,2025-10-12 23:03:33.536925,12.556275082563229,6,10,0,True,Loan Application,/investments/buy,desktop,Chrome,Curitiba,corporate,True
sess_00000124,user_007127,2025-10-12 23:06:00.160420,2025-10-12 23:06:58.299216,0.9689799254659482,4,6,1,True,Statement Download,/account/open,mobile,Chrome,Belo Horizonte,premium,False
sess_00000125,user_009369,2025-10-12 23:21:00.160420,2025-10-12 23:21:30.160420,0.5,4,19,0,False,Support Request,/investments/buy,desktop,Chrome,Salvador,premium,True
sess_00000126,user_012130,2025-10-12 23:36:00.160420,2025-10-12 23:40:47.585585,4.790419415212482,5,12,1,True,Profile Update,/loans/apply,mobile,Chrome,Salvador,premium,False
sess_00000127,user_008314,2025-10-12 23:51:00.160420,2025-10-13 00:17:51.561889,26.856691142887954,6,9,0,False,Investment Purchase,/cards/activate,mobile,Chrome,Porto Alegre,premium,True
sess_00000128,user_001671,2025-10-13 00:06:00.160420,2025-10-13 00:11:43.661156,5.725012266379328,1,15,1,True,Account Opening,/login,desktop,Chrome,Brasília,retail,True
sess_00000129,user_004444,2025-10-13 00:21:00.160420,2025-10-13 00:24:07.955763,3.1299223901196735,6,10,0,True,Account Opening,/account/open,mobile,Chrome,Recife,corporate,True
sess_00000130,user_014405,2025-10-13 00:36:00.160420,2025-10-13 01:07:47.379979,31.786992647078186,9,9,0,True,Bill Payment,/loans/status,mobile,Safari,São Paulo,senior,True
sess_00000131,user_000714,2025-10-13 00:51:00.160420,2025-10-13 00:54:31.073739,3.515221988831066,3,13,0,False,Support Request,/login,tablet,Edge,Porto Alegre,retail,False
sess_00000132,user_000533,2025-10-13 01:06:00.160420,2025-10-13 01:06:47.029071,0.7811441785891144,3,12,0,True,Profile Update,/dashboard,tablet,Chrome,Rio de Janeiro,retail,True
sess_00000133,user_005846,2025-10-13 01:21:00.160420,2025-10-13 01:23:24.890526,2.412168430016512,3,8,0,True,Login Flow,/dashboard,mobile,Chrome,Porto Alegre,premium,True
sess_00000134,user_006071,2025-10-13 01:36:00.160420,2025-10-13 01:46:15.005492,10.24741787137087,3,13,0,True,Support Request,/account/documents,mobile,Safari,Porto Alegre,retail,True
sess_00000135,user_000559,2025-10-13 01:51:00.160420,2025-10-13 02:11:09.522678,20.156037632523095,7,9,0,False,PIX Transfer,/login,mobile,Safari,Salvador,youth,True
sess_00000136,user_008115,2025-10-13 02:06:00.160420,2025-10-13 02:11:16.174372,5.266899194723519,6,11,0,True,Support Request,/bills/list,mobile,Chrome,Rio de Janeiro,premium,True
sess_00000137,user_008158,2025-10-13 02:21:00.160420,2025-10-13 02:21:39.726113,0.6594282110442333,2,11,0,False,Login Flow,/loans/status,desktop,Firefox,Rio de Janeiro,premium,True
sess_00000138,user_008349,2025-10-13 02:36:00.160420,2025-10-13 02:41:34.821483,5.577684378864471,3,13,1,True,PIX Transfer,/bills/list,desktop,Chrome,Salvador,retail,True
sess_00000139,user_004422,2025-10-13 02:51:00.160420,2025-10-13 02:53:00.459148,2.0049787980397586,9,17,2,True,Support Request,/dashboard,tablet,Firefox,Salvador,retail,False
sess_00000140,user_014174,2025-10-13 03:06:00.160420,2025-10-13 03:10:31.504907,4.522408110006642,2,16,0,False,Support Request,/loans/status,desktop,Firefox,Belo Horizonte,premium,False
sess_00000141,user_008236,2025-10-13 03:21:00.160420,2025-10-13 03:24:59.820472,3.994334195054007,7,7,0,True,Statement Download,/loans/apply,mobile,Safari,Recife,premium,False
sess_00000142,user_001599,2025-10-13 03:36:00.160420,2025-10-13 03:42:01.608094,6.024127900926672,9,18,0,True,Loan Application,/loans/status,tablet,Chrome,Curitiba,corporate,False
sess_00000143,user_010542,2025-10-13 03:51:00.160420,2025-10-13 03:52:14.712241,1.242530352707965,7,12,0,True,Statement Download,/pix/transfer,desktop,Chrome,Belo Horizonte,retail,True
sess_00000144,user_014101,2025-10-13 04:06:00.160420,2025-10-13 04:16:28.313367,10.469215781205474,6,14,1,False,Bill Payment,/login,mobile,Edge,Rio de Janeiro,corporate,True
sess_00000145,user_001287,2025-10-13 04:21:00.160420,2025-10-13 04:25:50.747946,4.843125436223034,3,15,0,True,Investment Purchase,/dashboard,mobile,Safari,Recife,retail,True
sess_00000146,user_004165,2025-10-13 04:36:00.160420,2025-10-13 04:39:59.956293,3.996597883413216,5,8,1,True,Investment Purchase,/investments/buy,desktop,Chrome,Curitiba,premium,True
sess_00000147,user_012228,2025-10-13 04:51:00.160420,2025-10-13 04:52:18.282159,1.30202898228737,9,10,0,True,PIX Transfer,/account/documents,desktop,Chrome,Fortaleza,retail,False
