metric_id,@timestamp,host_id,application_id,benchmark_id,system.cpu.total.pct,system.memory.used.pct,system.diskio.read.bytes,system.diskio.write.bytes,system.diskio.io.time,system.network.in.bytes,system.network.out.bytes,transaction.duration.us,event.outcome,transactions_per_second,cost_per_hour_usd,power_consumption_watts,workload_type,test_phase,anomaly_notes
metric-0000012,2025-10-28 04:14:12.390374,host-00176,app-0127,bench-035,89.55,32.06,178286164,744621592,2455,50875348,82277250,5996,success,4258.07,0.734,224.81,OLTP,Load-Test,Memory pressure observed - 32.06% utilization exceeds threshold
metric-0000013,2025-10-28 04:19:12.390374,host-00010,app-0142,bench-067,59.06,41.92,981464476,282063181,775,70228216,63209565,52891,success,4465.92,0.914,155.51,API,Production,Memory pressure observed - 41.92% utilization exceeds threshold
metric-0000014,2025-10-28 04:24:12.390374,host-00031,app-0032,bench-078,49.92,51.66,251802524,334103214,8343,67473084,13187896,27255,success,1157.66,0.944,116.23,OLTP,Migration-Validation,None
metric-0000015,2025-10-28 04:29:12.390374,host-00080,app-0028,bench-068,89.66,73.76,713853936,498053371,6206,77707545,91784300,43800,success,3144.88,0.847,216.05,ML-Training,Soak-Test,Network throughput degradation during peak load testing
metric-0000016,2025-10-28 04:34:12.390374,host-00048,app-0055,bench-059,56.49,79.8,676565031,806014513,8162,83724926,87373566,69498,success,4966.63,0.693,129.92,Streaming,Soak-Test,None
metric-0000017,2025-10-28 04:39:12.390374,host-00191,app-0038,bench-034,57.12,38.35,199095028,531936940,6953,5167683,30572898,97578,success,3954.77,0.726,132.38,API,Migration-Validation,None
metric-0000018,2025-10-28 04:44:12.390374,host-00066,app-0055,bench-023,87.48,57.93,844477893,390920687,1513,79929806,55369684,18081,success,1108.36,0.563,192.42,OLTP,Load-Test,Network throughput degradation during peak load testing
metric-0000019,2025-10-28 04:49:12.390374,host-00194,app-0144,bench-024,84.84,30.13,957174942,979605761,4714,16935697,83635598,66751,success,530.59,1.25,144.95,Streaming,Load-Test,None
metric-0000020,2025-10-28 04:54:12.390374,host-00018,app-0072,bench-048,48.56,84.91,552084672,822214897,6223,81849433,56231704,44976,success,2285.0,1.26,79.32,OLTP,Migration-Validation,CPU spike detected on host-00018 during Migration-Validation phase
metric-0000021,2025-10-28 04:59:12.390374,host-00189,app-0138,bench-064,63.99,48.5,71117422,292115012,2178,94402557,91471534,99386,success,1073.38,1.334,151.65,OLTP,Stress-Test,CPU spike detected on host-00189 during Stress-Test phase
metric-0000022,2025-10-28 05:04:12.390374,host-00185,app-0133,bench-053,55.33,76.72,937555853,161218072,4723,41228216,34460302,47104,success,3290.56,1.354,102.06,ML-Training,Soak-Test,CPU spike detected on host-00185 during Soak-Test phase
metric-0000023,2025-10-28 05:09:12.390374,host-00072,app-0133,bench-016,59.76,58.77,765485261,758317302,1707,75806971,11410954,68531,success,1512.64,0.742,186.96,Batch,Migration-Validation,CPU spike detected on host-00072 during Migration-Validation phase
metric-0000024,2025-10-28 05:14:12.390374,host-00143,app-0069,bench-066,79.02,71.93,260176443,115876608,4009,14662547,94647443,6060,success,4867.98,1.32,192.51,OLAP,Production,None
metric-0000025,2025-10-28 05:19:12.390374,host-00169,app-0102,bench-065,79.97,68.1,109009143,18785247,5882,86232325,82183155,37829,success,2284.02,1.018,229.86,Batch,Production,Elevated transaction latency correlates with disk I/O contention
metric-0000026,2025-10-28 05:24:12.390374,host-00013,app-0146,bench-041,65.14,44.44,791302973,737705885,2499,33247413,82646598,14860,success,1094.35,1.273,185.57,OLAP,Production,None
metric-0000027,2025-10-28 05:29:12.390374,host-00023,app-0001,bench-074,94.58,34.71,545986977,710803528,3378,94229229,62838598,82597,success,4885.26,1.494,181.11,OLAP,Production,None
metric-0000028,2025-10-28 05:34:12.390374,host-00195,app-0041,bench-014,51.52,83.31,713152538,884798469,5515,53278184,62116763,14445,success,3181.12,1.408,78.05,API,Soak-Test,None
metric-0000029,2025-10-28 05:39:12.390374,host-00058,app-0110,bench-066,94.54,55.52,852097770,529034824,6552,49455251,86441708,5242,success,1299.38,1.383,235.63,Batch,Baseline,Network throughput degradation during peak load testing
metric-0000030,2025-10-28 05:44:12.390374,host-00071,app-0063,bench-029,62.51,44.13,718981763,652957376,5527,67525397,71169671,83564,success,1533.17,1.001,99.07,API,Migration-Validation,None
metric-0000031,2025-10-28 05:49:12.390374,host-00062,app-0131,bench-063,45.83,45.52,633104154,776573256,2497,74082394,86865795,65698,success,2022.19,1.292,81.53,OLTP,Soak-Test,Elevated transaction latency correlates with disk I/O contention
metric-0000032,2025-10-28 05:54:12.390374,host-00151,app-0035,bench-023,52.63,44.28,994430702,326486834,4757,38096995,47680319,57217,success,4464.9,0.803,99.68,Streaming,Stress-Test,None
metric-0000033,2025-10-28 05:59:12.390374,host-00045,app-0011,bench-030,65.98,83.99,972572204,738876456,4966,65096849,94865445,2345,success,3070.81,1.174,136.61,ML-Training,Production,None
metric-0000034,2025-10-28 06:04:12.390374,host-00030,app-0079,bench-009,94.73,65.19,716641505,774837584,2653,83891445,88931732,70122,success,4790.94,0.811,131.11,OLTP,Load-Test,Memory pressure observed - 65.19% utilization exceeds threshold
metric-0000035,2025-10-28 06:09:12.390374,host-00159,app-0040,bench-011,94.54,69.84,47045914,12774807,4640,58113182,49593090,33585,success,3091.68,1.432,155.82,OLAP,Load-Test,Network throughput degradation during peak load testing
metric-0000036,2025-10-28 06:14:12.390374,host-00064,app-0032,bench-018,75.26,67.13,520277254,945795156,395,33189896,94138404,65881,success,3213.3,1.078,159.08,Streaming,Baseline,None
metric-0000037,2025-10-28 06:19:12.390374,host-00132,app-0143,bench-046,91.53,82.58,473987678,405133138,2932,78752391,6720940,97457,success,1227.48,1.074,155.72,API,Production,None
metric-0000038,2025-10-28 06:24:12.390374,host-00095,app-0115,bench-037,55.78,33.55,241703248,352780819,7525,19892048,67085241,88918,success,4875.05,1.464,137.29,ML-Training,Soak-Test,Elevated transaction latency correlates with disk I/O contention
metric-0000039,2025-10-28 06:29:12.390374,host-00052,app-0051,bench-069,92.28,83.14,160353226,595205828,4623,15608375,70559477,62283,success,4675.66,1.071,155.93,API,Production,None
metric-0000040,2025-10-28 06:34:12.390374,host-00016,app-0092,bench-021,94.04,81.3,261071074,568785330,1454,57201657,4582043,12430,success,955.67,1.254,184.05,OLAP,Load-Test,Elevated transaction latency correlates with disk I/O contention
metric-0000041,2025-10-28 06:39:12.390374,host-00062,app-0026,bench-063,93.75,50.71,221409105,64940945,3317,5840048,81665911,22107,success,1885.69,1.292,168.89,API,Stress-Test,None
metric-0000042,2025-10-28 06:44:12.390374,host-00043,app-0012,bench-035,89.43,36.25,86904646,701939881,3570,84481373,69914386,29544,success,2980.35,0.869,128.45,API,Soak-Test,None
metric-0000043,2025-10-28 06:49:12.390374,host-00132,app-0117,bench-015,93.63,52.62,709485490,40922282,3044,1375141,21735585,65128,success,774.9,1.074,153.39,Batch,Baseline,CPU spike detected on host-00132 during Baseline phase
metric-0000044,2025-10-28 06:54:12.390374,host-00178,app-0046,bench-040,51.28,51.14,173530796,546470692,8112,85265427,50675634,20156,success,3191.7,1.434,125.5,ML-Training,Load-Test,None
metric-0000045,2025-10-28 06:59:12.390374,host-00131,app-0123,bench-062,83.27,66.2,426009935,452719260,5097,83361422,33393266,64413,success,3821.27,1.448,157.96,OLTP,Production,Memory pressure observed - 66.2% utilization exceeds threshold
metric-0000046,2025-10-28 07:04:12.390374,host-00040,app-0143,bench-080,80.5,50.72,539182751,51320304,4123,8846232,11784906,30344,success,2033.53,0.681,145.74,OLTP,Soak-Test,None
metric-0000047,2025-10-28 07:09:12.390374,host-00159,app-0090,bench-063,60.71,83.7,841831222,495141124,4546,59811890,29055134,51184,success,3999.13,1.432,100.31,ML-Training,Migration-Validation,None
metric-0000048,2025-10-28 07:14:12.390374,host-00194,app-0014,bench-049,49.66,64.83,33603427,480805111,6085,36456719,53273201,47531,success,4204.7,1.25,67.98,Batch,Load-Test,Elevated transaction latency correlates with disk I/O contention
metric-0000049,2025-10-28 07:19:12.390374,host-00146,app-0088,bench-031,81.52,81.9,993592205,496432930,7268,17751244,56946787,2051,success,4702.54,1.128,155.28,ML-Training,Stress-Test,Elevated transaction latency correlates with disk I/O contention
metric-0000050,2025-10-28 07:24:12.390374,host-00147,app-0029,bench-062,81.21,67.14,40928939,449206841,4165,18787182,79989619,91521,success,906.91,1.202,196.64,API,Baseline,Elevated transaction latency correlates with disk I/O contention
metric-0000051,2025-10-28 07:29:12.390374,host-00025,app-0120,bench-009,66.85,50.39,628693027,97633168,8970,66601434,26627299,25790,success,853.36,1.228,183.5,Streaming,Production,None
metric-0000052,2025-10-28 07:34:12.390374,host-00081,app-0098,bench-024,73.93,82.8,459830211,68577059,4698,98494634,23679844,44229,success,4431.76,1.113,127.12,OLTP,Baseline,Network throughput degradation during peak load testing
metric-0000053,2025-10-28 07:39:12.390374,host-00024,app-0126,bench-038,72.18,65.2,644034904,277057687,2132,62428952,33692351,70300,success,3905.56,0.972,141.73,OLTP,Migration-Validation,None
metric-0000054,2025-10-28 07:44:12.390374,host-00059,app-0063,bench-012,64.56,61.84,414157637,659213049,2881,91271965,7497487,63106,success,2289.65,1.0,91.69,OLAP,Production,None
metric-0000055,2025-10-28 07:49:12.390374,host-00134,app-0021,bench-047,93.03,72.76,31846199,86768361,2465,30147282,8255665,14662,success,2593.8,0.802,270.5,Streaming,Migration-Validation,Network throughput degradation during peak load testing
metric-0000056,2025-10-28 07:54:12.390374,host-00100,app-0023,bench-067,59.04,55.22,211291161,474319767,1139,1957242,64312226,76114,success,4498.94,1.257,146.75,ML-Training,Soak-Test,None
metric-0000057,2025-10-28 07:59:12.390374,host-00188,app-0062,bench-033,64.81,60.83,335017678,346698837,1103,98728090,15654077,382829,failure,99.96,1.242,168.88,OLAP,Migration-Validation,CPU spike detected on host-00188 during Migration-Validation phase
metric-0000058,2025-10-28 08:04:12.390374,host-00023,app-0022,bench-012,61.35,58.31,564244490,24924078,5720,35625764,5680047,56172,success,3390.91,1.494,109.38,OLAP,Baseline,Memory pressure observed - 58.31% utilization exceeds threshold
metric-0000059,2025-10-28 08:09:12.390374,host-00113,app-0066,bench-078,50.32,80.93,663238921,26109244,4928,57085136,21922833,5731,success,2748.45,1.458,114.8,Batch,Production,None
metric-0000060,2025-10-28 08:14:12.390374,host-00047,app-0030,bench-079,39.21,41.18,404157662,247504868,4204,37779232,51163510,31994,success,1132.71,0.895,91.52,API,Load-Test,None
metric-0000061,2025-10-28 08:19:12.390374,host-00052,app-0104,bench-017,79.62,40.17,129873386,788118573,3272,68845828,22863006,49665,success,4262.91,1.071,136.55,Batch,Migration-Validation,None
metric-0000062,2025-10-28 08:24:12.390374,host-00103,app-0103,bench-044,50.53,59.79,366556643,111516188,6723,44999051,38234879,35794,success,4315.54,0.967,82.43,OLTP,Load-Test,Network throughput degradation during peak load testing
metric-0000063,2025-10-28 08:29:12.390374,host-00173,app-0140,bench-045,87.45,35.98,552745726,384781702,9756,57469040,93000040,40741,success,4864.46,0.722,180.54,OLAP,Migration-Validation,None
metric-0000064,2025-10-28 08:34:12.390374,host-00118,app-0127,bench-025,74.18,37.57,371802181,167703333,5206,57735466,1814755,5006,success,668.18,0.81,158.29,ML-Training,Soak-Test,Memory pressure observed - 37.57% utilization exceeds threshold
metric-0000065,2025-10-28 08:39:12.390374,host-00199,app-0011,bench-046,80.28,30.75,935966433,85535098,8738,53999734,73476595,68402,success,4591.1,0.815,172.83,OLTP,Stress-Test,None
metric-0000066,2025-10-28 08:44:12.390374,host-00073,app-0057,bench-037,75.34,58.8,383235424,187669161,4253,98912700,19389417,58087,success,3314.06,1.387,212.77,OLTP,Stress-Test,None
metric-0000067,2025-10-28 08:49:12.390374,host-00118,app-0079,bench-014,80.05,32.77,609625386,153826339,2207,87760340,55364270,7784,success,3125.82,0.81,191.88,API,Baseline,None
metric-0000068,2025-10-28 08:54:12.390374,host-00095,app-0084,bench-046,83.19,65.3,764917828,835171004,2167,63323456,30954232,75827,success,2708.66,1.464,169.68,ML-Training,Baseline,None
metric-0000069,2025-10-28 08:59:12.390374,host-00014,app-0090,bench-016,78.34,72.09,383992338,413407361,4248,5892064,13431992,74127,success,4349.38,0.735,202.66,Streaming,Soak-Test,Elevated transaction latency correlates with disk I/O contention
metric-0000070,2025-10-28 09:04:12.390374,host-00039,app-0009,bench-063,44.69,81.68,306850332,482158417,1068,76698037,4157796,6013,success,1160.53,1.36,95.03,OLAP,Load-Test,None
metric-0000071,2025-10-28 09:09:12.390374,host-00200,app-0067,bench-035,58.02,60.83,411449221,454089742,5126,29954456,62240397,74812,success,444.04,1.06,100.18,Streaming,Baseline,Memory pressure observed - 60.83% utilization exceeds threshold
metric-0000072,2025-10-28 09:14:12.390374,host-00159,app-0054,bench-023,46.3,70.56,57460743,88489174,1469,48013541,4745580,95291,success,2945.06,1.432,65.73,OLTP,Stress-Test,None
metric-0000073,2025-10-28 09:19:12.390374,host-00082,app-0121,bench-003,51.55,44.5,75197116,973809561,2770,15278362,27421982,25919,success,3950.23,0.848,94.1,API,Baseline,Network throughput degradation during peak load testing
metric-0000074,2025-10-28 09:24:12.390374,host-00109,app-0093,bench-067,51.59,45.59,592133662,891052796,9547,95942966,44185999,63649,success,1467.43,1.233,99.06,OLAP,Production,None
metric-0000075,2025-10-28 09:29:12.390374,host-00130,app-0018,bench-072,67.05,45.31,896425929,191129059,3237,32116380,30933355,17970,success,188.64,1.499,131.61,OLTP,Load-Test,None
metric-0000076,2025-10-28 09:34:12.390374,host-00182,app-0114,bench-057,52.74,74.47,508545075,728744625,130,76042450,74757516,16152,success,1419.93,0.818,111.82,API,Production,None
metric-0000077,2025-10-28 09:39:12.390374,host-00105,app-0100,bench-052,67.16,74.73,242971385,572518590,9281,1550767,82256856,79967,success,2985.27,1.449,132.68,OLAP,Load-Test,Elevated transaction latency correlates with disk I/O contention
metric-0000078,2025-10-28 09:44:12.390374,host-00141,app-0031,bench-073,58.57,35.05,891460697,276594560,7210,39825263,93708137,20984,success,3160.71,0.59,103.94,ML-Training,Soak-Test,CPU spike detected on host-00141 during Soak-Test phase
metric-0000079,2025-10-28 09:49:12.390374,host-00103,app-0014,bench-001,84.59,34.9,467680033,449262009,1930,57602330,17538612,12187,success,4576.45,0.967,139.07,Streaming,Migration-Validation,None
metric-0000080,2025-10-28 09:54:12.390374,host-00096,app-0139,bench-054,66.57,55.28,16593567,129914089,790,45665077,52974566,63472,success,1728.62,1.331,103.92,OLTP,Production,Memory pressure observed - 55.28% utilization exceeds threshold
metric-0000081,2025-10-28 09:59:12.390374,host-00042,app-0073,bench-042,38.51,48.22,536407311,732279953,3891,72101488,99163900,3257,success,4908.67,0.644,117.75,OLAP,Soak-Test,None
metric-0000082,2025-10-28 10:04:12.390374,host-00190,app-0033,bench-035,72.47,33.23,82961246,164755097,4083,48503891,6796836,24934,success,2653.18,1.433,171.22,OLTP,Soak-Test,None
metric-0000083,2025-10-28 10:09:12.390374,host-00151,app-0036,bench-016,71.7,54.85,123770936,417886900,263,57257329,25539063,1000,success,304.54,0.803,150.7,Batch,Production,None
metric-0000084,2025-10-28 10:14:12.390374,host-00197,app-0043,bench-052,65.04,80.99,238370865,875765480,7761,50610433,68762789,50021,success,3521.03,1.377,143.67,OLAP,Baseline,Memory pressure observed - 80.99% utilization exceeds threshold
metric-0000085,2025-10-28 10:19:12.390374,host-00003,app-0071,bench-034,89.65,71.81,883816457,836538911,8527,51104517,7777135,30486,success,1495.86,0.58,210.47,OLAP,Baseline,None
metric-0000086,2025-10-28 10:24:12.390374,host-00034,app-0142,bench-065,46.01,54.27,284280469,479487190,4052,20323260,64594326,425995,failure,61.54,0.975,73.17,Streaming,Migration-Validation,None
metric-0000087,2025-10-28 10:29:12.390374,host-00166,app-0086,bench-045,57.49,78.41,150589265,398822604,996,65805807,1107686,57478,success,4738.54,0.829,146.12,Streaming,Soak-Test,None
metric-0000088,2025-10-28 10:34:12.390374,host-00075,app-0006,bench-021,65.96,50.22,162152475,355756873,3179,78127811,4275746,87960,success,4996.75,0.889,158.87,ML-Training,Load-Test,None
metric-0000089,2025-10-28 10:39:12.390374,host-00078,app-0010,bench-012,57.91,83.91,901016656,589220631,7674,58093628,80297686,91681,success,3679.68,1.454,105.07,Batch,Soak-Test,None
metric-0000090,2025-10-28 10:44:12.390374,host-00154,app-0125,bench-078,85.48,35.26,501067961,560345437,1863,32092466,12689270,58647,success,654.04,1.475,117.29,ML-Training,Migration-Validation,None
metric-0000091,2025-10-28 10:49:12.390374,host-00105,app-0136,bench-048,70.84,43.76,459844052,733607811,5646,96966056,85179464,94196,success,699.73,1.449,107.27,Batch,Migration-Validation,None
metric-0000092,2025-10-28 10:54:12.390374,host-00051,app-0085,bench-008,79.19,53.55,234434569,221820351,3800,36001551,55976232,88453,success,4144.24,1.489,235.6,API,Migration-Validation,None
metric-0000093,2025-10-28 10:59:12.390374,host-00028,app-0114,bench-036,90.64,63.69,312567092,663925952,6994,3374995,53182391,90544,success,547.24,1.225,200.33,Streaming,Stress-Test,Network throughput degradation during peak load testing
metric-0000094,2025-10-28 11:04:12.390374,host-00151,app-0144,bench-052,47.75,34.35,291747438,389639201,9715,2236324,85045241,21413,success,2440.21,0.803,95.09,OLTP,Soak-Test,CPU spike detected on host-00151 during Soak-Test phase
metric-0000095,2025-10-28 11:09:12.390374,host-00099,app-0118,bench-032,61.89,43.88,287034954,724349688,6895,29451467,58666457,34940,success,962.68,0.737,124.6,API,Load-Test,None
metric-0000096,2025-10-28 11:14:12.390374,host-00141,app-0118,bench-022,42.5,33.98,942307339,349754862,3776,78980234,18289278,53618,success,283.57,0.59,93.08,OLAP,Baseline,None
metric-0000097,2025-10-28 11:19:12.390374,host-00099,app-0045,bench-033,85.86,36.49,458422009,145711138,5271,86302699,82785660,60972,success,2222.56,0.737,215.1,OLTP,Migration-Validation,None
metric-0000098,2025-10-28 11:24:12.390374,host-00195,app-0048,bench-049,52.09,31.46,388095891,342952876,9405,58822459,74663631,39847,success,1845.16,1.408,97.8,OLAP,Stress-Test,Memory pressure observed - 31.46% utilization exceeds threshold
metric-0000099,2025-10-28 11:29:12.390374,host-00100,app-0059,bench-076,86.55,76.39,472646174,505594281,4558,97352972,53721403,28376,success,339.89,1.257,227.16,Batch,Production,Network throughput degradation during peak load testing
metric-0000100,2025-10-28 11:34:12.390374,host-00142,app-0008,bench-052,94.25,49.57,592981679,888179395,1062,49501400,19392664,72738,success,203.57,1.345,187.03,ML-Training,Baseline,None
metric-0000101,2025-10-28 11:39:12.390374,host-00101,app-0051,bench-075,44.64,60.2,968161088,249084687,6650,59900861,6490277,99930,success,1475.32,1.36,84.69,OLAP,Load-Test,Memory pressure observed - 60.2% utilization exceeds threshold
metric-0000102,2025-10-28 11:44:12.390374,host-00169,app-0059,bench-008,82.36,47.68,661754945,401737819,430,60279445,58170903,40770,success,1425.0,1.018,195.65,API,Production,Memory pressure observed - 47.68% utilization exceeds threshold
metric-0000103,2025-10-28 11:49:12.390374,host-00192,app-0009,bench-017,60.72,44.78,615359214,324138467,486,29167555,9163944,72396,success,2338.38,1.231,107.78,API,Load-Test,None
metric-0000104,2025-10-28 11:54:12.390374,host-00043,app-0128,bench-044,92.41,73.89,529002127,754462789,7838,68798044,50609802,91823,success,1354.7,0.869,129.88,ML-Training,Migration-Validation,Memory pressure observed - 73.89% utilization exceeds threshold
metric-0000105,2025-10-28 11:59:12.390374,host-00082,app-0015,bench-030,46.28,45.72,618582186,506024741,985,9938408,48595820,75871,success,165.06,0.848,72.82,Streaming,Production,CPU spike detected on host-00082 during Production phase
metric-0000106,2025-10-28 12:04:12.390374,host-00189,app-0055,bench-013,92.6,48.53,932779040,568519940,9616,24274245,45080997,90971,success,638.57,1.334,231.77,OLTP,Baseline,Network throughput degradation during peak load testing
metric-0000107,2025-10-28 12:09:12.390374,host-00129,app-0017,bench-035,43.21,65.34,468556425,778726252,6077,98014554,23122108,47190,success,3505.39,1.482,80.54,ML-Training,Soak-Test,None
metric-0000108,2025-10-28 12:14:12.390374,host-00017,app-0088,bench-018,57.74,66.92,339196505,122955372,3862,94810015,70443991,87681,success,974.38,0.993,131.1,API,Migration-Validation,None
metric-0000109,2025-10-28 12:19:12.390374,host-00079,app-0040,bench-048,47.84,53.32,373086418,558423340,7342,44641717,96685471,90272,success,2730.67,0.664,131.5,Batch,Production,None
metric-0000110,2025-10-28 12:24:12.390374,host-00118,app-0123,bench-007,87.49,83.21,922301906,416132838,9257,76391532,59972965,47335,success,3068.58,0.81,168.36,Streaming,Soak-Test,Memory pressure observed - 83.21% utilization exceeds threshold
metric-0000111,2025-10-28 12:29:12.390374,host-00008,app-0131,bench-055,75.18,51.62,587914699,483961378,2048,8976901,14864526,54908,success,1373.47,0.899,116.9,OLAP,Production,None
metric-0000112,2025-10-28 12:34:12.390374,host-00089,app-0027,bench-069,47.02,55.7,395007220,576285815,6469,91412524,62181309,43864,success,3226.4,0.557,101.55,Streaming,Baseline,Network throughput degradation during peak load testing
metric-0000113,2025-10-28 12:39:12.390374,host-00174,app-0015,bench-079,55.6,36.11,540311823,52130407,1953,66569586,61514523,98045,success,1411.42,0.854,103.74,OLAP,Migration-Validation,None
metric-0000114,2025-10-28 12:44:12.390374,host-00085,app-0072,bench-067,78.31,61.12,113360098,922234824,8683,70323365,68213467,62197,success,479.17,0.544,160.38,API,Load-Test,None
metric-0000115,2025-10-28 12:49:12.390374,host-00083,app-0021,bench-073,47.01,68.38,688091911,660247332,9479,57707275,14239888,85099,success,2823.85,1.03,86.09,ML-Training,Stress-Test,None
metric-0000116,2025-10-28 12:54:12.390374,host-00102,app-0067,bench-035,91.24,69.41,576999394,522211676,4665,54045656,85794396,45805,success,2099.85,0.923,150.93,ML-Training,Production,CPU spike detected on host-00102 during Production phase
metric-0000117,2025-10-28 12:59:12.390374,host-00169,app-0040,bench-043,79.22,48.41,196377527,348312408,3996,34266127,8833491,23548,success,834.9,1.018,227.41,OLTP,Baseline,Elevated transaction latency correlates with disk I/O contention
metric-0000118,2025-10-28 13:04:12.390374,host-00030,app-0003,bench-045,78.56,43.57,710081192,86380424,3270,3595628,62383824,88683,success,3735.53,0.811,145.65,Batch,Stress-Test,Elevated transaction latency correlates with disk I/O contention
metric-0000119,2025-10-28 13:09:12.390374,host-00112,app-0125,bench-046,82.78,37.99,829954883,731240403,1142,66106180,47785895,71218,success,2952.76,1.328,151.72,OLTP,Load-Test,None
metric-0000120,2025-10-28 13:14:12.390374,host-00152,app-0069,bench-025,89.52,76.21,49037041,309206270,7044,33220994,8243541,1565,success,1884.12,0.568,207.48,OLTP,Stress-Test,None
metric-0000121,2025-10-28 13:19:12.390374,host-00184,app-0017,bench-028,79.15,67.87,619260561,473826209,3501,35247132,1804817,7481,success,1593.87,1.436,191.18,OLAP,Stress-Test,None
metric-0000122,2025-10-28 13:24:12.390374,host-00193,app-0001,bench-037,67.37,71.29,819258043,210838172,2477,51993042,7835034,49072,success,2715.41,1.379,179.85,Streaming,Production,Network throughput degradation during peak load testing
metric-0000123,2025-10-28 13:29:12.390374,host-00031,app-0086,bench-043,67.19,47.85,497886307,267142255,5461,11183346,47253569,32871,success,371.99,0.944,141.19,ML-Training,Soak-Test,Elevated transaction latency correlates with disk I/O contention
metric-0000124,2025-10-28 13:34:12.390374,host-00104,app-0046,bench-062,78.47,33.46,7450272,45290110,971,56516259,86587843,77337,success,1634.16,1.23,126.12,Streaming,Load-Test,Elevated transaction latency correlates with disk I/O contention
metric-0000125,2025-10-28 13:39:12.390374,host-00041,app-0105,bench-021,89.92,66.23,170624912,787116316,8445,47420569,58636939,87240,success,2931.05,0.886,247.35,API,Migration-Validation,None
metric-0000126,2025-10-28 13:44:12.390374,host-00100,app-0058,bench-022,54.69,45.55,556338687,544899640,2447,39184434,55402284,12181,success,524.86,1.257,133.09,API,Soak-Test,Network throughput degradation during peak load testing
metric-0000127,2025-10-28 13:49:12.390374,host-00194,app-0121,bench-057,92.18,61.19,572007533,121861556,9277,49917869,31475400,9486,success,2956.59,1.25,133.73,OLTP,Load-Test,None
metric-0000128,2025-10-28 13:54:12.390374,host-00119,app-0099,bench-078,55.4,70.49,803101472,384187044,9353,33001325,17879951,48261,success,3475.04,0.989,128.49,OLAP,Baseline,CPU spike detected on host-00119 during Baseline phase
metric-0000129,2025-10-28 13:59:12.390374,host-00176,app-0038,bench-016,51.18,50.04,315864785,2327554,6914,95660162,55404153,90220,success,4561.19,0.734,122.02,Batch,Migration-Validation,None
metric-0000130,2025-10-28 14:04:12.390374,host-00099,app-0149,bench-020,84.59,54.02,659634573,436591299,5869,18754334,95671420,80436,success,354.24,0.737,188.15,OLTP,Migration-Validation,None
metric-0000131,2025-10-28 14:09:12.390374,host-00043,app-0040,bench-021,52.4,32.98,409876995,316505606,1741,17106658,22537287,465723,failure,24.36,0.869,91.41,Batch,Soak-Test,None
