kafka_metric_id,@timestamp,host_id,topic_name,consumer_group,consumer_lag,message_throughput_per_sec,topic_size_bytes,partition_count,broker_cpu_pct,broker_network_in_mb,broker_network_out_mb
kafka-0000049,2025-10-28 11:29:12.390374,host-00129,risk-events,analytics,37608,22031.16,22363144425,32,73.2,892.83,86.82
kafka-0000050,2025-10-28 11:39:12.390374,host-00115,audit-logs,audit-processor,66499,49044.96,253810856910,32,36.21,267.43,673.92
kafka-0000051,2025-10-28 11:49:12.390374,host-00166,risk-events,analytics,2849,37971.18,245010520296,32,24.67,615.94,652.35
kafka-0000052,2025-10-28 11:59:12.390374,host-00078,trades,trading-app,20677,13739.4,129646637460,32,67.16,801.65,960.83
kafka-0000053,2025-10-28 12:09:12.390374,host-00048,customer-events,analytics,80266,37234.72,421830003451,8,74.77,356.94,155.36
kafka-0000054,2025-10-28 12:19:12.390374,host-00130,audit-logs,reporting,12388,39508.6,541767858991,64,34.32,689.82,770.65
kafka-0000055,2025-10-28 12:29:12.390374,host-00051,customer-events,risk-engine,76237,45699.22,475231878430,8,58.36,564.32,312.27
kafka-0000056,2025-10-28 12:39:12.390374,host-00096,trades,audit-processor,82809,48311.62,271186798624,64,73.41,74.98,720.21
kafka-0000057,2025-10-28 12:49:12.390374,host-00056,customer-events,risk-engine,45814,22994.62,329646617534,32,47.32,196.52,294.02
kafka-0000058,2025-10-28 12:59:12.390374,host-00064,trades,reporting,40482,43939.55,481514193219,32,75.12,241.44,720.87
kafka-0000059,2025-10-28 13:09:12.390374,host-00027,market-data,reporting,20703,1155.26,1166115089,64,32.73,984.0,402.1
kafka-0000060,2025-10-28 13:19:12.390374,host-00104,audit-logs,reporting,5460,16608.57,802041119366,32,59.31,216.54,738.87
kafka-0000061,2025-10-28 13:29:12.390374,host-00193,risk-events,audit-processor,93344,34559.6,403292275781,16,39.44,547.22,778.71
kafka-0000062,2025-10-28 13:39:12.390374,host-00039,market-data,reporting,63941,49377.41,824849146641,64,25.73,669.52,38.77
kafka-0000063,2025-10-28 13:49:12.390374,host-00030,audit-logs,risk-engine,80470,4485.51,408010095556,16,62.18,201.73,558.78
kafka-0000064,2025-10-28 13:59:12.390374,host-00198,market-data,trading-app,3939,43817.55,724192252277,16,29.21,880.4,397.73
kafka-0000065,2025-10-28 14:09:12.390374,host-00061,audit-logs,risk-engine,58345,29034.84,953779504478,64,67.03,641.44,313.22
kafka-0000066,2025-10-28 14:19:12.390374,host-00187,market-data,audit-processor,4584,48184.34,460331411794,32,21.08,832.15,715.77
kafka-0000067,2025-10-28 14:29:12.390374,host-00133,customer-events,risk-engine,26911,3011.49,665177930710,64,53.01,490.69,634.18
kafka-0000068,2025-10-28 14:39:12.390374,host-00070,trades,analytics,52811,35266.73,34969032063,32,60.8,87.91,456.47
kafka-0000069,2025-10-28 14:49:12.390374,host-00178,payments,audit-processor,84214,29349.47,657810716884,64,33.56,971.65,527.11
kafka-0000070,2025-10-28 14:59:12.390374,host-00160,trades,risk-engine,53676,13464.29,774684631945,64,40.76,373.63,722.24
kafka-0000071,2025-10-28 15:09:12.390374,host-00029,audit-logs,analytics,16911,40185.93,663449894230,32,66.53,439.73,827.32
kafka-0000072,2025-10-28 15:19:12.390374,host-00019,payments,reporting,95293,47235.35,677576319749,16,45.17,477.61,986.3
kafka-0000073,2025-10-28 15:29:12.390374,host-00173,market-data,reporting,12559,47955.63,738067070465,16,55.01,233.83,670.95
kafka-0000074,2025-10-28 15:39:12.390374,host-00119,audit-logs,risk-engine,75081,11454.7,101514530011,16,47.27,298.74,272.02
kafka-0000075,2025-10-28 15:49:12.390374,host-00174,payments,reporting,23113,48589.58,372387318899,32,34.76,131.49,861.14
kafka-0000076,2025-10-28 15:59:12.390374,host-00010,risk-events,analytics,98503,18717.48,384834915135,16,60.41,944.28,162.21
kafka-0000077,2025-10-28 16:09:12.390374,host-00115,payments,risk-engine,48470,17383.91,532488522706,8,38.22,910.61,537.84
kafka-0000078,2025-10-28 16:19:12.390374,host-00102,payments,reporting,24383,34452.84,160394498430,8,21.31,771.7,113.58
kafka-0000079,2025-10-28 16:29:12.390374,host-00008,payments,audit-processor,69745,9640.99,644542308584,32,58.44,581.0,619.92
kafka-0000080,2025-10-28 16:39:12.390374,host-00153,audit-logs,risk-engine,82358,21170.34,81008983818,64,27.77,814.13,40.06
kafka-0000081,2025-10-28 16:49:12.390374,host-00069,audit-logs,analytics,36889,43168.05,297917581821,64,32.5,465.87,337.76
kafka-0000082,2025-10-28 16:59:12.390374,host-00095,trades,audit-processor,75859,16427.12,690251241965,8,37.76,339.78,693.2
kafka-0000083,2025-10-28 17:09:12.390374,host-00101,risk-events,analytics,37153,16534.49,384910998875,16,68.55,252.59,614.51
kafka-0000084,2025-10-28 17:19:12.390374,host-00038,trades,trading-app,58144,8809.49,110838142010,16,24.72,803.37,342.32
kafka-0000085,2025-10-28 17:29:12.390374,host-00188,trades,analytics,6545,40413.59,466697296227,32,74.16,386.99,916.83
kafka-0000086,2025-10-28 17:39:12.390374,host-00083,payments,risk-engine,67393,32851.62,910201596527,32,39.24,257.97,726.19
kafka-0000087,2025-10-28 17:49:12.390374,host-00092,audit-logs,audit-processor,52032,24744.33,414699511299,64,46.35,693.46,668.55
kafka-0000088,2025-10-28 17:59:12.390374,host-00099,risk-events,analytics,83619,43219.52,931109098299,16,27.87,135.92,912.99
kafka-0000089,2025-10-28 18:09:12.390374,host-00013,audit-logs,trading-app,232,15989.94,785728871922,64,40.44,797.72,81.67
kafka-0000090,2025-10-28 18:19:12.390374,host-00115,customer-events,trading-app,80604,34708.71,702509208401,32,39.52,102.14,971.18
kafka-0000091,2025-10-28 18:29:12.390374,host-00175,market-data,reporting,12990,1933.87,451212586194,32,54.58,300.12,234.5
kafka-0000092,2025-10-28 18:39:12.390374,host-00114,customer-events,audit-processor,52318,37678.69,575298767117,16,34.32,805.78,862.75
kafka-0000093,2025-10-28 18:49:12.390374,host-00160,risk-events,trading-app,69569,32235.86,447073167371,16,57.92,631.29,840.94
kafka-0000094,2025-10-28 18:59:12.390374,host-00175,audit-logs,trading-app,40025,32479.81,109935465513,16,28.92,583.21,689.07
kafka-0000095,2025-10-28 19:09:12.390374,host-00097,customer-events,reporting,35188,36362.01,703760318835,8,22.81,113.24,277.4
kafka-0000096,2025-10-28 19:19:12.390374,host-00058,audit-logs,trading-app,70816,18568.75,378183504075,8,58.0,146.48,435.67
kafka-0000097,2025-10-28 19:29:12.390374,host-00064,customer-events,reporting,37091,5502.72,220669083031,16,33.54,365.85,325.11
kafka-0000098,2025-10-28 19:39:12.390374,host-00023,audit-logs,risk-engine,48342,16480.54,884198065297,32,78.41,835.52,547.15
kafka-0000099,2025-10-28 19:49:12.390374,host-00016,customer-events,risk-engine,2922,21088.62,197288019659,64,53.88,413.19,728.61
kafka-0000100,2025-10-28 19:59:12.390374,host-00097,payments,trading-app,57855,11633.33,16216102332,64,65.26,871.66,201.89
kafka-0000101,2025-10-28 20:09:12.390374,host-00078,audit-logs,trading-app,94592,38552.06,939015364081,16,75.94,913.81,859.24
kafka-0000102,2025-10-28 20:19:12.390374,host-00183,customer-events,analytics,41149,46711.12,955971285859,16,62.1,341.77,803.82
kafka-0000103,2025-10-28 20:29:12.390374,host-00065,risk-events,trading-app,73177,28959.26,398221148551,64,43.31,164.55,372.03
kafka-0000104,2025-10-28 20:39:12.390374,host-00154,trades,reporting,57070,19042.65,246049211221,32,35.59,380.16,844.98
kafka-0000105,2025-10-28 20:49:12.390374,host-00005,payments,analytics,36306,48818.76,464527655889,16,79.93,713.79,301.0
kafka-0000106,2025-10-28 20:59:12.390374,host-00158,customer-events,audit-processor,82946,29501.76,766775192639,64,36.11,488.76,920.95
kafka-0000107,2025-10-28 21:09:12.390374,host-00073,trades,reporting,86234,11670.37,898216769906,16,55.28,582.33,961.22
kafka-0000108,2025-10-28 21:19:12.390374,host-00020,payments,trading-app,37331,31381.06,542217278137,16,71.61,829.48,933.25
kafka-0000109,2025-10-28 21:29:12.390374,host-00098,customer-events,audit-processor,66237,16927.18,591247202589,64,45.35,660.76,109.5
kafka-0000110,2025-10-28 21:39:12.390374,host-00148,customer-events,analytics,19126,29639.62,282115687208,64,69.97,768.17,423.56
kafka-0000111,2025-10-28 21:49:12.390374,host-00080,audit-logs,audit-processor,19204,37885.55,7791718057,64,36.94,583.41,751.56
kafka-0000112,2025-10-28 21:59:12.390374,host-00122,audit-logs,audit-processor,19327,12642.32,519653209198,64,23.77,587.43,320.19
kafka-0000113,2025-10-28 22:09:12.390374,host-00082,trades,reporting,55423,34650.83,114290006263,32,51.46,647.6,451.42
kafka-0000114,2025-10-28 22:19:12.390374,host-00121,market-data,risk-engine,43883,22095.86,161265349492,64,25.91,359.96,795.35
kafka-0000115,2025-10-28 22:29:12.390374,host-00130,trades,risk-engine,7843,19112.64,628044454030,16,41.39,967.45,403.03
kafka-0000116,2025-10-28 22:39:12.390374,host-00112,trades,reporting,87945,24913.72,528078695756,16,22.5,768.41,459.81
kafka-0000117,2025-10-28 22:49:12.390374,host-00139,risk-events,trading-app,38709,8311.64,126561515014,32,65.88,695.16,845.78
kafka-0000118,2025-10-28 22:59:12.390374,host-00112,customer-events,audit-processor,395,35316.6,882882723814,64,59.48,595.2,61.82
kafka-0000119,2025-10-28 23:09:12.390374,host-00090,customer-events,analytics,43952,40397.32,679620732333,32,38.29,395.48,955.17
kafka-0000120,2025-10-28 23:19:12.390374,host-00090,risk-events,reporting,18483,42303.38,140575272179,16,24.54,236.1,899.61
kafka-0000121,2025-10-28 23:29:12.390374,host-00148,trades,trading-app,31033,29074.61,132117531361,16,44.91,955.98,235.67
kafka-0000122,2025-10-28 23:39:12.390374,host-00188,market-data,reporting,76204,37200.53,679795355997,32,50.96,386.99,13.0
kafka-0000123,2025-10-28 23:49:12.390374,host-00148,audit-logs,trading-app,96491,35257.26,215232402003,16,59.12,423.44,260.35
kafka-0000124,2025-10-28 23:59:12.390374,host-00180,audit-logs,trading-app,76143,40302.85,442213687733,8,75.21,884.99,951.51
kafka-0000125,2025-10-29 00:09:12.390374,host-00073,trades,reporting,49760,2603.93,354205784827,64,44.98,882.38,881.05
kafka-0000126,2025-10-29 00:19:12.390374,host-00175,market-data,audit-processor,59494,7140.01,533139714267,64,64.52,601.35,824.07
kafka-0000127,2025-10-29 00:29:12.390374,host-00159,customer-events,audit-processor,942,29456.83,347147720674,32,35.25,131.82,265.68
kafka-0000128,2025-10-29 00:39:12.390374,host-00019,payments,risk-engine,79550,6875.7,654429983748,64,36.19,783.99,784.71
kafka-0000129,2025-10-29 00:49:12.390374,host-00070,risk-events,reporting,79164,34261.61,789228521761,32,77.82,536.42,118.16
kafka-0000130,2025-10-29 00:59:12.390374,host-00106,customer-events,reporting,79838,20961.77,618941775359,16,42.51,716.43,14.27
kafka-0000131,2025-10-29 01:09:12.390374,host-00039,market-data,trading-app,35367,29950.68,429541798258,32,48.79,680.56,555.89
kafka-0000132,2025-10-29 01:19:12.390374,host-00113,payments,risk-engine,93230,16250.73,155845857771,8,38.37,458.32,795.3
kafka-0000133,2025-10-29 01:29:12.390374,host-00005,audit-logs,reporting,11715,2774.23,885701587017,8,45.87,49.66,983.83
kafka-0000134,2025-10-29 01:39:12.390374,host-00125,customer-events,trading-app,22978,37491.49,11374610764,16,41.69,373.59,438.09
kafka-0000135,2025-10-29 01:49:12.390374,host-00175,risk-events,risk-engine,19571,13718.72,337222522825,16,54.51,997.07,699.14
kafka-0000136,2025-10-29 01:59:12.390374,host-00183,market-data,reporting,17558,49412.43,724069167787,8,78.21,271.64,274.82
kafka-0000137,2025-10-29 02:09:12.390374,host-00119,payments,risk-engine,18205,10010.92,846280746720,64,38.35,639.5,161.9
kafka-0000138,2025-10-29 02:19:12.390374,host-00049,risk-events,risk-engine,49065,28431.19,491340126055,32,52.23,913.39,214.11
kafka-0000139,2025-10-29 02:29:12.390374,host-00095,payments,analytics,13957,45215.53,588307180748,8,29.89,231.68,954.14
kafka-0000140,2025-10-29 02:39:12.390374,host-00065,trades,analytics,43219,14121.4,468011673062,64,25.13,410.41,451.51
kafka-0000141,2025-10-29 02:49:12.390374,host-00132,trades,analytics,78853,7988.24,260979012134,16,55.5,847.69,994.93
kafka-0000142,2025-10-29 02:59:12.390374,host-00163,trades,reporting,68107,11738.47,727257333630,8,79.61,453.59,940.15
kafka-0000143,2025-10-29 03:09:12.390374,host-00083,customer-events,analytics,34134,37581.45,385848841192,16,60.12,219.67,366.34
kafka-0000144,2025-10-29 03:19:12.390374,host-00006,market-data,trading-app,14222,5119.11,664795767262,64,63.58,912.86,138.5
kafka-0000145,2025-10-29 03:29:12.390374,host-00175,risk-events,trading-app,35812,46317.05,302182107374,8,78.05,919.5,850.16
kafka-0000146,2025-10-29 03:39:12.390374,host-00197,customer-events,risk-engine,88382,10602.62,126211931835,8,58.33,86.72,131.54
kafka-0000147,2025-10-29 03:49:12.390374,host-00026,trades,trading-app,58255,1958.76,706054722575,8,34.43,536.96,474.8
kafka-0000148,2025-10-29 03:59:12.390374,host-00026,trades,analytics,38621,47904.84,91294862740,16,65.1,325.32,895.27
kafka-0000149,2025-10-29 04:09:12.390374,host-00143,payments,risk-engine,33133,5115.34,722630375700,16,21.05,574.58,163.42
kafka-0000150,2025-10-29 04:19:12.390374,host-00186,trades,trading-app,40035,25272.77,239380475323,16,69.19,462.94,399.78
kafka-0000151,2025-10-29 04:29:12.390374,host-00136,customer-events,audit-processor,4832,22064.92,472051478234,16,74.5,629.21,91.0
kafka-0000152,2025-10-29 04:39:12.390374,host-00078,audit-logs,reporting,46345,29997.51,325399776448,16,39.08,934.86,203.51
kafka-0000153,2025-10-29 04:49:12.390374,host-00128,customer-events,analytics,1913,12877.22,70898907644,64,22.7,61.7,803.98
kafka-0000154,2025-10-29 04:59:12.390374,host-00076,trades,trading-app,70813,49340.63,205383821634,32,27.37,291.24,465.57
kafka-0000155,2025-10-29 05:09:12.390374,host-00070,trades,analytics,69449,14671.88,11883523564,64,55.35,802.99,207.4
kafka-0000156,2025-10-29 05:19:12.390374,host-00154,payments,analytics,8615,28702.5,998476425184,16,46.16,421.55,345.13
kafka-0000157,2025-10-29 05:29:12.390374,host-00194,trades,risk-engine,8267,6960.99,76808657948,64,77.83,287.1,368.67
kafka-0000158,2025-10-29 05:39:12.390374,host-00072,market-data,trading-app,92358,13401.06,85798418915,8,43.64,966.22,837.43
kafka-0000159,2025-10-29 05:49:12.390374,host-00033,customer-events,audit-processor,8987,42968.25,702912107398,32,39.54,127.53,98.98
kafka-0000160,2025-10-29 05:59:12.390374,host-00157,risk-events,trading-app,1014,10209.18,266144897989,64,45.3,440.54,121.98
kafka-0000161,2025-10-29 06:09:12.390374,host-00031,payments,risk-engine,95026,42142.56,133127938174,32,47.56,405.97,985.57
kafka-0000162,2025-10-29 06:19:12.390374,host-00184,market-data,audit-processor,29440,4535.16,686141369438,64,60.08,70.85,310.46
kafka-0000163,2025-10-29 06:29:12.390374,host-00079,payments,reporting,88529,28356.74,513685102204,16,69.21,750.89,812.67
kafka-0000164,2025-10-29 06:39:12.390374,host-00113,audit-logs,trading-app,23846,9615.17,484947847364,16,41.77,372.64,386.08
kafka-0000165,2025-10-29 06:49:12.390374,host-00021,customer-events,trading-app,9911,46000.29,753155519985,32,64.94,134.81,473.41
kafka-0000166,2025-10-29 06:59:12.390374,host-00049,payments,audit-processor,47850,19425.54,5652891875,16,33.42,145.06,370.89
kafka-0000167,2025-10-29 07:09:12.390374,host-00180,market-data,audit-processor,89287,28614.8,211077357296,32,40.4,733.83,769.86
kafka-0000168,2025-10-29 07:19:12.390374,host-00172,audit-logs,audit-processor,29438,36398.58,198317997689,64,61.36,168.26,322.81
kafka-0000169,2025-10-29 07:29:12.390374,host-00140,payments,analytics,92828,49656.26,383058323939,16,73.11,676.67,818.77
kafka-0000170,2025-10-29 07:39:12.390374,host-00050,market-data,audit-processor,15554,7064.44,740755703449,32,27.08,238.89,532.63
kafka-0000171,2025-10-29 07:49:12.390374,host-00020,market-data,reporting,63529,37852.74,219928032756,8,78.03,995.6,523.38
kafka-0000172,2025-10-29 07:59:12.390374,host-00132,customer-events,audit-processor,73571,16939.24,940919884705,64,28.88,360.44,182.21
kafka-0000173,2025-10-29 08:09:12.390374,host-00183,market-data,analytics,80398,17669.46,721135955151,64,62.37,84.93,528.24
kafka-0000174,2025-10-29 08:19:12.390374,host-00104,trades,audit-processor,9034,22319.52,362113964418,64,54.21,515.63,495.98
kafka-0000175,2025-10-29 08:29:12.390374,host-00095,customer-events,reporting,58278,23901.89,264129813075,32,58.99,261.62,504.1
kafka-0000176,2025-10-29 08:39:12.390374,host-00050,customer-events,trading-app,77169,31170.81,758838503590,16,31.85,928.33,849.9
kafka-0000177,2025-10-29 08:49:12.390374,host-00104,audit-logs,audit-processor,58746,7029.98,445082722425,8,29.52,624.81,914.21
kafka-0000178,2025-10-29 08:59:12.390374,host-00174,payments,trading-app,2574,530.49,120297963889,64,60.45,517.62,454.66
kafka-0000179,2025-10-29 09:09:12.390374,host-00055,trades,risk-engine,39107,11291.89,322985582539,16,66.3,285.96,395.12
kafka-0000180,2025-10-29 09:19:12.390374,host-00151,trades,reporting,68024,21413.24,493826392541,32,51.59,96.19,337.36
kafka-0000181,2025-10-29 09:29:12.390374,host-00067,customer-events,reporting,99958,29355.18,957115876890,16,61.17,771.15,536.92
kafka-0000182,2025-10-29 09:39:12.390374,host-00110,customer-events,reporting,5463,17824.66,941960749241,16,23.94,884.83,104.58
kafka-0000183,2025-10-29 09:49:12.390374,host-00089,trades,reporting,38164,47939.57,945678151363,32,39.9,990.23,990.86
kafka-0000184,2025-10-29 09:59:12.390374,host-00020,market-data,trading-app,63019,13828.83,967544266397,32,22.59,720.11,716.41
kafka-0000185,2025-10-29 10:09:12.390374,host-00076,market-data,analytics,48684,49307.41,357121796771,16,23.63,710.48,192.44
kafka-0000186,2025-10-29 10:19:12.390374,host-00027,audit-logs,risk-engine,14338,24283.28,214917826273,8,62.58,377.14,726.79
kafka-0000187,2025-10-29 10:29:12.390374,host-00133,payments,analytics,32721,10143.44,977235286027,32,74.12,439.69,806.39
kafka-0000188,2025-10-29 10:39:12.390374,host-00043,risk-events,reporting,27818,44008.89,114560728848,8,45.95,347.42,380.49
kafka-0000189,2025-10-29 10:49:12.390374,host-00139,payments,audit-processor,40024,21926.51,737435419491,64,21.01,547.39,384.3
kafka-0000190,2025-10-29 10:59:12.390374,host-00137,payments,reporting,65324,20929.23,122390070845,32,54.86,832.56,942.02
kafka-0000191,2025-10-29 11:09:12.390374,host-00135,customer-events,analytics,64495,48720.2,464780595848,32,21.13,251.92,984.26
kafka-0000192,2025-10-29 11:19:12.390374,host-00042,risk-events,reporting,62216,34259.48,331198608735,8,38.07,157.58,331.24
kafka-0000193,2025-10-29 11:29:12.390374,host-00169,market-data,trading-app,39645,44768.54,517786247095,16,55.29,343.61,571.55
kafka-0000194,2025-10-29 11:39:12.390374,host-00172,trades,risk-engine,69336,46168.48,800359728474,8,34.4,294.8,167.2
kafka-0000195,2025-10-29 11:49:12.390374,host-00081,customer-events,audit-processor,39497,21654.39,159130599731,8,34.68,123.19,877.68
kafka-0000196,2025-10-29 11:59:12.390374,host-00010,audit-logs,audit-processor,85801,46865.55,980997869516,32,48.47,919.21,962.13
kafka-0000197,2025-10-29 12:09:12.390374,host-00061,risk-events,audit-processor,18997,40102.24,858742298143,16,63.57,819.67,562.57
kafka-0000198,2025-10-29 12:19:12.390374,host-00194,payments,risk-engine,47783,44533.15,868449352233,32,76.03,882.4,538.61
kafka-0000199,2025-10-29 12:29:12.390374,host-00143,trades,audit-processor,87073,48706.74,108668827180,32,74.94,610.78,43.39
kafka-0000200,2025-10-29 12:39:12.390374,host-00088,payments,audit-processor,10483,9373.9,329440866724,8,36.85,960.62,752.86
kafka-0000201,2025-10-29 12:49:12.390374,host-00176,market-data,reporting,57740,14209.92,595898015284,8,51.36,114.64,726.32
kafka-0000202,2025-10-29 12:59:12.390374,host-00106,audit-logs,trading-app,19215,14030.65,220780143401,16,46.46,345.53,951.25
kafka-0000203,2025-10-29 13:09:12.390374,host-00079,audit-logs,trading-app,32986,24625.08,201495239391,8,31.21,581.5,252.01
kafka-0000204,2025-10-29 13:19:12.390374,host-00180,trades,analytics,63383,45109.89,557715708653,8,76.46,883.62,373.2
kafka-0000205,2025-10-29 13:29:12.390374,host-00048,customer-events,reporting,81520,28185.44,514958374282,8,62.3,828.65,272.53
kafka-0000206,2025-10-29 13:39:12.390374,host-00120,payments,risk-engine,4898,19849.33,809019069933,16,61.0,478.48,128.89
kafka-0000207,2025-10-29 13:49:12.390374,host-00121,risk-events,trading-app,48606,41093.19,335090946289,8,64.06,983.19,963.35
kafka-0000208,2025-10-29 13:59:12.390374,host-00107,risk-events,risk-engine,66625,39620.84,23149515904,32,55.11,392.2,372.12
kafka-0000209,2025-10-29 14:09:12.390374,host-00071,customer-events,analytics,6519,40348.86,200464416642,8,78.45,100.97,469.04
kafka-0000210,2025-10-29 14:19:12.390374,host-00124,customer-events,risk-engine,22631,7210.18,935476053448,16,43.49,972.62,711.0
