cell_id,cell_name,tower_location,region,equipment_type,capacity,installation_date,maintenance_status,neighbor_cells,tower_description
CELL-0038,Tower CELL-0038,"31.011372,-81.680346",Northwest,Huawei BTS3900,500,2020-09-12 16:47:55.591279,Active,"CELL-0086,CELL-0069,CELL-0053,CELL-0027,CELL-0045",Suburban cell site with residential coverage and highway access
CELL-0039,Tower CELL-0039,"26.111798,-78.151947",Southwest,Ericsson RBS,3000,2018-07-10 16:47:55.591294,Maintenance,"CELL-0031,CELL-0001,CELL-0052,CELL-0030,CELL-0040",Coastal tower with marine coverage and tourist area support
CELL-0040,Tower CELL-0040,"41.034848,-80.710574",Southeast,Nokia AirScale,500,2017-11-11 16:47:55.591307,Maintenance,"CELL-0054,CELL-0029,CELL-0020,CELL-0093",Urban macro cell tower serving high-density commercial district
CELL-0041,Tower CELL-0041,"46.30862,-95.753581",Southeast,Samsung 5G RAN,3000,2023-02-02 16:47:55.591321,Active,"CELL-0099,CELL-0056,CELL-0019,CELL-0089",Rural tower providing extended range coverage for interstate corridor
CELL-0042,Tower CELL-0042,"39.117552,-102.016056",Southeast,Ericsson RBS,3000,2016-02-06 16:47:55.591334,Optimal,"CELL-0040,CELL-0006,CELL-0005,CELL-0010",Enterprise campus cell site with dedicated capacity allocation
CELL-0043,Tower CELL-0043,"35.003327,-103.831381",West,Nokia AirScale,5000,2020-12-16 16:47:55.591349,Optimal,"CELL-0013,CELL-0012,CELL-0048,CELL-0099,CELL-0090",Coastal tower with marine coverage and tourist area support
CELL-0044,Tower CELL-0044,"47.382792,-98.835312",Northwest,Ericsson RBS,5000,2022-07-06 16:47:55.591361,Optimal,"CELL-0098,CELL-0027,CELL-0029",Coastal tower with marine coverage and tourist area support
CELL-0045,Tower CELL-0045,"40.332293,-95.964755",Southwest,Samsung 5G RAN,3000,2019-01-19 16:47:55.591374,Maintenance,"CELL-0079,CELL-0007,CELL-0076",Rural tower providing extended range coverage for interstate corridor
CELL-0046,Tower CELL-0046,"42.564047,-100.826732",Southwest,Nokia AirScale,500,2023-02-19 16:47:55.591387,Optimal,"CELL-0087,CELL-0044,CELL-0033,CELL-0011",Urban macro cell tower serving high-density commercial district
CELL-0047,Tower CELL-0047,"28.72778,-106.22921",Northwest,Samsung 5G RAN,1000,2019-05-29 16:47:55.591403,Optimal,"CELL-0095,CELL-0019,CELL-0090,CELL-0073,CELL-0063",Coastal tower with marine coverage and tourist area support
CELL-0048,Tower CELL-0048,"30.249557,-104.956501",Northwest,Samsung 5G RAN,3000,2017-01-27 16:47:55.591418,Active,"CELL-0032,CELL-0067,CELL-0009,CELL-0065,CELL-0028",Rural tower providing extended range coverage for interstate corridor
CELL-0049,Tower CELL-0049,"36.153779,-92.65161",Northeast,Samsung 5G RAN,500,2022-05-18 16:47:55.591431,Active,"CELL-0098,CELL-0084,CELL-0035,CELL-0053",Coastal tower with marine coverage and tourist area support
CELL-0050,Tower CELL-0050,"34.348939,-72.60669",Southwest,Ericsson RBS,5000,2024-06-12 16:47:55.591446,Active,"CELL-0044,CELL-0097,CELL-0011,CELL-0027,CELL-0087",Enterprise campus cell site with dedicated capacity allocation
CELL-0051,Tower CELL-0051,"27.112209,-120.46639",Southwest,Samsung 5G RAN,2000,2024-01-21 16:47:55.591461,Optimal,"CELL-0092,CELL-0053,CELL-0058,CELL-0016,CELL-0063",Urban macro cell tower serving high-density commercial district
CELL-0052,Tower CELL-0052,"45.899342,-94.453233",Southeast,Samsung 5G RAN,1000,2021-10-09 16:47:55.591474,Optimal,"CELL-0090,CELL-0077,CELL-0004,CELL-0028",Enterprise campus cell site with dedicated capacity allocation
CELL-0053,Tower CELL-0053,"45.059695,-122.949693",Southwest,Ericsson RBS,500,2016-01-13 16:47:55.591489,Maintenance,"CELL-0019,CELL-0090,CELL-0013,CELL-0068,CELL-0024",Enterprise campus cell site with dedicated capacity allocation
CELL-0054,Tower CELL-0054,"30.329824,-79.554237",Southwest,Huawei BTS3900,5000,2018-04-11 16:47:55.591503,Optimal,"CELL-0080,CELL-0043,CELL-0063",Small cell deployment in shopping mall with indoor DAS integration
CELL-0055,Tower CELL-0055,"31.328699,-81.040723",Northwest,Huawei BTS3900,1000,2021-02-16 16:47:55.591516,Optimal,"CELL-0078,CELL-0066,CELL-0008,CELL-0040",Urban macro cell tower serving high-density commercial district
CELL-0056,Tower CELL-0056,"48.297753,-121.222454",Northeast,Samsung 5G RAN,2000,2023-08-08 16:47:55.591530,Active,"CELL-0003,CELL-0023,CELL-0029,CELL-0077,CELL-0048",Rural tower providing extended range coverage for interstate corridor
CELL-0057,Tower CELL-0057,"46.07164,-124.531311",Southeast,Ericsson RBS,500,2020-05-27 16:47:55.591545,Active,"CELL-0015,CELL-0081,CELL-0076,CELL-0016,CELL-0074",Suburban cell site with residential coverage and highway access
CELL-0058,Tower CELL-0058,"37.599675,-88.860287",Northeast,Samsung 5G RAN,5000,2022-07-14 16:47:55.591559,Degraded,"CELL-0087,CELL-0065,CELL-0024,CELL-0028,CELL-0011",Suburban cell site with residential coverage and highway access
CELL-0059,Tower CELL-0059,"47.249414,-123.696007",Southwest,Huawei BTS3900,500,2022-10-12 16:47:55.591574,Optimal,"CELL-0031,CELL-0086,CELL-0044,CELL-0017,CELL-0056",Urban macro cell tower serving high-density commercial district
CELL-0060,Tower CELL-0060,"41.714579,-73.538281",Northeast,Nokia AirScale,3000,2017-01-03 16:47:55.591589,Active,"CELL-0099,CELL-0066,CELL-0005,CELL-0001,CELL-0061",Rural tower providing extended range coverage for interstate corridor
CELL-0061,Tower CELL-0061,"27.626261,-110.87628",Southwest,Ericsson RBS,2000,2019-09-12 16:47:55.591603,Maintenance,"CELL-0091,CELL-0088,CELL-0050,CELL-0036,CELL-0058",Enterprise campus cell site with dedicated capacity allocation
CELL-0062,Tower CELL-0062,"28.550112,-109.297201",Southwest,Samsung 5G RAN,3000,2018-09-19 16:47:55.591616,Degraded,"CELL-0018,CELL-0041,CELL-0061,CELL-0064",Suburban cell site with residential coverage and highway access
CELL-0063,Tower CELL-0063,"25.171753,-98.886406",Southwest,Samsung 5G RAN,1000,2023-02-04 16:47:55.591630,Optimal,"CELL-0025,CELL-0038,CELL-0037,CELL-0094,CELL-0024",Small cell deployment in shopping mall with indoor DAS integration
CELL-0064,Tower CELL-0064,"41.248668,-87.658103",Southwest,Samsung 5G RAN,1000,2023-03-07 16:47:55.591643,Optimal,"CELL-0071,CELL-0083,CELL-0080,CELL-0018",Enterprise campus cell site with dedicated capacity allocation
CELL-0065,Tower CELL-0065,"40.536584,-121.586513",West,Huawei BTS3900,5000,2019-09-02 16:47:55.591657,Degraded,"CELL-0100,CELL-0004,CELL-0038,CELL-0085,CELL-0041",Enterprise campus cell site with dedicated capacity allocation
CELL-0066,Tower CELL-0066,"32.318069,-73.635633",Southeast,Huawei BTS3900,2000,2020-04-26 16:47:55.591670,Degraded,"CELL-0046,CELL-0056,CELL-0093",Enterprise campus cell site with dedicated capacity allocation
CELL-0067,Tower CELL-0067,"30.256844,-82.426377",Southwest,Huawei BTS3900,1000,2017-04-18 16:47:55.591683,Degraded,"CELL-0074,CELL-0032,CELL-0063,CELL-0091,CELL-0029",Small cell deployment in shopping mall with indoor DAS integration
CELL-0068,Tower CELL-0068,"27.9469,-68.432637",West,Ericsson RBS,5000,2023-05-17 16:47:55.591697,Active,"CELL-0005,CELL-0069,CELL-0097,CELL-0090,CELL-0047",Small cell deployment in shopping mall with indoor DAS integration
CELL-0069,Tower CELL-0069,"47.439599,-95.356589",West,Samsung 5G RAN,2000,2018-07-28 16:47:55.591709,Optimal,"CELL-0033,CELL-0076,CELL-0067",Suburban cell site with residential coverage and highway access
CELL-0070,Tower CELL-0070,"28.789924,-90.991633",Midwest,Huawei BTS3900,5000,2024-11-19 16:47:55.591723,Maintenance,"CELL-0043,CELL-0055,CELL-0063,CELL-0030,CELL-0051",Rural tower providing extended range coverage for interstate corridor
CELL-0071,Tower CELL-0071,"42.868305,-83.819576",Southeast,Huawei BTS3900,3000,2024-10-14 16:47:55.591736,Maintenance,"CELL-0030,CELL-0068,CELL-0005,CELL-0067,CELL-0074",Suburban cell site with residential coverage and highway access
CELL-0072,Tower CELL-0072,"42.675942,-120.741577",Northeast,Ericsson RBS,1000,2018-03-12 16:47:55.591750,Degraded,"CELL-0069,CELL-0031,CELL-0060",Suburban cell site with residential coverage and highway access
CELL-0073,Tower CELL-0073,"45.423203,-116.072706",Southwest,Huawei BTS3900,2000,2017-09-17 16:47:55.591763,Degraded,"CELL-0042,CELL-0001,CELL-0088,CELL-0100",Urban macro cell tower serving high-density commercial district
CELL-0074,Tower CELL-0074,"36.851175,-95.804927",Northeast,Huawei BTS3900,3000,2018-03-26 16:47:55.591777,Optimal,"CELL-0030,CELL-0099,CELL-0004,CELL-0018,CELL-0045",Coastal tower with marine coverage and tourist area support
CELL-0075,Tower CELL-0075,"41.533512,-82.722197",Northwest,Ericsson RBS,3000,2021-10-12 16:47:55.591790,Maintenance,"CELL-0081,CELL-0082,CELL-0019,CELL-0073",Rural tower providing extended range coverage for interstate corridor
CELL-0076,Tower CELL-0076,"25.444996,-70.306361",Midwest,Huawei BTS3900,1000,2018-09-24 16:47:55.591804,Active,"CELL-0053,CELL-0089,CELL-0017,CELL-0073,CELL-0093",Urban macro cell tower serving high-density commercial district
CELL-0077,Tower CELL-0077,"30.776607,-112.591447",Northeast,Nokia AirScale,2000,2024-07-25 16:47:55.591818,Maintenance,"CELL-0072,CELL-0069,CELL-0074,CELL-0084,CELL-0040",Enterprise campus cell site with dedicated capacity allocation
CELL-0078,Tower CELL-0078,"30.952654,-98.794808",Northeast,Ericsson RBS,2000,2025-01-09 16:47:55.591832,Maintenance,"CELL-0099,CELL-0018,CELL-0052",Suburban cell site with residential coverage and highway access
CELL-0079,Tower CELL-0079,"39.947499,-70.377638",Northeast,Ericsson RBS,1000,2022-03-08 16:47:55.591847,Maintenance,"CELL-0076,CELL-0033,CELL-0087,CELL-0021,CELL-0057",Urban macro cell tower serving high-density commercial district
CELL-0080,Tower CELL-0080,"35.577802,-91.986983",Southwest,Ericsson RBS,2000,2024-09-13 16:47:55.591863,Active,"CELL-0037,CELL-0022,CELL-0016,CELL-0057,CELL-0006",Coastal tower with marine coverage and tourist area support
CELL-0081,Tower CELL-0081,"45.668687,-113.287266",Southeast,Huawei BTS3900,5000,2024-07-22 16:47:55.591878,Maintenance,"CELL-0048,CELL-0066,CELL-0080",Suburban cell site with residential coverage and highway access
CELL-0082,Tower CELL-0082,"28.166205,-86.705394",Midwest,Ericsson RBS,1000,2021-06-28 16:47:55.591892,Degraded,"CELL-0043,CELL-0060,CELL-0042,CELL-0081",Small cell deployment in shopping mall with indoor DAS integration
CELL-0083,Tower CELL-0083,"45.680546,-115.95539",Southeast,Nokia AirScale,1000,2024-11-30 16:47:55.591907,Degraded,"CELL-0014,CELL-0029,CELL-0042",Coastal tower with marine coverage and tourist area support
CELL-0084,Tower CELL-0084,"25.30457,-106.522385",Southeast,Nokia AirScale,2000,2021-01-01 16:47:55.591921,Optimal,"CELL-0002,CELL-0088,CELL-0061,CELL-0050",Coastal tower with marine coverage and tourist area support
CELL-0085,Tower CELL-0085,"37.144055,-91.232468",West,Ericsson RBS,2000,2022-07-25 16:47:55.591938,Active,"CELL-0092,CELL-0087,CELL-0068,CELL-0024,CELL-0061",Suburban cell site with residential coverage and highway access
CELL-0086,Tower CELL-0086,"31.952593,-81.082628",Southeast,Samsung 5G RAN,3000,2019-03-29 16:47:55.591952,Maintenance,"CELL-0008,CELL-0015,CELL-0037",Small cell deployment in shopping mall with indoor DAS integration
CELL-0087,Tower CELL-0087,"41.293355,-83.091615",Southeast,Samsung 5G RAN,1000,2022-12-27 16:47:55.591968,Optimal,"CELL-0029,CELL-0069,CELL-0028,CELL-0079,CELL-0009",Rural tower providing extended range coverage for interstate corridor
CELL-0088,Tower CELL-0088,"28.546081,-66.571466",Midwest,Nokia AirScale,3000,2024-12-09 16:47:55.591985,Maintenance,"CELL-0011,CELL-0008,CELL-0029,CELL-0014,CELL-0083",Enterprise campus cell site with dedicated capacity allocation
CELL-0089,Tower CELL-0089,"47.922487,-100.577303",West,Samsung 5G RAN,2000,2016-10-06 16:47:55.592002,Maintenance,"CELL-0036,CELL-0020,CELL-0070,CELL-0039,CELL-0084",Urban macro cell tower serving high-density commercial district
CELL-0090,Tower CELL-0090,"35.433211,-91.711271",Northeast,Samsung 5G RAN,500,2024-04-20 16:47:55.592016,Maintenance,"CELL-0011,CELL-0072,CELL-0006,CELL-0061",Urban macro cell tower serving high-density commercial district
CELL-0091,Tower CELL-0091,"36.78971,-105.773989",Southeast,Samsung 5G RAN,5000,2023-06-30 16:47:55.592032,Maintenance,"CELL-0055,CELL-0027,CELL-0069,CELL-0014,CELL-0047",Urban macro cell tower serving high-density commercial district
CELL-0092,Tower CELL-0092,"38.779142,-72.812602",Northeast,Ericsson RBS,5000,2021-11-06 16:47:55.592048,Maintenance,"CELL-0004,CELL-0049,CELL-0084,CELL-0094,CELL-0007",Rural tower providing extended range coverage for interstate corridor
CELL-0093,Tower CELL-0093,"25.566173,-108.932466",Northwest,Huawei BTS3900,5000,2018-08-21 16:47:55.592063,Maintenance,"CELL-0074,CELL-0090,CELL-0009,CELL-0098",Small cell deployment in shopping mall with indoor DAS integration
CELL-0094,Tower CELL-0094,"42.276939,-112.716572",Midwest,Samsung 5G RAN,500,2024-12-22 16:47:55.592079,Degraded,"CELL-0058,CELL-0069,CELL-0034,CELL-0041,CELL-0080",Coastal tower with marine coverage and tourist area support
CELL-0095,Tower CELL-0095,"42.74408,-76.515248",Southeast,Samsung 5G RAN,5000,2017-04-16 16:47:55.592094,Optimal,"CELL-0081,CELL-0086,CELL-0015",Suburban cell site with residential coverage and highway access
CELL-0096,Tower CELL-0096,"32.59822,-117.700689",West,Nokia AirScale,500,2016-08-03 16:47:55.592109,Degraded,"CELL-0045,CELL-0044,CELL-0009,CELL-0006",Suburban cell site with residential coverage and highway access
CELL-0097,Tower CELL-0097,"25.602216,-94.818792",Northeast,Nokia AirScale,500,2017-02-16 16:47:55.592123,Degraded,"CELL-0037,CELL-0076,CELL-0027",Suburban cell site with residential coverage and highway access
CELL-0098,Tower CELL-0098,"45.276598,-101.276409",Midwest,Ericsson RBS,1000,2023-09-11 16:47:55.592137,Active,"CELL-0097,CELL-0087,CELL-0083",Enterprise campus cell site with dedicated capacity allocation
CELL-0099,Tower CELL-0099,"30.911949,-112.257772",Midwest,Nokia AirScale,2000,2022-04-22 16:47:55.592154,Maintenance,"CELL-0059,CELL-0068,CELL-0062,CELL-0072,CELL-0039",Suburban cell site with residential coverage and highway access
CELL-0100,Tower CELL-0100,"44.556655,-102.898562",Northeast,Nokia AirScale,5000,2020-11-09 16:47:55.592169,Active,"CELL-0065,CELL-0007,CELL-0006,CELL-0069,CELL-0041",Enterprise campus cell site with dedicated capacity allocation
