event_id,@timestamp,imsi,auth_result,hss_response_code,mme_host,cell_id,authentication_type,roaming_partner,response_time_ms,retry_count
AUTH-00000050,2025-08-15 20:49:00.592994,310160716742357,SUCCESS,SUCCESS,MME-01,CELL-0080,EPS_AKA,Orange,133,0
AUTH-00000051,2025-08-15 21:17:19.592994,310160134895157,SUCCESS,SUCCESS,MME-05,CELL-0063,EAP_AKA,Vodafone,328,0
AUTH-00000052,2025-08-15 21:31:48.592994,311480287112653,SUCCESS,SUCCESS,MME-02,CELL-0067,EPS_AKA,Orange,57,0
AUTH-00000053,2025-08-15 21:48:48.592994,310160958285312,SUCCESS,SUCCESS,MME-05,CELL-0036,EAP_AKA,None,192,0
AUTH-00000054,2025-08-15 22:37:55.592994,311480325208671,SUCCESS,SUCCESS,MME-03,CELL-0086,5G_AKA,Vodafone,141,0
AUTH-00000055,2025-08-15 22:39:08.592994,310160167287264,TIMEOUT,ROAMING_NOT_ALLOWED,MME-04,CELL-0002,EAP_AKA,Vodafone,1868,3
AUTH-00000056,2025-08-16 00:26:46.592994,310160484949989,SUCCESS,SUCCESS,MME-01,CELL-0036,UMTS_AKA,China Mobile,55,0
AUTH-00000057,2025-08-16 00:26:49.592994,310160674570059,SUCCESS,SUCCESS,MME-04,CELL-0041,UMTS_AKA,AT&T,98,0
AUTH-00000058,2025-08-16 01:10:56.592994,312530385739562,FAILURE,ROAMING_NOT_ALLOWED,MME-04,CELL-0074,EAP_AKA,None,880,5
AUTH-00000059,2025-08-16 01:29:44.592994,310260802460981,SUCCESS,SUCCESS,MME-04,CELL-0036,5G_AKA,Telstra,339,0
AUTH-00000060,2025-08-16 01:31:13.592994,310260401747547,TIMEOUT,SYNC_FAILURE,MME-04,CELL-0062,EAP_AKA,Vodafone,1149,1
AUTH-00000061,2025-08-16 01:44:29.592994,311480812988868,FAILURE,DATABASE_ERROR,MME-02,CELL-0044,UMTS_AKA,China Mobile,1632,3
AUTH-00000062,2025-08-16 02:15:12.592994,310260310533696,SUCCESS,SUCCESS,MME-05,CELL-0080,EPS_AKA,Orange,187,0
AUTH-00000063,2025-08-16 03:36:34.592994,311480858975217,SUCCESS,SUCCESS,MME-05,CELL-0064,5G_AKA,Orange,704,0
AUTH-00000064,2025-08-16 03:49:51.592994,310160375832741,SUCCESS,SUCCESS,MME-04,CELL-0079,UMTS_AKA,China Mobile,187,0
AUTH-00000065,2025-08-16 04:19:13.592994,310260329629893,SUCCESS,SUCCESS,MME-01,CELL-0073,EPS_AKA,China Mobile,639,0
AUTH-00000066,2025-08-16 05:36:49.592994,312530472234361,SUCCESS,SUCCESS,MME-04,CELL-0035,UMTS_AKA,Verizon,209,0
AUTH-00000067,2025-08-16 05:46:58.592994,310260618455294,TIMEOUT,ROAMING_NOT_ALLOWED,MME-05,CELL-0051,EPS_AKA,Vodafone,386,2
AUTH-00000068,2025-08-16 06:59:04.592994,312530971250710,SUCCESS,SUCCESS,MME-03,CELL-0061,5G_AKA,Telstra,132,0
AUTH-00000069,2025-08-16 08:17:35.592994,310160880831646,SUCCESS,SUCCESS,MME-01,CELL-0049,UMTS_AKA,AT&T,202,0
AUTH-00000070,2025-08-16 08:41:09.592994,311480329951492,FAILURE,SUBSCRIBER_UNKNOWN,MME-04,CELL-0024,EPS_AKA,Vodafone,770,4
AUTH-00000071,2025-08-16 10:32:33.592994,312530576125070,SUCCESS,SUCCESS,MME-03,CELL-0039,UMTS_AKA,Vodafone,212,0
AUTH-00000072,2025-08-16 11:30:30.592994,310160183577531,SUCCESS,SUCCESS,MME-04,CELL-0020,EAP_AKA,AT&T,506,0
AUTH-00000073,2025-08-16 12:01:01.592994,312530301037014,SUCCESS,SUCCESS,MME-01,CELL-0078,EAP_AKA,None,195,0
AUTH-00000074,2025-08-16 12:08:47.592994,310260411774619,REJECTED,HSS_TIMEOUT,MME-03,CELL-0041,UMTS_AKA,Telstra,683,4
AUTH-00000075,2025-08-16 12:34:57.592994,311480426767240,SUCCESS,SUCCESS,MME-02,CELL-0023,UMTS_AKA,Vodafone,169,0
AUTH-00000076,2025-08-16 14:11:01.592994,310160930299214,SUCCESS,SUCCESS,MME-05,CELL-0006,UMTS_AKA,None,95,0
AUTH-00000077,2025-08-16 14:34:20.592994,312530937078652,SUCCESS,SUCCESS,MME-04,CELL-0070,5G_AKA,Verizon,300,0
AUTH-00000078,2025-08-16 14:43:11.592994,311480749108000,SUCCESS,SUCCESS,MME-03,CELL-0086,EPS_AKA,China Mobile,51,0
AUTH-00000079,2025-08-16 14:55:40.592994,310160498107217,TIMEOUT,DATABASE_ERROR,MME-01,CELL-0081,EAP_AKA,AT&T,1467,5
AUTH-00000080,2025-08-16 15:17:48.592994,310260887098891,SUCCESS,SUCCESS,MME-05,CELL-0034,UMTS_AKA,Verizon,71,0
AUTH-00000081,2025-08-16 15:58:59.592994,311480814966697,SUCCESS,SUCCESS,MME-04,CELL-0016,EAP_AKA,AT&T,55,0
AUTH-00000082,2025-08-16 16:44:58.592994,312530767640244,SUCCESS,SUCCESS,MME-05,CELL-0086,5G_AKA,AT&T,79,0
AUTH-00000083,2025-08-16 17:57:07.592994,312530566898856,SUCCESS,SUCCESS,MME-02,CELL-0052,UMTS_AKA,None,200,0
AUTH-00000084,2025-08-16 19:33:49.592994,310260584081389,TIMEOUT,AUTH_VECTOR_MISMATCH,MME-02,CELL-0012,EAP_AKA,Vodafone,2103,1
AUTH-00000085,2025-08-16 20:59:32.592994,310260715552941,SUCCESS,SUCCESS,MME-01,CELL-0018,UMTS_AKA,None,165,0
AUTH-00000086,2025-08-16 21:31:45.592994,311480504782405,SUCCESS,SUCCESS,MME-03,CELL-0026,EPS_AKA,China Mobile,68,0
AUTH-00000087,2025-08-16 21:51:11.592994,312530805783108,FAILURE,SUBSCRIBER_UNKNOWN,MME-03,CELL-0047,EPS_AKA,Telstra,707,4
AUTH-00000088,2025-08-16 23:00:10.592994,310160491978522,SUCCESS,SUCCESS,MME-01,CELL-0099,5G_AKA,Verizon,188,0
AUTH-00000089,2025-08-16 23:12:22.592994,310260159246850,FAILURE,AUTH_VECTOR_MISMATCH,MME-02,CELL-0005,UMTS_AKA,None,339,1
AUTH-00000090,2025-08-17 00:13:16.592994,311480747876487,FAILURE,AUTH_VECTOR_MISMATCH,MME-04,CELL-0064,5G_AKA,None,489,2
AUTH-00000091,2025-08-17 00:26:43.592994,311480358126768,SUCCESS,SUCCESS,MME-04,CELL-0092,EAP_AKA,Vodafone,152,0
AUTH-00000092,2025-08-17 00:29:55.592994,310160780180027,TIMEOUT,AUTH_VECTOR_MISMATCH,MME-02,CELL-0098,EPS_AKA,Verizon,593,4
AUTH-00000093,2025-08-17 01:01:21.592994,310160515078739,SUCCESS,SUCCESS,MME-02,CELL-0057,EPS_AKA,AT&T,153,0
AUTH-00000094,2025-08-17 01:14:33.592994,311480738066860,FAILURE,SUBSCRIBER_UNKNOWN,MME-02,CELL-0003,UMTS_AKA,China Mobile,351,5
AUTH-00000095,2025-08-17 01:49:30.592994,310160814223642,SUCCESS,SUCCESS,MME-03,CELL-0074,UMTS_AKA,China Mobile,144,0
AUTH-00000096,2025-08-17 02:28:05.592994,310260713581687,SUCCESS,SUCCESS,MME-04,CELL-0040,EPS_AKA,China Mobile,76,0
AUTH-00000097,2025-08-17 02:43:53.592994,311480974766453,SUCCESS,SUCCESS,MME-05,CELL-0046,5G_AKA,None,454,0
AUTH-00000098,2025-08-17 03:50:13.592994,310160621804767,SUCCESS,SUCCESS,MME-04,CELL-0002,EAP_AKA,AT&T,67,0
AUTH-00000099,2025-08-17 04:16:15.592994,310260369066118,TIMEOUT,SYNC_FAILURE,MME-04,CELL-0038,EPS_AKA,Verizon,1278,2
AUTH-00000100,2025-08-17 05:31:44.592994,311480822210204,SUCCESS,SUCCESS,MME-02,CELL-0043,UMTS_AKA,Verizon,117,0
AUTH-00000101,2025-08-17 05:57:32.592994,312530769839602,SUCCESS,SUCCESS,MME-02,CELL-0046,UMTS_AKA,Verizon,118,0
AUTH-00000102,2025-08-17 06:17:28.592994,310160589295362,SUCCESS,SUCCESS,MME-05,CELL-0002,UMTS_AKA,Telstra,100,0
AUTH-00000103,2025-08-17 06:30:58.592994,312530776942298,FAILURE,ROAMING_NOT_ALLOWED,MME-04,CELL-0050,EAP_AKA,Vodafone,283,2
AUTH-00000104,2025-08-17 07:49:20.592994,310160860901008,SUCCESS,SUCCESS,MME-05,CELL-0087,UMTS_AKA,Vodafone,193,0
AUTH-00000105,2025-08-17 08:00:19.592994,310260607355722,FAILURE,HSS_TIMEOUT,MME-01,CELL-0039,EAP_AKA,Orange,825,1
AUTH-00000106,2025-08-17 09:21:26.592994,310260461769688,SUCCESS,SUCCESS,MME-02,CELL-0088,UMTS_AKA,China Mobile,225,0
AUTH-00000107,2025-08-17 09:38:56.592994,312530215418407,TIMEOUT,DATABASE_ERROR,MME-01,CELL-0074,5G_AKA,None,323,1
AUTH-00000108,2025-08-17 09:55:04.592994,311480773003946,SUCCESS,SUCCESS,MME-03,CELL-0079,EPS_AKA,Vodafone,187,0
AUTH-00000109,2025-08-17 10:25:32.592994,312530230463220,SUCCESS,SUCCESS,MME-02,CELL-0060,EPS_AKA,Vodafone,59,0
AUTH-00000110,2025-08-17 11:58:15.592994,310160586628683,SUCCESS,SUCCESS,MME-04,CELL-0066,UMTS_AKA,China Mobile,54,0
AUTH-00000111,2025-08-17 12:22:39.592994,311480795089581,SUCCESS,SUCCESS,MME-01,CELL-0006,EPS_AKA,Telstra,136,0
AUTH-00000112,2025-08-17 12:31:23.592994,310260793176810,FAILURE,SYNC_FAILURE,MME-04,CELL-0046,EPS_AKA,Vodafone,1633,3
AUTH-00000113,2025-08-17 12:58:26.592994,312530326811972,SUCCESS,SUCCESS,MME-01,CELL-0023,EAP_AKA,China Mobile,159,0
AUTH-00000114,2025-08-17 13:51:31.592994,310260995602772,SUCCESS,SUCCESS,MME-03,CELL-0069,UMTS_AKA,China Mobile,465,0
AUTH-00000115,2025-08-17 14:19:38.592994,310260401083895,SUCCESS,SUCCESS,MME-03,CELL-0020,EAP_AKA,Vodafone,184,0
AUTH-00000116,2025-08-17 14:34:11.592994,311480883321745,SUCCESS,SUCCESS,MME-01,CELL-0016,EPS_AKA,China Mobile,188,0
AUTH-00000117,2025-08-17 15:41:11.592994,312530754995476,SUCCESS,SUCCESS,MME-04,CELL-0022,EAP_AKA,Vodafone,219,0
AUTH-00000118,2025-08-17 16:24:34.592994,311480505831617,TIMEOUT,AUTH_VECTOR_MISMATCH,MME-05,CELL-0083,UMTS_AKA,Verizon,850,2
AUTH-00000119,2025-08-17 16:58:18.592994,310160841870752,FAILURE,ROAMING_NOT_ALLOWED,MME-01,CELL-0072,5G_AKA,Verizon,1160,5
AUTH-00000120,2025-08-17 17:37:01.592994,312530333015397,SUCCESS,SUCCESS,MME-03,CELL-0060,EAP_AKA,Verizon,167,0
AUTH-00000121,2025-08-17 18:03:27.592994,311480266366279,FAILURE,DATABASE_ERROR,MME-05,CELL-0080,5G_AKA,China Mobile,493,4
AUTH-00000122,2025-08-17 18:43:30.592994,312530323493434,SUCCESS,SUCCESS,MME-03,CELL-0056,EAP_AKA,Telstra,157,0
AUTH-00000123,2025-08-17 18:50:55.592994,310260683712852,SUCCESS,SUCCESS,MME-04,CELL-0061,EAP_AKA,Verizon,158,0
AUTH-00000124,2025-08-17 19:28:53.592994,311480389411279,FAILURE,ROAMING_NOT_ALLOWED,MME-01,CELL-0089,UMTS_AKA,None,543,4
AUTH-00000125,2025-08-17 20:31:26.592994,310260527261459,TIMEOUT,DATABASE_ERROR,MME-01,CELL-0052,UMTS_AKA,Telstra,2025,2
AUTH-00000126,2025-08-17 20:57:12.592994,310160537161418,SUCCESS,SUCCESS,MME-05,CELL-0009,EPS_AKA,Telstra,197,0
AUTH-00000127,2025-08-17 21:09:38.592994,310160976184273,SUCCESS,SUCCESS,MME-05,CELL-0065,EPS_AKA,Telstra,260,0
AUTH-00000128,2025-08-17 22:21:35.592994,310160546874797,SUCCESS,SUCCESS,MME-01,CELL-0013,UMTS_AKA,Telstra,67,0
AUTH-00000129,2025-08-17 22:40:08.592994,310160768416443,SUCCESS,SUCCESS,MME-05,CELL-0024,EAP_AKA,Vodafone,310,0
AUTH-00000130,2025-08-17 23:21:49.592994,312530656548791,SUCCESS,SUCCESS,MME-01,CELL-0063,EPS_AKA,Telstra,160,0
AUTH-00000131,2025-08-17 23:25:57.592994,311480500928408,SUCCESS,SUCCESS,MME-05,CELL-0081,EPS_AKA,China Mobile,221,0
AUTH-00000132,2025-08-17 23:35:51.592994,310160279407420,TIMEOUT,SYNC_FAILURE,MME-01,CELL-0050,UMTS_AKA,None,2781,1
AUTH-00000133,2025-08-18 00:09:33.592994,310260454371216,SUCCESS,SUCCESS,MME-01,CELL-0057,EAP_AKA,Telstra,407,0
AUTH-00000134,2025-08-18 00:23:47.592994,312530248107988,SUCCESS,SUCCESS,MME-03,CELL-0022,EPS_AKA,China Mobile,235,0
AUTH-00000135,2025-08-18 01:43:01.592994,312530268489936,SUCCESS,SUCCESS,MME-04,CELL-0044,EAP_AKA,Orange,88,0
AUTH-00000136,2025-08-18 02:34:09.592994,312530595565390,SUCCESS,SUCCESS,MME-02,CELL-0092,EPS_AKA,None,81,0
AUTH-00000137,2025-08-18 02:55:25.592994,312530842712584,TIMEOUT,HSS_TIMEOUT,MME-02,CELL-0057,UMTS_AKA,AT&T,367,4
AUTH-00000138,2025-08-18 04:09:20.592994,311480648386074,TIMEOUT,ROAMING_NOT_ALLOWED,MME-03,CELL-0096,EPS_AKA,Verizon,727,5
AUTH-00000139,2025-08-18 04:52:37.592994,312530157204198,SUCCESS,SUCCESS,MME-01,CELL-0019,EPS_AKA,Vodafone,130,0
AUTH-00000140,2025-08-18 05:21:08.592994,311480236548856,SUCCESS,SUCCESS,MME-05,CELL-0005,UMTS_AKA,AT&T,78,0
AUTH-00000141,2025-08-18 05:50:37.592994,310260153821960,TIMEOUT,DATABASE_ERROR,MME-05,CELL-0041,UMTS_AKA,None,460,4
AUTH-00000142,2025-08-18 06:16:17.592994,312530952824184,SUCCESS,SUCCESS,MME-01,CELL-0038,5G_AKA,Orange,603,0
AUTH-00000143,2025-08-18 06:34:08.592994,310260648848316,SUCCESS,SUCCESS,MME-01,CELL-0050,5G_AKA,None,156,0
AUTH-00000144,2025-08-18 07:57:43.592994,310260229424290,SUCCESS,SUCCESS,MME-03,CELL-0065,EAP_AKA,None,185,0
AUTH-00000145,2025-08-18 08:15:27.592994,311480764925440,SUCCESS,SUCCESS,MME-05,CELL-0074,UMTS_AKA,Verizon,105,0
AUTH-00000146,2025-08-18 09:02:45.592994,311480788630837,SUCCESS,SUCCESS,MME-04,CELL-0050,5G_AKA,Vodafone,239,0
AUTH-00000147,2025-08-18 09:06:34.592994,311480227502751,SUCCESS,SUCCESS,MME-01,CELL-0019,EAP_AKA,AT&T,55,0
AUTH-00000148,2025-08-18 09:26:12.592994,310260592672532,SUCCESS,SUCCESS,MME-01,CELL-0055,EAP_AKA,Verizon,85,0
AUTH-00000149,2025-08-18 09:30:05.592994,310160648854734,SUCCESS,SUCCESS,MME-01,CELL-0091,EAP_AKA,Vodafone,502,0
AUTH-00000150,2025-08-18 11:50:05.592994,312530832946985,SUCCESS,SUCCESS,MME-02,CELL-0050,EAP_AKA,Telstra,99,0
AUTH-00000151,2025-08-18 12:19:57.592994,310160941012722,TIMEOUT,SUBSCRIBER_UNKNOWN,MME-01,CELL-0057,5G_AKA,Verizon,2217,4
AUTH-00000152,2025-08-18 12:53:06.592994,312530690362741,SUCCESS,SUCCESS,MME-02,CELL-0016,5G_AKA,China Mobile,395,0
AUTH-00000153,2025-08-18 12:54:07.592994,312530693590168,SUCCESS,SUCCESS,MME-04,CELL-0035,EAP_AKA,Verizon,52,0
AUTH-00000154,2025-08-18 12:57:44.592994,311480737252352,SUCCESS,SUCCESS,MME-05,CELL-0006,5G_AKA,None,84,0
AUTH-00000155,2025-08-18 12:59:09.592994,312530320446386,TIMEOUT,AUTH_VECTOR_MISMATCH,MME-03,CELL-0013,UMTS_AKA,AT&T,948,2
AUTH-00000156,2025-08-18 13:07:03.592994,310260921730029,FAILURE,DATABASE_ERROR,MME-02,CELL-0033,EPS_AKA,None,377,4
AUTH-00000157,2025-08-18 13:46:29.592994,310260868656177,SUCCESS,SUCCESS,MME-03,CELL-0098,5G_AKA,Verizon,90,0
AUTH-00000158,2025-08-18 15:41:23.592994,311480676591699,SUCCESS,SUCCESS,MME-02,CELL-0039,5G_AKA,Verizon,134,0
AUTH-00000159,2025-08-18 15:48:40.592994,311480504830802,SUCCESS,SUCCESS,MME-01,CELL-0014,5G_AKA,China Mobile,257,0
AUTH-00000160,2025-08-18 16:13:14.592994,312530802897802,FAILURE,DATABASE_ERROR,MME-03,CELL-0008,EAP_AKA,Orange,1316,3
AUTH-00000161,2025-08-18 19:09:58.592994,312530224806319,SUCCESS,SUCCESS,MME-01,CELL-0065,EAP_AKA,Verizon,118,0
AUTH-00000162,2025-08-18 20:44:43.592994,310260550141012,SUCCESS,SUCCESS,MME-02,CELL-0071,EPS_AKA,Vodafone,191,0
AUTH-00000163,2025-08-18 21:59:01.592994,312530309740263,SUCCESS,SUCCESS,MME-05,CELL-0094,5G_AKA,AT&T,297,0
AUTH-00000164,2025-08-18 22:05:26.592994,311480593768210,SUCCESS,SUCCESS,MME-01,CELL-0033,5G_AKA,China Mobile,134,0
AUTH-00000165,2025-08-18 23:26:10.592994,310260712321053,SUCCESS,SUCCESS,MME-05,CELL-0100,EPS_AKA,Vodafone,69,0
AUTH-00000166,2025-08-19 00:18:29.592994,310260176917367,TIMEOUT,SYNC_FAILURE,MME-05,CELL-0086,5G_AKA,Verizon,551,1
AUTH-00000167,2025-08-19 01:58:48.592994,311480108108252,SUCCESS,SUCCESS,MME-01,CELL-0019,EPS_AKA,None,98,0
AUTH-00000168,2025-08-19 02:16:46.592994,312530775242770,REJECTED,DATABASE_ERROR,MME-02,CELL-0071,EAP_AKA,China Mobile,757,1
AUTH-00000169,2025-08-19 02:46:13.592994,311480838077777,SUCCESS,SUCCESS,MME-05,CELL-0059,UMTS_AKA,China Mobile,87,0
AUTH-00000170,2025-08-19 03:25:31.592994,311480381205411,SUCCESS,SUCCESS,MME-01,CELL-0001,5G_AKA,Orange,95,0
AUTH-00000171,2025-08-19 03:42:36.592994,312530683478665,REJECTED,SUBSCRIBER_UNKNOWN,MME-03,CELL-0036,UMTS_AKA,Vodafone,568,3
AUTH-00000172,2025-08-19 04:09:47.592994,310160651932221,SUCCESS,SUCCESS,MME-04,CELL-0045,UMTS_AKA,Verizon,207,0
AUTH-00000173,2025-08-19 04:51:42.592994,310260617513198,SUCCESS,SUCCESS,MME-05,CELL-0034,EPS_AKA,Vodafone,70,0
AUTH-00000174,2025-08-19 05:12:50.592994,310160653315470,FAILURE,SYNC_FAILURE,MME-05,CELL-0045,EAP_AKA,AT&T,621,1
AUTH-00000175,2025-08-19 05:28:43.592994,310260407336231,TIMEOUT,SYNC_FAILURE,MME-03,CELL-0050,EPS_AKA,China Mobile,491,3
AUTH-00000176,2025-08-19 05:32:26.592994,310160539987006,SUCCESS,SUCCESS,MME-03,CELL-0067,EAP_AKA,Orange,272,0
AUTH-00000177,2025-08-19 07:02:13.592994,312530753862646,SUCCESS,SUCCESS,MME-02,CELL-0012,EPS_AKA,Verizon,326,0
AUTH-00000178,2025-08-19 07:44:10.592994,312530274039770,SUCCESS,SUCCESS,MME-04,CELL-0040,UMTS_AKA,China Mobile,85,0
AUTH-00000179,2025-08-19 08:08:05.592994,311480768027711,REJECTED,AUTH_VECTOR_MISMATCH,MME-02,CELL-0049,EAP_AKA,Vodafone,852,4
AUTH-00000180,2025-08-19 08:14:31.592994,310160491851966,TIMEOUT,SYNC_FAILURE,MME-01,CELL-0076,UMTS_AKA,Vodafone,596,3
AUTH-00000181,2025-08-19 08:53:02.592994,310160531617789,SUCCESS,SUCCESS,MME-01,CELL-0100,5G_AKA,Vodafone,130,0
AUTH-00000182,2025-08-19 09:09:54.592994,310160463712153,FAILURE,ROAMING_NOT_ALLOWED,MME-01,CELL-0032,5G_AKA,AT&T,1625,4
