cell_id,enb_id,cell_name,site_id,latitude,longitude,region,market,technology,frequency_band,capacity_rating,neighbor_cells,tower_status
CELL_00013,eNB_0092,Site_6900_Sector_2,SITE_0400,47.253699143533005,-120.06393716181199,Southeast,Dense Urban,5G NSA,n71 (600MHz),High,"CELL_01444,CELL_01161,CELL_00771,CELL_01458,CELL_01167,CELL_01208,CELL_01083,CELL_00735",Active
CELL_00014,eNB_0188,Site_5804_Sector_3,SITE_0180,36.055254708060765,-120.9779369513969,West,Dense Urban,LTE,n71 (600MHz),Very High,"CELL_00781,CELL_00683,CELL_00955,CELL_01114,CELL_00394,CELL_00532",Active
CELL_00015,eNB_0081,Site_1643_Sector_2,SITE_0020,42.919215171535306,-121.06254756962727,West,Highway,5G NSA,n71 (600MHz),High,"CELL_01422,CELL_00573,CELL_00810,CELL_01333",Active
CELL_00016,eNB_0199,Site_8627_Sector_1,SITE_0532,40.06702115965149,-112.55410620759372,Pacific,Rural,5G NSA,Band 2 (1900MHz),Very High,"CELL_00828,CELL_00849,CELL_00564,CELL_00975,CELL_01240,CELL_00381,CELL_01348,CELL_01115",Active
CELL_00017,eNB_0099,Site_6977_Sector_2,SITE_0484,26.49439287539394,-71.45821301170157,Southwest,Rural,5G SA,Band 71 (600MHz),Medium,"CELL_00960,CELL_01221,CELL_01051,CELL_00013,CELL_01471,CELL_01473",Active
CELL_00018,eNB_0046,Site_6638_Sector_2,SITE_0428,31.05785436816554,-66.752085111937,Northeast,Suburban,5G SA,n41 (2.5GHz),Very High,"CELL_00856,CELL_01120,CELL_00128,CELL_01479,CELL_00171,CELL_00038,CELL_01129",Active
CELL_00019,eNB_0131,Site_1452_Sector_2,SITE_0320,47.39217697162438,-82.82693584875062,West,Rural,LTE,Band 12 (700MHz),Medium,"CELL_00100,CELL_00996,CELL_00258,CELL_01462",Active
CELL_00020,eNB_0041,Site_8364_Sector_3,SITE_0317,41.35623689708749,-66.076767061827,Southeast,Suburban,LTE,Band 2 (1900MHz),Low,"CELL_00863,CELL_01377,CELL_01079,CELL_01485,CELL_00010,CELL_00570,CELL_00400,CELL_01352",Active
CELL_00021,eNB_0031,Site_3529_Sector_1,SITE_0469,40.860959104793295,-112.00244613271438,Southeast,Urban,5G NSA,Band 2 (1900MHz),Medium,"CELL_01014,CELL_01094,CELL_00657,CELL_00507,CELL_01137,CELL_00351",Active
CELL_00022,eNB_0177,Site_5526_Sector_1,SITE_0178,34.7284781528287,-111.71423314206304,Pacific,Dense Urban,LTE,n71 (600MHz),Very High,"CELL_00279,CELL_01212,CELL_00667,CELL_00649,CELL_00863,CELL_01219,CELL_01468,CELL_00505",Active
CELL_00023,eNB_0144,Site_4147_Sector_2,SITE_0054,39.003685154394844,-82.680584190227,Northeast,Suburban,LTE,Band 12 (700MHz),Low,"CELL_00772,CELL_01463,CELL_01105,CELL_00598,CELL_00998,CELL_01495,CELL_00884",Active
CELL_00024,eNB_0156,Site_3487_Sector_3,SITE_0150,35.81716964666693,-112.19585838983605,Southwest,Dense Urban,5G SA,n41 (2.5GHz),High,"CELL_00597,CELL_00325,CELL_00145,CELL_00503,CELL_00965,CELL_00750",Active
CELL_00025,eNB_0043,Site_7061_Sector_3,SITE_0371,25.86585287553704,-77.45227077168387,Northeast,Dense Urban,LTE,Band 12 (700MHz),Very High,"CELL_00454,CELL_01011,CELL_00596,CELL_01292,CELL_00502,CELL_00839,CELL_00645",Active
CELL_00026,eNB_0071,Site_4209_Sector_3,SITE_0509,30.017215912919905,-88.27481521905402,Southeast,Dense Urban,5G NSA,Band 66 (AWS-3),Very High,"CELL_00639,CELL_00762,CELL_00079,CELL_00622,CELL_00284,CELL_00985,CELL_01079,CELL_00400",Degraded
CELL_00027,eNB_0078,Site_3244_Sector_2,SITE_0456,25.817641133142423,-119.61882565866054,Pacific,Suburban,LTE,Band 2 (1900MHz),High,"CELL_00994,CELL_01150,CELL_01302,CELL_00833,CELL_01129",Active
CELL_00028,eNB_0188,Site_2485_Sector_2,SITE_0321,45.94868493004705,-102.83936559326979,Southwest,Dense Urban,5G NSA,n71 (600MHz),High,"CELL_00363,CELL_00961,CELL_01144,CELL_00725",Active
CELL_00029,eNB_0096,Site_1804_Sector_2,SITE_0018,28.72794280639306,-87.35694300942936,West,Rural,5G NSA,Band 12 (700MHz),Medium,"CELL_01152,CELL_00138,CELL_00197,CELL_00983,CELL_01115",Active
CELL_00030,eNB_0027,Site_9491_Sector_1,SITE_0088,46.950783080592515,-106.0068622000789,Southwest,Suburban,LTE,Band 66 (AWS-3),Medium,"CELL_00619,CELL_00221,CELL_01195,CELL_01178,CELL_00231,CELL_01027",Active
CELL_00031,eNB_0199,Site_4969_Sector_2,SITE_0434,46.33780598103765,-113.87169351524862,Northeast,Dense Urban,LTE,Band 4 (AWS),Medium,"CELL_00884,CELL_00196,CELL_00872,CELL_00098,CELL_00261,CELL_00930",Active
CELL_00032,eNB_0176,Site_3002_Sector_1,SITE_0107,47.96901202459391,-108.76767699894411,West,Suburban,LTE,Band 66 (AWS-3),High,"CELL_00573,CELL_01059,CELL_00237,CELL_00227",Active
CELL_00033,eNB_0102,Site_4031_Sector_2,SITE_0361,30.042215259392428,-76.78147212469112,Northeast,Rural,5G SA,Band 12 (700MHz),High,"CELL_00726,CELL_00501,CELL_01269,CELL_01187,CELL_00505,CELL_00088",Active
CELL_00034,eNB_0027,Site_6150_Sector_3,SITE_0337,25.43788491447331,-84.29762884672512,West,Highway,LTE,Band 2 (1900MHz),Low,"CELL_00636,CELL_00151,CELL_01024,CELL_00966,CELL_00185,CELL_00876,CELL_00115",Active
CELL_00035,eNB_0178,Site_2839_Sector_1,SITE_0324,39.26942177121249,-76.19522043944362,Southeast,Rural,5G NSA,n41 (2.5GHz),High,"CELL_01029,CELL_00901,CELL_00416,CELL_00474,CELL_01419",Active
CELL_00036,eNB_0110,Site_9844_Sector_3,SITE_0249,43.65028357594085,-115.66575209003238,Northeast,Urban,5G SA,Band 71 (600MHz),Very High,"CELL_01213,CELL_00951,CELL_00141,CELL_01077",Active
CELL_00037,eNB_0029,Site_4537_Sector_3,SITE_0230,47.063323021267344,-115.86431978038266,West,Urban,5G SA,n41 (2.5GHz),Low,"CELL_00807,CELL_01387,CELL_01023,CELL_00010,CELL_00177,CELL_01349,CELL_01477",Degraded
CELL_00038,eNB_0126,Site_3242_Sector_2,SITE_0488,28.51901060775954,-124.36469710385464,Southeast,Suburban,LTE,Band 12 (700MHz),Low,"CELL_00585,CELL_01389,CELL_00290,CELL_01425,CELL_00447,CELL_00784,CELL_00351",Active
CELL_00039,eNB_0032,Site_1592_Sector_1,SITE_0534,31.332675293717617,-84.67350020166784,Midwest,Suburban,5G SA,Band 12 (700MHz),High,"CELL_00808,CELL_00421,CELL_00280,CELL_00135",Active
CELL_00040,eNB_0136,Site_1576_Sector_1,SITE_0108,41.7841564280256,-70.64975991701706,Northeast,Highway,5G SA,Band 12 (700MHz),Medium,"CELL_00233,CELL_01313,CELL_00253",Active
CELL_00041,eNB_0039,Site_3492_Sector_2,SITE_0102,31.067866313760184,-119.09887396803948,Northeast,Suburban,LTE,Band 12 (700MHz),High,"CELL_00594,CELL_00948,CELL_00163",Active
CELL_00042,eNB_0088,Site_7490_Sector_2,SITE_0013,33.27010068263573,-114.21505108983534,Pacific,Urban,5G SA,n41 (2.5GHz),Medium,"CELL_01083,CELL_00380,CELL_00777,CELL_00270,CELL_01456,CELL_00997,CELL_01385",Active
CELL_00043,eNB_0144,Site_3740_Sector_1,SITE_0398,47.94467392005157,-104.0719173021065,Southeast,Dense Urban,5G NSA,Band 66 (AWS-3),Medium,"CELL_00363,CELL_00913,CELL_01046,CELL_00850,CELL_00741,CELL_01487,CELL_00768",Active
CELL_00044,eNB_0029,Site_3958_Sector_3,SITE_0572,32.22946975238756,-74.23105950507372,West,Dense Urban,LTE,Band 66 (AWS-3),Medium,"CELL_00150,CELL_00478,CELL_00143,CELL_00321,CELL_00813",Active
CELL_00045,eNB_0072,Site_8065_Sector_1,SITE_0573,45.087645565868094,-74.94793843144,Midwest,Suburban,5G NSA,Band 2 (1900MHz),Low,"CELL_01252,CELL_00585,CELL_01451,CELL_00285,CELL_00724,CELL_00972,CELL_00106",Active
CELL_00046,eNB_0184,Site_8644_Sector_3,SITE_0389,44.64626782330408,-65.94685992942529,Northeast,Urban,LTE,n41 (2.5GHz),High,"CELL_00462,CELL_00741,CELL_01248,CELL_01241,CELL_00171,CELL_01291",Degraded
CELL_00047,eNB_0122,Site_7290_Sector_2,SITE_0272,43.68383739135461,-75.8060528283999,Pacific,Rural,LTE,n71 (600MHz),Medium,"CELL_00878,CELL_00017,CELL_00466,CELL_01423",Active
CELL_00048,eNB_0114,Site_4942_Sector_2,SITE_0526,32.21518979228118,-77.54084616359938,Southwest,Rural,5G SA,Band 4 (AWS),Low,"CELL_00134,CELL_00444,CELL_01131,CELL_00106,CELL_01381",Active
CELL_00049,eNB_0019,Site_8817_Sector_3,SITE_0274,35.44738022997901,-93.02494519982409,Southwest,Dense Urban,LTE,Band 2 (1900MHz),High,"CELL_00645,CELL_00372,CELL_00667,CELL_00169,CELL_01132,CELL_01178",Active
CELL_00050,eNB_0084,Site_8552_Sector_2,SITE_0032,26.46397902004832,-70.08520643008045,West,Rural,LTE,n41 (2.5GHz),Medium,"CELL_00648,CELL_01215,CELL_00424,CELL_01395,CELL_00944",Active
CELL_00051,eNB_0041,Site_9026_Sector_2,SITE_0217,41.28665658884374,-117.68588844024914,Southwest,Dense Urban,LTE,n71 (600MHz),Medium,"CELL_00783,CELL_00742,CELL_00763,CELL_00056",Degraded
CELL_00052,eNB_0071,Site_9352_Sector_1,SITE_0534,34.521844859089626,-82.6180550043996,Pacific,Rural,LTE,Band 2 (1900MHz),High,"CELL_00271,CELL_00270,CELL_01016",Active
CELL_00053,eNB_0079,Site_1272_Sector_3,SITE_0550,45.25142580095912,-73.56603964815399,Northeast,Suburban,5G NSA,Band 2 (1900MHz),High,"CELL_00363,CELL_00959,CELL_00858,CELL_01379,CELL_01226,CELL_01161,CELL_00033",Active
CELL_00054,eNB_0095,Site_3361_Sector_2,SITE_0055,40.79349090141567,-93.90711120334558,West,Suburban,5G SA,Band 4 (AWS),High,"CELL_00717,CELL_00316,CELL_00187,CELL_00393,CELL_00049,CELL_00487,CELL_01305",Active
CELL_00055,eNB_0183,Site_4021_Sector_3,SITE_0153,32.22039627890243,-118.39711119308198,Southeast,Highway,5G NSA,Band 4 (AWS),High,"CELL_00931,CELL_00294,CELL_00627,CELL_00687,CELL_00558,CELL_00491,CELL_00573",Active
CELL_00056,eNB_0038,Site_4117_Sector_3,SITE_0058,34.35986933227611,-107.06757428292838,Pacific,Dense Urban,5G NSA,n71 (600MHz),Low,"CELL_01197,CELL_00205,CELL_00969",Active
CELL_00057,eNB_0175,Site_3106_Sector_3,SITE_0314,32.9470464463354,-97.22068291938865,Southwest,Suburban,5G NSA,n41 (2.5GHz),Low,"CELL_01281,CELL_00081,CELL_00065,CELL_00942,CELL_01240,CELL_01133,CELL_01469",Active
CELL_00058,eNB_0158,Site_1080_Sector_2,SITE_0380,39.979265730774905,-100.74248612212419,Southeast,Suburban,LTE,n71 (600MHz),High,"CELL_00577,CELL_00240,CELL_01403,CELL_00439,CELL_00223",Active
CELL_00059,eNB_0182,Site_2342_Sector_1,SITE_0272,26.048106079985086,-116.88315254462167,Midwest,Dense Urban,LTE,Band 12 (700MHz),Medium,"CELL_01122,CELL_00529,CELL_01407,CELL_00399,CELL_00440,CELL_00788",Active
CELL_00060,eNB_0039,Site_4137_Sector_3,SITE_0545,38.76031948022785,-99.35543710738689,Southeast,Rural,LTE,Band 4 (AWS),High,"CELL_01417,CELL_00488,CELL_00393,CELL_00277,CELL_00746,CELL_00794,CELL_00947,CELL_00599",Active
CELL_00061,eNB_0031,Site_5293_Sector_2,SITE_0383,39.64254073349769,-120.66227506339726,Southeast,Suburban,LTE,Band 2 (1900MHz),Low,"CELL_00867,CELL_00760,CELL_00538,CELL_00846,CELL_01060",Active
CELL_00062,eNB_0190,Site_4363_Sector_2,SITE_0219,38.70522625371568,-88.63869149176931,West,Dense Urban,5G SA,Band 71 (600MHz),High,"CELL_00339,CELL_00135,CELL_00323,CELL_00123,CELL_00617,CELL_00967",Active
CELL_00063,eNB_0071,Site_6768_Sector_3,SITE_0227,47.40656993886464,-100.25883107739426,Southwest,Rural,5G NSA,Band 4 (AWS),High,"CELL_01303,CELL_00680,CELL_00417,CELL_00497,CELL_01003,CELL_01463,CELL_01169",Active
CELL_00064,eNB_0181,Site_6860_Sector_3,SITE_0282,42.6639676717273,-68.30401515312491,Southeast,Urban,5G NSA,Band 4 (AWS),High,"CELL_00105,CELL_00749,CELL_01032,CELL_01092",Maintenance
CELL_00065,eNB_0159,Site_8164_Sector_1,SITE_0115,29.235684525751473,-94.90803587451123,Southwest,Dense Urban,LTE,Band 66 (AWS-3),Medium,"CELL_01207,CELL_00700,CELL_00073",Active
CELL_00066,eNB_0133,Site_6459_Sector_1,SITE_0299,43.02237105846338,-110.33630731975845,Southeast,Highway,LTE,Band 12 (700MHz),High,"CELL_00993,CELL_00297,CELL_00434,CELL_00906,CELL_00650,CELL_00743,CELL_00939",Active
CELL_00067,eNB_0004,Site_8672_Sector_3,SITE_0002,46.51207136871319,-100.94800077908589,Midwest,Suburban,5G SA,Band 66 (AWS-3),Medium,"CELL_01421,CELL_00474,CELL_00974,CELL_00220,CELL_01052,CELL_01134",Active
CELL_00068,eNB_0014,Site_8672_Sector_1,SITE_0460,25.375594998656787,-116.53865946383586,Midwest,Urban,5G NSA,n41 (2.5GHz),Medium,"CELL_00277,CELL_00149,CELL_00666,CELL_00140,CELL_01394,CELL_01086,CELL_01281",Active
CELL_00069,eNB_0133,Site_8332_Sector_2,SITE_0477,33.06273072279604,-80.48181736321304,Northeast,Rural,LTE,Band 4 (AWS),Medium,"CELL_00607,CELL_00625,CELL_01404,CELL_00049",Active
CELL_00070,eNB_0062,Site_8380_Sector_1,SITE_0404,32.74154236573767,-106.71241651427079,Northeast,Highway,LTE,Band 12 (700MHz),Very High,"CELL_00585,CELL_00580,CELL_01443,CELL_00596,CELL_00498,CELL_00879",Active
CELL_00071,eNB_0095,Site_6625_Sector_2,SITE_0215,35.65305540869142,-109.04890535846346,Northeast,Suburban,5G NSA,Band 71 (600MHz),Low,"CELL_00607,CELL_01271,CELL_00242,CELL_00654,CELL_01175,CELL_00416,CELL_00221",Active
CELL_00072,eNB_0065,Site_8853_Sector_2,SITE_0289,40.59515887236497,-97.80217515578863,Midwest,Suburban,5G SA,Band 71 (600MHz),Medium,"CELL_01288,CELL_00733,CELL_00456,CELL_01020,CELL_00605,CELL_01318",Active
CELL_00073,eNB_0109,Site_9523_Sector_2,SITE_0328,40.99300968116662,-106.54759624238946,Pacific,Urban,5G NSA,Band 71 (600MHz),Very High,"CELL_00803,CELL_00486,CELL_00174,CELL_00334,CELL_00579,CELL_00468",Active
CELL_00074,eNB_0123,Site_1961_Sector_1,SITE_0542,29.652529235444362,-84.99082962376309,West,Rural,5G SA,Band 71 (600MHz),Medium,"CELL_00594,CELL_00519,CELL_00279,CELL_00052",Active
CELL_00075,eNB_0134,Site_5906_Sector_2,SITE_0294,26.550660166677268,-114.76767960339859,Midwest,Urban,5G NSA,Band 4 (AWS),High,"CELL_01390,CELL_00914,CELL_00620",Active
CELL_00076,eNB_0168,Site_5390_Sector_1,SITE_0169,36.365174698634036,-69.07392433323754,Southeast,Suburban,5G SA,n41 (2.5GHz),Medium,"CELL_00379,CELL_01083,CELL_01392,CELL_01191,CELL_00621,CELL_00619,CELL_00177,CELL_01442",Maintenance
CELL_00077,eNB_0070,Site_3104_Sector_2,SITE_0551,33.17192900039648,-81.52955526828934,Midwest,Urban,LTE,Band 4 (AWS),Medium,"CELL_00440,CELL_00699,CELL_00538,CELL_01404,CELL_01257,CELL_00131",Maintenance
CELL_00078,eNB_0156,Site_3283_Sector_1,SITE_0526,37.933877131757605,-113.02484748249766,Pacific,Dense Urban,5G NSA,Band 12 (700MHz),High,"CELL_00652,CELL_00368,CELL_00360,CELL_00370,CELL_00837",Active
CELL_00079,eNB_0109,Site_5656_Sector_1,SITE_0329,38.29526650109936,-85.59484470394821,Southeast,Rural,LTE,Band 4 (AWS),Low,"CELL_00423,CELL_01040,CELL_01279,CELL_00699,CELL_01487",Active
CELL_00080,eNB_0124,Site_8415_Sector_2,SITE_0497,28.6933076580765,-97.0299666302211,Pacific,Rural,LTE,Band 12 (700MHz),High,"CELL_00117,CELL_00393,CELL_01291,CELL_01011",Active
CELL_00081,eNB_0109,Site_7373_Sector_2,SITE_0347,27.3667311004128,-89.84360830303294,Southeast,Rural,5G SA,n71 (600MHz),Medium,"CELL_01286,CELL_00858,CELL_00322,CELL_00975,CELL_00768,CELL_00108",Active
CELL_00082,eNB_0014,Site_3490_Sector_2,SITE_0077,41.79254421358911,-74.61337461536799,West,Highway,5G SA,n41 (2.5GHz),High,"CELL_00326,CELL_01332,CELL_01327",Active
CELL_00083,eNB_0072,Site_3580_Sector_3,SITE_0588,37.404167646788714,-85.72838250426474,West,Highway,5G SA,n41 (2.5GHz),High,"CELL_01262,CELL_00091,CELL_00732,CELL_01065,CELL_01112,CELL_00207",Active
CELL_00084,eNB_0187,Site_9116_Sector_3,SITE_0516,32.56174080775742,-79.81520098532192,Southeast,Rural,5G NSA,n41 (2.5GHz),High,"CELL_00338,CELL_01168,CELL_01367,CELL_00644,CELL_00348,CELL_00264,CELL_00759,CELL_00009",Active
CELL_00085,eNB_0020,Site_4120_Sector_3,SITE_0353,30.959996674897468,-75.42758451200335,Northeast,Dense Urban,LTE,Band 71 (600MHz),High,"CELL_00771,CELL_00808,CELL_00315,CELL_00579",Active
CELL_00086,eNB_0033,Site_7043_Sector_2,SITE_0256,36.70919273609539,-78.27159270063572,Pacific,Urban,5G NSA,Band 66 (AWS-3),Very High,"CELL_00412,CELL_00421,CELL_01431,CELL_00091",Active
CELL_00087,eNB_0198,Site_1361_Sector_3,SITE_0259,45.39946481764177,-67.0034223519306,West,Suburban,LTE,n71 (600MHz),Very High,"CELL_00787,CELL_00176,CELL_00595,CELL_01416,CELL_01074",Active
CELL_00088,eNB_0155,Site_2836_Sector_1,SITE_0512,28.038762180046195,-80.36465374091642,Southwest,Highway,5G NSA,Band 2 (1900MHz),High,"CELL_01193,CELL_00357,CELL_01366,CELL_00053,CELL_00799",Active
CELL_00089,eNB_0041,Site_8491_Sector_2,SITE_0119,30.87398564674747,-69.17993253126897,Southwest,Dense Urban,LTE,Band 12 (700MHz),Low,"CELL_01393,CELL_00003,CELL_00657,CELL_01435,CELL_01374",Maintenance
CELL_00090,eNB_0178,Site_6199_Sector_3,SITE_0580,41.69668234221203,-112.78756309127336,Southwest,Rural,5G NSA,n71 (600MHz),Medium,"CELL_01036,CELL_00273,CELL_00870,CELL_00536,CELL_00982,CELL_00093,CELL_00009,CELL_01062",Active
CELL_00091,eNB_0024,Site_5384_Sector_3,SITE_0053,48.22174656836025,-73.48900754933379,Southeast,Urban,LTE,n41 (2.5GHz),Very High,"CELL_00470,CELL_01125,CELL_01333,CELL_00613,CELL_00740,CELL_00246",Active
CELL_00092,eNB_0189,Site_4209_Sector_2,SITE_0267,46.78095951715198,-123.25846626439547,Southeast,Highway,5G NSA,Band 4 (AWS),Medium,"CELL_00532,CELL_00469,CELL_00035,CELL_00044,CELL_01161,CELL_01445",Active
CELL_00093,eNB_0176,Site_8080_Sector_1,SITE_0462,48.27995014100122,-89.33324082756562,West,Urban,LTE,n41 (2.5GHz),High,"CELL_01181,CELL_01345,CELL_00038,CELL_00268,CELL_00306,CELL_01457,CELL_00178,CELL_01179",Active
CELL_00094,eNB_0023,Site_8679_Sector_3,SITE_0506,25.71866563788695,-115.0375663212897,West,Rural,5G SA,Band 2 (1900MHz),Medium,"CELL_00107,CELL_00843,CELL_00458,CELL_00565,CELL_00006,CELL_01242,CELL_00678",Active
CELL_00095,eNB_0016,Site_5830_Sector_1,SITE_0326,46.38631974112026,-120.02639734885224,Southeast,Dense Urban,LTE,Band 4 (AWS),Medium,"CELL_00858,CELL_01038,CELL_00122,CELL_00700,CELL_00227,CELL_01398,CELL_00936",Active
CELL_00096,eNB_0009,Site_1051_Sector_3,SITE_0262,36.72998477301195,-82.56196446183388,Northeast,Suburban,LTE,Band 71 (600MHz),Medium,"CELL_00447,CELL_00585,CELL_00721,CELL_00402,CELL_00453,CELL_00751,CELL_01029,CELL_01181",Active
CELL_00097,eNB_0072,Site_9999_Sector_2,SITE_0417,36.01810660670563,-119.2049786605735,Southeast,Urban,LTE,Band 12 (700MHz),Medium,"CELL_00609,CELL_00296,CELL_00982,CELL_00032,CELL_00452,CELL_00489,CELL_00473,CELL_00783",Active
CELL_00098,eNB_0007,Site_5188_Sector_3,SITE_0340,38.855387956988864,-123.41232228491026,Southwest,Suburban,LTE,Band 66 (AWS-3),Very High,"CELL_00807,CELL_00967,CELL_00259,CELL_00778,CELL_00746,CELL_00439",Active
CELL_00099,eNB_0145,Site_7653_Sector_1,SITE_0317,39.680281244713754,-72.10666981117821,Midwest,Urban,LTE,Band 66 (AWS-3),Medium,"CELL_00465,CELL_01023,CELL_00902",Active
CELL_00100,eNB_0010,Site_4515_Sector_1,SITE_0268,39.86454734678517,-95.08161695695728,Southeast,Dense Urban,5G SA,Band 71 (600MHz),Medium,"CELL_01497,CELL_00476,CELL_00629,CELL_01315,CELL_00918,CELL_00041,CELL_00566",Active
CELL_00101,eNB_0172,Site_5800_Sector_3,SITE_0487,43.6043228786082,-68.21282321870386,Southwest,Rural,5G SA,Band 12 (700MHz),High,"CELL_00235,CELL_00417,CELL_00198,CELL_00415,CELL_00904,CELL_01097",Active
CELL_00102,eNB_0112,Site_8851_Sector_3,SITE_0312,39.0289329655877,-87.61266165636604,Southwest,Dense Urban,LTE,n71 (600MHz),High,"CELL_00464,CELL_00274,CELL_00287,CELL_00075,CELL_00649,CELL_00720,CELL_01354",Active
CELL_00103,eNB_0123,Site_3146_Sector_2,SITE_0057,46.88511933620495,-103.65679845305883,Midwest,Dense Urban,5G NSA,Band 4 (AWS),Very High,"CELL_00673,CELL_00554,CELL_00278",Degraded
CELL_00104,eNB_0085,Site_5951_Sector_3,SITE_0023,39.41033198710635,-92.00224139231936,West,Rural,LTE,n41 (2.5GHz),Medium,"CELL_01222,CELL_00808,CELL_00650,CELL_01182,CELL_00999",Active
CELL_00105,eNB_0052,Site_3166_Sector_2,SITE_0572,35.831730298404366,-94.44660820240223,Southwest,Urban,5G NSA,Band 2 (1900MHz),High,"CELL_00091,CELL_01110,CELL_00394,CELL_00031,CELL_00688,CELL_01354",Degraded
CELL_00106,eNB_0061,Site_8191_Sector_1,SITE_0548,38.896468934812056,-90.69165003291066,Southeast,Rural,5G SA,Band 2 (1900MHz),Very High,"CELL_00899,CELL_00606,CELL_00553,CELL_01254,CELL_01009,CELL_01040,CELL_00128",Active
CELL_00107,eNB_0109,Site_6084_Sector_1,SITE_0509,41.52121150065262,-67.67784968880248,Midwest,Highway,LTE,Band 71 (600MHz),Very High,"CELL_01413,CELL_00522,CELL_00378,CELL_01314",Active
CELL_00108,eNB_0186,Site_5800_Sector_3,SITE_0367,41.415882819675055,-77.0726331831502,Southeast,Dense Urban,LTE,Band 12 (700MHz),High,"CELL_00787,CELL_01171,CELL_01176,CELL_01155",Active
CELL_00109,eNB_0143,Site_1553_Sector_3,SITE_0387,38.96713450448427,-78.48584620752617,West,Suburban,5G SA,Band 71 (600MHz),High,"CELL_00098,CELL_00426,CELL_00198,CELL_00705,CELL_00831,CELL_00942,CELL_01421,CELL_00281",Active
CELL_00110,eNB_0027,Site_2911_Sector_3,SITE_0212,37.692602898425214,-119.524281984258,Midwest,Urban,LTE,Band 4 (AWS),High,"CELL_01370,CELL_00522,CELL_01111,CELL_01431",Active
CELL_00111,eNB_0043,Site_5085_Sector_2,SITE_0546,36.29238981228187,-110.97200604208747,West,Suburban,LTE,Band 12 (700MHz),High,"CELL_00500,CELL_00790,CELL_00057,CELL_00317,CELL_00711,CELL_01437,CELL_00635,CELL_00177",Active
CELL_00112,eNB_0154,Site_7893_Sector_2,SITE_0581,43.84289828237404,-114.53381055487034,Midwest,Urban,5G SA,Band 66 (AWS-3),Low,"CELL_01124,CELL_00826,CELL_00335,CELL_00402",Maintenance
CELL_00113,eNB_0118,Site_5241_Sector_1,SITE_0442,47.41134286570334,-122.75029157638073,West,Suburban,5G SA,n41 (2.5GHz),Low,"CELL_01063,CELL_01367,CELL_01252",Active
