cause_code,cause_group,cause_description,severity,recommended_action,category
CC_0169,Transport,Cause code 169: Protocol error,Critical,Inspect transport network connectivity,Configuration
CC_0170,Miscellaneous,Cause code 170: Congestion detected,Major,Monitor for pattern recurrence,Hardware
CC_0171,Radio Network,Cause code 171: Authentication rejected,Warning,Update software to latest version,Authentication
CC_0172,Protocol,Cause code 172: Resource unavailable,Warning,Restart affected network element,Resource
CC_0173,NAS,Cause code 173: Radio link failure,Warning,Verify MME capacity and resources,Handover
CC_0174,NAS,Cause code 174: Protocol error,Minor,Update software to latest version,Hardware
CC_0175,Protocol,Cause code 175: Resource unavailable,Minor,Monitor for pattern recurrence,Handover
CC_0176,NAS,Cause code 176: Authentication rejected,Minor,Update software to latest version,Authentication
CC_0177,Transport,Cause code 177: Radio link failure,Warning,Restart affected network element,Handover
CC_0178,Miscellaneous,Cause code 178: Protocol error,Critical,Monitor for pattern recurrence,Configuration
CC_0179,Miscellaneous,Cause code 179: Resource unavailable,Major,Escalate to vendor support,Resource
CC_0180,NAS,Cause code 180: Resource unavailable,Major,Restart affected network element,Configuration
CC_0181,Radio Network,Cause code 181: Resource unavailable,Minor,Escalate to vendor support,Authentication
CC_0182,NAS,Cause code 182: Timeout occurred,Minor,Escalate to vendor support,Handover
CC_0183,Transport,Cause code 183: Resource unavailable,Minor,Restart affected network element,Authentication
CC_0184,Transport,Cause code 184: Authentication rejected,Warning,Verify MME capacity and resources,Authentication
CC_0185,Miscellaneous,Cause code 185: Hardware failure,Major,Verify MME capacity and resources,Resource
CC_0186,Protocol,Cause code 186: Resource unavailable,Warning,Escalate to vendor support,Hardware
CC_0187,Miscellaneous,Cause code 187: Hardware failure,Minor,Monitor for pattern recurrence,Handover
CC_0188,Radio Network,Cause code 188: Protocol error,Minor,Review subscriber authentication settings,Handover
CC_0189,Radio Network,Cause code 189: Configuration mismatch,Major,Monitor for pattern recurrence,Authentication
CC_0190,Radio Network,Cause code 190: Authentication rejected,Minor,Inspect transport network connectivity,Resource
CC_0191,Miscellaneous,Cause code 191: Authentication rejected,Minor,Review subscriber authentication settings,Handover
CC_0192,Protocol,Cause code 192: Timeout occurred,Major,Monitor for pattern recurrence,Hardware
CC_0193,Miscellaneous,Cause code 193: Timeout occurred,Warning,Escalate to vendor support,Hardware
CC_0194,Radio Network,Cause code 194: Hardware failure,Minor,Monitor for pattern recurrence,Configuration
CC_0195,Miscellaneous,Cause code 195: Hardware failure,Major,Review subscriber authentication settings,Configuration
CC_0196,Miscellaneous,Cause code 196: Congestion detected,Minor,Check radio conditions and interference,Authentication
CC_0197,Radio Network,Cause code 197: Resource unavailable,Critical,Check radio conditions and interference,Hardware
CC_0198,Transport,Cause code 198: Radio link failure,Minor,Escalate to vendor support,Resource
CC_0199,NAS,Cause code 199: Authentication rejected,Warning,Escalate to vendor support,Resource
CC_0200,Miscellaneous,Cause code 200: Resource unavailable,Warning,Check radio conditions and interference,Authentication
CC_0201,NAS,Cause code 201: Timeout occurred,Warning,Inspect transport network connectivity,Configuration
CC_0202,NAS,Cause code 202: Radio link failure,Major,Escalate to vendor support,Resource
CC_0203,Protocol,Cause code 203: Timeout occurred,Minor,Inspect transport network connectivity,Configuration
CC_0204,Transport,Cause code 204: Resource unavailable,Major,Inspect transport network connectivity,Resource
CC_0205,Transport,Cause code 205: Resource unavailable,Minor,Restart affected network element,Handover
CC_0206,Radio Network,Cause code 206: Configuration mismatch,Warning,Update software to latest version,Hardware
CC_0207,Miscellaneous,Cause code 207: Protocol error,Major,Inspect transport network connectivity,Hardware
CC_0208,Miscellaneous,Cause code 208: Authentication rejected,Critical,Update software to latest version,Handover
CC_0209,Miscellaneous,Cause code 209: Congestion detected,Warning,Inspect transport network connectivity,Handover
CC_0210,Miscellaneous,Cause code 210: Protocol error,Minor,Monitor for pattern recurrence,Authentication
CC_0211,Miscellaneous,Cause code 211: Timeout occurred,Minor,Update software to latest version,Authentication
CC_0212,Transport,Cause code 212: Radio link failure,Minor,Review subscriber authentication settings,Resource
CC_0213,Radio Network,Cause code 213: Hardware failure,Minor,Review subscriber authentication settings,Authentication
CC_0214,Protocol,Cause code 214: Configuration mismatch,Major,Review subscriber authentication settings,Authentication
CC_0215,Transport,Cause code 215: Resource unavailable,Minor,Verify MME capacity and resources,Handover
CC_0216,Miscellaneous,Cause code 216: Protocol error,Minor,Restart affected network element,Resource
CC_0217,Miscellaneous,Cause code 217: Protocol error,Major,Restart affected network element,Hardware
CC_0218,Radio Network,Cause code 218: Timeout occurred,Minor,Escalate to vendor support,Resource
CC_0219,Protocol,Cause code 219: Resource unavailable,Minor,Monitor for pattern recurrence,Authentication
CC_0220,Miscellaneous,Cause code 220: Configuration mismatch,Minor,Restart affected network element,Resource
CC_0221,Radio Network,Cause code 221: Hardware failure,Warning,Update software to latest version,Resource
CC_0222,Transport,Cause code 222: Authentication rejected,Warning,Monitor for pattern recurrence,Authentication
CC_0223,Transport,Cause code 223: Congestion detected,Warning,Update software to latest version,Resource
CC_0224,Miscellaneous,Cause code 224: Authentication rejected,Critical,Escalate to vendor support,Resource
CC_0225,Radio Network,Cause code 225: Resource unavailable,Minor,Update software to latest version,Handover
CC_0226,NAS,Cause code 226: Radio link failure,Warning,Review subscriber authentication settings,Resource
CC_0227,Miscellaneous,Cause code 227: Authentication rejected,Minor,Verify MME capacity and resources,Configuration
CC_0228,NAS,Cause code 228: Configuration mismatch,Warning,Update software to latest version,Authentication
CC_0229,Miscellaneous,Cause code 229: Timeout occurred,Warning,Escalate to vendor support,Hardware
CC_0230,Radio Network,Cause code 230: Resource unavailable,Critical,Update software to latest version,Handover
CC_0231,Radio Network,Cause code 231: Timeout occurred,Major,Check radio conditions and interference,Configuration
CC_0232,Protocol,Cause code 232: Resource unavailable,Minor,Restart affected network element,Handover
CC_0233,Transport,Cause code 233: Resource unavailable,Warning,Verify MME capacity and resources,Authentication
CC_0234,Radio Network,Cause code 234: Authentication rejected,Minor,Review subscriber authentication settings,Authentication
CC_0235,Protocol,Cause code 235: Resource unavailable,Minor,Review subscriber authentication settings,Authentication
CC_0236,Protocol,Cause code 236: Radio link failure,Minor,Inspect transport network connectivity,Authentication
CC_0237,Miscellaneous,Cause code 237: Configuration mismatch,Minor,Restart affected network element,Configuration
CC_0238,Transport,Cause code 238: Protocol error,Critical,Update software to latest version,Configuration
CC_0239,Radio Network,Cause code 239: Resource unavailable,Minor,Escalate to vendor support,Hardware
CC_0240,NAS,Cause code 240: Radio link failure,Warning,Inspect transport network connectivity,Authentication
CC_0241,Transport,Cause code 241: Resource unavailable,Warning,Verify MME capacity and resources,Handover
CC_0242,Transport,Cause code 242: Timeout occurred,Minor,Restart affected network element,Handover
CC_0243,Miscellaneous,Cause code 243: Timeout occurred,Warning,Inspect transport network connectivity,Hardware
CC_0244,Transport,Cause code 244: Radio link failure,Warning,Monitor for pattern recurrence,Authentication
CC_0245,NAS,Cause code 245: Congestion detected,Minor,Check radio conditions and interference,Authentication
CC_0246,Transport,Cause code 246: Authentication rejected,Minor,Verify MME capacity and resources,Authentication
CC_0247,NAS,Cause code 247: Configuration mismatch,Warning,Verify MME capacity and resources,Resource
CC_0248,Miscellaneous,Cause code 248: Resource unavailable,Minor,Update software to latest version,Hardware
CC_0249,Transport,Cause code 249: Authentication rejected,Critical,Monitor for pattern recurrence,Hardware
CC_0250,Protocol,Cause code 250: Resource unavailable,Major,Review subscriber authentication settings,Handover
CC_0251,Protocol,Cause code 251: Radio link failure,Minor,Review subscriber authentication settings,Handover
CC_0252,Miscellaneous,Cause code 252: Radio link failure,Warning,Check radio conditions and interference,Configuration
CC_0253,Miscellaneous,Cause code 253: Timeout occurred,Minor,Update software to latest version,Configuration
CC_0254,NAS,Cause code 254: Congestion detected,Minor,Restart affected network element,Handover
CC_0255,Protocol,Cause code 255: Authentication rejected,Minor,Escalate to vendor support,Resource
CC_0256,Protocol,Cause code 256: Resource unavailable,Warning,Review subscriber authentication settings,Handover
CC_0257,NAS,Cause code 257: Congestion detected,Warning,Update software to latest version,Configuration
CC_0258,Radio Network,Cause code 258: Authentication rejected,Major,Escalate to vendor support,Configuration
CC_0259,Transport,Cause code 259: Radio link failure,Minor,Verify MME capacity and resources,Resource
CC_0260,NAS,Cause code 260: Configuration mismatch,Minor,Escalate to vendor support,Configuration
CC_0261,Transport,Cause code 261: Protocol error,Minor,Verify MME capacity and resources,Handover
CC_0262,Radio Network,Cause code 262: Hardware failure,Minor,Escalate to vendor support,Authentication
CC_0263,NAS,Cause code 263: Protocol error,Major,Update software to latest version,Resource
CC_0264,NAS,Cause code 264: Configuration mismatch,Minor,Verify MME capacity and resources,Configuration
CC_0265,Transport,Cause code 265: Hardware failure,Minor,Review subscriber authentication settings,Resource
CC_0266,Transport,Cause code 266: Timeout occurred,Major,Check radio conditions and interference,Handover
CC_0267,Protocol,Cause code 267: Configuration mismatch,Critical,Monitor for pattern recurrence,Handover
CC_0268,Miscellaneous,Cause code 268: Resource unavailable,Minor,Update software to latest version,Hardware
CC_0269,Protocol,Cause code 269: Timeout occurred,Major,Monitor for pattern recurrence,Hardware
CC_0270,Miscellaneous,Cause code 270: Congestion detected,Warning,Verify MME capacity and resources,Authentication
CC_0271,NAS,Cause code 271: Authentication rejected,Major,Check radio conditions and interference,Configuration
CC_0272,Miscellaneous,Cause code 272: Timeout occurred,Major,Check radio conditions and interference,Configuration
CC_0273,Miscellaneous,Cause code 273: Timeout occurred,Minor,Inspect transport network connectivity,Hardware
CC_0274,Transport,Cause code 274: Timeout occurred,Critical,Verify MME capacity and resources,Handover
CC_0275,Transport,Cause code 275: Congestion detected,Major,Verify MME capacity and resources,Handover
CC_0276,Transport,Cause code 276: Hardware failure,Minor,Restart affected network element,Configuration
CC_0277,Radio Network,Cause code 277: Timeout occurred,Warning,Review subscriber authentication settings,Authentication
CC_0278,Miscellaneous,Cause code 278: Protocol error,Warning,Update software to latest version,Authentication
CC_0279,Transport,Cause code 279: Timeout occurred,Warning,Escalate to vendor support,Handover
CC_0280,Radio Network,Cause code 280: Hardware failure,Minor,Escalate to vendor support,Hardware
CC_0281,Transport,Cause code 281: Hardware failure,Minor,Review subscriber authentication settings,Hardware
CC_0282,Miscellaneous,Cause code 282: Resource unavailable,Warning,Review subscriber authentication settings,Configuration
CC_0283,Transport,Cause code 283: Congestion detected,Minor,Check radio conditions and interference,Configuration
CC_0284,Protocol,Cause code 284: Hardware failure,Critical,Check radio conditions and interference,Handover
CC_0285,Protocol,Cause code 285: Protocol error,Warning,Verify MME capacity and resources,Resource
CC_0286,Miscellaneous,Cause code 286: Authentication rejected,Major,Verify MME capacity and resources,Handover
CC_0287,Radio Network,Cause code 287: Protocol error,Major,Review subscriber authentication settings,Authentication
CC_0288,Radio Network,Cause code 288: Configuration mismatch,Major,Update software to latest version,Handover
CC_0289,Miscellaneous,Cause code 289: Hardware failure,Minor,Escalate to vendor support,Configuration
CC_0290,NAS,Cause code 290: Authentication rejected,Minor,Check radio conditions and interference,Resource
CC_0291,Radio Network,Cause code 291: Protocol error,Minor,Update software to latest version,Configuration
CC_0292,Transport,Cause code 292: Configuration mismatch,Critical,Review subscriber authentication settings,Hardware
CC_0293,Transport,Cause code 293: Congestion detected,Warning,Review subscriber authentication settings,Resource
CC_0294,Protocol,Cause code 294: Radio link failure,Warning,Restart affected network element,Hardware
CC_0295,NAS,Cause code 295: Congestion detected,Minor,Inspect transport network connectivity,Resource
CC_0296,Miscellaneous,Cause code 296: Protocol error,Minor,Escalate to vendor support,Authentication
CC_0297,Transport,Cause code 297: Congestion detected,Major,Restart affected network element,Handover
CC_0298,Protocol,Cause code 298: Configuration mismatch,Critical,Check radio conditions and interference,Resource
CC_0299,Protocol,Cause code 299: Resource unavailable,Minor,Inspect transport network connectivity,Configuration
CC_0300,Protocol,Cause code 300: Hardware failure,Minor,Inspect transport network connectivity,Authentication
CC_0301,Radio Network,Cause code 301: Timeout occurred,Warning,Escalate to vendor support,Resource
CC_0302,Transport,Cause code 302: Resource unavailable,Minor,Monitor for pattern recurrence,Authentication
CC_0303,Transport,Cause code 303: Authentication rejected,Minor,Review subscriber authentication settings,Hardware
CC_0304,NAS,Cause code 304: Resource unavailable,Critical,Check radio conditions and interference,Resource
CC_0305,Radio Network,Cause code 305: Radio link failure,Major,Review subscriber authentication settings,Handover
CC_0306,Protocol,Cause code 306: Radio link failure,Warning,Restart affected network element,Configuration
CC_0307,NAS,Cause code 307: Protocol error,Warning,Check radio conditions and interference,Configuration
CC_0308,Radio Network,Cause code 308: Protocol error,Minor,Update software to latest version,Hardware
CC_0309,Radio Network,Cause code 309: Timeout occurred,Major,Monitor for pattern recurrence,Handover
