vendor,equipment_model,technology,software_version,baseline_prb_utilization,baseline_connection_success_rate,known_issues,optimization_recommendations
Nokia,Nokia-LTE-2,LTE,v6.5.1,43.77535078392747,98.3499493883262,Software version compatibility issues with legacy core network elements for Nokia LTE,Configure dynamic spectrum sharing parameters for LTE efficiency on Nokia equipment
Nokia,Nokia-LTE-3,LTE,v7.4.4,53.56775981809741,98.72187477341939,Nokia LTE RAN showing elevated signaling load during mass attach events,Upgrade Nokia LTE software to latest patch release for improved handover performance
Nokia,Nokia-5G-1,5G NR,v11.5.13,47.53314859958215,98.34938675907503,Known memory leak in Nokia 5G NR software causing periodic performance degradation,Configure dynamic spectrum sharing parameters for 5G NR efficiency on Nokia equipment
Nokia,Nokia-5G-2,5G NR,v8.7.16,47.83384680173143,99.3924894981056,Known memory leak in Nokia 5G NR software causing periodic performance degradation,Configure dynamic spectrum sharing parameters for 5G NR efficiency on Nokia equipment
Nokia,Nokia-5G-3,5G NR,v11.8.9,42.439403100433466,97.54820266902107,Known memory leak in Nokia 5G NR software causing periodic performance degradation,Implement carrier aggregation tuning for Nokia 5G NR to optimize throughput
Nokia,Nokia-LTE-A-1,LTE,v11.0.16,62.10378077355755,98.7398024579599,Nokia LTE RAN showing elevated signaling load during mass attach events,Configure dynamic spectrum sharing parameters for LTE efficiency on Nokia equipment
Nokia,Nokia-LTE-A-2,LTE,v10.0.7,61.31907447276297,98.71488461731936,Known memory leak in Nokia LTE software causing periodic performance degradation,Upgrade Nokia LTE software to latest patch release for improved handover performance
Nokia,Nokia-LTE-A-3,LTE,v10.9.16,46.85237973583056,97.56946995352219,Nokia LTE equipment experiencing intermittent handover failures in high-mobility scenarios,Adjust PRB allocation algorithm parameters for better load balancing on Nokia LTE cells
Samsung,Samsung-LTE-1,LTE,v11.3.2,62.419824453123375,97.48005830856067,Software version compatibility issues with legacy core network elements for Samsung LTE,Upgrade Samsung LTE software to latest patch release for improved handover performance
Samsung,Samsung-LTE-2,LTE,v11.9.19,56.42906861924521,97.75898020793383,LTE carrier aggregation instability during peak traffic periods on Samsung equipment,Configure dynamic spectrum sharing parameters for LTE efficiency on Samsung equipment
Samsung,Samsung-LTE-3,LTE,v7.1.13,49.140001071024436,98.51734742861895,Samsung LTE RAN showing elevated signaling load during mass attach events,Enable advanced interference mitigation features for LTE deployments in dense areas
Samsung,Samsung-5G-1,5G NR,v9.9.16,60.72668955334561,97.10668088776153,Samsung 5G NR RAN showing elevated signaling load during mass attach events,Adjust PRB allocation algorithm parameters for better load balancing on Samsung 5G NR cells
Samsung,Samsung-5G-2,5G NR,v10.4.8,57.273743959212695,98.13838787116741,Samsung 5G NR RAN showing elevated signaling load during mass attach events,Upgrade Samsung 5G NR software to latest patch release for improved handover performance
Samsung,Samsung-5G-3,5G NR,v11.3.1,57.7281298787046,97.67858657664958,Software version compatibility issues with legacy core network elements for Samsung 5G NR,Configure dynamic spectrum sharing parameters for 5G NR efficiency on Samsung equipment
Samsung,Samsung-LTE-A-1,LTE,v11.1.9,42.44652309963327,98.30400298834985,Samsung LTE RAN showing elevated signaling load during mass attach events,Adjust PRB allocation algorithm parameters for better load balancing on Samsung LTE cells
Samsung,Samsung-LTE-A-2,LTE,v5.8.3,49.223472791722145,98.4205632872411,Samsung LTE RAN showing elevated signaling load during mass attach events,Adjust PRB allocation algorithm parameters for better load balancing on Samsung LTE cells
Samsung,Samsung-LTE-A-3,LTE,v10.5.17,56.81405406998763,97.10310523132375,Samsung LTE RAN showing elevated signaling load during mass attach events,Configure dynamic spectrum sharing parameters for LTE efficiency on Samsung equipment
