Performance ID,Campaign Name,Asset ID,Date,Channel,Region,Audience Segment,Impressions,Clicks,Conversions,Engagement Rate,Conversion Rate,Spend,Revenue
CP-107,Year-End Review 2024,BA-1214,2024-03-24,Email,Global,Creative Professional,15395,243,23,1.58,9.47,150.26,1461.96
CP-108,Year-End Review 2024,BA-1241,2024-03-24,Display Ads,EMEA,SMB,76843,4418,121,5.75,2.74,267.92,16032.28
CP-109,Year-End Review 2024,BA-1131,2024-03-25,Video,EMEA,Creative Professional,14480,228,6,1.57,2.63,143.20,770.25
CP-110,Year-End Review 2024,BA-1131,2024-03-25,Display Ads,EMEA,Creative Professional,113368,1448,64,1.28,4.42,719.41,12400.60
CP-111,Year-End Review 2024,BA-1214,2024-03-25,Video,EMEA,Consumer,14288,701,65,4.91,9.27,140.81,13541.60
CP-112,Year-End Review 2024,BA-1214,2024-03-25,Web,EMEA,Creative Professional,42844,496,32,1.16,6.45,259.38,4680.64
CP-113,Year-End Review 2024,BA-1241,2024-03-25,Web,EMEA,Developer,32929,1875,79,5.69,4.21,114.00,7777.51
CP-114,Year-End Review 2024,BA-1131,2024-03-26,Web,EMEA,Creative Professional,35670,945,59,2.65,6.24,327.33,11556.84
CP-115,Year-End Review 2024,BA-1131,2024-03-26,Print,EMEA,Enterprise,21890,674,53,3.08,7.86,158.28,8960.52
CP-116,Year-End Review 2024,BA-1131,2024-03-26,Video,LATAM,Developer,9743,544,28,5.58,5.15,82.09,1495.20
CP-117,Year-End Review 2024,BA-1214,2024-03-26,Email,Global,Creative Professional,14132,579,41,4.10,7.08,46.25,10237.00
CP-118,Year-End Review 2024,BA-1241,2024-03-26,Web,North America,SMB,21852,285,24,1.30,8.42,136.29,4693.92
CP-119,Year-End Review 2024,BA-1241,2024-03-26,Print,North America,Enterprise,9576,332,15,3.47,4.52,60.09,3474.68
CP-120,Year-End Review 2024,BA-1131,2024-03-27,Social Media,LATAM,Consumer,44152,703,46,1.59,6.54,405.51,4484.87
CP-121,Year-End Review 2024,BA-1131,2024-03-27,Email,Global,Creative Professional,16864,838,38,4.97,4.53,95.55,4722.13
CP-122,Year-End Review 2024,BA-1214,2024-03-27,Social Media,North America,Creative Professional,26158,1378,131,5.27,9.51,208.38,11917.06
CP-123,Year-End Review 2024,BA-1214,2024-03-27,Web,LATAM,Enterprise,16456,749,50,4.55,6.68,121.35,3650.21
CP-124,Year-End Review 2024,BA-1214,2024-03-27,Video,EMEA,Creative Professional,15115,856,78,5.66,9.11,59.20,15317.55
CP-125,Year-End Review 2024,BA-1241,2024-03-27,Display Ads,Global,Enterprise,78989,852,50,1.08,5.87,495.55,7352.76
CP-126,Year-End Review 2024,BA-1241,2024-03-27,Web,LATAM,Consumer,31547,1323,65,4.19,4.91,275.79,13032.57
CP-127,Year-End Review 2024,BA-1241,2024-03-27,Social Media,North America,Creative Professional,45849,2395,197,5.22,8.23,119.96,30398.01
CP-128,Year-End Review 2024,BA-1131,2024-03-28,Display Ads,APAC,Developer,61762,2734,250,4.43,9.14,312.63,40681.72
CP-129,Year-End Review 2024,BA-1131,2024-03-28,Web,LATAM,Developer,28648,635,43,2.22,6.77,111.71,4768.48
CP-130,Year-End Review 2024,BA-1131,2024-03-28,Email,Global,Consumer,12495,717,15,5.74,2.09,105.74,2093.34
CP-131,Year-End Review 2024,BA-1214,2024-03-28,Web,LATAM,Developer,15436,213,17,1.38,7.98,82.71,3610.76
CP-132,Year-End Review 2024,BA-1241,2024-03-28,Video,EMEA,Developer,12620,310,13,2.46,4.19,109.06,1503.63
CP-133,Year-End Review 2024,BA-1241,2024-03-28,Social Media,Global,Enterprise,27449,767,55,2.79,7.17,182.42,13133.82
CP-134,Year-End Review 2024,BA-1131,2024-03-29,Web,EMEA,Creative Professional,36198,1864,144,5.15,7.73,100.10,18153.53
CP-135,Year-End Review 2024,BA-1214,2024-03-29,Email,North America,SMB,29649,1162,91,3.92,7.83,158.75,18555.87
CP-136,Year-End Review 2024,BA-1214,2024-03-29,Display Ads,APAC,Enterprise,66158,1001,86,1.51,8.59,555.25,14163.94
CP-137,Year-End Review 2024,BA-1241,2024-03-29,Display Ads,Global,Developer,97575,4068,146,4.17,3.59,523.46,16078.21
CP-138,Year-End Review 2024,BA-1241,2024-03-29,Print,LATAM,Consumer,20211,910,21,4.50,2.31,199.20,4181.33
CP-139,Year-End Review 2024,BA-1241,2024-03-29,Video,Global,SMB,15336,913,62,5.95,6.79,138.41,11153.29
CP-140,Year-End Review 2024,BA-1131,2024-03-30,Email,LATAM,Developer,19325,676,43,3.50,6.36,171.95,5156.19
CP-141,Year-End Review 2024,BA-1131,2024-03-30,Social Media,EMEA,Creative Professional,27419,1463,145,5.34,9.91,74.97,33193.02
CP-142,Year-End Review 2024,BA-1214,2024-03-30,Social Media,LATAM,Consumer,54988,1101,61,2.00,5.54,128.65,13422.24
CP-143,Year-End Review 2024,BA-1214,2024-03-30,Print,Global,SMB,13638,219,17,1.61,7.76,133.83,1844.64
CP-144,Year-End Review 2024,BA-1214,2024-03-30,Display Ads,North America,SMB,89539,4011,257,4.48,6.41,247.65,35411.38
CP-145,Year-End Review 2024,BA-1241,2024-03-30,Social Media,LATAM,SMB,54477,1519,130,2.79,8.56,514.57,22895.34
CP-146,Year-End Review 2024,BA-1241,2024-03-30,Email,North America,Creative Professional,10930,153,6,1.40,3.92,96.10,1496.28
CP-147,Year-End Review 2024,BA-1131,2024-03-31,Web,EMEA,Consumer,38843,1456,59,3.75,4.05,224.29,4524.56
CP-148,Year-End Review 2024,BA-1214,2024-03-31,Print,North America,Creative Professional,12095,610,14,5.04,2.30,31.96,3402.64
CP-149,Year-End Review 2024,BA-1241,2024-03-31,Display Ads,APAC,Creative Professional,72554,893,75,1.23,8.40,382.50,11245.95
CP-150,Year-End Review 2024,BA-1241,2024-03-31,Video,APAC,Creative Professional,16376,962,74,5.87,7.69,63.91,9851.13
CP-151,Year-End Review 2024,BA-1131,2024-04-01,Video,EMEA,Developer,15756,533,13,3.38,2.44,74.38,2698.78
CP-152,Year-End Review 2024,BA-1131,2024-04-01,Email,LATAM,SMB,11752,578,24,4.92,4.15,63.77,5863.70
CP-153,Year-End Review 2024,BA-1214,2024-04-01,Print,EMEA,Enterprise,18695,604,24,3.23,3.97,136.81,5208.57
CP-154,Year-End Review 2024,BA-1241,2024-04-01,Social Media,APAC,SMB,60260,1353,78,2.25,5.76,376.43,19445.87
CP-155,Year-End Review 2024,BA-1241,2024-04-01,Print,North America,Consumer,14289,855,84,5.98,9.82,141.97,5542.45
CP-156,Year-End Review 2024,BA-1241,2024-04-01,Display Ads,LATAM,Consumer,116173,2669,263,2.30,9.85,733.62,20993.34
CP-157,Year-End Review 2024,BA-1131,2024-04-02,Email,LATAM,Creative Professional,19746,1136,37,5.75,3.26,63.95,8453.17
CP-158,Year-End Review 2024,BA-1131,2024-04-02,Video,North America,SMB,19109,400,36,2.09,9.00,63.00,2628.55
CP-159,Year-End Review 2024,BA-1214,2024-04-02,Email,North America,Enterprise,14878,317,6,2.13,1.89,101.80,367.58
CP-160,Year-End Review 2024,BA-1241,2024-04-02,Email,North America,Consumer,12808,288,17,2.25,5.90,110.71,3252.02
CP-161,Year-End Review 2024,BA-1131,2024-04-03,Print,EMEA,Enterprise,21680,352,30,1.62,8.52,54.98,6884.32
CP-162,Year-End Review 2024,BA-1131,2024-04-03,Video,EMEA,Creative Professional,12669,515,16,4.07,3.11,26.56,2556.74
CP-163,Year-End Review 2024,BA-1214,2024-04-03,Display Ads,APAC,Enterprise,84043,2373,136,2.82,5.73,416.70,29280.96
CP-164,Year-End Review 2024,BA-1214,2024-04-03,Social Media,APAC,Developer,67300,1438,94,2.14,6.54,440.04,9978.21
CP-165,Year-End Review 2024,BA-1241,2024-04-03,Email,EMEA,Developer,29363,338,15,1.15,4.44,172.32,2923.24
CP-166,Year-End Review 2024,BA-1131,2024-04-04,Print,LATAM,Enterprise,9775,569,29,5.82,5.10,44.45,2181.82
CP-167,Year-End Review 2024,BA-1131,2024-04-04,Web,LATAM,Developer,35134,1344,129,3.83,9.60,74.11,27724.24
CP-168,Year-End Review 2024,BA-1131,2024-04-04,Email,EMEA,Developer,29573,408,21,1.38,5.15,249.66,3738.16
CP-169,Year-End Review 2024,BA-1214,2024-04-04,Display Ads,APAC,Creative Professional,87440,3663,145,4.19,3.96,644.30,18520.19
CP-170,Year-End Review 2024,BA-1214,2024-04-04,Web,EMEA,Consumer,34130,1383,137,4.05,9.91,339.50,28511.46
CP-171,Year-End Review 2024,BA-1214,2024-04-04,Print,Global,Developer,7570,450,16,5.94,3.56,65.10,1607.10
CP-172,Year-End Review 2024,BA-1241,2024-04-04,Print,EMEA,Consumer,17555,486,44,2.77,9.05,107.09,2933.21
CP-173,Year-End Review 2024,BA-1241,2024-04-04,Video,Global,Enterprise,11313,359,24,3.17,6.69,84.59,5868.18
CP-174,Year-End Review 2024,BA-1241,2024-04-04,Email,Global,Consumer,22756,1268,28,5.57,2.21,76.33,1745.44
CP-175,Year-End Review 2024,BA-1131,2024-04-05,Email,LATAM,Enterprise,29684,1541,43,5.19,2.79,198.02,10371.61
CP-176,Year-End Review 2024,BA-1131,2024-04-05,Web,EMEA,Creative Professional,21818,738,18,3.38,2.44,174.76,1485.99
CP-177,Year-End Review 2024,BA-1214,2024-04-05,Social Media,North America,Developer,37463,1641,50,4.38,3.05,241.04,6477.27
CP-178,Year-End Review 2024,BA-1214,2024-04-05,Print,Global,SMB,16049,587,47,3.66,8.01,64.94,4254.86
CP-179,Year-End Review 2024,BA-1241,2024-04-05,Display Ads,North America,SMB,70946,2077,178,2.93,8.57,562.67,29475.38
CP-180,Year-End Review 2024,BA-1131,2024-04-06,Video,Global,SMB,16178,536,14,3.31,2.61,43.98,1670.55
CP-181,Year-End Review 2024,BA-1131,2024-04-06,Print,North America,Creative Professional,19181,1138,102,5.93,8.96,76.99,7161.89
CP-182,Year-End Review 2024,BA-1131,2024-04-06,Web,Global,Creative Professional,41756,827,40,1.98,4.84,196.59,8597.13
CP-183,Year-End Review 2024,BA-1214,2024-04-06,Web,APAC,Consumer,27177,307,25,1.13,8.14,66.32,4651.82
CP-184,Year-End Review 2024,BA-1214,2024-04-06,Print,APAC,Creative Professional,20092,279,6,1.39,2.15,111.95,1222.64
CP-185,Year-End Review 2024,BA-1214,2024-04-06,Email,Global,Enterprise,27377,621,56,2.27,9.02,191.96,9149.69
CP-186,Year-End Review 2024,BA-1241,2024-04-06,Social Media,EMEA,Enterprise,49996,1289,88,2.58,6.83,442.21,16412.24
CP-187,Year-End Review 2024,BA-1131,2024-04-07,Web,EMEA,Consumer,34839,762,59,2.19,7.74,215.14,3863.83
CP-188,Year-End Review 2024,BA-1131,2024-04-07,Video,APAC,Consumer,17921,647,55,3.61,8.50,112.28,7968.79
CP-189,Year-End Review 2024,BA-1214,2024-04-07,Display Ads,Global,Consumer,103503,5525,321,5.34,5.81,393.23,36409.82
CP-190,Year-End Review 2024,BA-1214,2024-04-07,Web,North America,Creative Professional,43471,1882,113,4.33,6.00,166.28,12154.96
CP-191,Year-End Review 2024,BA-1214,2024-04-07,Video,North America,Developer,16914,537,51,3.17,9.50,136.92,4391.28
CP-192,Year-End Review 2024,BA-1241,2024-04-07,Web,APAC,Developer,33038,895,22,2.71,2.46,95.72,5313.87
CP-193,Year-End Review 2024,BA-1241,2024-04-07,Email,Global,Developer,13272,734,25,5.53,3.41,125.28,3875.14
CP-194,Year-End Review 2024,BA-1241,2024-04-07,Print,North America,SMB,8425,492,37,5.84,7.52,47.62,6263.77
CP-195,Year-End Review 2024,BA-1131,2024-04-08,Video,APAC,Developer,15034,391,37,2.60,9.46,100.97,9201.80
CP-196,Year-End Review 2024,BA-1131,2024-04-08,Display Ads,APAC,Developer,67734,2034,46,3.00,2.26,309.81,8277.27
CP-197,Year-End Review 2024,BA-1214,2024-04-08,Email,North America,Enterprise,21449,675,28,3.15,4.15,171.77,2209.69
CP-198,Year-End Review 2024,BA-1214,2024-04-08,Print,LATAM,SMB,11338,520,22,4.59,4.23,66.20,3197.92
CP-199,Year-End Review 2024,BA-1241,2024-04-08,Web,EMEA,Creative Professional,41410,825,74,1.99,8.97,342.92,17865.73
CP-200,Year-End Review 2024,BA-1131,2024-04-09,Social Media,APAC,Consumer,25399,642,26,2.53,4.05,80.77,5117.49
CP-201,Year-End Review 2024,BA-1214,2024-04-09,Web,EMEA,Creative Professional,16453,213,11,1.29,5.16,87.08,2384.20
CP-202,Year-End Review 2024,BA-1214,2024-04-09,Social Media,APAC,Developer,33679,1710,142,5.08,8.30,184.86,17177.08
CP-203,Year-End Review 2024,BA-1241,2024-04-09,Web,EMEA,Enterprise,17490,745,22,4.26,2.95,138.67,3365.44
CP-204,Year-End Review 2024,BA-1131,2024-04-10,Print,North America,SMB,14189,790,32,5.57,4.05,104.29,3924.94
CP-205,Year-End Review 2024,BA-1214,2024-04-10,Social Media,EMEA,SMB,54489,2308,207,4.24,8.97,541.32,14654.14
CP-206,Year-End Review 2024,BA-1214,2024-04-10,Email,EMEA,Enterprise,26248,656,65,2.50,9.91,146.54,6854.37
CP-207,Year-End Review 2024,BA-1214,2024-04-10,Display Ads,North America,Creative Professional,79685,2346,89,2.94,3.79,245.77,21664.09
CP-208,Year-End Review 2024,BA-1241,2024-04-10,Social Media,EMEA,Developer,66314,3138,180,4.73,5.74,339.28,40972.29
CP-209,Year-End Review 2024,BA-1131,2024-04-11,Email,APAC,Developer,25151,626,15,2.49,2.40,103.48,3695.61
CP-210,Year-End Review 2024,BA-1214,2024-04-11,Video,Global,Developer,17834,652,13,3.66,1.99,140.11,2190.22
CP-211,Year-End Review 2024,BA-1214,2024-04-11,Email,EMEA,Enterprise,29754,940,30,3.16,3.19,270.37,5033.91
