Event ID,Asset ID,Timestamp,Action Type,User ID,Department,Device Type,Duration Seconds,Session ID
AE-14392,BA-1256,2024-01-01T18:21:50.164Z,Comment Added,user-1084,Marketing,Desktop,,session-6490
AE-4169,BA-1075,2024-01-01T18:45:42.582Z,Approved,user-1374,Product,Tablet,,session-663
AE-10392,BA-1185,2024-01-01T20:30:27.467Z,Rejected,user-1177,Digital,Mobile,,session-177
AE-14230,BA-1253,2024-01-01T21:06:43.920Z,View,user-1426,Brand Management,Mobile,331,session-9360
AE-7550,BA-1133,2024-01-01T21:57:33.807Z,Rejected,user-1394,Sales,Mobile,,session-3621
AE-5535,BA-1100,2024-01-01T22:14:07.355Z,Edit Request,user-1073,Brand Management,Mobile,452,session-8221
AE-10576,BA-1187,2024-01-01T22:37:13.340Z,Approved,user-1398,Creative,Mobile,,session-4398
AE-1038,BA-1020,2024-01-01T22:46:43.812Z,Rejected,user-1045,Sales,Mobile,,session-7301
AE-5629,BA-1101,2024-01-02T00:04:53.885Z,Rejected,user-1315,Marketing,Desktop,,session-5291
AE-10351,BA-1184,2024-01-02T00:57:09.866Z,Comment Added,user-1445,Regional Marketing,Tablet,,session-6184
AE-1860,BA-1034,2024-01-02T01:20:10.639Z,Comment Added,user-1171,Sales,Desktop,,session-1268
AE-15179,BA-1274,2024-01-02T01:38:08.364Z,Approved,user-1221,Regional Marketing,Desktop,,session-1253
AE-3157,BA-1056,2024-01-02T01:48:42.032Z,Edit Request,user-1150,Marketing,Mobile,1734,session-2673
AE-1829,BA-1034,2024-01-02T02:35:18.228Z,View,user-1235,Brand Management,Desktop,74,session-3534
AE-11155,BA-1199,2024-01-02T03:52:04.074Z,Edit Request,user-1448,Creative,Tablet,3667,session-4990
AE-13540,BA-1243,2024-01-02T05:04:06.737Z,Approved,user-1222,Digital,Desktop,,session-3231
AE-10987,BA-1197,2024-01-02T05:05:06.823Z,Edit Request,user-1168,Brand Management,Desktop,3073,session-1435
AE-3260,BA-1058,2024-01-02T06:03:46.899Z,Approval Submitted,user-1415,Product,Tablet,,session-7112
AE-6809,BA-1120,2024-01-02T06:34:11.212Z,Comment Added,user-1048,Sales,Tablet,,session-614
AE-14038,BA-1250,2024-01-02T07:17:25.952Z,Approval Submitted,user-1216,Creative,Desktop,,session-8218
AE-12731,BA-1230,2024-01-02T09:20:52.998Z,View,user-1291,Product,Tablet,253,session-8751
AE-4827,BA-1088,2024-01-02T11:47:59.770Z,View,user-1369,Sales,Tablet,220,session-7721
AE-11783,BA-1211,2024-01-02T12:03:12.724Z,Comment Added,user-1485,Brand Management,Mobile,,session-914
AE-4752,BA-1087,2024-01-02T12:23:21.606Z,Approval Submitted,user-1002,Regional Marketing,Tablet,,session-5441
AE-3112,BA-1056,2024-01-02T12:34:59.072Z,Approval Submitted,user-1385,Regional Marketing,Tablet,,session-9239
AE-11417,BA-1204,2024-01-02T12:58:27.143Z,Rejected,user-1457,Digital,Tablet,,session-9551
AE-1018,BA-1020,2024-01-02T13:08:45.679Z,Approval Submitted,user-1047,Sales,Desktop,,session-6078
AE-5548,BA-1100,2024-01-02T14:24:34.058Z,Rejected,user-1437,Brand Management,Desktop,,session-2917
AE-5830,BA-1104,2024-01-02T16:28:56.500Z,Comment Added,user-1398,Creative,Mobile,,session-923
AE-2019,BA-1036,2024-01-02T17:26:41.632Z,Share,user-1140,Brand Management,Tablet,,session-4680
AE-2261,BA-1041,2024-01-02T17:38:32.650Z,Comment Added,user-1084,Sales,Mobile,,session-1266
AE-4592,BA-1084,2024-01-02T18:09:05.826Z,Edit Request,user-1422,Creative,Desktop,2786,session-3381
AE-2350,BA-1042,2024-01-02T18:19:13.055Z,Share,user-1499,Regional Marketing,Tablet,,session-4977
AE-2686,BA-1047,2024-01-02T19:32:26.020Z,Approved,user-1014,Product,Tablet,,session-8072
AE-3205,BA-1058,2024-01-02T20:19:17.646Z,Approved,user-1120,Creative,Desktop,,session-3743
AE-1366,BA-1027,2024-01-02T20:30:27.423Z,Download,user-1052,Sales,Desktop,,session-4784
AE-10604,BA-1187,2024-01-02T21:49:05.909Z,Download,user-1050,Product,Mobile,,session-8656
AE-15591,BA-1281,2024-01-02T22:32:16.189Z,Approved,user-1142,Sales,Desktop,,session-6669
AE-6100,BA-1109,2024-01-02T22:50:02.664Z,View,user-1280,Brand Management,Tablet,551,session-8009
AE-3796,BA-1069,2024-01-02T23:24:58.239Z,Share,user-1485,Product,Desktop,,session-1048
AE-11538,BA-1206,2024-01-02T23:26:20.324Z,Share,user-1153,Brand Management,Mobile,,session-2662
AE-4615,BA-1084,2024-01-03T01:41:32.330Z,Rejected,user-1403,Marketing,Tablet,,session-323
AE-5856,BA-1105,2024-01-03T01:46:53.402Z,Approved,user-1159,Brand Management,Tablet,,session-5231
AE-2146,BA-1038,2024-01-03T02:21:41.186Z,Approval Submitted,user-1263,Brand Management,Tablet,,session-9895
AE-608,BA-1013,2024-01-03T03:18:23.612Z,Comment Added,user-1064,Creative,Tablet,,session-1401
AE-1522,BA-1029,2024-01-03T06:08:47.079Z,Share,user-1010,Marketing,Desktop,,session-6686
AE-9995,BA-1178,2024-01-03T07:13:47.266Z,Share,user-1403,Product,Mobile,,session-9652
AE-7862,BA-1138,2024-01-03T09:27:45.127Z,Approval Submitted,user-1431,Sales,Desktop,,session-8236
AE-6716,BA-1119,2024-01-03T09:35:15.282Z,View,user-1198,Product,Mobile,322,session-7432
AE-4053,BA-1073,2024-01-03T11:34:24.533Z,Rejected,user-1163,Creative,Desktop,,session-3130
AE-10813,BA-1193,2024-01-03T12:44:37.514Z,Download,user-1119,Regional Marketing,Mobile,,session-2407
AE-12826,BA-1231,2024-01-03T13:32:26.335Z,Rejected,user-1074,Marketing,Desktop,,session-86
AE-1624,BA-1030,2024-01-03T14:12:43.315Z,Approval Submitted,user-1235,Digital,Tablet,,session-3725
AE-4922,BA-1089,2024-01-03T15:21:36.913Z,Share,user-1125,Regional Marketing,Desktop,,session-311
AE-1772,BA-1032,2024-01-03T15:53:23.007Z,Edit Request,user-1203,Product,Mobile,2993,session-3751
AE-4378,BA-1080,2024-01-03T15:58:54.819Z,Comment Added,user-1314,Sales,Mobile,,session-3693
AE-10877,BA-1194,2024-01-03T16:13:00.630Z,Comment Added,user-1382,Brand Management,Tablet,,session-2195
AE-12077,BA-1218,2024-01-03T17:34:42.013Z,Download,user-1309,Sales,Mobile,,session-5969
AE-12253,BA-1223,2024-01-03T19:32:02.193Z,Approval Submitted,user-1154,Product,Mobile,,session-623
AE-15316,BA-1276,2024-01-03T19:56:48.201Z,Comment Added,user-1493,Creative,Mobile,,session-7158
AE-6689,BA-1118,2024-01-03T21:17:46.230Z,Rejected,user-1300,Digital,Mobile,,session-2194
AE-4997,BA-1091,2024-01-03T22:48:03.939Z,Share,user-1453,Regional Marketing,Mobile,,session-3166
AE-3552,BA-1064,2024-01-04T00:05:20.968Z,Edit Request,user-1113,Regional Marketing,Desktop,1838,session-3872
AE-5240,BA-1096,2024-01-04T00:42:27.593Z,Rejected,user-1457,Digital,Tablet,,session-5508
AE-12224,BA-1222,2024-01-04T00:52:45.942Z,Rejected,user-1336,Marketing,Desktop,,session-3940
AE-2335,BA-1042,2024-01-04T02:58:16.242Z,Download,user-1048,Marketing,Mobile,,session-9635
AE-3004,BA-1052,2024-01-04T03:49:25.000Z,Comment Added,user-1189,Regional Marketing,Desktop,,session-4672
AE-11395,BA-1204,2024-01-04T05:15:25.337Z,View,user-1398,Digital,Mobile,477,session-6781
AE-6150,BA-1111,2024-01-04T05:18:39.818Z,Rejected,user-1103,Sales,Desktop,,session-2402
AE-7938,BA-1140,2024-01-04T05:32:31.138Z,Approved,user-1062,Creative,Mobile,,session-4228
AE-5236,BA-1095,2024-01-04T06:32:29.601Z,Edit Request,user-1005,Marketing,Tablet,1079,session-176
AE-6229,BA-1112,2024-01-04T09:35:57.467Z,Download,user-1062,Product,Mobile,,session-6970
AE-16012,BA-1289,2024-01-04T09:51:28.990Z,Edit Request,user-1302,Digital,Desktop,1275,session-7675
AE-9295,BA-1166,2024-01-04T09:56:08.289Z,Rejected,user-1114,Regional Marketing,Desktop,,session-7935
AE-5813,BA-1104,2024-01-04T10:13:02.515Z,View,user-1015,Regional Marketing,Tablet,298,session-6160
AE-13945,BA-1249,2024-01-04T11:31:01.472Z,Rejected,user-1215,Sales,Desktop,,session-8550
AE-7962,BA-1140,2024-01-04T15:15:42.467Z,Approved,user-1287,Creative,Mobile,,session-6253
AE-4860,BA-1089,2024-01-04T15:28:48.104Z,Share,user-1168,Regional Marketing,Mobile,,session-6160
AE-357,BA-1007,2024-01-04T15:29:57.945Z,Rejected,user-1099,Digital,Desktop,,session-6206
AE-4431,BA-1081,2024-01-04T15:49:19.270Z,Comment Added,user-1172,Product,Mobile,,session-1949
AE-6481,BA-1115,2024-01-04T16:03:27.727Z,View,user-1048,Digital,Tablet,541,session-1701
AE-6334,BA-1113,2024-01-04T16:51:36.428Z,Approved,user-1408,Marketing,Tablet,,session-8688
AE-10723,BA-1189,2024-01-04T17:02:46.414Z,Share,user-1422,Digital,Tablet,,session-9218
AE-3346,BA-1060,2024-01-04T17:42:03.316Z,View,user-1385,Sales,Desktop,345,session-6681
AE-10121,BA-1180,2024-01-04T17:46:57.986Z,Download,user-1190,Brand Management,Mobile,,session-2505
AE-3117,BA-1056,2024-01-04T18:09:27.306Z,Comment Added,user-1092,Regional Marketing,Tablet,,session-652
AE-15027,BA-1271,2024-01-04T18:14:01.079Z,Approved,user-1415,Creative,Mobile,,session-1255
AE-10092,BA-1180,2024-01-04T18:25:14.739Z,Comment Added,user-1438,Product,Desktop,,session-9571
AE-7831,BA-1138,2024-01-04T20:02:25.604Z,Comment Added,user-1050,Brand Management,Mobile,,session-4277
AE-6649,BA-1117,2024-01-04T20:03:06.194Z,Comment Added,user-1132,Product,Tablet,,session-5999
AE-433,BA-1009,2024-01-04T20:16:20.062Z,Download,user-1405,Product,Desktop,,session-5218
AE-6642,BA-1117,2024-01-04T20:47:06.292Z,Edit Request,user-1393,Marketing,Tablet,1271,session-240
AE-1310,BA-1027,2024-01-04T21:20:46.945Z,Download,user-1481,Sales,Mobile,,session-7082
AE-437,BA-1009,2024-01-04T21:32:26.886Z,Rejected,user-1111,Marketing,Desktop,,session-7226
AE-10910,BA-1196,2024-01-04T21:34:53.866Z,Download,user-1094,Product,Mobile,,session-7753
AE-2078,BA-1037,2024-01-04T22:17:36.728Z,View,user-1144,Creative,Tablet,224,session-7847
AE-6855,BA-1121,2024-01-04T22:50:28.450Z,Rejected,user-1437,Sales,Mobile,,session-6716
AE-9625,BA-1173,2024-01-04T23:32:15.985Z,Rejected,user-1032,Marketing,Tablet,,session-723
AE-15141,BA-1273,2024-01-05T01:12:34.748Z,View,user-1388,Sales,Mobile,499,session-3166
AE-3699,BA-1066,2024-01-05T03:27:12.370Z,View,user-1115,Creative,Tablet,182,session-3615
AE-13519,BA-1243,2024-01-05T04:10:50.138Z,Approved,user-1111,Product,Desktop,,session-213
AE-3743,BA-1067,2024-01-05T06:46:39.869Z,Comment Added,user-1045,Digital,Tablet,,session-8894
AE-90,BA-1001,2024-01-05T07:15:02.918Z,View,user-1143,Sales,Desktop,322,session-8092
AE-8117,BA-1142,2024-01-05T08:47:02.469Z,Approved,user-1093,Sales,Tablet,,session-5064
AE-15217,BA-1275,2024-01-05T09:23:30.314Z,Share,user-1075,Regional Marketing,Desktop,,session-883
AE-7939,BA-1140,2024-01-05T09:51:43.650Z,Edit Request,user-1281,Digital,Desktop,3022,session-8308
AE-2273,BA-1041,2024-01-05T09:59:56.455Z,Approval Submitted,user-1047,Regional Marketing,Tablet,,session-9687
AE-2771,BA-1048,2024-01-05T10:31:02.366Z,Approved,user-1014,Regional Marketing,Desktop,,session-2353
AE-8790,BA-1156,2024-01-05T12:44:35.307Z,View,user-1211,Creative,Tablet,498,session-6392
AE-12501,BA-1227,2024-01-05T13:59:56.527Z,View,user-1412,Brand Management,Tablet,80,session-3128
AE-6024,BA-1108,2024-01-05T14:06:03.989Z,View,user-1241,Regional Marketing,Tablet,551,session-9668
AE-5301,BA-1097,2024-01-05T14:39:50.278Z,View,user-1067,Sales,Desktop,342,session-1944
AE-15956,BA-1289,2024-01-05T16:24:07.836Z,Share,user-1392,Creative,Desktop,,session-2258
AE-3920,BA-1071,2024-01-05T16:26:10.066Z,Approved,user-1258,Marketing,Tablet,,session-6283
AE-3689,BA-1066,2024-01-05T17:03:52.877Z,Share,user-1390,Sales,Mobile,,session-2783
AE-808,BA-1015,2024-01-05T18:25:36.569Z,Comment Added,user-1021,Product,Mobile,,session-5176
AE-1933,BA-1035,2024-01-05T18:41:39.928Z,Edit Request,user-1231,Digital,Tablet,2818,session-1433
AE-15566,BA-1281,2024-01-05T20:06:06.190Z,Download,user-1265,Brand Management,Tablet,,session-9669
AE-2084,BA-1037,2024-01-05T21:32:38.631Z,Comment Added,user-1306,Creative,Desktop,,session-200
AE-1641,BA-1031,2024-01-05T22:33:50.879Z,Edit Request,user-1418,Brand Management,Desktop,777,session-8225
AE-6185,BA-1111,2024-01-05T22:45:58.698Z,Download,user-1004,Digital,Tablet,,session-9567
AE-14667,BA-1262,2024-01-05T23:43:49.509Z,Approval Submitted,user-1259,Brand Management,Mobile,,session-8751
AE-496,BA-1010,2024-01-06T00:10:20.931Z,Approved,user-1021,Sales,Desktop,,session-2982
AE-1551,BA-1029,2024-01-06T00:28:49.346Z,Download,user-1174,Creative,Mobile,,session-6494
AE-4368,BA-1080,2024-01-06T00:30:28.591Z,View,user-1105,Regional Marketing,Mobile,52,session-4680
AE-4765,BA-1087,2024-01-06T01:29:09.452Z,Approval Submitted,user-1243,Brand Management,Desktop,,session-1899
AE-10753,BA-1191,2024-01-06T01:40:47.751Z,View,user-1345,Product,Tablet,331,session-5840
AE-15084,BA-1272,2024-01-06T04:00:23.172Z,Edit Request,user-1343,Digital,Tablet,3562,session-1756
AE-8374,BA-1148,2024-01-06T04:08:49.167Z,Comment Added,user-1123,Sales,Mobile,,session-1972
AE-10344,BA-1184,2024-01-06T04:42:02.603Z,Edit Request,user-1029,Sales,Desktop,1403,session-1070
AE-1438,BA-1028,2024-01-06T05:49:08.598Z,Edit Request,user-1176,Marketing,Mobile,585,session-7616
AE-13164,BA-1237,2024-01-06T06:07:22.547Z,Comment Added,user-1109,Digital,Tablet,,session-6238
AE-8428,BA-1150,2024-01-06T06:30:42.688Z,Download,user-1382,Product,Mobile,,session-5331
AE-4944,BA-1090,2024-01-06T07:26:35.595Z,Download,user-1016,Digital,Desktop,,session-9105
AE-8085,BA-1141,2024-01-06T07:29:32.840Z,Comment Added,user-1115,Regional Marketing,Mobile,,session-9288
AE-122,BA-1003,2024-01-06T08:31:30.747Z,View,user-1244,Brand Management,Desktop,330,session-7990
AE-5459,BA-1099,2024-01-06T08:36:42.400Z,Approved,user-1313,Digital,Desktop,,session-6544
AE-3119,BA-1056,2024-01-06T09:02:21.239Z,Edit Request,user-1120,Marketing,Mobile,1881,session-7343
AE-12850,BA-1232,2024-01-06T09:04:37.453Z,Share,user-1362,Marketing,Desktop,,session-5661
AE-7208,BA-1126,2024-01-06T09:25:48.689Z,Approved,user-1405,Marketing,Desktop,,session-1991
AE-250,BA-1005,2024-01-06T10:08:54.932Z,Share,user-1101,Brand Management,Tablet,,session-9840
AE-10705,BA-1189,2024-01-06T10:52:33.891Z,Approval Submitted,user-1007,Marketing,Desktop,,session-5038
AE-14094,BA-1250,2024-01-06T11:01:25.533Z,Share,user-1000,Product,Mobile,,session-51
AE-9584,BA-1172,2024-01-06T11:19:57.221Z,Rejected,user-1470,Brand Management,Tablet,,session-3411
AE-14433,BA-1257,2024-01-06T11:37:02.290Z,Share,user-1034,Product,Desktop,,session-6991
AE-12599,BA-1229,2024-01-06T16:47:58.320Z,Edit Request,user-1119,Marketing,Mobile,3165,session-3325
AE-3783,BA-1069,2024-01-06T16:58:33.813Z,Share,user-1032,Sales,Desktop,,session-2491
AE-12162,BA-1220,2024-01-06T17:03:50.558Z,Share,user-1038,Sales,Desktop,,session-4429
AE-5782,BA-1104,2024-01-06T17:05:50.594Z,Rejected,user-1277,Creative,Mobile,,session-5355
AE-11647,BA-1209,2024-01-06T17:17:35.510Z,View,user-1098,Product,Tablet,99,session-1122
AE-9420,BA-1170,2024-01-06T20:14:28.993Z,View,user-1064,Creative,Desktop,127,session-9358
AE-4868,BA-1089,2024-01-06T20:28:32.303Z,Download,user-1242,Sales,Tablet,,session-8929
AE-2546,BA-1045,2024-01-06T22:29:25.765Z,Approved,user-1054,Brand Management,Tablet,,session-4379
AE-13824,BA-1246,2024-01-06T23:40:12.899Z,Approval Submitted,user-1454,Regional Marketing,Tablet,,session-55
AE-11404,BA-1204,2024-01-07T02:27:51.081Z,Approved,user-1446,Brand Management,Mobile,,session-3329
AE-3425,BA-1061,2024-01-07T03:58:49.309Z,View,user-1409,Creative,Desktop,80,session-919
AE-702,BA-1014,2024-01-07T06:14:23.278Z,Edit Request,user-1074,Digital,Desktop,3622,session-857
AE-12999,BA-1234,2024-01-07T07:03:56.067Z,Edit Request,user-1110,Brand Management,Tablet,2533,session-8761
AE-2962,BA-1051,2024-01-07T07:45:24.760Z,View,user-1332,Product,Mobile,284,session-7634
AE-11949,BA-1215,2024-01-07T08:47:35.770Z,View,user-1288,Regional Marketing,Mobile,98,session-799
AE-12916,BA-1233,2024-01-07T10:16:19.861Z,Rejected,user-1160,Regional Marketing,Tablet,,session-2841
AE-3686,BA-1066,2024-01-07T11:50:29.821Z,Edit Request,user-1076,Marketing,Desktop,3732,session-8658
AE-8200,BA-1143,2024-01-07T11:52:05.111Z,View,user-1117,Brand Management,Mobile,108,session-639
AE-5389,BA-1098,2024-01-07T11:55:40.808Z,View,user-1026,Creative,Desktop,126,session-6528
AE-15162,BA-1274,2024-01-07T12:00:10.078Z,Download,user-1024,Regional Marketing,Mobile,,session-292
AE-9118,BA-1164,2024-01-07T12:18:20.525Z,View,user-1497,Sales,Desktop,391,session-479
AE-169,BA-1003,2024-01-07T13:05:39.495Z,Approval Submitted,user-1377,Brand Management,Mobile,,session-6887
AE-10299,BA-1183,2024-01-07T14:28:53.577Z,Edit Request,user-1308,Sales,Desktop,1969,session-6722
AE-9055,BA-1162,2024-01-07T15:04:16.611Z,Approval Submitted,user-1106,Creative,Mobile,,session-1501
AE-14849,BA-1266,2024-01-07T15:19:30.659Z,Share,user-1210,Marketing,Mobile,,session-263
AE-6658,BA-1118,2024-01-07T17:20:28.930Z,Approval Submitted,user-1076,Product,Desktop,,session-6392
AE-7048,BA-1124,2024-01-07T18:29:19.820Z,Approved,user-1315,Brand Management,Mobile,,session-8571
AE-7927,BA-1140,2024-01-07T18:48:51.396Z,Share,user-1387,Product,Desktop,,session-8963
AE-7657,BA-1135,2024-01-07T22:39:17.367Z,Share,user-1014,Creative,Tablet,,session-8284
AE-14357,BA-1255,2024-01-07T22:44:32.935Z,Download,user-1280,Digital,Desktop,,session-4818
AE-2782,BA-1048,2024-01-07T23:17:57.808Z,Edit Request,user-1152,Creative,Mobile,3123,session-668
AE-5275,BA-1097,2024-01-07T23:35:45.181Z,Share,user-1447,Brand Management,Desktop,,session-5900
AE-13006,BA-1234,2024-01-08T00:09:29.730Z,Edit Request,user-1027,Marketing,Tablet,391,session-6290
AE-10100,BA-1180,2024-01-08T01:34:36.714Z,Approval Submitted,user-1096,Product,Tablet,,session-3209
AE-5532,BA-1100,2024-01-08T02:17:19.675Z,Edit Request,user-1275,Creative,Mobile,1455,session-9353
AE-13764,BA-1246,2024-01-08T02:28:49.540Z,Approved,user-1032,Marketing,Tablet,,session-2885
AE-2572,BA-1045,2024-01-08T02:57:43.059Z,View,user-1035,Brand Management,Mobile,177,session-2853
AE-3286,BA-1059,2024-01-08T03:32:11.396Z,Approved,user-1338,Marketing,Tablet,,session-756
AE-12738,BA-1231,2024-01-08T03:48:30.266Z,Share,user-1400,Creative,Desktop,,session-7436
AE-6321,BA-1113,2024-01-08T04:47:00.312Z,Share,user-1168,Marketing,Mobile,,session-1779
AE-1859,BA-1034,2024-01-08T04:56:30.092Z,Rejected,user-1365,Brand Management,Tablet,,session-5846
AE-8360,BA-1147,2024-01-08T05:18:24.978Z,Share,user-1140,Digital,Desktop,,session-9201
AE-14774,BA-1264,2024-01-08T06:16:28.726Z,View,user-1238,Digital,Mobile,372,session-4218
AE-15762,BA-1283,2024-01-08T06:46:04.550Z,View,user-1053,Digital,Tablet,230,session-3657
AE-7280,BA-1128,2024-01-08T07:22:13.548Z,Rejected,user-1442,Brand Management,Desktop,,session-7803
AE-15465,BA-1279,2024-01-08T08:53:03.545Z,Approved,user-1107,Regional Marketing,Tablet,,session-2321
AE-326,BA-1007,2024-01-08T09:42:42.713Z,Rejected,user-1309,Digital,Mobile,,session-6267
AE-8204,BA-1143,2024-01-08T11:05:27.916Z,Share,user-1157,Creative,Desktop,,session-340
AE-4119,BA-1074,2024-01-08T11:27:52.438Z,Download,user-1168,Digital,Tablet,,session-5999
AE-4408,BA-1081,2024-01-08T14:20:49.027Z,Share,user-1182,Product,Desktop,,session-2350
AE-6596,BA-1117,2024-01-08T14:42:58.937Z,Approval Submitted,user-1482,Regional Marketing,Mobile,,session-8124
AE-14934,BA-1267,2024-01-08T15:29:05.076Z,Comment Added,user-1145,Brand Management,Mobile,,session-5122
AE-6570,BA-1116,2024-01-08T16:47:12.766Z,Rejected,user-1284,Sales,Mobile,,session-3290
AE-572,BA-1011,2024-01-08T17:10:38.348Z,Download,user-1453,Marketing,Desktop,,session-3210
AE-772,BA-1015,2024-01-08T17:16:55.798Z,Approval Submitted,user-1341,Product,Mobile,,session-3512
AE-9089,BA-1163,2024-01-08T17:23:00.113Z,Download,user-1061,Regional Marketing,Tablet,,session-6757
AE-531,BA-1011,2024-01-08T18:25:04.276Z,Comment Added,user-1126,Marketing,Tablet,,session-6073
AE-1508,BA-1029,2024-01-08T18:41:57.580Z,Comment Added,user-1442,Creative,Desktop,,session-432
AE-8542,BA-1151,2024-01-08T19:06:20.932Z,Approval Submitted,user-1275,Brand Management,Tablet,,session-1889
AE-14746,BA-1264,2024-01-08T20:14:44.581Z,View,user-1024,Digital,Desktop,145,session-4299
AE-4773,BA-1088,2024-01-08T21:03:05.889Z,Share,user-1346,Sales,Tablet,,session-1791
AE-10490,BA-1186,2024-01-08T21:04:34.287Z,Approved,user-1178,Brand Management,Mobile,,session-838
AE-12780,BA-1231,2024-01-08T21:41:06.105Z,Approved,user-1120,Creative,Tablet,,session-5983
AE-3211,BA-1058,2024-01-08T21:59:58.246Z,View,user-1178,Marketing,Mobile,381,session-2025
AE-14409,BA-1257,2024-01-08T23:16:34.597Z,Approved,user-1273,Regional Marketing,Desktop,,session-6948
AE-11413,BA-1204,2024-01-09T01:57:46.506Z,Approved,user-1421,Digital,Mobile,,session-5831
AE-9646,BA-1173,2024-01-09T02:17:06.636Z,Comment Added,user-1149,Creative,Tablet,,session-701
AE-13229,BA-1237,2024-01-09T02:17:09.669Z,Comment Added,user-1222,Digital,Tablet,,session-2437
AE-9631,BA-1173,2024-01-09T02:49:48.094Z,Share,user-1385,Regional Marketing,Mobile,,session-3416
AE-7912,BA-1138,2024-01-09T02:54:19.725Z,View,user-1075,Digital,Tablet,330,session-639
AE-11331,BA-1203,2024-01-09T03:47:03.380Z,Download,user-1366,Sales,Desktop,,session-7100
AE-14612,BA-1261,2024-01-09T04:43:20.943Z,Approval Submitted,user-1405,Digital,Desktop,,session-1247
AE-13591,BA-1244,2024-01-09T05:13:49.818Z,Comment Added,user-1387,Product,Desktop,,session-5150
AE-1565,BA-1030,2024-01-09T05:50:32.201Z,View,user-1047,Sales,Desktop,454,session-4215
AE-1139,BA-1023,2024-01-09T06:41:50.999Z,Edit Request,user-1386,Regional Marketing,Mobile,1698,session-2060
AE-14461,BA-1258,2024-01-09T07:05:21.069Z,Share,user-1449,Product,Mobile,,session-3643
AE-2582,BA-1045,2024-01-09T07:21:09.689Z,Edit Request,user-1122,Sales,Tablet,3104,session-8145
AE-12349,BA-1225,2024-01-09T08:03:45.139Z,Comment Added,user-1484,Product,Desktop,,session-3901
AE-12744,BA-1231,2024-01-09T08:11:20.610Z,Approval Submitted,user-1322,Digital,Mobile,,session-1892
AE-11817,BA-1212,2024-01-09T10:08:35.055Z,Share,user-1307,Regional Marketing,Mobile,,session-6471
AE-8045,BA-1141,2024-01-09T12:46:06.076Z,Approved,user-1495,Creative,Mobile,,session-3986
AE-4275,BA-1078,2024-01-09T12:47:23.074Z,Download,user-1158,Product,Mobile,,session-7137
AE-4064,BA-1073,2024-01-09T14:07:29.767Z,Rejected,user-1105,Creative,Mobile,,session-9654
AE-4915,BA-1089,2024-01-09T14:17:26.578Z,View,user-1162,Creative,Mobile,535,session-5572
AE-11072,BA-1198,2024-01-09T14:31:30.385Z,Comment Added,user-1348,Sales,Desktop,,session-2771
AE-3291,BA-1059,2024-01-09T17:16:04.585Z,Approval Submitted,user-1365,Marketing,Mobile,,session-8278
AE-8297,BA-1147,2024-01-09T17:44:01.273Z,Approved,user-1360,Sales,Desktop,,session-1385
AE-13093,BA-1235,2024-01-09T19:29:01.898Z,Comment Added,user-1149,Regional Marketing,Tablet,,session-1217
AE-9211,BA-1165,2024-01-09T20:54:38.522Z,Edit Request,user-1024,Product,Desktop,3404,session-5486
AE-12445,BA-1226,2024-01-09T21:03:45.069Z,Edit Request,user-1020,Marketing,Desktop,1828,session-4544
AE-3349,BA-1060,2024-01-09T21:22:34.347Z,Download,user-1247,Marketing,Desktop,,session-6624
AE-14043,BA-1250,2024-01-09T23:35:45.286Z,Download,user-1256,Marketing,Desktop,,session-6982
