event_id,@timestamp,user_id,tenant_id,feature_name,feature_category,session_id,experiment_variant,interaction_duration_ms,conversion_event
EVT-00500021,2025-11-10 18:46:33.113161,USR-087094,TNT-01040,Version Control,Administration,SES-0793180,EXP-00025,2585.0001934295997,True
EVT-00500022,2025-11-10 18:47:18.113161,USR-101135,TNT-01034,Analytics Dashboard,Search & Discovery,SES-0465356,EXP-00044,1480.9054028660146,False
EVT-00500023,2025-11-10 18:48:03.113161,USR-081702,TNT-01137,Analytics Dashboard,Collaboration,SES-0347443,EXP-00138,7656.723522906758,False
EVT-00500024,2025-11-10 18:48:48.113161,USR-083584,TNT-01025,Sharing,Analytics,SES-0795174,EXP-00081,4075.2207402601593,False
EVT-00500025,2025-11-10 18:49:33.113161,USR-055052,TNT-01096,Export Pipeline,Administration,SES-0279075,EXP-00110,2465.479735639428,False
EVT-00500026,2025-11-10 18:50:18.113161,USR-098568,TNT-01108,Collaboration,Collaboration,SES-0973255,EXP-00094,5612.702922197791,True
EVT-00500027,2025-11-10 18:51:03.113161,USR-116811,TNT-01087,Smart Tagging,Search & Discovery,SES-0890377,EXP-00005,3981.4830039813714,False
EVT-00500028,2025-11-10 18:51:48.113161,USR-040028,TNT-01031,Asset Search,Collaboration,SES-0655451,EXP-00065,1757.7889137621344,False
EVT-00500029,2025-11-10 18:52:33.113161,USR-104924,TNT-01084,Export Pipeline,Analytics,SES-0812015,EXP-00059,3543.5634697630794,True
EVT-00500030,2025-11-10 18:53:18.113161,USR-064591,TNT-01092,Metadata Editor,Administration,SES-0410870,EXP-00062,44851.12599044372,False
EVT-00500031,2025-11-10 18:54:03.113161,USR-068221,TNT-01105,Asset Search,Asset Management,SES-0152006,EXP-00072,12304.601716339846,False
EVT-00500032,2025-11-10 18:54:48.113161,USR-046336,TNT-01103,Export Pipeline,Administration,SES-0441454,EXP-00090,3891.231510272198,False
EVT-00500033,2025-11-10 18:55:33.113161,USR-134033,TNT-01121,Collaboration,Analytics,SES-0221386,EXP-00078,1298.3075720112026,False
EVT-00500034,2025-11-10 18:56:18.113161,USR-094586,TNT-01097,Smart Tagging,Search & Discovery,SES-0422300,EXP-00012,588.5987026542508,False
EVT-00500035,2025-11-10 18:57:03.113161,USR-127833,TNT-01081,Bulk Upload,Administration,SES-0634627,EXP-00108,5453.653246239039,False
EVT-00500036,2025-11-10 18:57:48.113161,USR-107958,TNT-01107,Analytics Dashboard,Analytics,SES-0904813,EXP-00030,889.9262976574687,False
EVT-00500037,2025-11-10 18:58:33.113161,USR-029442,TNT-01144,Bulk Upload,Search & Discovery,SES-0744694,EXP-00135,35105.51262759635,False
EVT-00500038,2025-11-10 18:59:18.113161,USR-028819,TNT-01011,Version Control,Collaboration,SES-0510504,EXP-00146,12607.207333308996,False
EVT-00500039,2025-11-10 19:00:03.113161,USR-032329,TNT-01008,Metadata Editor,Asset Management,SES-0470517,EXP-00119,29790.221867853168,False
EVT-00500040,2025-11-10 19:00:48.113161,USR-040332,TNT-01084,Analytics Dashboard,Analytics,SES-0633600,None,58437.51175505576,False
EVT-00500041,2025-11-10 19:01:33.113161,USR-010604,TNT-01101,Smart Tagging,Analytics,SES-0956539,None,964.9084026978562,False
EVT-00500042,2025-11-10 19:02:18.113161,USR-033124,TNT-01115,Bulk Upload,Administration,SES-0622771,EXP-00005,9010.744202280403,True
EVT-00500043,2025-11-10 19:03:03.113161,USR-023985,TNT-01039,Version Control,Collaboration,SES-0797854,EXP-00070,1380.7008372162213,False
EVT-00500044,2025-11-10 19:03:48.113161,USR-134857,TNT-01064,Collections,Analytics,SES-0540206,EXP-00129,3461.705668977457,False
EVT-00500045,2025-11-10 19:04:33.113161,USR-074300,TNT-01033,Bulk Upload,Search & Discovery,SES-0805310,EXP-00126,6141.114001621105,False
EVT-00500046,2025-11-10 19:05:18.113161,USR-125051,TNT-01132,Bulk Upload,Collaboration,SES-0254104,EXP-00086,1344.226432395071,False
EVT-00500047,2025-11-10 19:06:03.113161,USR-016455,TNT-01030,Smart Tagging,Search & Discovery,SES-0881226,None,3014.553770034412,True
EVT-00500048,2025-11-10 19:06:48.113161,USR-127095,TNT-01120,Collections,Analytics,SES-0785523,EXP-00008,4090.7635671588178,True
EVT-00500049,2025-11-10 19:07:33.113161,USR-036899,TNT-01043,Bulk Upload,Administration,SES-0797230,EXP-00031,205.6771604269552,False
EVT-00500050,2025-11-10 19:08:18.113161,USR-084778,TNT-01093,Analytics Dashboard,Search & Discovery,SES-0774967,EXP-00041,8017.7662187614915,True
EVT-00500051,2025-11-10 19:09:03.113161,USR-035114,TNT-01036,Export Pipeline,Collaboration,SES-0384640,EXP-00038,1767.9812466887151,False
EVT-00500052,2025-11-10 19:09:48.113161,USR-016083,TNT-01021,Collections,Analytics,SES-0394472,EXP-00028,3466.800551110739,False
EVT-00500053,2025-11-10 19:10:33.113161,USR-019881,TNT-01139,Collaboration,Asset Management,SES-0819714,EXP-00117,6437.886656991057,False
EVT-00500054,2025-11-10 19:11:18.113161,USR-075119,TNT-01020,Asset Search,Search & Discovery,SES-0989593,EXP-00010,1046.3193531814595,False
EVT-00500055,2025-11-10 19:12:03.113161,USR-030888,TNT-01126,Version Control,Collaboration,SES-0627759,EXP-00001,10956.95620437046,False
EVT-00500056,2025-11-10 19:12:48.113161,USR-015304,TNT-01035,Smart Tagging,Analytics,SES-0574000,EXP-00071,5264.797981355698,False
EVT-00500057,2025-11-10 19:13:33.113161,USR-044532,TNT-01085,Smart Tagging,Administration,SES-0459868,EXP-00088,10900.818248066933,False
EVT-00500058,2025-11-10 19:14:18.113161,USR-084578,TNT-01023,Bulk Upload,Administration,SES-0435348,EXP-00074,18059.59545909359,True
EVT-00500059,2025-11-10 19:15:03.113161,USR-134127,TNT-01050,Asset Search,Asset Management,SES-0731571,EXP-00032,3504.7446520826625,True
EVT-00500060,2025-11-10 19:15:48.113161,USR-064465,TNT-01093,Analytics Dashboard,Collaboration,SES-0124270,EXP-00141,1697.442733773738,False
EVT-00500061,2025-11-10 19:16:33.113161,USR-120660,TNT-01096,Version Control,Collaboration,SES-0454390,EXP-00061,8646.043960175979,False
EVT-00500062,2025-11-10 19:17:18.113161,USR-051235,TNT-01008,Asset Search,Asset Management,SES-0950753,EXP-00084,8178.358499543893,False
EVT-00500063,2025-11-10 19:18:03.113161,USR-099297,TNT-01056,Metadata Editor,Analytics,SES-0776753,EXP-00147,425.42091395569594,False
EVT-00500064,2025-11-10 19:18:48.113161,USR-118944,TNT-01101,Collaboration,Administration,SES-0912145,EXP-00026,1461.888487065605,False
EVT-00500065,2025-11-10 19:19:33.113161,USR-030736,TNT-01011,Collaboration,Asset Management,SES-0817010,EXP-00059,3617.3372184001378,False
EVT-00500066,2025-11-10 19:20:18.113161,USR-025610,TNT-01120,Metadata Editor,Administration,SES-0993604,EXP-00019,6146.31322504829,False
EVT-00500067,2025-11-10 19:21:03.113161,USR-125966,TNT-01063,Collaboration,Administration,SES-0398567,EXP-00129,2075.1460450745317,False
EVT-00500068,2025-11-10 19:21:48.113161,USR-086553,TNT-01007,Export Pipeline,Administration,SES-0539635,EXP-00083,24016.240048674987,False
EVT-00500069,2025-11-10 19:22:33.113161,USR-050946,TNT-01136,Asset Search,Administration,SES-0270625,EXP-00089,2903.43683687329,False
EVT-00500070,2025-11-10 19:23:18.113161,USR-018066,TNT-01005,Collaboration,Search & Discovery,SES-0991607,EXP-00057,3153.4376034135607,False
EVT-00500071,2025-11-10 19:24:03.113161,USR-133918,TNT-01029,Sharing,Asset Management,SES-0999414,EXP-00012,514.8145517185462,True
EVT-00500072,2025-11-10 19:24:48.113161,USR-024298,TNT-01072,Collaboration,Asset Management,SES-0290802,EXP-00110,5566.938118149471,False
EVT-00500073,2025-11-10 19:25:33.113161,USR-079826,TNT-01009,Metadata Editor,Analytics,SES-0595110,EXP-00099,803.0883821676368,True
EVT-00500074,2025-11-10 19:26:18.113161,USR-047210,TNT-01083,Export Pipeline,Search & Discovery,SES-0638789,EXP-00062,1377.9284688257314,False
EVT-00500075,2025-11-10 19:27:03.113161,USR-133582,TNT-01090,Sharing,Asset Management,SES-0656438,EXP-00043,1701.5916478005863,False
EVT-00500076,2025-11-10 19:27:48.113161,USR-028886,TNT-01044,Metadata Editor,Search & Discovery,SES-0159642,EXP-00105,4028.025779867278,False
EVT-00500077,2025-11-10 19:28:33.113161,USR-125258,TNT-01018,Sharing,Search & Discovery,SES-0501577,EXP-00040,7895.364013427196,False
EVT-00500078,2025-11-10 19:29:18.113161,USR-016967,TNT-01015,Sharing,Analytics,SES-0110983,EXP-00147,1961.1850978923358,True
EVT-00500079,2025-11-10 19:30:03.113161,USR-132844,TNT-01087,Export Pipeline,Search & Discovery,SES-0376903,None,1011.3336147941286,True
EVT-00500080,2025-11-10 19:30:48.113161,USR-120588,TNT-01040,Export Pipeline,Search & Discovery,SES-0532968,EXP-00006,12877.907715689085,True
EVT-00500081,2025-11-10 19:31:33.113161,USR-051457,TNT-01139,Version Control,Administration,SES-0119638,EXP-00075,5983.868119309779,False
EVT-00500082,2025-11-10 19:32:18.113161,USR-020704,TNT-01129,Metadata Editor,Administration,SES-0597180,EXP-00109,17501.84723358901,False
EVT-00500083,2025-11-10 19:33:03.113161,USR-090442,TNT-01138,Smart Tagging,Search & Discovery,SES-0545505,EXP-00003,5253.257025155238,False
EVT-00500084,2025-11-10 19:33:48.113161,USR-022084,TNT-01032,Collections,Administration,SES-0303414,EXP-00113,67489.69971063641,False
EVT-00500085,2025-11-10 19:34:33.113161,USR-128684,TNT-01014,Version Control,Administration,SES-0400388,EXP-00077,2241.414412888007,False
EVT-00500086,2025-11-10 19:35:18.113161,USR-105345,TNT-01031,Sharing,Analytics,SES-0194163,EXP-00107,13671.632003195999,False
EVT-00500087,2025-11-10 19:36:03.113161,USR-101294,TNT-01018,Export Pipeline,Search & Discovery,SES-0129201,EXP-00036,14156.52932457435,True
EVT-00500088,2025-11-10 19:36:48.113161,USR-051416,TNT-01040,Asset Search,Collaboration,SES-0596357,EXP-00035,6842.577789334331,True
EVT-00500089,2025-11-10 19:37:33.113161,USR-094520,TNT-01105,Bulk Upload,Collaboration,SES-0641741,EXP-00109,5280.380446304649,False
EVT-00500090,2025-11-10 19:38:18.113161,USR-025055,TNT-01129,Asset Search,Administration,SES-0317564,EXP-00115,15158.060413676765,True
EVT-00500091,2025-11-10 19:39:03.113161,USR-084778,TNT-01081,Bulk Upload,Search & Discovery,SES-0940256,EXP-00114,2267.1573609616876,False
EVT-00500092,2025-11-10 19:39:48.113161,USR-116519,TNT-01142,Analytics Dashboard,Administration,SES-0946331,EXP-00123,1278.885851393243,False
EVT-00500093,2025-11-10 19:40:33.113161,USR-129803,TNT-01017,Sharing,Asset Management,SES-0549556,EXP-00138,3778.4360718821194,False
EVT-00500094,2025-11-10 19:41:18.113161,USR-098095,TNT-01020,Metadata Editor,Analytics,SES-0776331,EXP-00081,41795.09847649251,True
EVT-00500095,2025-11-10 19:42:03.113161,USR-061694,TNT-01006,Metadata Editor,Collaboration,SES-0722312,EXP-00071,3780.87109148864,True
EVT-00500096,2025-11-10 19:42:48.113161,USR-042115,TNT-01015,Smart Tagging,Analytics,SES-0413795,EXP-00083,1456.813700125058,False
EVT-00500097,2025-11-10 19:43:33.113161,USR-020955,TNT-01061,Version Control,Asset Management,SES-0957584,EXP-00129,2737.938775571762,False
EVT-00500098,2025-11-10 19:44:18.113161,USR-070326,TNT-01148,Analytics Dashboard,Analytics,SES-0173391,EXP-00044,5022.845376420216,False
EVT-00500099,2025-11-10 19:45:03.113161,USR-035472,TNT-01107,Version Control,Administration,SES-0831718,EXP-00045,8510.377165870472,False
EVT-00500100,2025-11-10 19:45:48.113161,USR-039439,TNT-01068,Bulk Upload,Collaboration,SES-0990762,EXP-00132,24015.316035259784,False
EVT-00500101,2025-11-10 19:46:33.113161,USR-058224,TNT-01063,Asset Search,Collaboration,SES-0328794,EXP-00062,1164.8692183044652,True
EVT-00500102,2025-11-10 19:47:18.113161,USR-105837,TNT-01077,Version Control,Asset Management,SES-0544614,EXP-00116,3418.774202066853,False
EVT-00500103,2025-11-10 19:48:03.113161,USR-034049,TNT-01083,Metadata Editor,Search & Discovery,SES-0233808,EXP-00127,3735.418933638508,False
EVT-00500104,2025-11-10 19:48:48.113161,USR-033395,TNT-01129,Collections,Administration,SES-0938735,EXP-00001,1307.231274906245,False
EVT-00500105,2025-11-10 19:49:33.113161,USR-085624,TNT-01087,Collaboration,Administration,SES-0580185,EXP-00038,5050.564524575015,False
EVT-00500106,2025-11-10 19:50:18.113161,USR-090274,TNT-01095,Collections,Search & Discovery,SES-0374803,EXP-00029,2391.3252331557533,False
EVT-00500107,2025-11-10 19:51:03.113161,USR-058571,TNT-01009,Analytics Dashboard,Collaboration,SES-0743954,None,6222.1674850287145,True
EVT-00500108,2025-11-10 19:51:48.113161,USR-036406,TNT-01026,Export Pipeline,Administration,SES-0615388,EXP-00037,5194.378352017722,True
EVT-00500109,2025-11-10 19:52:33.113161,USR-121966,TNT-01118,Smart Tagging,Administration,SES-0963183,EXP-00097,7269.366020457582,True
EVT-00500110,2025-11-10 19:53:18.113161,USR-045040,TNT-01021,Smart Tagging,Administration,SES-0161215,EXP-00150,8993.656604779226,False
EVT-00500111,2025-11-10 19:54:03.113161,USR-087093,TNT-01114,Asset Search,Administration,SES-0482110,EXP-00139,13407.02354272772,False
EVT-00500112,2025-11-10 19:54:48.113161,USR-028819,TNT-01104,Analytics Dashboard,Search & Discovery,SES-0582907,EXP-00011,18425.891389627268,False
EVT-00500113,2025-11-10 19:55:33.113161,USR-089725,TNT-01078,Bulk Upload,Search & Discovery,SES-0373210,EXP-00097,6371.1535570384885,True
EVT-00500114,2025-11-10 19:56:18.113161,USR-115810,TNT-01100,Bulk Upload,Analytics,SES-0952017,EXP-00061,1065.7123719459814,False
EVT-00500115,2025-11-10 19:57:03.113161,USR-050717,TNT-01119,Version Control,Search & Discovery,SES-0260370,EXP-00097,6834.8902185735205,True
EVT-00500116,2025-11-10 19:57:48.113161,USR-063584,TNT-01053,Collections,Analytics,SES-0370098,EXP-00042,2891.663892576224,True
EVT-00500117,2025-11-10 19:58:33.113161,USR-131758,TNT-01131,Smart Tagging,Collaboration,SES-0187383,EXP-00079,54017.004118801175,False
EVT-00500118,2025-11-10 19:59:18.113161,USR-066059,TNT-01020,Bulk Upload,Search & Discovery,SES-0710714,EXP-00103,822.5866845757158,True
EVT-00500119,2025-11-10 20:00:03.113161,USR-095176,TNT-01003,Bulk Upload,Analytics,SES-0346758,EXP-00141,13452.449176001614,False
EVT-00500120,2025-11-10 20:00:48.113161,USR-045601,TNT-01009,Analytics Dashboard,Asset Management,SES-0222925,EXP-00121,7061.04704636973,True
EVT-00500121,2025-11-10 20:01:33.113161,USR-079084,TNT-01111,Asset Search,Administration,SES-0785422,EXP-00143,4276.987362791975,False
EVT-00500122,2025-11-10 20:02:18.113161,USR-131069,TNT-01100,Export Pipeline,Analytics,SES-0558465,EXP-00113,5873.135156103934,False
EVT-00500123,2025-11-10 20:03:03.113161,USR-066212,TNT-01089,Export Pipeline,Analytics,SES-0773998,EXP-00005,1368.7310936004728,False
EVT-00500124,2025-11-10 20:03:48.113161,USR-120588,TNT-01003,Collections,Analytics,SES-0806788,EXP-00060,14140.438765127585,False
EVT-00500125,2025-11-10 20:04:33.113161,USR-080729,TNT-01113,Bulk Upload,Asset Management,SES-0901872,EXP-00010,4827.516516167561,False
EVT-00500126,2025-11-10 20:05:18.113161,USR-057735,TNT-01032,Version Control,Asset Management,SES-0540334,EXP-00006,2213.719190937972,False
EVT-00500127,2025-11-10 20:06:03.113161,USR-123309,TNT-01048,Analytics Dashboard,Analytics,SES-0439497,EXP-00136,14071.506255646927,False
EVT-00500128,2025-11-10 20:06:48.113161,USR-070174,TNT-01095,Collaboration,Asset Management,SES-0778274,EXP-00093,762.0413269521957,False
EVT-00500129,2025-11-10 20:07:33.113161,USR-058813,TNT-01133,Asset Search,Collaboration,SES-0676642,EXP-00016,8122.334471865372,True
EVT-00500130,2025-11-10 20:08:18.113161,USR-038749,TNT-01097,Asset Search,Analytics,SES-0521632,EXP-00096,1205.7855789604498,False
EVT-00500131,2025-11-10 20:09:03.113161,USR-114109,TNT-01048,Bulk Upload,Search & Discovery,SES-0832165,EXP-00105,14973.689796662808,True
EVT-00500132,2025-11-10 20:09:48.113161,USR-110984,TNT-01000,Asset Search,Asset Management,SES-0711534,EXP-00132,9374.737153088408,False
EVT-00500133,2025-11-10 20:10:33.113161,USR-015257,TNT-01039,Sharing,Collaboration,SES-0777349,EXP-00103,2330.7181007979393,False
EVT-00500134,2025-11-10 20:11:18.113161,USR-117926,TNT-01003,Metadata Editor,Collaboration,SES-0285123,EXP-00036,1701.8513802289358,False
EVT-00500135,2025-11-10 20:12:03.113161,USR-031282,TNT-01143,Asset Search,Search & Discovery,SES-0830976,EXP-00080,1166.2405893552677,True
EVT-00500136,2025-11-10 20:12:48.113161,USR-124688,TNT-01087,Smart Tagging,Collaboration,SES-0238982,EXP-00064,1579.5408244380528,False
EVT-00500137,2025-11-10 20:13:33.113161,USR-063413,TNT-01070,Collaboration,Analytics,SES-0184527,EXP-00103,6057.904878288807,False
EVT-00500138,2025-11-10 20:14:18.113161,USR-036586,TNT-01135,Metadata Editor,Search & Discovery,SES-0163851,EXP-00114,2156.7157326057386,False
EVT-00500139,2025-11-10 20:15:03.113161,USR-100959,TNT-01123,Metadata Editor,Asset Management,SES-0601693,EXP-00065,3869.7277356151517,False
EVT-00500140,2025-11-10 20:15:48.113161,USR-068221,TNT-01082,Bulk Upload,Search & Discovery,SES-0558332,EXP-00116,23434.27796457003,False
EVT-00500141,2025-11-10 20:16:33.113161,USR-071477,TNT-01075,Sharing,Administration,SES-0231237,EXP-00058,2745.622872685323,True
EVT-00500142,2025-11-10 20:17:18.113161,USR-020423,TNT-01015,Version Control,Asset Management,SES-0397052,EXP-00037,1517.7713020753245,False
EVT-00500143,2025-11-10 20:18:03.113161,USR-053917,TNT-01138,Smart Tagging,Asset Management,SES-0287462,EXP-00003,1201.785175339458,False
EVT-00500144,2025-11-10 20:18:48.113161,USR-072380,TNT-01141,Collaboration,Administration,SES-0484488,EXP-00024,3652.593161634602,False
EVT-00500145,2025-11-10 20:19:33.113161,USR-114224,TNT-01147,Metadata Editor,Administration,SES-0175817,EXP-00149,27931.88623040246,False
EVT-00500146,2025-11-10 20:20:18.113161,USR-126039,TNT-01146,Asset Search,Search & Discovery,SES-0233905,EXP-00144,19408.79813449688,False
EVT-00500147,2025-11-10 20:21:03.113161,USR-117314,TNT-01030,Version Control,Collaboration,SES-0263601,EXP-00140,1529.0662322321168,False
EVT-00500148,2025-11-10 20:21:48.113161,USR-133489,TNT-01051,Smart Tagging,Administration,SES-0507585,EXP-00137,3225.00788187914,False
EVT-00500149,2025-11-10 20:22:33.113161,USR-075701,TNT-01148,Collections,Collaboration,SES-0234026,EXP-00140,3647.8763207707616,False
EVT-00500150,2025-11-10 20:23:18.113161,USR-020423,TNT-01128,Metadata Editor,Analytics,SES-0851232,EXP-00141,13545.329252616775,False
EVT-00500151,2025-11-10 20:24:03.113161,USR-063130,TNT-01097,Bulk Upload,Asset Management,SES-0936672,EXP-00071,539.1075781087969,False
EVT-00500152,2025-11-10 20:24:48.113161,USR-048227,TNT-01117,Collaboration,Asset Management,SES-0248779,EXP-00074,4103.434983002048,False
EVT-00500153,2025-11-10 20:25:33.113161,USR-020022,TNT-01071,Metadata Editor,Asset Management,SES-0422427,EXP-00109,9766.764944471628,False
EVT-00500154,2025-11-10 20:26:18.113161,USR-113531,TNT-01016,Sharing,Administration,SES-0988197,EXP-00065,25156.2004076812,True
EVT-00500155,2025-11-10 20:27:03.113161,USR-016375,TNT-01078,Smart Tagging,Search & Discovery,SES-0895697,EXP-00010,1850.6893637971614,False
EVT-00500156,2025-11-10 20:27:48.113161,USR-090403,TNT-01100,Collaboration,Search & Discovery,SES-0453754,EXP-00045,2323.576330786206,False
EVT-00500157,2025-11-10 20:28:33.113161,USR-026748,TNT-01143,Analytics Dashboard,Asset Management,SES-0698787,EXP-00084,3808.6265757549177,False
EVT-00500158,2025-11-10 20:29:18.113161,USR-105345,TNT-01026,Export Pipeline,Administration,SES-0156968,EXP-00103,8915.215122091397,False
EVT-00500159,2025-11-10 20:30:03.113161,USR-080729,TNT-01049,Bulk Upload,Analytics,SES-0380184,EXP-00099,19518.114627531264,True
EVT-00500160,2025-11-10 20:30:48.113161,USR-011112,TNT-01111,Sharing,Collaboration,SES-0864043,EXP-00107,6561.746295668391,False
EVT-00500161,2025-11-10 20:31:33.113161,USR-123425,TNT-01105,Version Control,Administration,SES-0425106,EXP-00023,43142.15485198402,False
EVT-00500162,2025-11-10 20:32:18.113161,USR-125572,TNT-01061,Collections,Search & Discovery,SES-0168650,EXP-00119,18309.317685723257,False
EVT-00500163,2025-11-10 20:33:03.113161,USR-077758,TNT-01050,Version Control,Asset Management,SES-0529873,EXP-00118,27274.26705274248,True
EVT-00500164,2025-11-10 20:33:48.113161,USR-113364,TNT-01017,Asset Search,Collaboration,SES-0825734,EXP-00064,50647.371431364976,True
EVT-00500165,2025-11-10 20:34:33.113161,USR-063049,TNT-01030,Asset Search,Collaboration,SES-0274854,EXP-00072,1523.8791881103555,False
EVT-00500166,2025-11-10 20:35:18.113161,USR-092969,TNT-01020,Asset Search,Collaboration,SES-0833873,None,5413.448493173366,False
EVT-00500167,2025-11-10 20:36:03.113161,USR-090274,TNT-01108,Collections,Asset Management,SES-0166820,EXP-00014,11801.87992522635,True
EVT-00500168,2025-11-10 20:36:48.113161,USR-041123,TNT-01139,Collaboration,Administration,SES-0450434,EXP-00145,27100.56652247714,False
EVT-00500169,2025-11-10 20:37:33.113161,USR-056433,TNT-01002,Bulk Upload,Analytics,SES-0407125,EXP-00043,48255.30211477585,False
EVT-00500170,2025-11-10 20:38:18.113161,USR-079842,TNT-01126,Sharing,Search & Discovery,SES-0956947,EXP-00109,11469.880362256448,False
EVT-00500171,2025-11-10 20:39:03.113161,USR-016095,TNT-01087,Export Pipeline,Collaboration,SES-0597277,EXP-00053,81689.37678197221,False
EVT-00500172,2025-11-10 20:39:48.113161,USR-106254,TNT-01062,Sharing,Analytics,SES-0948991,EXP-00065,3351.1628110552706,True
EVT-00500173,2025-11-10 20:40:33.113161,USR-023985,TNT-01087,Sharing,Administration,SES-0580807,EXP-00009,3674.7872743525377,False
EVT-00500174,2025-11-10 20:41:18.113161,USR-132420,TNT-01099,Collaboration,Search & Discovery,SES-0732728,EXP-00107,8508.418270590833,False
EVT-00500175,2025-11-10 20:42:03.113161,USR-076698,TNT-01069,Sharing,Search & Discovery,SES-0628710,EXP-00121,51122.06660944445,False
EVT-00500176,2025-11-10 20:42:48.113161,USR-071735,TNT-01093,Export Pipeline,Asset Management,SES-0905802,EXP-00034,1747.9646868752097,True
EVT-00500177,2025-11-10 20:43:33.113161,USR-109173,TNT-01147,Smart Tagging,Search & Discovery,SES-0543153,EXP-00118,4415.466090962986,False
EVT-00500178,2025-11-10 20:44:18.113161,USR-074772,TNT-01094,Metadata Editor,Analytics,SES-0491541,EXP-00018,3235.0817287840955,False
EVT-00500179,2025-11-10 20:45:03.113161,USR-123774,TNT-01130,Collaboration,Administration,SES-0787164,EXP-00069,23084.87432258472,False
EVT-00500180,2025-11-10 20:45:48.113161,USR-080556,TNT-01117,Collections,Collaboration,SES-0348715,EXP-00104,4947.092402652175,False
EVT-00500181,2025-11-10 20:46:33.113161,USR-119494,TNT-01051,Collections,Administration,SES-0732893,EXP-00135,15544.016160283454,False
EVT-00500182,2025-11-10 20:47:18.113161,USR-113237,TNT-01041,Export Pipeline,Collaboration,SES-0668231,EXP-00016,3711.094846514264,False
EVT-00500183,2025-11-10 20:48:03.113161,USR-110248,TNT-01114,Asset Search,Collaboration,SES-0162817,EXP-00141,2063.8271752005867,False
EVT-00500184,2025-11-10 20:48:48.113161,USR-120609,TNT-01087,Sharing,Administration,SES-0835839,EXP-00064,1153.2981713213967,False
EVT-00500185,2025-11-10 20:49:33.113161,USR-030789,TNT-01060,Smart Tagging,Administration,SES-0792044,EXP-00138,46636.96783985669,False
EVT-00500186,2025-11-10 20:50:18.113161,USR-031841,TNT-01112,Version Control,Administration,SES-0757341,EXP-00010,18609.595433068636,False
EVT-00500187,2025-11-10 20:51:03.113161,USR-120025,TNT-01086,Collections,Collaboration,SES-0951942,EXP-00085,4018.301157787206,False
