experiment_id,experiment_name,variant_id,variant_name,feature_name,start_date,target_metric,control_baseline,experiment_hypothesis
EXP-00021,Collaboration - Optimization Test,VAR-B-00021,Control,Asset Search,2025-08-28 01:45:03.113161,feature_adoption,0.6532785137807091,Comparing simplified workflow approach for Analytics Dashboard user experience
EXP-00022,Analytics Dashboard - Optimization Test,VAR-B-00022,Variant B,Bulk Upload,2025-09-02 01:45:03.113161,conversion_rate,0.16062195094563153,Comparing simplified workflow approach for Collections user experience
EXP-00023,Export Pipeline - Simplification Test,VAR-A-00023,Variant C,Version Control,2025-10-31 01:45:03.113161,conversion_rate,0.23482898275874667,Comparing enhanced algorithm approach for Collaboration user experience
EXP-00024,Analytics Dashboard - Redesign Test,VAR-B-00024,Variant B,Export Pipeline,2025-11-03 01:45:03.113161,user_satisfaction,0.6701002962618771,Evaluating redesigned interface design to increase Metadata Editor engagement
EXP-00025,Collaboration - Redesign Test,VAR-C-00025,Variant A,Smart Tagging,2025-11-10 01:45:03.113161,user_satisfaction,0.24784328128035904,Comparing new UI approach for Metadata Editor user experience
EXP-00026,Asset Search - Optimization Test,VAR-A-00026,Variant A,Collaboration,2025-09-22 01:45:03.113161,feature_adoption,0.24168350898832258,Measuring impact of new UI on Metadata Editor workflow efficiency
EXP-00027,Sharing - Simplification Test,VAR-B-00027,Control,Analytics Dashboard,2025-10-13 01:45:03.113161,conversion_rate,0.30377622840146934,Measuring impact of enhanced algorithm on Metadata Editor workflow efficiency
EXP-00028,Bulk Upload - Redesign Test,VAR-B-00028,Variant C,Version Control,2025-09-30 01:45:03.113161,time_to_complete,0.7103261658939043,Testing new UI for improved Metadata Editor performance
EXP-00029,Bulk Upload - Simplification Test,VAR-C-00029,Variant A,Collaboration,2025-09-30 01:45:03.113161,conversion_rate,0.6628349918380783,Measuring impact of redesigned interface on Collaboration workflow efficiency
EXP-00030,Smart Tagging - Redesign Test,VAR-B-00030,Variant A,Analytics Dashboard,2025-10-12 01:45:03.113161,conversion_rate,0.25621446448302376,Comparing redesigned interface approach for Collaboration user experience
EXP-00031,Metadata Editor - Enhancement Test,VAR-B-00031,Variant C,Bulk Upload,2025-09-15 01:45:03.113161,time_to_complete,0.20136336446236597,Evaluating redesigned interface design to increase Asset Search engagement
EXP-00032,Export Pipeline - Optimization Test,VAR-B-00032,Control,Collaboration,2025-09-28 01:45:03.113161,user_satisfaction,0.2674265731228251,Comparing new UI approach for Asset Search user experience
EXP-00033,Collections - Enhancement Test,VAR-C-00033,Control,Analytics Dashboard,2025-10-11 01:45:03.113161,conversion_rate,0.26145927056544516,Evaluating redesigned interface design to increase Collaboration engagement
EXP-00034,Version Control - Simplification Test,VAR-B-00034,Variant B,Collections,2025-09-26 01:45:03.113161,user_satisfaction,0.2584960409587257,Measuring impact of redesigned interface on Metadata Editor workflow efficiency
EXP-00035,Analytics Dashboard - Simplification Test,VAR-A-00035,Variant C,Asset Search,2025-08-24 01:45:03.113161,feature_adoption,0.5923377922099955,Evaluating new UI design to increase Metadata Editor engagement
EXP-00036,Collaboration - Optimization Test,VAR-C-00036,Control,Asset Search,2025-08-20 01:45:03.113161,time_to_complete,0.5732486365827499,Evaluating enhanced algorithm design to increase Asset Search engagement
EXP-00037,Collaboration - Optimization Test,VAR-C-00037,Variant B,Smart Tagging,2025-09-28 01:45:03.113161,user_satisfaction,0.33627788161688255,Measuring impact of redesigned interface on Collaboration workflow efficiency
EXP-00038,Collaboration - Redesign Test,VAR-B-00038,Variant B,Smart Tagging,2025-09-15 01:45:03.113161,conversion_rate,0.1754045695664213,Testing simplified workflow for improved Asset Search performance
EXP-00039,Bulk Upload - Simplification Test,VAR-B-00039,Control,Version Control,2025-08-27 01:45:03.113161,feature_adoption,0.7450889004341931,Evaluating enhanced algorithm design to increase Sharing engagement
EXP-00040,Analytics Dashboard - Enhancement Test,VAR-A-00040,Variant A,Smart Tagging,2025-08-24 01:45:03.113161,time_to_complete,0.576384168779965,Measuring impact of redesigned interface on Sharing workflow efficiency
EXP-00041,Export Pipeline - Enhancement Test,VAR-B-00041,Control,Sharing,2025-09-10 01:45:03.113161,time_to_complete,0.73245858754451,Measuring impact of simplified workflow on Smart Tagging workflow efficiency
EXP-00042,Collections - Optimization Test,VAR-B-00042,Control,Metadata Editor,2025-09-16 01:45:03.113161,user_satisfaction,0.47544565120732707,Testing simplified workflow for improved Metadata Editor performance
EXP-00043,Metadata Editor - Redesign Test,VAR-B-00043,Variant C,Bulk Upload,2025-10-28 01:45:03.113161,conversion_rate,0.196174157842006,Evaluating new UI design to increase Export Pipeline engagement
EXP-00044,Bulk Upload - Optimization Test,VAR-B-00044,Variant A,Asset Search,2025-10-12 01:45:03.113161,feature_adoption,0.7156622451801193,Testing new UI for improved Asset Search performance
EXP-00045,Metadata Editor - Simplification Test,VAR-C-00045,Variant A,Smart Tagging,2025-10-25 01:45:03.113161,time_to_complete,0.4582078582069228,Comparing enhanced algorithm approach for Version Control user experience
EXP-00046,Version Control - Redesign Test,VAR-B-00046,Variant C,Smart Tagging,2025-10-21 01:45:03.113161,user_satisfaction,0.5905001867990165,Comparing enhanced algorithm approach for Export Pipeline user experience
EXP-00047,Asset Search - Redesign Test,VAR-A-00047,Control,Version Control,2025-09-13 01:45:03.113161,conversion_rate,0.6278928799082009,Measuring impact of redesigned interface on Metadata Editor workflow efficiency
EXP-00048,Collaboration - Enhancement Test,VAR-A-00048,Control,Version Control,2025-10-21 01:45:03.113161,time_to_complete,0.6435778125948135,Testing new UI for improved Collections performance
EXP-00049,Smart Tagging - Redesign Test,VAR-C-00049,Control,Analytics Dashboard,2025-11-11 01:45:03.113161,feature_adoption,0.6752848146408796,Measuring impact of enhanced algorithm on Collaboration workflow efficiency
EXP-00050,Sharing - Enhancement Test,VAR-B-00050,Variant C,Version Control,2025-10-28 01:45:03.113161,user_satisfaction,0.577702193422795,Comparing simplified workflow approach for Export Pipeline user experience
EXP-00051,Export Pipeline - Simplification Test,VAR-C-00051,Variant B,Sharing,2025-08-30 01:45:03.113161,conversion_rate,0.45890848731768075,Evaluating redesigned interface design to increase Sharing engagement
EXP-00052,Metadata Editor - Optimization Test,VAR-C-00052,Variant C,Asset Search,2025-09-27 01:45:03.113161,feature_adoption,0.5913331754800238,Testing redesigned interface for improved Export Pipeline performance
EXP-00053,Asset Search - Optimization Test,VAR-A-00053,Control,Analytics Dashboard,2025-08-25 01:45:03.113161,user_satisfaction,0.69924892026248,Comparing new UI approach for Version Control user experience
EXP-00054,Smart Tagging - Simplification Test,VAR-C-00054,Variant A,Smart Tagging,2025-08-31 01:45:03.113161,time_to_complete,0.22502974401458425,Evaluating enhanced algorithm design to increase Collaboration engagement
EXP-00055,Sharing - Redesign Test,VAR-B-00055,Variant B,Bulk Upload,2025-09-24 01:45:03.113161,task_success_rate,0.1969161653925374,Comparing new UI approach for Analytics Dashboard user experience
EXP-00056,Metadata Editor - Enhancement Test,VAR-C-00056,Control,Sharing,2025-10-10 01:45:03.113161,conversion_rate,0.5932069976028455,Testing enhanced algorithm for improved Bulk Upload performance
EXP-00057,Metadata Editor - Enhancement Test,VAR-A-00057,Variant B,Sharing,2025-09-12 01:45:03.113161,task_success_rate,0.7353342805880068,Measuring impact of new UI on Sharing workflow efficiency
EXP-00058,Collections - Redesign Test,VAR-B-00058,Variant B,Version Control,2025-10-17 01:45:03.113161,feature_adoption,0.48553528876725205,Evaluating redesigned interface design to increase Export Pipeline engagement
EXP-00059,Asset Search - Enhancement Test,VAR-C-00059,Variant A,Analytics Dashboard,2025-10-11 01:45:03.113161,time_to_complete,0.18357092674719175,Evaluating simplified workflow design to increase Bulk Upload engagement
EXP-00060,Asset Search - Redesign Test,VAR-B-00060,Variant C,Export Pipeline,2025-08-19 01:45:03.113161,task_success_rate,0.6594410406113361,Evaluating redesigned interface design to increase Sharing engagement
EXP-00061,Bulk Upload - Enhancement Test,VAR-C-00061,Control,Collaboration,2025-09-26 01:45:03.113161,task_success_rate,0.37778829442852935,Comparing simplified workflow approach for Bulk Upload user experience
EXP-00062,Sharing - Simplification Test,VAR-B-00062,Variant A,Version Control,2025-08-15 01:45:03.113161,conversion_rate,0.4336189882881954,Comparing simplified workflow approach for Bulk Upload user experience
EXP-00063,Version Control - Optimization Test,VAR-A-00063,Variant A,Analytics Dashboard,2025-11-02 01:45:03.113161,user_satisfaction,0.6916242513153036,Comparing enhanced algorithm approach for Smart Tagging user experience
EXP-00064,Collaboration - Optimization Test,VAR-B-00064,Control,Smart Tagging,2025-09-14 01:45:03.113161,conversion_rate,0.24703898839042684,Comparing redesigned interface approach for Smart Tagging user experience
EXP-00065,Analytics Dashboard - Enhancement Test,VAR-A-00065,Variant A,Collaboration,2025-10-13 01:45:03.113161,time_to_complete,0.7192585790659771,Evaluating redesigned interface design to increase Export Pipeline engagement
EXP-00066,Smart Tagging - Enhancement Test,VAR-A-00066,Variant C,Sharing,2025-09-18 01:45:03.113161,task_success_rate,0.24606746160245838,Measuring impact of simplified workflow on Analytics Dashboard workflow efficiency
EXP-00067,Metadata Editor - Redesign Test,VAR-C-00067,Control,Bulk Upload,2025-11-06 01:45:03.113161,feature_adoption,0.262378368802525,Measuring impact of enhanced algorithm on Metadata Editor workflow efficiency
EXP-00068,Collections - Enhancement Test,VAR-C-00068,Variant A,Bulk Upload,2025-10-07 01:45:03.113161,conversion_rate,0.2758739365280596,Testing redesigned interface for improved Metadata Editor performance
EXP-00069,Analytics Dashboard - Simplification Test,VAR-C-00069,Variant B,Analytics Dashboard,2025-09-30 01:45:03.113161,time_to_complete,0.6539173406041421,Comparing enhanced algorithm approach for Sharing user experience
EXP-00070,Bulk Upload - Simplification Test,VAR-C-00070,Variant A,Metadata Editor,2025-09-18 01:45:03.113161,conversion_rate,0.3038832323363211,Evaluating redesigned interface design to increase Bulk Upload engagement
EXP-00071,Collaboration - Redesign Test,VAR-B-00071,Control,Smart Tagging,2025-10-02 01:45:03.113161,feature_adoption,0.40493084828215553,Measuring impact of redesigned interface on Smart Tagging workflow efficiency
EXP-00072,Sharing - Simplification Test,VAR-B-00072,Variant A,Smart Tagging,2025-09-21 01:45:03.113161,time_to_complete,0.2618640256094947,Evaluating new UI design to increase Smart Tagging engagement
EXP-00073,Version Control - Simplification Test,VAR-C-00073,Variant C,Collaboration,2025-08-19 01:45:03.113161,feature_adoption,0.29081498902941766,Testing enhanced algorithm for improved Collaboration performance
EXP-00074,Bulk Upload - Enhancement Test,VAR-A-00074,Control,Collaboration,2025-10-29 01:45:03.113161,time_to_complete,0.6078624089263587,Evaluating new UI design to increase Collections engagement
EXP-00075,Metadata Editor - Optimization Test,VAR-C-00075,Variant A,Export Pipeline,2025-09-20 01:45:03.113161,feature_adoption,0.2228640255301611,Testing redesigned interface for improved Version Control performance
EXP-00076,Metadata Editor - Enhancement Test,VAR-A-00076,Variant C,Analytics Dashboard,2025-08-15 01:45:03.113161,time_to_complete,0.28699003693225034,Testing enhanced algorithm for improved Metadata Editor performance
EXP-00077,Asset Search - Enhancement Test,VAR-A-00077,Variant A,Version Control,2025-10-08 01:45:03.113161,feature_adoption,0.4646773916710173,Measuring impact of enhanced algorithm on Sharing workflow efficiency
EXP-00078,Analytics Dashboard - Redesign Test,VAR-C-00078,Control,Version Control,2025-09-13 01:45:03.113161,conversion_rate,0.7170915935721909,Evaluating new UI design to increase Metadata Editor engagement
EXP-00079,Collaboration - Enhancement Test,VAR-A-00079,Variant B,Bulk Upload,2025-08-15 01:45:03.113161,time_to_complete,0.5250287634227989,Testing enhanced algorithm for improved Sharing performance
EXP-00080,Export Pipeline - Enhancement Test,VAR-C-00080,Variant B,Bulk Upload,2025-08-20 01:45:03.113161,feature_adoption,0.6084037716007391,Measuring impact of new UI on Sharing workflow efficiency
EXP-00081,Metadata Editor - Enhancement Test,VAR-B-00081,Control,Smart Tagging,2025-09-21 01:45:03.113161,conversion_rate,0.7421817729415682,Testing new UI for improved Version Control performance
EXP-00082,Sharing - Redesign Test,VAR-B-00082,Variant B,Sharing,2025-08-28 01:45:03.113161,task_success_rate,0.2668759343791939,Testing enhanced algorithm for improved Export Pipeline performance
EXP-00083,Analytics Dashboard - Enhancement Test,VAR-B-00083,Variant B,Smart Tagging,2025-09-09 01:45:03.113161,feature_adoption,0.5615559330514812,Measuring impact of redesigned interface on Bulk Upload workflow efficiency
EXP-00084,Metadata Editor - Redesign Test,VAR-C-00084,Variant B,Collaboration,2025-10-14 01:45:03.113161,conversion_rate,0.16489729492111999,Measuring impact of redesigned interface on Sharing workflow efficiency
EXP-00085,Collaboration - Enhancement Test,VAR-B-00085,Variant A,Collections,2025-09-11 01:45:03.113161,task_success_rate,0.5984839550089684,Comparing redesigned interface approach for Metadata Editor user experience
EXP-00086,Collections - Simplification Test,VAR-C-00086,Variant A,Asset Search,2025-08-29 01:45:03.113161,task_success_rate,0.534461399100224,Evaluating simplified workflow design to increase Smart Tagging engagement
EXP-00087,Asset Search - Optimization Test,VAR-A-00087,Variant A,Metadata Editor,2025-08-21 01:45:03.113161,task_success_rate,0.3673462168381588,Comparing simplified workflow approach for Version Control user experience
EXP-00088,Asset Search - Redesign Test,VAR-C-00088,Control,Smart Tagging,2025-10-16 01:45:03.113161,conversion_rate,0.2377261315412813,Comparing new UI approach for Version Control user experience
EXP-00089,Analytics Dashboard - Optimization Test,VAR-B-00089,Variant A,Export Pipeline,2025-09-06 01:45:03.113161,task_success_rate,0.6215845622291725,Comparing redesigned interface approach for Analytics Dashboard user experience
EXP-00090,Smart Tagging - Enhancement Test,VAR-B-00090,Control,Sharing,2025-10-24 01:45:03.113161,task_success_rate,0.30717215190360936,Evaluating redesigned interface design to increase Collaboration engagement
EXP-00091,Asset Search - Simplification Test,VAR-B-00091,Variant B,Sharing,2025-10-29 01:45:03.113161,feature_adoption,0.2622069778494004,Measuring impact of simplified workflow on Export Pipeline workflow efficiency
EXP-00092,Version Control - Simplification Test,VAR-A-00092,Control,Analytics Dashboard,2025-11-09 01:45:03.113161,time_to_complete,0.6858206218879822,Evaluating redesigned interface design to increase Export Pipeline engagement
EXP-00093,Sharing - Enhancement Test,VAR-B-00093,Variant C,Collections,2025-11-11 01:45:03.113161,feature_adoption,0.4013277429881943,Measuring impact of redesigned interface on Asset Search workflow efficiency
EXP-00094,Bulk Upload - Enhancement Test,VAR-B-00094,Variant A,Collaboration,2025-09-28 01:45:03.113161,conversion_rate,0.4316617692616685,Comparing redesigned interface approach for Export Pipeline user experience
EXP-00095,Asset Search - Enhancement Test,VAR-A-00095,Variant C,Asset Search,2025-08-26 01:45:03.113161,feature_adoption,0.5095270173444894,Measuring impact of redesigned interface on Collaboration workflow efficiency
EXP-00096,Collaboration - Optimization Test,VAR-B-00096,Control,Metadata Editor,2025-09-09 01:45:03.113161,task_success_rate,0.4696111504871279,Evaluating simplified workflow design to increase Collaboration engagement
EXP-00097,Metadata Editor - Simplification Test,VAR-B-00097,Variant C,Collaboration,2025-09-28 01:45:03.113161,time_to_complete,0.6040781466399078,Testing simplified workflow for improved Analytics Dashboard performance
EXP-00098,Bulk Upload - Simplification Test,VAR-A-00098,Control,Smart Tagging,2025-08-22 01:45:03.113161,conversion_rate,0.19860509375757132,Evaluating simplified workflow design to increase Analytics Dashboard engagement
EXP-00099,Bulk Upload - Enhancement Test,VAR-A-00099,Variant C,Metadata Editor,2025-08-15 01:45:03.113161,task_success_rate,0.16248165724669722,Comparing simplified workflow approach for Export Pipeline user experience
EXP-00100,Smart Tagging - Redesign Test,VAR-A-00100,Variant A,Analytics Dashboard,2025-10-25 01:45:03.113161,conversion_rate,0.3092645322503212,Evaluating new UI design to increase Sharing engagement
EXP-00101,Collaboration - Optimization Test,VAR-B-00101,Variant C,Collections,2025-09-10 01:45:03.113161,time_to_complete,0.2824959024643599,Evaluating new UI design to increase Bulk Upload engagement
EXP-00102,Analytics Dashboard - Enhancement Test,VAR-A-00102,Control,Export Pipeline,2025-10-29 01:45:03.113161,conversion_rate,0.45941130986633405,Measuring impact of enhanced algorithm on Smart Tagging workflow efficiency
EXP-00103,Metadata Editor - Enhancement Test,VAR-B-00103,Variant A,Smart Tagging,2025-09-27 01:45:03.113161,user_satisfaction,0.7064133821886416,Measuring impact of redesigned interface on Export Pipeline workflow efficiency
EXP-00104,Version Control - Redesign Test,VAR-A-00104,Control,Export Pipeline,2025-09-11 01:45:03.113161,time_to_complete,0.3404269223572411,Evaluating new UI design to increase Collaboration engagement
EXP-00105,Version Control - Simplification Test,VAR-C-00105,Control,Bulk Upload,2025-10-12 01:45:03.113161,feature_adoption,0.5288811815114272,Comparing simplified workflow approach for Export Pipeline user experience
EXP-00106,Export Pipeline - Redesign Test,VAR-B-00106,Variant A,Collections,2025-09-03 01:45:03.113161,task_success_rate,0.6637296086271862,Testing enhanced algorithm for improved Metadata Editor performance
EXP-00107,Version Control - Simplification Test,VAR-A-00107,Variant B,Smart Tagging,2025-08-15 01:45:03.113161,time_to_complete,0.3483075010204259,Testing redesigned interface for improved Sharing performance
EXP-00108,Sharing - Enhancement Test,VAR-B-00108,Variant A,Collaboration,2025-09-28 01:45:03.113161,conversion_rate,0.29483570325335434,Measuring impact of enhanced algorithm on Asset Search workflow efficiency
EXP-00109,Smart Tagging - Redesign Test,VAR-C-00109,Variant C,Export Pipeline,2025-08-22 01:45:03.113161,time_to_complete,0.6426492659181728,Evaluating enhanced algorithm design to increase Asset Search engagement
EXP-00110,Collections - Enhancement Test,VAR-B-00110,Control,Smart Tagging,2025-10-28 01:45:03.113161,conversion_rate,0.6299444854109175,Measuring impact of redesigned interface on Sharing workflow efficiency
EXP-00111,Smart Tagging - Simplification Test,VAR-C-00111,Variant B,Collections,2025-10-10 01:45:03.113161,time_to_complete,0.5756821843815061,Measuring impact of enhanced algorithm on Asset Search workflow efficiency
EXP-00112,Version Control - Optimization Test,VAR-A-00112,Variant C,Export Pipeline,2025-08-22 01:45:03.113161,conversion_rate,0.6166473841907185,Evaluating redesigned interface design to increase Sharing engagement
EXP-00113,Version Control - Redesign Test,VAR-A-00113,Variant A,Collections,2025-09-12 01:45:03.113161,task_success_rate,0.7225947618159799,Evaluating new UI design to increase Version Control engagement
EXP-00114,Sharing - Redesign Test,VAR-A-00114,Control,Smart Tagging,2025-10-05 01:45:03.113161,conversion_rate,0.640911050871799,Measuring impact of new UI on Collaboration workflow efficiency
EXP-00115,Metadata Editor - Simplification Test,VAR-C-00115,Variant B,Metadata Editor,2025-10-18 01:45:03.113161,time_to_complete,0.19943988251332143,Testing simplified workflow for improved Asset Search performance
EXP-00116,Sharing - Optimization Test,VAR-A-00116,Variant B,Metadata Editor,2025-08-30 01:45:03.113161,conversion_rate,0.7029887265239219,Testing new UI for improved Asset Search performance
EXP-00117,Collaboration - Simplification Test,VAR-B-00117,Variant A,Export Pipeline,2025-10-14 01:45:03.113161,task_success_rate,0.5701621184987529,Measuring impact of redesigned interface on Asset Search workflow efficiency
EXP-00118,Bulk Upload - Enhancement Test,VAR-B-00118,Variant C,Analytics Dashboard,2025-10-29 01:45:03.113161,user_satisfaction,0.17690296531484156,Comparing enhanced algorithm approach for Version Control user experience
EXP-00119,Bulk Upload - Optimization Test,VAR-A-00119,Control,Export Pipeline,2025-08-20 01:45:03.113161,feature_adoption,0.7180955973227159,Comparing redesigned interface approach for Analytics Dashboard user experience
EXP-00120,Analytics Dashboard - Enhancement Test,VAR-B-00120,Variant A,Bulk Upload,2025-11-07 01:45:03.113161,user_satisfaction,0.35793935198573806,Testing redesigned interface for improved Asset Search performance
EXP-00121,Version Control - Redesign Test,VAR-A-00121,Variant C,Asset Search,2025-11-09 01:45:03.113161,user_satisfaction,0.19442693136415667,Measuring impact of enhanced algorithm on Collections workflow efficiency
EXP-00122,Version Control - Optimization Test,VAR-C-00122,Variant C,Bulk Upload,2025-11-06 01:45:03.113161,conversion_rate,0.34897757800992474,Comparing simplified workflow approach for Asset Search user experience
EXP-00123,Sharing - Enhancement Test,VAR-C-00123,Variant A,Bulk Upload,2025-09-01 01:45:03.113161,feature_adoption,0.3576445637160407,Comparing redesigned interface approach for Collections user experience
EXP-00124,Version Control - Redesign Test,VAR-B-00124,Variant A,Export Pipeline,2025-10-25 01:45:03.113161,user_satisfaction,0.6865182879730186,Comparing simplified workflow approach for Collaboration user experience
EXP-00125,Smart Tagging - Optimization Test,VAR-C-00125,Variant A,Metadata Editor,2025-10-23 01:45:03.113161,conversion_rate,0.2659005284620663,Evaluating enhanced algorithm design to increase Bulk Upload engagement
EXP-00126,Smart Tagging - Redesign Test,VAR-C-00126,Variant B,Smart Tagging,2025-10-12 01:45:03.113161,conversion_rate,0.22401068286700832,Comparing enhanced algorithm approach for Sharing user experience
EXP-00127,Asset Search - Redesign Test,VAR-C-00127,Control,Export Pipeline,2025-10-18 01:45:03.113161,conversion_rate,0.5496672196073773,Measuring impact of enhanced algorithm on Metadata Editor workflow efficiency
EXP-00128,Collections - Simplification Test,VAR-C-00128,Control,Metadata Editor,2025-10-13 01:45:03.113161,user_satisfaction,0.3937142414220936,Comparing redesigned interface approach for Collections user experience
EXP-00129,Version Control - Redesign Test,VAR-A-00129,Variant B,Smart Tagging,2025-09-18 01:45:03.113161,feature_adoption,0.28949928067482017,Comparing simplified workflow approach for Smart Tagging user experience
EXP-00130,Smart Tagging - Simplification Test,VAR-B-00130,Control,Asset Search,2025-10-08 01:45:03.113161,time_to_complete,0.3825589774854292,Measuring impact of new UI on Asset Search workflow efficiency
EXP-00131,Export Pipeline - Redesign Test,VAR-A-00131,Variant B,Smart Tagging,2025-10-27 01:45:03.113161,user_satisfaction,0.3479110075011211,Comparing simplified workflow approach for Sharing user experience
EXP-00132,Collections - Enhancement Test,VAR-B-00132,Variant C,Smart Tagging,2025-09-30 01:45:03.113161,feature_adoption,0.7067165008833302,Evaluating new UI design to increase Analytics Dashboard engagement
EXP-00133,Bulk Upload - Optimization Test,VAR-C-00133,Variant A,Bulk Upload,2025-09-23 01:45:03.113161,feature_adoption,0.2980857269841166,Comparing new UI approach for Sharing user experience
EXP-00134,Metadata Editor - Redesign Test,VAR-C-00134,Variant A,Collaboration,2025-08-21 01:45:03.113161,task_success_rate,0.7414626551298366,Comparing simplified workflow approach for Collaboration user experience
EXP-00135,Collections - Enhancement Test,VAR-A-00135,Variant A,Collaboration,2025-11-04 01:45:03.113161,user_satisfaction,0.33417555836263424,Measuring impact of enhanced algorithm on Export Pipeline workflow efficiency
EXP-00136,Metadata Editor - Optimization Test,VAR-A-00136,Variant C,Collections,2025-09-08 01:45:03.113161,task_success_rate,0.2913941617682279,Measuring impact of new UI on Smart Tagging workflow efficiency
EXP-00137,Collections - Enhancement Test,VAR-C-00137,Variant B,Version Control,2025-10-09 01:45:03.113161,task_success_rate,0.5651697818665632,Evaluating new UI design to increase Metadata Editor engagement
EXP-00138,Collections - Enhancement Test,VAR-C-00138,Variant B,Asset Search,2025-09-15 01:45:03.113161,feature_adoption,0.2717006984205049,Comparing enhanced algorithm approach for Bulk Upload user experience
EXP-00139,Smart Tagging - Optimization Test,VAR-B-00139,Variant C,Collections,2025-10-22 01:45:03.113161,task_success_rate,0.626384828173509,Comparing enhanced algorithm approach for Collections user experience
EXP-00140,Version Control - Enhancement Test,VAR-B-00140,Variant C,Analytics Dashboard,2025-10-29 01:45:03.113161,time_to_complete,0.7101826767541782,Evaluating simplified workflow design to increase Bulk Upload engagement
EXP-00141,Asset Search - Optimization Test,VAR-A-00141,Variant A,Bulk Upload,2025-09-30 01:45:03.113161,conversion_rate,0.444360452356738,Measuring impact of simplified workflow on Sharing workflow efficiency
EXP-00142,Bulk Upload - Redesign Test,VAR-A-00142,Variant B,Collections,2025-08-19 01:45:03.113161,time_to_complete,0.6392794684124792,Testing enhanced algorithm for improved Asset Search performance
