denial_code,denial_reason,common_resolution,appeal_success_rate,category
D057,Claim submitted beyond timely filing limit,Obtain retroactive prior authorization,0.4949900837298135,Non-Covered Service
D058,Missing required documentation,Contact provider for corrected claim,0.7084224099512988,Non-Covered Service
D059,Service not medically necessary per clinical guidelines,Provide itemized bill and medical records,0.2310823143601994,Non-Covered Service
D060,Coordination of benefits issue,Provide itemized bill and medical records,0.4422273566496181,Medical Necessity
D061,Service not covered under member plan,Update COB information with primary carrier,0.5418967671945054,Duplicate Claim
D062,Claim submitted beyond timely filing limit,Contact provider for corrected claim,0.1900971225952005,Duplicate Claim
D063,Coordination of benefits issue,Resubmit with correct CPT/ICD-10 codes,0.4580853042768519,Coding Error
D064,Claim submitted beyond timely filing limit,No action needed - original claim paid,0.3262653993858378,Non-Covered Service
D065,Coordination of benefits issue,Obtain retroactive prior authorization,0.3631324077791285,Authorization Required
D066,Claim submitted beyond timely filing limit,Appeal with policy exception request,0.8432302272397223,Duplicate Claim
D067,Service not medically necessary per clinical guidelines,Contact provider for corrected claim,0.3827887105039768,Medical Necessity
D068,Missing required documentation,Update COB information with primary carrier,0.4802975359295467,Duplicate Claim
D069,Duplicate claim already processed,No action needed - original claim paid,0.8492708287307671,Medical Necessity
D070,Service not medically necessary per clinical guidelines,Update COB information with primary carrier,0.42657481075390224,Duplicate Claim
D071,Out-of-network provider without authorization,Contact provider for corrected claim,0.5767603146202854,Non-Covered Service
D072,Prior authorization required but not obtained,Resubmit with correct CPT/ICD-10 codes,0.84284875416563,Medical Necessity
D073,Service not covered under member plan,Appeal with policy exception request,0.6199015884437231,Authorization Required
D074,Plan exclusion applies,Submit clinical documentation supporting medical necessity,0.6307248627924927,Coding Error
D075,Incorrect procedure code submitted,Resubmit with correct CPT/ICD-10 codes,0.16792171059894054,Coding Error
D076,Incorrect procedure code submitted,Update COB information with primary carrier,0.6633226897756764,Medical Necessity
D077,Duplicate claim already processed,Obtain retroactive prior authorization,0.711173038889832,Timely Filing
D078,Out-of-network provider without authorization,Submit gap exception request,0.8292840970912292,Duplicate Claim
D079,Duplicate claim already processed,Submit gap exception request,0.7496705090761715,Duplicate Claim
D080,Coordination of benefits issue,Submit gap exception request,0.4264241616263356,Coding Error
