event_id,@timestamp,hss_node,sync_status,affected_imsi_count,database_partition,error_code,replication_lag_ms
HSS-00000020,2025-09-09 04:40:52.973878,hss-primary-2,Complete Failure,4437,partition-02,HSS-REP-101,26215
HSS-00000021,2025-09-09 05:37:21.973878,hss-primary-2,Complete Failure,4517,partition-07,HSS-DB-201,28534
HSS-00000022,2025-09-09 04:18:47.973878,hss-primary-2,Complete Failure,3952,partition-02,HSS-DB-201,28703
HSS-00000023,2025-09-09 02:10:56.973878,hss-primary-2,Complete Failure,3668,partition-07,HSS-SYNC-002,16760
HSS-00000024,2025-09-09 04:41:08.973878,hss-primary-2,Complete Failure,1812,partition-02,HSS-SYNC-003,22092
HSS-00000025,2025-09-08 23:37:55.973878,hss-primary-2,Partial Failure,247,partition-02,HSS-DB-202,517
HSS-00000026,2025-09-08 23:41:19.973878,hss-primary-2,Complete Failure,2761,partition-07,HSS-DB-202,27051
HSS-00000027,2025-09-09 02:39:35.973878,hss-primary-2,Partial Failure,145,partition-07,HSS-REP-102,1526
HSS-00000028,2025-09-09 03:52:09.973878,hss-primary-2,Timeout,809,partition-11,HSS-SYNC-003,57326
HSS-00000029,2025-09-08 23:24:52.973878,hss-primary-2,Complete Failure,4754,partition-11,HSS-SYNC-002,6712
HSS-00000030,2025-09-09 04:02:25.973878,hss-primary-2,Complete Failure,1065,partition-11,HSS-SYNC-001,18541
HSS-00000031,2025-09-09 04:01:43.973878,hss-primary-2,Complete Failure,2116,partition-11,HSS-SYNC-003,18605
HSS-00000032,2025-09-09 01:40:41.973878,hss-primary-2,Lag Warning,35,partition-04,HSS-SYNC-001,2667
HSS-00000033,2025-09-09 00:23:30.973878,hss-primary-2,Complete Failure,533,partition-04,HSS-SYNC-002,5003
HSS-00000034,2025-09-08 23:34:48.973878,hss-primary-2,Partial Failure,124,partition-07,HSS-REP-101,1908
HSS-00000035,2025-09-09 02:54:54.973878,hss-primary-2,Partial Failure,248,partition-04,HSS-SYNC-003,1771
HSS-00000036,2025-09-09 04:27:35.973878,hss-primary-2,Partial Failure,79,partition-02,HSS-SYNC-003,682
HSS-00000037,2025-09-09 02:25:52.973878,hss-primary-2,Complete Failure,824,partition-11,HSS-DB-201,6458
HSS-00000038,2025-09-09 04:33:31.973878,hss-primary-2,Complete Failure,1972,partition-11,HSS-REP-102,29450
HSS-00000039,2025-09-09 01:05:30.973878,hss-primary-2,Complete Failure,1619,partition-04,HSS-REP-102,18442
HSS-00000040,2025-09-09 00:19:19.973878,hss-primary-2,Complete Failure,2583,partition-11,HSS-DB-202,28802
HSS-00000041,2025-09-09 03:28:36.973878,hss-primary-2,Partial Failure,68,partition-07,HSS-DB-202,1124
HSS-00000042,2025-09-09 00:17:50.973878,hss-primary-2,Lag Warning,36,partition-02,HSS-SYNC-003,4335
HSS-00000043,2025-09-09 00:01:23.973878,hss-primary-2,Success,6,partition-07,HSS-SYNC-000,78
HSS-00000044,2025-09-09 04:11:50.973878,hss-primary-2,Complete Failure,844,partition-04,HSS-SYNC-003,11333
HSS-00000045,2025-09-09 01:19:52.973878,hss-primary-2,Partial Failure,478,partition-04,HSS-DB-202,1314
HSS-00000046,2025-09-09 05:37:52.973878,hss-primary-2,Success,6,partition-11,HSS-SYNC-000,38
HSS-00000047,2025-09-09 04:17:14.973878,hss-primary-2,Success,5,partition-11,HSS-SYNC-000,14
HSS-00000048,2025-09-09 04:56:36.973878,hss-primary-2,Partial Failure,178,partition-11,HSS-SYNC-002,1004
HSS-00000049,2025-09-09 01:20:22.973878,hss-primary-2,Complete Failure,4255,partition-04,HSS-SYNC-003,24869
HSS-00000050,2025-09-09 03:20:09.973878,hss-primary-2,Timeout,691,partition-02,HSS-SYNC-001,17935
HSS-00000051,2025-09-09 01:35:51.973878,hss-primary-2,Complete Failure,2687,partition-11,HSS-SYNC-002,5070
HSS-00000052,2025-09-09 02:05:40.973878,hss-primary-2,Complete Failure,4444,partition-07,HSS-DB-202,5450
HSS-00000053,2025-09-09 01:44:04.973878,hss-primary-2,Complete Failure,1027,partition-02,HSS-REP-102,12501
HSS-00000054,2025-09-09 02:43:40.973878,hss-primary-2,Complete Failure,4601,partition-04,HSS-DB-201,18761
HSS-00000055,2025-09-09 04:29:08.973878,hss-primary-2,Complete Failure,1683,partition-04,HSS-SYNC-001,7197
HSS-00000056,2025-09-09 01:34:34.973878,hss-primary-2,Complete Failure,4705,partition-04,HSS-SYNC-003,17474
HSS-00000057,2025-09-09 03:35:13.973878,hss-primary-2,Complete Failure,4725,partition-07,HSS-SYNC-001,21855
HSS-00000058,2025-09-08 23:50:51.973878,hss-primary-2,Partial Failure,360,partition-04,HSS-REP-102,1283
HSS-00000059,2025-09-09 00:20:06.973878,hss-primary-2,Complete Failure,1470,partition-07,HSS-SYNC-002,10190
HSS-00000060,2025-09-08 23:43:09.973878,hss-primary-2,Partial Failure,158,partition-07,HSS-DB-201,1896
HSS-00000061,2025-09-09 04:27:53.973878,hss-primary-2,Complete Failure,1689,partition-04,HSS-REP-102,6486
HSS-00000062,2025-09-09 01:43:50.973878,hss-primary-2,Lag Warning,24,partition-04,HSS-DB-202,4572
HSS-00000063,2025-09-09 02:46:04.973878,hss-primary-2,Complete Failure,2424,partition-11,HSS-SYNC-001,24783
HSS-00000064,2025-09-09 03:45:21.973878,hss-primary-2,Partial Failure,84,partition-07,HSS-REP-101,1009
HSS-00000065,2025-09-09 00:26:14.973878,hss-primary-2,Complete Failure,2872,partition-11,HSS-REP-101,23741
HSS-00000066,2025-09-09 04:37:49.973878,hss-primary-2,Partial Failure,183,partition-02,HSS-REP-101,1350
HSS-00000067,2025-09-09 05:43:31.973878,hss-primary-2,Partial Failure,375,partition-04,HSS-REP-101,1563
HSS-00000068,2025-09-09 02:14:40.973878,hss-primary-2,Complete Failure,4154,partition-07,HSS-DB-201,17767
HSS-00000069,2025-09-09 04:21:45.973878,hss-primary-2,Complete Failure,1107,partition-11,HSS-REP-101,5848
HSS-00000070,2025-09-09 04:00:08.973878,hss-primary-2,Complete Failure,785,partition-07,HSS-SYNC-002,27266
HSS-00000071,2025-09-09 02:24:49.973878,hss-primary-2,Partial Failure,204,partition-02,HSS-SYNC-001,654
HSS-00000072,2025-09-09 00:27:44.973878,hss-primary-2,Lag Warning,3,partition-11,HSS-SYNC-002,2254
HSS-00000073,2025-09-09 03:49:24.973878,hss-primary-2,Success,4,partition-04,HSS-SYNC-000,71
HSS-00000074,2025-09-09 00:04:00.973878,hss-primary-2,Complete Failure,3496,partition-04,HSS-DB-201,22391
HSS-00000075,2025-09-09 00:26:10.973878,hss-primary-2,Complete Failure,4637,partition-02,HSS-SYNC-003,14866
HSS-00000076,2025-09-09 05:18:07.973878,hss-primary-2,Complete Failure,2013,partition-02,HSS-DB-201,9125
HSS-00000077,2025-09-09 05:46:59.973878,hss-primary-2,Complete Failure,2489,partition-02,HSS-SYNC-001,21586
HSS-00000078,2025-09-09 03:34:14.973878,hss-primary-2,Timeout,174,partition-02,HSS-SYNC-003,22302
HSS-00000079,2025-09-09 00:07:59.973878,hss-primary-2,Complete Failure,3490,partition-11,HSS-REP-102,6033
HSS-00000080,2025-09-08 23:18:52.973878,hss-primary-2,Lag Warning,29,partition-04,HSS-SYNC-001,4161
HSS-00000081,2025-09-09 05:43:51.973878,hss-primary-2,Lag Warning,20,partition-04,HSS-SYNC-002,4564
HSS-00000082,2025-09-09 05:11:04.973878,hss-primary-2,Partial Failure,246,partition-02,HSS-DB-201,1282
HSS-00000083,2025-09-09 02:00:28.973878,hss-primary-2,Success,9,partition-07,HSS-SYNC-000,86
HSS-00000084,2025-09-09 00:28:29.973878,hss-primary-2,Partial Failure,392,partition-07,HSS-DB-201,586
HSS-00000085,2025-09-09 02:36:31.973878,hss-primary-2,Complete Failure,1194,partition-04,HSS-DB-202,22367
HSS-00000086,2025-09-08 23:07:19.973878,hss-primary-2,Partial Failure,144,partition-04,HSS-SYNC-002,1863
HSS-00000087,2025-09-08 23:44:02.973878,hss-primary-2,Success,6,partition-07,HSS-SYNC-000,173
HSS-00000088,2025-09-09 05:48:35.973878,hss-primary-2,Success,3,partition-11,HSS-SYNC-000,138
HSS-00000089,2025-09-09 04:59:33.973878,hss-primary-2,Partial Failure,358,partition-04,HSS-DB-202,1049
HSS-00000090,2025-09-09 03:14:54.973878,hss-primary-2,Partial Failure,244,partition-07,HSS-REP-102,1792
HSS-00000091,2025-09-08 23:31:30.973878,hss-primary-2,Partial Failure,87,partition-07,HSS-REP-101,1834
HSS-00000092,2025-09-09 02:51:12.973878,hss-primary-2,Success,1,partition-07,HSS-SYNC-000,40
HSS-00000093,2025-09-09 05:08:20.973878,hss-primary-2,Partial Failure,77,partition-11,HSS-REP-102,649
HSS-00000094,2025-09-09 03:27:59.973878,hss-primary-2,Success,4,partition-02,HSS-SYNC-000,177
HSS-00000095,2025-09-09 05:20:57.973878,hss-primary-2,Complete Failure,1385,partition-11,HSS-REP-102,20574
HSS-00000096,2025-09-09 00:46:59.973878,hss-primary-2,Partial Failure,365,partition-02,HSS-SYNC-003,1703
HSS-00000097,2025-09-09 03:38:48.973878,hss-primary-2,Timeout,414,partition-11,HSS-DB-202,45450
HSS-00000098,2025-09-09 01:13:30.973878,hss-primary-2,Complete Failure,4602,partition-11,HSS-SYNC-001,29074
HSS-00000099,2025-09-09 03:06:51.973878,hss-primary-2,Complete Failure,4209,partition-04,HSS-REP-102,5936
HSS-00000100,2025-09-09 05:45:59.973878,hss-primary-2,Complete Failure,3651,partition-07,HSS-REP-102,6930
HSS-00000101,2025-09-09 02:07:19.973878,hss-primary-2,Partial Failure,404,partition-02,HSS-REP-102,1936
HSS-00000102,2025-09-09 05:51:02.973878,hss-primary-2,Partial Failure,271,partition-04,HSS-DB-202,1152
HSS-00000103,2025-09-09 01:38:30.973878,hss-primary-2,Partial Failure,256,partition-11,HSS-SYNC-001,1691
HSS-00000104,2025-09-09 02:12:20.973878,hss-primary-2,Complete Failure,3654,partition-02,HSS-REP-102,20145
HSS-00000105,2025-09-09 04:51:30.973878,hss-primary-2,Complete Failure,1640,partition-04,HSS-REP-101,18500
HSS-00000106,2025-09-09 01:45:28.973878,hss-primary-2,Partial Failure,147,partition-11,HSS-REP-101,1155
HSS-00000107,2025-09-09 01:52:28.973878,hss-primary-2,Complete Failure,3129,partition-11,HSS-DB-202,12231
HSS-00000108,2025-09-09 04:31:10.973878,hss-primary-2,Timeout,564,partition-11,HSS-DB-201,29140
HSS-00000109,2025-09-08 23:02:15.973878,hss-primary-2,Partial Failure,407,partition-04,HSS-DB-201,1307
HSS-00000110,2025-09-09 03:53:30.973878,hss-primary-2,Complete Failure,4656,partition-04,HSS-SYNC-002,15322
HSS-00000111,2025-09-09 01:26:57.973878,hss-primary-2,Success,8,partition-04,HSS-SYNC-000,30
HSS-00000112,2025-09-09 00:32:33.973878,hss-primary-2,Complete Failure,4689,partition-02,HSS-SYNC-002,18304
HSS-00000113,2025-09-09 01:38:45.973878,hss-primary-2,Partial Failure,391,partition-02,HSS-REP-101,1664
HSS-00000114,2025-09-09 00:41:05.973878,hss-primary-2,Timeout,204,partition-02,HSS-REP-101,57072
HSS-00000115,2025-09-09 00:41:47.973878,hss-primary-2,Complete Failure,1083,partition-11,HSS-SYNC-002,8462
HSS-00000116,2025-09-09 00:15:12.973878,hss-primary-2,Partial Failure,293,partition-02,HSS-DB-202,549
HSS-00000117,2025-09-09 02:32:42.973878,hss-primary-2,Partial Failure,339,partition-02,HSS-DB-202,1249
HSS-00000118,2025-09-09 01:43:51.973878,hss-primary-2,Timeout,645,partition-02,HSS-SYNC-003,28018
HSS-00000119,2025-09-08 23:32:36.973878,hss-primary-2,Timeout,347,partition-07,HSS-DB-202,24770
HSS-00000120,2025-09-09 00:30:57.973878,hss-primary-2,Complete Failure,3996,partition-07,HSS-REP-102,5606
HSS-00000121,2025-09-09 04:03:32.973878,hss-primary-2,Complete Failure,688,partition-11,HSS-REP-101,13676
HSS-00000122,2025-09-09 02:17:47.973878,hss-primary-2,Partial Failure,453,partition-11,HSS-REP-102,641
HSS-00000123,2025-09-09 03:40:12.973878,hss-primary-2,Lag Warning,39,partition-02,HSS-DB-202,2042
HSS-00000124,2025-09-09 00:06:27.973878,hss-primary-2,Complete Failure,2390,partition-07,HSS-SYNC-002,6643
HSS-00000125,2025-09-09 04:41:33.973878,hss-primary-2,Partial Failure,80,partition-04,HSS-REP-101,1502
HSS-00000126,2025-09-09 01:36:28.973878,hss-primary-2,Complete Failure,3743,partition-02,HSS-SYNC-001,21698
HSS-00000127,2025-09-09 03:37:54.973878,hss-primary-2,Partial Failure,453,partition-02,HSS-DB-202,1804
HSS-00000128,2025-09-09 00:33:18.973878,hss-primary-2,Lag Warning,46,partition-04,HSS-SYNC-001,4810
HSS-00000129,2025-09-08 22:57:27.973878,hss-primary-2,Complete Failure,1208,partition-11,HSS-SYNC-003,29469
HSS-00000130,2025-09-09 00:25:24.973878,hss-primary-2,Partial Failure,166,partition-02,HSS-REP-102,1032
HSS-00000131,2025-09-09 02:54:28.973878,hss-primary-2,Complete Failure,681,partition-04,HSS-SYNC-002,23304
HSS-00000132,2025-09-09 01:00:28.973878,hss-primary-2,Partial Failure,278,partition-11,HSS-SYNC-003,1057
HSS-00000133,2025-09-09 01:19:37.973878,hss-primary-2,Complete Failure,4758,partition-02,HSS-DB-202,9151
HSS-00000134,2025-09-09 01:24:30.973878,hss-primary-2,Complete Failure,4691,partition-04,HSS-SYNC-001,10250
HSS-00000135,2025-09-09 01:04:02.973878,hss-primary-2,Partial Failure,143,partition-02,HSS-REP-102,1334
HSS-00000136,2025-09-09 01:31:46.973878,hss-primary-2,Success,9,partition-11,HSS-SYNC-000,74
HSS-00000137,2025-09-09 00:32:10.973878,hss-primary-2,Complete Failure,4113,partition-04,HSS-SYNC-002,11659
HSS-00000138,2025-09-09 02:23:24.973878,hss-primary-2,Partial Failure,158,partition-04,HSS-REP-102,1669
HSS-00000139,2025-09-09 03:17:13.973878,hss-primary-2,Partial Failure,84,partition-07,HSS-DB-201,1347
HSS-00000140,2025-09-08 23:38:48.973878,hss-primary-2,Partial Failure,171,partition-04,HSS-SYNC-002,1889
HSS-00000141,2025-09-09 03:58:35.973878,hss-primary-2,Complete Failure,2105,partition-07,HSS-DB-201,8884
HSS-00000142,2025-09-09 02:12:48.973878,hss-primary-2,Complete Failure,1760,partition-04,HSS-SYNC-003,10427
HSS-00000143,2025-09-09 05:49:46.973878,hss-primary-2,Complete Failure,3202,partition-02,HSS-SYNC-002,21669
HSS-00000144,2025-09-09 03:11:38.973878,hss-primary-2,Lag Warning,0,partition-07,HSS-REP-102,3130
HSS-00000145,2025-09-09 00:55:36.973878,hss-primary-2,Complete Failure,3225,partition-07,HSS-DB-202,10753
HSS-00000146,2025-09-09 03:34:47.973878,hss-primary-2,Timeout,947,partition-07,HSS-REP-101,44810
HSS-00000147,2025-09-09 04:41:37.973878,hss-primary-2,Lag Warning,36,partition-02,HSS-SYNC-003,4567
HSS-00000148,2025-09-09 03:30:25.973878,hss-primary-2,Complete Failure,4092,partition-07,HSS-SYNC-001,20960
HSS-00000149,2025-09-09 03:44:27.973878,hss-primary-2,Partial Failure,267,partition-07,HSS-DB-201,1658
HSS-00000150,2025-09-08 23:01:45.973878,hss-primary-2,Success,4,partition-07,HSS-SYNC-000,47
HSS-00000151,2025-09-09 05:21:55.973878,hss-primary-2,Complete Failure,1590,partition-07,HSS-SYNC-002,15782
HSS-00000152,2025-09-09 03:17:40.973878,hss-primary-2,Timeout,956,partition-11,HSS-REP-102,55499
HSS-00000153,2025-09-09 04:45:57.973878,hss-primary-2,Success,6,partition-04,HSS-SYNC-000,194
HSS-00000154,2025-09-09 03:09:39.973878,hss-primary-2,Partial Failure,381,partition-02,HSS-REP-102,538
HSS-00000155,2025-09-09 00:18:20.973878,hss-primary-2,Partial Failure,492,partition-11,HSS-SYNC-002,1672
HSS-00000156,2025-09-09 00:47:11.973878,hss-primary-2,Partial Failure,175,partition-02,HSS-SYNC-002,793
HSS-00000157,2025-09-09 01:36:46.973878,hss-primary-2,Complete Failure,1143,partition-11,HSS-DB-201,24604
HSS-00000158,2025-09-09 02:42:31.973878,hss-primary-2,Complete Failure,3003,partition-04,HSS-SYNC-002,14582
HSS-00000159,2025-09-09 02:22:50.973878,hss-primary-2,Partial Failure,429,partition-04,HSS-SYNC-003,650
HSS-00000160,2025-09-09 02:15:41.973878,hss-primary-2,Partial Failure,304,partition-04,HSS-DB-201,609
HSS-00000161,2025-09-09 02:25:06.973878,hss-primary-2,Partial Failure,237,partition-11,HSS-DB-201,1115
HSS-00000162,2025-09-09 00:12:37.973878,hss-primary-2,Timeout,349,partition-04,HSS-REP-101,22084
HSS-00000163,2025-09-09 01:33:25.973878,hss-primary-2,Complete Failure,2521,partition-11,HSS-DB-202,29318
HSS-00000164,2025-09-08 23:19:08.973878,hss-primary-2,Partial Failure,219,partition-11,HSS-SYNC-003,1274
HSS-00000165,2025-09-09 01:06:21.973878,hss-primary-2,Timeout,786,partition-07,HSS-DB-202,16971
HSS-00000166,2025-09-09 05:08:16.973878,hss-primary-2,Success,9,partition-07,HSS-SYNC-000,41
HSS-00000167,2025-09-09 02:01:56.973878,hss-primary-2,Complete Failure,1395,partition-11,HSS-DB-202,15323
HSS-00000168,2025-09-09 03:12:35.973878,hss-primary-2,Complete Failure,4750,partition-11,HSS-DB-202,24060
HSS-00000169,2025-09-09 00:24:43.973878,hss-primary-2,Success,0,partition-04,HSS-SYNC-000,29
HSS-00000170,2025-09-09 01:28:32.973878,hss-primary-2,Timeout,678,partition-04,HSS-DB-201,21852
HSS-00000171,2025-09-09 04:08:30.973878,hss-primary-2,Timeout,774,partition-04,HSS-SYNC-002,16460
HSS-00000172,2025-09-09 00:17:34.973878,hss-primary-2,Complete Failure,1614,partition-11,HSS-SYNC-001,21109
HSS-00000173,2025-09-09 01:49:25.973878,hss-primary-2,Timeout,637,partition-07,HSS-SYNC-002,51161
HSS-00000174,2025-09-09 05:39:50.973878,hss-primary-2,Complete Failure,2475,partition-02,HSS-DB-202,8449
HSS-00000175,2025-09-09 02:56:51.973878,hss-primary-2,Complete Failure,1944,partition-11,HSS-SYNC-003,21096
HSS-00000176,2025-09-09 04:56:04.973878,hss-primary-2,Complete Failure,3731,partition-02,HSS-SYNC-003,22524
HSS-00000177,2025-09-09 01:55:22.973878,hss-primary-2,Timeout,738,partition-07,HSS-SYNC-002,12076
HSS-00000178,2025-09-09 04:17:27.973878,hss-primary-2,Partial Failure,121,partition-07,HSS-SYNC-001,1060
HSS-00000179,2025-09-09 00:43:27.973878,hss-primary-2,Lag Warning,40,partition-11,HSS-DB-202,2100
HSS-00000180,2025-09-08 23:18:27.973878,hss-primary-2,Complete Failure,4904,partition-07,HSS-DB-202,10100
HSS-00000181,2025-09-09 04:47:31.973878,hss-primary-2,Complete Failure,2626,partition-11,HSS-REP-102,25898
HSS-00000182,2025-09-09 04:06:27.973878,hss-primary-2,Partial Failure,331,partition-07,HSS-REP-102,1127
HSS-00000183,2025-09-09 03:37:00.973878,hss-primary-2,Success,4,partition-11,HSS-SYNC-000,58
HSS-00000184,2025-09-09 04:49:01.973878,hss-primary-2,Timeout,795,partition-07,HSS-REP-102,11093
HSS-00000185,2025-09-08 23:10:41.973878,hss-primary-2,Partial Failure,260,partition-11,HSS-REP-102,1712
HSS-00000186,2025-09-09 05:03:19.973878,hss-primary-2,Timeout,151,partition-11,HSS-DB-202,52872
HSS-00000187,2025-09-09 02:38:07.973878,hss-primary-2,Partial Failure,134,partition-11,HSS-REP-101,1001
HSS-00000188,2025-09-09 02:46:53.973878,hss-primary-2,Complete Failure,883,partition-11,HSS-DB-202,21920
HSS-00000189,2025-09-09 03:06:44.973878,hss-primary-2,Timeout,177,partition-04,HSS-DB-201,16903
HSS-00000190,2025-09-08 23:10:40.973878,hss-primary-2,Complete Failure,4124,partition-04,HSS-SYNC-003,10216
HSS-00000191,2025-09-08 23:52:42.973878,hss-primary-2,Complete Failure,1338,partition-02,HSS-SYNC-002,25948
HSS-00000192,2025-09-09 03:32:35.973878,hss-primary-2,Timeout,752,partition-02,HSS-DB-201,12927
HSS-00000193,2025-09-09 02:56:33.973878,hss-primary-2,Complete Failure,4579,partition-07,HSS-SYNC-001,24108
HSS-00000194,2025-09-09 02:36:32.973878,hss-primary-2,Partial Failure,115,partition-04,HSS-REP-102,1375
HSS-00000195,2025-09-09 03:36:12.973878,hss-primary-2,Complete Failure,3302,partition-11,HSS-REP-101,11487
HSS-00000196,2025-09-09 04:24:51.973878,hss-primary-2,Timeout,574,partition-02,HSS-REP-102,27592
HSS-00000197,2025-09-08 23:19:41.973878,hss-primary-2,Partial Failure,178,partition-11,HSS-SYNC-001,1820
HSS-00000198,2025-09-08 23:03:02.973878,hss-primary-2,Complete Failure,3806,partition-04,HSS-SYNC-001,16086
HSS-00000199,2025-09-09 00:42:41.973878,hss-primary-2,Complete Failure,2283,partition-07,HSS-DB-201,14935
HSS-00000200,2025-09-08 23:17:57.973878,hss-primary-2,Timeout,655,partition-02,HSS-SYNC-003,37713
HSS-00000201,2025-09-09 00:02:11.973878,hss-primary-2,Lag Warning,7,partition-11,HSS-DB-201,3316
HSS-00000202,2025-09-09 02:35:54.973878,hss-primary-2,Partial Failure,214,partition-04,HSS-SYNC-003,1244
HSS-00000203,2025-09-08 23:39:55.973878,hss-primary-2,Partial Failure,477,partition-07,HSS-REP-102,1470
HSS-00000204,2025-09-09 00:08:51.973878,hss-primary-2,Partial Failure,337,partition-11,HSS-DB-202,1123
HSS-00000205,2025-09-09 03:26:26.973878,hss-primary-2,Timeout,204,partition-04,HSS-REP-101,17055
HSS-00000206,2025-09-09 03:26:52.973878,hss-primary-2,Partial Failure,169,partition-04,HSS-SYNC-002,843
HSS-00000207,2025-09-09 05:10:56.973878,hss-primary-2,Complete Failure,2715,partition-02,HSS-DB-202,14278
HSS-00000208,2025-09-09 05:20:59.973878,hss-primary-2,Complete Failure,1421,partition-07,HSS-DB-201,17153
HSS-00000209,2025-09-09 03:52:35.973878,hss-primary-2,Partial Failure,446,partition-02,HSS-REP-102,945
HSS-00000210,2025-09-09 02:13:53.973878,hss-primary-2,Success,6,partition-02,HSS-SYNC-000,133
HSS-00000211,2025-09-09 02:21:21.973878,hss-primary-2,Complete Failure,4112,partition-07,HSS-REP-101,5667
HSS-00000212,2025-09-09 05:32:42.973878,hss-primary-2,Partial Failure,285,partition-11,HSS-SYNC-002,746
HSS-00000213,2025-09-08 23:53:28.973878,hss-primary-2,Complete Failure,4394,partition-11,HSS-DB-202,27442
HSS-00000214,2025-09-09 02:40:25.973878,hss-primary-2,Partial Failure,252,partition-07,HSS-REP-102,1472
HSS-00000215,2025-09-08 23:24:25.973878,hss-primary-2,Timeout,611,partition-11,HSS-REP-102,53927
HSS-00000216,2025-09-09 05:48:40.973878,hss-primary-2,Partial Failure,421,partition-11,HSS-DB-201,1532
HSS-00000217,2025-09-08 23:27:26.973878,hss-primary-2,Complete Failure,3419,partition-02,HSS-SYNC-001,10260
HSS-00000218,2025-09-08 23:17:55.973878,hss-primary-2,Complete Failure,3399,partition-11,HSS-DB-202,7472
HSS-00000219,2025-09-09 01:00:01.973878,hss-primary-2,Partial Failure,78,partition-04,HSS-SYNC-003,1823
HSS-00000220,2025-09-09 01:33:30.973878,hss-primary-2,Complete Failure,2728,partition-07,HSS-DB-202,6301
HSS-00000221,2025-09-09 01:48:24.973878,hss-primary-2,Complete Failure,4292,partition-07,HSS-SYNC-001,13264
HSS-00000222,2025-09-09 05:24:08.973878,hss-primary-2,Timeout,126,partition-07,HSS-REP-101,27146
HSS-00000223,2025-09-09 04:14:45.973878,hss-primary-2,Complete Failure,995,partition-11,HSS-REP-102,17305
HSS-00000224,2025-09-09 01:47:36.973878,hss-primary-2,Partial Failure,196,partition-02,HSS-SYNC-001,1238
HSS-00000225,2025-09-09 00:42:44.973878,hss-primary-2,Lag Warning,20,partition-11,HSS-SYNC-003,4015
HSS-00000226,2025-08-28 19:53:56.973878,hss-secondary-1,Success,8,partition-01,HSS-SYNC-000,135
HSS-00000227,2025-08-28 18:49:25.973878,hss-secondary-1,Complete Failure,4359,partition-03,HSS-SYNC-003,25584
HSS-00000228,2025-08-28 19:52:44.973878,hss-secondary-1,Complete Failure,4113,partition-03,HSS-DB-202,7916
HSS-00000229,2025-08-28 19:28:45.973878,hss-secondary-1,Complete Failure,3619,partition-06,HSS-SYNC-001,23404
HSS-00000230,2025-08-28 19:00:58.973878,hss-secondary-1,Partial Failure,295,partition-08,HSS-DB-201,1532
HSS-00000231,2025-08-28 20:20:12.973878,hss-secondary-1,Complete Failure,1493,partition-03,HSS-DB-202,27120
HSS-00000232,2025-08-28 18:42:31.973878,hss-secondary-1,Partial Failure,165,partition-16,HSS-SYNC-001,1436
HSS-00000233,2025-08-28 19:34:29.973878,hss-secondary-1,Lag Warning,21,partition-03,HSS-SYNC-001,2213
HSS-00000234,2025-08-28 19:21:21.973878,hss-secondary-1,Timeout,118,partition-06,HSS-DB-202,25252
HSS-00000235,2025-08-28 18:43:42.973878,hss-secondary-1,Complete Failure,4903,partition-13,HSS-REP-101,25428
HSS-00000236,2025-08-28 18:49:38.973878,hss-secondary-1,Success,2,partition-16,HSS-SYNC-000,191
HSS-00000237,2025-08-28 18:50:48.973878,hss-secondary-1,Partial Failure,447,partition-13,HSS-REP-102,1019
