event_id,@timestamp,imsi,mme_host,cell_id,procedure_type,failure_code,serving_plmn,tracking_area_code,failure_description,signaling_message_type,attach_attempt,handover_attempt,authentication_attempt,source_cell_id,target_cell_id
EVT-00000028,2025-09-25 08:45:43.973878,3102601000000643,mme-05.tmobile.net,CELL-0035,Handover,S1AP-201,310-260,TAC-9459,Authentication failure for subscriber - software bug,Attach Accept,False,True,False,CELL-0034,CELL-0034
EVT-00000029,2025-09-25 09:13:41.973878,3102601000000208,mme-05.tmobile.net,CELL-0063,Handover,S1AP-201,310-490,TAC-6876,Attach rejected due to signaling timeout on MME mme-05.tmobile.net,S1 Setup Request,False,True,False,CELL-0035,CELL-0065
EVT-00000030,2025-09-25 08:51:24.973878,3102601000000476,mme-05.tmobile.net,CELL-0023,Handover,S1AP-201,310-490,TAC-3700,Authentication failure for subscriber - hardware failure,Path Switch Request,False,True,False,CELL-0043,CELL-0043
EVT-00000031,2025-09-25 10:31:31.973878,3102601000000208,mme-05.tmobile.net,CELL-0066,Handover,S1AP-201,310-260,TAC-2960,Authentication failure for subscriber - authentication timeout,Authentication Request,False,True,False,CELL-0065,CELL-0078
EVT-00000032,2025-09-25 10:32:49.973878,3102601000000377,mme-05.tmobile.net,CELL-0034,Handover,S1AP-202,310-800,TAC-7761,HSS unreachable during Handover - database sync issue,Handover Required,False,True,False,CELL-0066,CELL-0028
EVT-00000033,2025-09-25 08:39:29.973878,3102601000000133,mme-05.tmobile.net,CELL-0063,Handover,S1AP-201,310-260,TAC-7023,Handover failure from CELL-0002 to CELL-0066 - network congestion,Attach Accept,False,True,False,CELL-0002,CELL-0066
EVT-00000034,2025-09-25 10:12:09.973878,3102601000000541,mme-05.tmobile.net,CELL-0005,Handover,S1AP-202,310-260,TAC-1472,Resource exhaustion on mme-05.tmobile.net - signaling timeout,Authentication Request,False,True,False,CELL-0068,CELL-0043
EVT-00000035,2025-09-25 09:09:31.973878,3102601000000101,mme-05.tmobile.net,CELL-0002,Handover,S1AP-202,310-260,TAC-9604,HSS unreachable during Handover - database sync issue,Authentication Request,False,True,False,CELL-0063,CELL-0063
EVT-00000036,2025-09-25 09:03:49.973878,3102601000000562,mme-05.tmobile.net,CELL-0063,Handover,S1AP-202,310-260,TAC-8646,TAU rejected - signaling timeout,Attach Accept,False,True,False,CELL-0078,CELL-0043
EVT-00000037,2025-09-25 08:36:43.973878,3102601000000064,mme-05.tmobile.net,CELL-0043,Handover,S1AP-202,310-260,TAC-8240,Resource exhaustion on mme-05.tmobile.net - software bug,Path Switch Request,False,True,False,CELL-0043,CELL-0066
EVT-00000038,2025-09-25 07:57:16.973878,3102601000000235,mme-05.tmobile.net,CELL-0028,Handover,S1AP-202,310-800,TAC-3555,Bearer modification rejected - database corruption,Initial UE Message,False,True,False,CELL-0023,CELL-0066
EVT-00000039,2025-09-25 11:02:28.973878,3102601000000185,mme-05.tmobile.net,CELL-0063,Handover,S1AP-202,310-800,TAC-2431,Service request timeout - security check failed,TAU Accept,False,True,False,CELL-0068,CELL-0059
EVT-00000040,2025-09-25 08:16:10.973878,3102601000000447,mme-05.tmobile.net,CELL-0065,Handover,S1AP-202,310-260,TAC-1241,PDN connectivity failure - HSS sync failure,Handover Required,False,True,False,CELL-0043,CELL-0023
EVT-00000041,2025-09-25 09:26:37.973878,3102601000000604,mme-05.tmobile.net,CELL-0043,Handover,S1AP-201,310-800,TAC-6108,Handover failure from CELL-0005 to CELL-0028 - network congestion,Uplink NAS Transport,False,True,False,CELL-0005,CELL-0028
EVT-00000042,2025-09-25 08:32:40.973878,3102601000000703,mme-05.tmobile.net,CELL-0002,Handover,S1AP-201,310-800,TAC-7685,Authentication failure for subscriber - invalid subscriber data,S1 Setup Request,False,True,False,CELL-0023,CELL-0068
EVT-00000043,2025-09-25 09:16:17.973878,3102601000000127,mme-05.tmobile.net,CELL-0002,Handover,S1AP-202,310-260,TAC-2160,Signaling storm detected - authentication timeout,Uplink NAS Transport,False,True,False,CELL-0035,CELL-0078
EVT-00000044,2025-09-25 08:31:11.973878,3102601000000093,mme-05.tmobile.net,CELL-0063,Handover,S1AP-201,310-490,TAC-1684,Resource exhaustion on mme-05.tmobile.net - invalid subscriber data,Attach Accept,False,True,False,CELL-0068,CELL-0043
EVT-00000045,2025-09-25 10:26:14.973878,3102601000000447,mme-05.tmobile.net,CELL-0059,Handover,S1AP-201,310-490,TAC-5467,TAU rejected - insufficient resources,Downlink NAS Transport,False,True,False,CELL-0005,CELL-0011
EVT-00000046,2025-09-25 09:27:07.973878,3102601000000084,mme-05.tmobile.net,CELL-0002,Handover,S1AP-201,310-260,TAC-7063,Authentication failure for subscriber - authentication timeout,Path Switch Request,False,True,False,CELL-0066,CELL-0005
EVT-00000047,2025-09-25 07:55:14.973878,3102601000000448,mme-05.tmobile.net,CELL-0078,Handover,S1AP-202,310-490,TAC-3234,HSS unreachable during Handover - database sync issue,Attach Accept,False,True,False,CELL-0063,CELL-0063
EVT-00000048,2025-09-25 09:35:01.973878,3102601000000681,mme-05.tmobile.net,CELL-0035,Handover,S1AP-202,310-260,TAC-2257,Bearer modification rejected - cell overload,Path Switch Request,False,True,False,CELL-0078,CELL-0011
EVT-00000049,2025-09-25 08:39:02.973878,3102601000000448,mme-05.tmobile.net,CELL-0066,Handover,S1AP-202,310-260,TAC-6647,Resource exhaustion on mme-05.tmobile.net - cell overload,Handover Required,False,True,False,CELL-0043,CELL-0011
EVT-00000050,2025-09-25 07:20:41.973878,3102601000000093,mme-05.tmobile.net,CELL-0034,Handover,S1AP-202,310-260,TAC-6097,Handover failure from CELL-0065 to CELL-0063 - invalid subscriber data,Uplink NAS Transport,False,True,False,CELL-0065,CELL-0063
EVT-00000051,2025-09-25 10:16:13.973878,3102601000000166,mme-05.tmobile.net,CELL-0078,Handover,S1AP-201,310-490,TAC-9945,Resource exhaustion on mme-05.tmobile.net - hardware failure,TAU Accept,False,True,False,CELL-0035,CELL-0043
EVT-00000052,2025-09-25 09:15:58.973878,3102601000000757,mme-05.tmobile.net,CELL-0034,Handover,S1AP-202,310-260,TAC-4431,Handover failure from CELL-0011 to CELL-0034 - network congestion,Initial UE Message,False,True,False,CELL-0011,CELL-0034
EVT-00000053,2025-09-25 11:01:36.973878,3102601000000012,mme-05.tmobile.net,CELL-0011,Handover,S1AP-201,310-260,TAC-4825,Signaling storm detected - security check failed,S1 Setup Request,False,True,False,CELL-0034,CELL-0073
EVT-00000054,2025-09-25 08:49:53.973878,3102601000000078,mme-05.tmobile.net,CELL-0028,Handover,S1AP-202,310-260,TAC-9643,Service request timeout - roaming restriction,Authentication Request,False,True,False,CELL-0078,CELL-0002
EVT-00000055,2025-09-25 08:04:39.973878,3102601000000080,mme-05.tmobile.net,CELL-0005,Handover,S1AP-202,310-490,TAC-6343,Handover failure from CELL-0028 to CELL-0028 - roaming restriction,Authentication Request,False,True,False,CELL-0028,CELL-0028
EVT-00000056,2025-09-25 10:07:29.973878,3102601000000776,mme-05.tmobile.net,CELL-0028,Handover,S1AP-202,310-490,TAC-8852,Bearer modification rejected - security check failed,Uplink NAS Transport,False,True,False,CELL-0028,CELL-0023
EVT-00000057,2025-09-25 09:54:05.973878,3102601000000084,mme-05.tmobile.net,CELL-0034,Handover,S1AP-202,310-260,TAC-4805,Authentication failure for subscriber - HSS sync failure,Downlink NAS Transport,False,True,False,CELL-0028,CELL-0034
EVT-00000058,2025-09-25 11:06:08.973878,3102601000000447,mme-05.tmobile.net,CELL-0035,Handover,S1AP-201,310-260,TAC-3411,Signaling storm detected - authentication timeout,Initial UE Message,False,True,False,CELL-0002,CELL-0063
EVT-00000059,2025-09-25 09:22:41.973878,3102601000000476,mme-05.tmobile.net,CELL-0002,Handover,S1AP-201,310-260,TAC-6439,Signaling storm detected - cell overload,Downlink NAS Transport,False,True,False,CELL-0035,CELL-0005
EVT-00000060,2025-09-25 10:33:03.973878,3102601000000246,mme-05.tmobile.net,CELL-0028,Handover,S1AP-202,310-260,TAC-3492,HSS unreachable during Handover - database sync issue,Handover Required,False,True,False,CELL-0002,CELL-0078
EVT-00000061,2025-09-25 09:15:15.973878,3102601000000705,mme-05.tmobile.net,CELL-0002,Handover,S1AP-201,310-490,TAC-6813,Resource exhaustion on mme-05.tmobile.net - roaming restriction,TAU Accept,False,True,False,CELL-0043,CELL-0035
EVT-00000062,2025-09-25 09:38:02.973878,3102601000000748,mme-05.tmobile.net,CELL-0028,Handover,S1AP-201,310-260,TAC-4795,Handover failure from CELL-0028 to CELL-0063 - software bug,Initial UE Message,False,True,False,CELL-0028,CELL-0063
EVT-00000063,2025-09-25 09:37:45.973878,3102601000000544,mme-05.tmobile.net,CELL-0063,Handover,S1AP-201,310-490,TAC-1565,Authentication failure for subscriber - signaling timeout,S1 Setup Request,False,True,False,CELL-0011,CELL-0078
EVT-00000064,2025-09-25 10:40:59.973878,3102601000000541,mme-05.tmobile.net,CELL-0078,Handover,S1AP-202,310-260,TAC-1091,Service request timeout - security check failed,Authentication Request,False,True,False,CELL-0063,CELL-0066
EVT-00000065,2025-09-25 07:59:55.973878,3102601000000373,mme-05.tmobile.net,CELL-0011,Handover,S1AP-201,310-490,TAC-3856,TAU rejected - authentication timeout,S1 Setup Request,False,True,False,CELL-0035,CELL-0028
EVT-00000066,2025-09-25 08:40:53.973878,3102601000000528,mme-05.tmobile.net,CELL-0034,Handover,S1AP-201,310-260,TAC-4185,Handover failure from CELL-0073 to CELL-0073 - network congestion,TAU Accept,False,True,False,CELL-0073,CELL-0073
EVT-00000067,2025-09-25 10:23:10.973878,3102601000000072,mme-05.tmobile.net,CELL-0028,Handover,S1AP-202,310-260,TAC-2284,Handover failure from CELL-0065 to CELL-0035 - database corruption,TAU Accept,False,True,False,CELL-0065,CELL-0035
EVT-00000068,2025-09-25 08:54:28.973878,3102601000000078,mme-05.tmobile.net,CELL-0078,Handover,S1AP-201,310-260,TAC-4865,PDN connectivity failure - cell overload,TAU Accept,False,True,False,CELL-0011,CELL-0078
EVT-00000069,2025-09-25 08:14:00.973878,3102601000000372,mme-05.tmobile.net,CELL-0023,Handover,S1AP-201,310-260,TAC-8632,Authentication failure for subscriber - signaling timeout,Initial UE Message,False,True,False,CELL-0028,CELL-0002
EVT-00000070,2025-09-25 07:27:21.973878,3102601000000671,mme-05.tmobile.net,CELL-0073,Handover,S1AP-201,310-260,TAC-2852,Authentication failure for subscriber - hardware failure,Attach Accept,False,True,False,CELL-0066,CELL-0068
EVT-00000071,2025-09-25 08:22:17.973878,3102601000000080,mme-05.tmobile.net,CELL-0023,Handover,S1AP-202,310-260,TAC-8564,PDN connectivity failure - hardware failure,TAU Accept,False,True,False,CELL-0002,CELL-0034
EVT-00000072,2025-09-25 11:03:38.973878,3102601000000625,mme-05.tmobile.net,CELL-0059,Handover,S1AP-202,310-490,TAC-9265,HSS unreachable during Handover - database sync issue,S1 Setup Request,False,True,False,CELL-0005,CELL-0068
EVT-00000073,2025-09-25 09:20:07.973878,3102601000000364,mme-05.tmobile.net,CELL-0066,Handover,S1AP-201,310-260,TAC-6545,Resource exhaustion on mme-05.tmobile.net - HSS sync failure,Initial UE Message,False,True,False,CELL-0063,CELL-0065
EVT-00000074,2025-09-25 07:34:37.973878,3102601000000293,mme-05.tmobile.net,CELL-0063,Handover,S1AP-201,310-260,TAC-2564,Service request timeout - roaming restriction,Attach Accept,False,True,False,CELL-0005,CELL-0023
EVT-00000075,2025-09-25 09:10:00.973878,3102601000000064,mme-05.tmobile.net,CELL-0065,Handover,S1AP-201,310-260,TAC-7187,Handover failure from CELL-0028 to CELL-0063 - authentication timeout,S1 Setup Request,False,True,False,CELL-0028,CELL-0063
EVT-00000076,2025-09-25 07:59:00.973878,3102601000000791,mme-05.tmobile.net,CELL-0063,Handover,S1AP-201,310-260,TAC-8169,Service request timeout - security check failed,Path Switch Request,False,True,False,CELL-0063,CELL-0078
EVT-00000077,2025-09-25 09:54:32.973878,3102601000000095,mme-05.tmobile.net,CELL-0063,Handover,S1AP-202,310-260,TAC-3572,Attach rejected due to hardware failure on MME mme-05.tmobile.net,Handover Required,False,True,False,CELL-0063,CELL-0073
EVT-00000078,2025-09-25 08:28:48.973878,3102601000000377,mme-05.tmobile.net,CELL-0065,Handover,S1AP-202,310-260,TAC-1701,Authentication failure for subscriber - cell overload,Uplink NAS Transport,False,True,False,CELL-0028,CELL-0005
EVT-00000079,2025-09-25 10:03:37.973878,3102601000000410,mme-05.tmobile.net,CELL-0034,Handover,S1AP-201,310-260,TAC-1615,TAU rejected - roaming restriction,Handover Required,False,True,False,CELL-0059,CELL-0034
EVT-00000080,2025-09-25 09:34:30.973878,3102601000000293,mme-05.tmobile.net,CELL-0028,Handover,S1AP-201,310-260,TAC-3220,Authentication failure for subscriber - authentication timeout,Downlink NAS Transport,False,True,False,CELL-0066,CELL-0059
EVT-00000081,2025-09-25 09:25:45.973878,3102601000000166,mme-05.tmobile.net,CELL-0059,Handover,S1AP-202,310-260,TAC-4510,Signaling storm detected - roaming restriction,S1 Setup Request,False,True,False,CELL-0028,CELL-0005
EVT-00000082,2025-09-25 10:42:05.973878,3102601000000064,mme-05.tmobile.net,CELL-0063,Handover,S1AP-201,310-260,TAC-7250,Resource exhaustion on mme-05.tmobile.net - roaming restriction,Path Switch Request,False,True,False,CELL-0073,CELL-0023
EVT-00000083,2025-09-25 07:29:00.973878,3102601000000078,mme-05.tmobile.net,CELL-0035,Handover,S1AP-202,310-260,TAC-5415,Handover failure from CELL-0066 to CELL-0028 - roaming restriction,Downlink NAS Transport,False,True,False,CELL-0066,CELL-0028
EVT-00000084,2025-09-25 10:04:57.973878,3102601000000207,mme-05.tmobile.net,CELL-0059,Handover,S1AP-201,310-260,TAC-9150,HSS unreachable during Handover - database sync issue,S1 Setup Request,False,True,False,CELL-0078,CELL-0028
EVT-00000085,2025-09-25 07:35:11.973878,3102601000000012,mme-05.tmobile.net,CELL-0002,Handover,S1AP-201,310-260,TAC-6254,Attach rejected due to database corruption on MME mme-05.tmobile.net,Handover Required,False,True,False,CELL-0034,CELL-0011
EVT-00000086,2025-09-25 08:04:37.973878,3102601000000013,mme-05.tmobile.net,CELL-0073,Handover,S1AP-201,310-260,TAC-5617,Handover failure from CELL-0002 to CELL-0035 - cell overload,Handover Required,False,True,False,CELL-0002,CELL-0035
EVT-00000087,2025-09-25 07:47:56.973878,3102601000000078,mme-05.tmobile.net,CELL-0066,Handover,S1AP-201,310-490,TAC-2834,Resource exhaustion on mme-05.tmobile.net - database corruption,S1 Setup Request,False,True,False,CELL-0011,CELL-0063
EVT-00000088,2025-09-25 08:46:46.973878,3102601000000364,mme-05.tmobile.net,CELL-0043,Handover,S1AP-202,310-260,TAC-7431,PDN connectivity failure - signaling timeout,Downlink NAS Transport,False,True,False,CELL-0068,CELL-0011
EVT-00000089,2025-09-25 08:23:19.973878,3102601000000762,mme-05.tmobile.net,CELL-0023,Handover,S1AP-201,310-260,TAC-3753,PDN connectivity failure - authentication timeout,Authentication Request,False,True,False,CELL-0023,CELL-0066
EVT-00000090,2025-09-25 08:39:09.973878,3102601000000207,mme-05.tmobile.net,CELL-0011,Handover,S1AP-201,310-490,TAC-5479,Bearer modification rejected - roaming restriction,Uplink NAS Transport,False,True,False,CELL-0066,CELL-0063
EVT-00000091,2025-09-25 09:44:36.973878,3102601000000546,mme-05.tmobile.net,CELL-0043,Handover,S1AP-201,310-260,TAC-1071,Bearer modification rejected - security check failed,Initial UE Message,False,True,False,CELL-0002,CELL-0034
EVT-00000092,2025-09-25 09:29:22.973878,3102601000000133,mme-05.tmobile.net,CELL-0005,Handover,S1AP-202,310-260,TAC-6882,Signaling storm detected - invalid subscriber data,Path Switch Request,False,True,False,CELL-0059,CELL-0034
EVT-00000093,2025-09-25 08:01:23.973878,3102601000000476,mme-05.tmobile.net,CELL-0002,Handover,S1AP-201,310-260,TAC-8417,PDN connectivity failure - roaming restriction,S1 Setup Request,False,True,False,CELL-0002,CELL-0065
EVT-00000094,2025-09-25 07:21:20.973878,3102601000000258,mme-05.tmobile.net,CELL-0002,Handover,S1AP-201,310-260,TAC-3675,PDN connectivity failure - authentication timeout,Downlink NAS Transport,False,True,False,CELL-0002,CELL-0034
EVT-00000095,2025-09-25 09:26:48.973878,3102601000000013,mme-05.tmobile.net,CELL-0043,Handover,S1AP-202,310-490,TAC-9698,Resource exhaustion on mme-05.tmobile.net - database corruption,Uplink NAS Transport,False,True,False,CELL-0005,CELL-0065
EVT-00000096,2025-09-25 07:36:37.973878,3102601000000264,mme-05.tmobile.net,CELL-0034,Handover,S1AP-201,310-490,TAC-3911,Resource exhaustion on mme-05.tmobile.net - security check failed,Attach Accept,False,True,False,CELL-0073,CELL-0059
EVT-00000097,2025-09-25 09:01:58.973878,3102601000000104,mme-05.tmobile.net,CELL-0035,Handover,S1AP-201,310-800,TAC-1773,TAU rejected - network congestion,S1 Setup Request,False,True,False,CELL-0068,CELL-0068
EVT-00000098,2025-09-25 08:59:18.973878,3102601000000752,mme-05.tmobile.net,CELL-0023,Handover,S1AP-202,310-260,TAC-1668,Authentication failure for subscriber - software bug,TAU Accept,False,True,False,CELL-0011,CELL-0005
EVT-00000099,2025-09-25 08:25:35.973878,3102601000000104,mme-05.tmobile.net,CELL-0034,Handover,S1AP-201,310-490,TAC-1804,Resource exhaustion on mme-05.tmobile.net - database corruption,S1 Setup Request,False,True,False,CELL-0043,CELL-0011
EVT-00000100,2025-09-25 08:30:51.973878,3102601000000562,mme-05.tmobile.net,CELL-0073,Handover,S1AP-201,310-260,TAC-7097,Attach rejected due to invalid subscriber data on MME mme-05.tmobile.net,Authentication Request,False,True,False,CELL-0063,CELL-0073
EVT-00000101,2025-09-25 08:01:09.973878,3102601000000013,mme-05.tmobile.net,CELL-0073,Handover,S1AP-201,310-490,TAC-9987,TAU rejected - authentication timeout,TAU Accept,False,True,False,CELL-0063,CELL-0078
EVT-00000102,2025-09-25 07:36:49.973878,3102601000000258,mme-05.tmobile.net,CELL-0066,Handover,S1AP-202,310-260,TAC-3014,PDN connectivity failure - invalid subscriber data,Initial UE Message,False,True,False,CELL-0002,CELL-0011
EVT-00000103,2025-09-25 07:23:47.973878,3102601000000317,mme-05.tmobile.net,CELL-0002,Handover,S1AP-201,310-490,TAC-8988,Service request timeout - cell overload,Handover Required,False,True,False,CELL-0073,CELL-0028
EVT-00000104,2025-09-25 08:38:14.973878,3102601000000132,mme-05.tmobile.net,CELL-0002,Handover,S1AP-202,310-260,TAC-3526,HSS unreachable during Handover - database sync issue,TAU Accept,False,True,False,CELL-0065,CELL-0028
EVT-00000105,2025-09-25 10:10:34.973878,3102601000000114,mme-05.tmobile.net,CELL-0028,Handover,S1AP-202,310-260,TAC-7056,Bearer modification rejected - invalid subscriber data,Handover Required,False,True,False,CELL-0028,CELL-0065
EVT-00000106,2025-09-25 10:48:07.973878,3102601000000207,mme-05.tmobile.net,CELL-0059,Handover,S1AP-201,310-800,TAC-5495,Attach rejected due to HSS sync failure on MME mme-05.tmobile.net,S1 Setup Request,False,True,False,CELL-0035,CELL-0043
EVT-00000107,2025-09-25 10:18:56.973878,3102601000000101,mme-05.tmobile.net,CELL-0035,Handover,S1AP-201,310-260,TAC-3037,Authentication failure for subscriber - security check failed,TAU Accept,False,True,False,CELL-0059,CELL-0011
EVT-00000108,2025-09-25 09:26:04.973878,3102601000000528,mme-05.tmobile.net,CELL-0034,Handover,S1AP-201,310-260,TAC-5374,Service request timeout - hardware failure,Downlink NAS Transport,False,True,False,CELL-0028,CELL-0066
EVT-00000109,2025-09-25 08:46:52.973878,3102601000000791,mme-05.tmobile.net,CELL-0059,Handover,S1AP-201,310-260,TAC-6902,Authentication failure for subscriber - authentication timeout,Initial UE Message,False,True,False,CELL-0005,CELL-0073
EVT-00000110,2025-09-25 08:16:50.973878,3102601000000133,mme-05.tmobile.net,CELL-0063,Handover,S1AP-201,310-260,TAC-9558,PDN connectivity failure - invalid subscriber data,Path Switch Request,False,True,False,CELL-0078,CELL-0011
EVT-00000111,2025-09-25 10:25:49.973878,3102601000000645,mme-05.tmobile.net,CELL-0002,Handover,S1AP-202,310-490,TAC-6031,Signaling storm detected - network congestion,Uplink NAS Transport,False,True,False,CELL-0011,CELL-0011
EVT-00000112,2025-09-25 09:50:27.973878,3102601000000185,mme-05.tmobile.net,CELL-0034,Handover,S1AP-201,310-260,TAC-3558,Authentication failure for subscriber - invalid subscriber data,Uplink NAS Transport,False,True,False,CELL-0034,CELL-0023
EVT-00000113,2025-09-25 10:20:45.973878,3102601000000207,mme-05.tmobile.net,CELL-0059,Handover,S1AP-201,310-800,TAC-9176,Signaling storm detected - roaming restriction,Path Switch Request,False,True,False,CELL-0034,CELL-0028
EVT-00000114,2025-09-25 07:11:44.973878,3102601000000662,mme-05.tmobile.net,CELL-0002,Handover,S1AP-201,310-490,TAC-2079,Resource exhaustion on mme-05.tmobile.net - signaling timeout,Authentication Request,False,True,False,CELL-0023,CELL-0023
