transaction_id,@timestamp,customer_id,product_id,channel,transaction_amount,payment_method,store_location,campaign_id
TXN00000040,2025-10-17 18:00:20.082623,CUST000074,PROD000082,e-commerce,32.44,credit_card,South Center,CAMP0047
TXN00000041,2025-10-17 18:15:20.082623,CUST000034,PROD000094,e-commerce,152.65,credit_card,South Center,CAMP0029
TXN00000042,2025-10-17 18:30:20.082623,CUST000130,PROD000041,e-commerce,79.85,cash,Downtown,CAMP0042
TXN00000043,2025-10-17 18:45:20.082623,CUST000112,PROD000108,in-store,17.85,digital_wallet,South Center,CAMP0062
TXN00000044,2025-10-17 19:00:20.082623,CUST000100,PROD000025,e-commerce,14.88,cash,North Plaza,CAMP0073
TXN00000045,2025-10-17 19:15:20.082623,CUST000001,PROD000137,e-commerce,68.98,buy_now_pay_later,North Plaza,CAMP0024
TXN00000046,2025-10-17 19:30:20.082623,CUST000014,PROD000078,in-store,18.1,debit_card,Suburban Center,NONE
TXN00000047,2025-10-17 19:45:20.082623,CUST000116,PROD000059,in-store,122.26,digital_wallet,Metro Station,CAMP0021
TXN00000048,2025-10-17 20:00:20.082623,CUST000128,PROD000099,in-store,17.78,credit_card,Riverside,NONE
TXN00000049,2025-10-17 20:15:20.082623,CUST000200,PROD000131,e-commerce,20.21,debit_card,South Center,CAMP0056
TXN00000050,2025-10-17 20:30:20.082623,CUST000019,PROD000135,in-store,5.31,debit_card,Uptown,CAMP0040
TXN00000051,2025-10-17 20:45:20.082623,CUST000118,PROD000074,e-commerce,297.26,credit_card,Uptown,CAMP0052
TXN00000052,2025-10-17 21:00:20.082623,CUST000197,PROD000102,in-store,5.49,buy_now_pay_later,Riverside,CAMP0035
TXN00000053,2025-10-17 21:15:20.082623,CUST000050,PROD000143,in-store,17.19,debit_card,Metro Station,CAMP0043
TXN00000054,2025-10-17 21:30:20.082623,CUST000119,PROD000130,e-commerce,17.04,debit_card,Westside Mall,CAMP0066
TXN00000055,2025-10-17 21:45:20.082623,CUST000186,PROD000010,in-store,11.48,debit_card,Riverside,NONE
TXN00000056,2025-10-17 22:00:20.082623,CUST000133,PROD000023,e-commerce,31.32,cash,Downtown,CAMP0074
TXN00000057,2025-10-17 22:15:20.082623,CUST000120,PROD000103,e-commerce,61.51,cash,Riverside,CAMP0039
TXN00000058,2025-10-17 22:30:20.082623,CUST000036,PROD000051,in-store,15.04,debit_card,East Market,CAMP0015
TXN00000059,2025-10-17 22:45:20.082623,CUST000163,PROD000075,in-store,93.12,buy_now_pay_later,East Market,CAMP0003
TXN00000060,2025-10-17 23:00:20.082623,CUST000104,PROD000140,e-commerce,18.37,buy_now_pay_later,Westside Mall,CAMP0044
TXN00000061,2025-10-17 23:15:20.082623,CUST000178,PROD000002,e-commerce,142.88,digital_wallet,Suburban Center,CAMP0037
TXN00000062,2025-10-17 23:30:20.082623,CUST000024,PROD000135,e-commerce,5.76,digital_wallet,North Plaza,CAMP0040
TXN00000063,2025-10-17 23:45:20.082623,CUST000130,PROD000123,e-commerce,70.3,debit_card,Riverside,CAMP0041
TXN00000064,2025-10-18 00:00:20.082623,CUST000127,PROD000095,e-commerce,18.04,cash,North Plaza,NONE
TXN00000065,2025-10-18 00:15:20.082623,CUST000047,PROD000024,e-commerce,47.53,debit_card,Metro Station,CAMP0077
TXN00000066,2025-10-18 00:30:20.082623,CUST000043,PROD000147,in-store,27.25,debit_card,Metro Station,CAMP0022
TXN00000067,2025-10-18 00:45:20.082623,CUST000105,PROD000120,e-commerce,41.21,digital_wallet,Westside Mall,NONE
TXN00000068,2025-10-18 01:00:20.082623,CUST000186,PROD000081,e-commerce,55.51,buy_now_pay_later,South Center,CAMP0060
TXN00000069,2025-10-18 01:15:20.082623,CUST000158,PROD000127,e-commerce,37.36,debit_card,Metro Station,CAMP0049
TXN00000070,2025-10-18 01:30:20.082623,CUST000114,PROD000108,e-commerce,9.53,credit_card,Uptown,CAMP0007
TXN00000071,2025-10-18 01:45:20.082623,CUST000183,PROD000131,e-commerce,6.55,credit_card,North Plaza,CAMP0016
TXN00000072,2025-10-18 02:00:20.082623,CUST000030,PROD000135,e-commerce,5.38,buy_now_pay_later,Riverside,CAMP0061
TXN00000073,2025-10-18 02:15:20.082623,CUST000023,PROD000150,e-commerce,90.69,digital_wallet,Airport,CAMP0078
TXN00000074,2025-10-18 02:30:20.082623,CUST000051,PROD000046,e-commerce,41.64,buy_now_pay_later,Westside Mall,CAMP0077
TXN00000075,2025-10-18 02:45:20.082623,CUST000133,PROD000125,in-store,33.66,digital_wallet,Uptown,CAMP0031
TXN00000076,2025-10-18 03:00:20.082623,CUST000120,PROD000090,in-store,57.91,buy_now_pay_later,Airport,CAMP0006
TXN00000077,2025-10-18 03:15:20.082623,CUST000137,PROD000122,e-commerce,21.24,digital_wallet,East Market,CAMP0028
TXN00000078,2025-10-18 03:30:20.082623,CUST000130,PROD000049,in-store,124.18,debit_card,Suburban Center,CAMP0016
TXN00000079,2025-10-18 03:45:20.082623,CUST000120,PROD000064,e-commerce,117.23,buy_now_pay_later,Airport,NONE
TXN00000080,2025-10-18 04:00:20.082623,CUST000185,PROD000055,e-commerce,64.99,debit_card,Metro Station,NONE
TXN00000081,2025-10-18 04:15:20.082623,CUST000097,PROD000100,e-commerce,14.76,cash,Metro Station,CAMP0016
TXN00000082,2025-10-18 04:30:20.082623,CUST000092,PROD000010,in-store,11.49,digital_wallet,Riverside,CAMP0080
TXN00000083,2025-10-18 04:45:20.082623,CUST000160,PROD000104,e-commerce,45.01,credit_card,Downtown,CAMP0064
TXN00000084,2025-10-18 05:00:20.082623,CUST000058,PROD000108,in-store,17.99,credit_card,Suburban Center,NONE
TXN00000085,2025-10-18 05:15:20.082623,CUST000089,PROD000104,in-store,14.68,digital_wallet,Metro Station,CAMP0005
TXN00000086,2025-10-18 05:30:20.082623,CUST000189,PROD000105,e-commerce,18.6,buy_now_pay_later,North Plaza,CAMP0002
TXN00000087,2025-10-18 05:45:20.082623,CUST000120,PROD000092,in-store,35.39,debit_card,Suburban Center,CAMP0038
TXN00000088,2025-10-18 06:00:20.082623,CUST000014,PROD000109,in-store,243.22,credit_card,Suburban Center,CAMP0009
TXN00000089,2025-10-18 06:15:20.082623,CUST000131,PROD000145,in-store,27.57,digital_wallet,Suburban Center,CAMP0042
TXN00000090,2025-10-18 06:30:20.082623,CUST000058,PROD000020,e-commerce,96.31,debit_card,Downtown,CAMP0050
TXN00000091,2025-10-18 06:45:20.082623,CUST000157,PROD000140,in-store,34.64,debit_card,Suburban Center,NONE
TXN00000092,2025-10-18 07:00:20.082623,CUST000054,PROD000128,e-commerce,91.33,credit_card,Uptown,CAMP0028
TXN00000093,2025-10-18 07:15:20.082623,CUST000118,PROD000003,e-commerce,12.91,credit_card,Metro Station,CAMP0023
TXN00000094,2025-10-18 07:30:20.082623,CUST000044,PROD000146,e-commerce,46.92,cash,Riverside,CAMP0014
TXN00000095,2025-10-18 07:45:20.082623,CUST000070,PROD000044,in-store,11.94,cash,Suburban Center,NONE
TXN00000096,2025-10-18 08:00:20.082623,CUST000116,PROD000087,e-commerce,45.1,digital_wallet,North Plaza,CAMP0057
TXN00000097,2025-10-18 08:15:20.082623,CUST000022,PROD000129,e-commerce,84.67,cash,Westside Mall,NONE
TXN00000098,2025-10-18 08:30:20.082623,CUST000123,PROD000021,in-store,18.55,digital_wallet,East Market,CAMP0022
TXN00000099,2025-10-18 08:45:20.082623,CUST000011,PROD000034,e-commerce,12.71,credit_card,Westside Mall,NONE
TXN00000100,2025-10-18 09:00:20.082623,CUST000047,PROD000032,e-commerce,8.9,credit_card,South Center,CAMP0048
TXN00000101,2025-10-18 09:15:20.082623,CUST000043,PROD000064,e-commerce,116.97,cash,Riverside,CAMP0049
TXN00000102,2025-10-18 09:30:20.082623,CUST000110,PROD000067,in-store,112.9,buy_now_pay_later,Airport,NONE
TXN00000103,2025-10-18 09:45:20.082623,CUST000149,PROD000085,in-store,320.57,cash,North Plaza,CAMP0055
TXN00000104,2025-10-18 10:00:20.082623,CUST000127,PROD000079,e-commerce,32.19,buy_now_pay_later,Westside Mall,CAMP0007
TXN00000105,2025-10-18 10:15:20.082623,CUST000131,PROD000068,e-commerce,714.42,debit_card,North Plaza,NONE
TXN00000106,2025-10-18 10:30:20.082623,CUST000117,PROD000066,e-commerce,67.74,cash,Suburban Center,CAMP0057
TXN00000107,2025-10-18 10:45:20.082623,CUST000028,PROD000088,e-commerce,54.04,digital_wallet,Riverside,CAMP0079
TXN00000108,2025-10-18 11:00:20.082623,CUST000033,PROD000007,e-commerce,34.55,debit_card,Downtown,CAMP0010
TXN00000109,2025-10-18 11:15:20.082623,CUST000138,PROD000028,e-commerce,15.24,debit_card,Westside Mall,NONE
TXN00000110,2025-10-18 11:30:20.082623,CUST000121,PROD000145,in-store,13.88,debit_card,Downtown,NONE
TXN00000111,2025-10-18 11:45:20.082623,CUST000174,PROD000081,in-store,57.8,credit_card,Riverside,CAMP0076
TXN00000112,2025-10-18 12:00:20.082623,CUST000011,PROD000063,in-store,119.2,buy_now_pay_later,Uptown,CAMP0037
TXN00000113,2025-10-18 12:15:20.082623,CUST000071,PROD000067,in-store,55.0,buy_now_pay_later,Airport,NONE
TXN00000114,2025-10-18 12:30:20.082623,CUST000024,PROD000131,e-commerce,13.0,debit_card,Suburban Center,CAMP0012
TXN00000115,2025-10-18 12:45:20.082623,CUST000186,PROD000110,e-commerce,4.88,cash,South Center,CAMP0001
TXN00000116,2025-10-18 13:00:20.082623,CUST000156,PROD000127,e-commerce,40.15,digital_wallet,Westside Mall,CAMP0077
TXN00000117,2025-10-18 13:15:20.082623,CUST000101,PROD000055,e-commerce,24.02,buy_now_pay_later,Uptown,CAMP0052
TXN00000118,2025-10-18 13:30:20.082623,CUST000165,PROD000023,in-store,36.39,credit_card,Westside Mall,CAMP0012
TXN00000119,2025-10-18 13:45:20.082623,CUST000063,PROD000107,e-commerce,51.95,digital_wallet,Uptown,CAMP0060
TXN00000120,2025-10-18 14:00:20.082623,CUST000131,PROD000134,in-store,44.37,debit_card,East Market,CAMP0007
TXN00000121,2025-10-18 14:15:20.082623,CUST000199,PROD000058,e-commerce,91.03,buy_now_pay_later,Uptown,NONE
TXN00000122,2025-10-18 14:30:20.082623,CUST000157,PROD000047,in-store,38.2,digital_wallet,Downtown,NONE
TXN00000123,2025-10-18 14:45:20.082623,CUST000173,PROD000003,e-commerce,42.9,buy_now_pay_later,Westside Mall,CAMP0008
TXN00000124,2025-10-18 15:00:20.082623,CUST000148,PROD000018,in-store,24.63,buy_now_pay_later,Westside Mall,CAMP0076
TXN00000125,2025-10-18 15:15:20.082623,CUST000199,PROD000072,in-store,41.43,buy_now_pay_later,Riverside,CAMP0042
TXN00000126,2025-10-18 15:30:20.082623,CUST000095,PROD000055,e-commerce,22.82,buy_now_pay_later,Riverside,CAMP0004
TXN00000127,2025-10-18 15:45:20.082623,CUST000160,PROD000032,e-commerce,18.03,debit_card,Uptown,CAMP0043
TXN00000128,2025-10-18 16:00:20.082623,CUST000150,PROD000135,e-commerce,5.48,digital_wallet,Uptown,CAMP0036
TXN00000129,2025-10-18 16:15:20.082623,CUST000187,PROD000093,e-commerce,67.79,cash,North Plaza,CAMP0016
TXN00000130,2025-10-18 16:30:20.082623,CUST000067,PROD000051,e-commerce,31.27,credit_card,Downtown,CAMP0052
TXN00000131,2025-10-18 16:45:20.082623,CUST000002,PROD000074,e-commerce,151.98,debit_card,North Plaza,CAMP0058
TXN00000132,2025-10-18 17:00:20.082623,CUST000011,PROD000138,e-commerce,12.18,cash,South Center,CAMP0073
TXN00000133,2025-10-18 17:15:20.082623,CUST000130,PROD000104,e-commerce,15.5,debit_card,South Center,CAMP0045
TXN00000134,2025-10-18 17:30:20.082623,CUST000095,PROD000037,in-store,17.22,cash,Airport,NONE
TXN00000135,2025-10-18 17:45:20.082623,CUST000076,PROD000060,in-store,218.96,buy_now_pay_later,Uptown,CAMP0044
TXN00000136,2025-10-18 18:00:20.082623,CUST000066,PROD000101,e-commerce,38.53,buy_now_pay_later,Airport,CAMP0038
TXN00000137,2025-10-18 18:15:20.082623,CUST000146,PROD000053,e-commerce,11.14,digital_wallet,Suburban Center,CAMP0013
TXN00000138,2025-10-18 18:30:20.082623,CUST000018,PROD000131,e-commerce,12.61,cash,North Plaza,CAMP0076
TXN00000139,2025-10-18 18:45:20.082623,CUST000052,PROD000104,e-commerce,14.33,buy_now_pay_later,Metro Station,CAMP0042
TXN00000140,2025-10-18 19:00:20.082623,CUST000189,PROD000088,e-commerce,27.81,digital_wallet,Suburban Center,CAMP0045
TXN00000141,2025-10-18 19:15:20.082623,CUST000136,PROD000082,in-store,90.85,buy_now_pay_later,East Market,CAMP0059
TXN00000142,2025-10-18 19:30:20.082623,CUST000160,PROD000010,in-store,9.92,debit_card,South Center,CAMP0061
TXN00000143,2025-10-18 19:45:20.082623,CUST000112,PROD000066,e-commerce,20.37,buy_now_pay_later,East Market,CAMP0021
TXN00000144,2025-10-18 20:00:20.082623,CUST000089,PROD000089,in-store,39.63,buy_now_pay_later,Metro Station,CAMP0046
TXN00000145,2025-10-18 20:15:20.082623,CUST000135,PROD000035,e-commerce,71.93,digital_wallet,Uptown,CAMP0025
TXN00000146,2025-10-18 20:30:20.082623,CUST000183,PROD000095,in-store,17.56,buy_now_pay_later,Airport,CAMP0007
TXN00000147,2025-10-18 20:45:20.082623,CUST000003,PROD000145,e-commerce,13.92,digital_wallet,Suburban Center,NONE
TXN00000148,2025-10-18 21:00:20.082623,CUST000057,PROD000130,e-commerce,5.9,credit_card,Suburban Center,CAMP0080
TXN00000149,2025-10-18 21:15:20.082623,CUST000191,PROD000138,in-store,12.62,digital_wallet,Downtown,CAMP0056
TXN00000150,2025-10-18 21:30:20.082623,CUST000168,PROD000121,e-commerce,62.85,debit_card,Westside Mall,NONE
TXN00000151,2025-10-18 21:45:20.082623,CUST000107,PROD000073,e-commerce,20.07,credit_card,Downtown,NONE
TXN00000152,2025-10-18 22:00:20.082623,CUST000119,PROD000150,e-commerce,52.89,buy_now_pay_later,Uptown,CAMP0020
TXN00000153,2025-10-18 22:15:20.082623,CUST000195,PROD000129,e-commerce,45.96,credit_card,Downtown,CAMP0031
TXN00000154,2025-10-18 22:30:20.082623,CUST000056,PROD000082,e-commerce,96.22,cash,Suburban Center,CAMP0053
TXN00000155,2025-10-18 22:45:20.082623,CUST000186,PROD000055,in-store,43.85,credit_card,North Plaza,CAMP0041
TXN00000156,2025-10-18 23:00:20.082623,CUST000026,PROD000137,in-store,188.46,debit_card,Uptown,CAMP0068
TXN00000157,2025-10-18 23:15:20.082623,CUST000045,PROD000114,in-store,33.36,digital_wallet,North Plaza,CAMP0053
TXN00000158,2025-10-18 23:30:20.082623,CUST000087,PROD000126,e-commerce,21.67,debit_card,Downtown,CAMP0045
TXN00000159,2025-10-18 23:45:20.082623,CUST000160,PROD000012,e-commerce,9.12,digital_wallet,North Plaza,CAMP0020
TXN00000160,2025-10-19 00:00:20.082623,CUST000036,PROD000033,e-commerce,37.3,cash,Suburban Center,CAMP0019
TXN00000161,2025-10-19 00:15:20.082623,CUST000149,PROD000150,e-commerce,157.24,digital_wallet,Uptown,CAMP0037
TXN00000162,2025-10-19 00:30:20.082623,CUST000137,PROD000003,in-store,12.83,debit_card,Metro Station,NONE
TXN00000163,2025-10-19 00:45:20.082623,CUST000057,PROD000072,e-commerce,36.76,credit_card,Riverside,CAMP0041
TXN00000164,2025-10-19 01:00:20.082623,CUST000189,PROD000007,in-store,47.38,digital_wallet,North Plaza,CAMP0009
TXN00000165,2025-10-19 01:15:20.082623,CUST000037,PROD000071,e-commerce,210.26,debit_card,Metro Station,CAMP0018
TXN00000166,2025-10-19 01:30:20.082623,CUST000143,PROD000087,in-store,80.22,cash,Metro Station,CAMP0047
TXN00000167,2025-10-19 01:45:20.082623,CUST000018,PROD000044,e-commerce,6.17,digital_wallet,Metro Station,CAMP0048
TXN00000168,2025-10-19 02:00:20.082623,CUST000073,PROD000078,in-store,54.65,buy_now_pay_later,Riverside,CAMP0039
TXN00000169,2025-10-19 02:15:20.082623,CUST000174,PROD000120,e-commerce,41.8,digital_wallet,Riverside,CAMP0076
TXN00000170,2025-10-19 02:30:20.082623,CUST000115,PROD000074,in-store,144.32,cash,Westside Mall,CAMP0003
TXN00000171,2025-10-19 02:45:20.082623,CUST000096,PROD000001,in-store,78.72,credit_card,Suburban Center,CAMP0068
TXN00000172,2025-10-19 03:00:20.082623,CUST000099,PROD000084,e-commerce,59.85,debit_card,Metro Station,NONE
TXN00000173,2025-10-19 03:15:20.082623,CUST000128,PROD000069,e-commerce,187.21,credit_card,Uptown,CAMP0020
TXN00000174,2025-10-19 03:30:20.082623,CUST000063,PROD000043,in-store,97.12,debit_card,Downtown,CAMP0018
TXN00000175,2025-10-19 03:45:20.082623,CUST000189,PROD000109,e-commerce,168.6,buy_now_pay_later,Uptown,CAMP0020
TXN00000176,2025-10-19 04:00:20.082623,CUST000002,PROD000001,in-store,78.18,credit_card,Metro Station,CAMP0066
TXN00000177,2025-10-19 04:15:20.082623,CUST000062,PROD000132,in-store,136.19,cash,Suburban Center,CAMP0036
TXN00000178,2025-10-19 04:30:20.082623,CUST000021,PROD000094,e-commerce,145.96,credit_card,Downtown,CAMP0025
TXN00000179,2025-10-19 04:45:20.082623,CUST000048,PROD000103,in-store,64.42,credit_card,Metro Station,CAMP0039
TXN00000180,2025-10-19 05:00:20.082623,CUST000135,PROD000030,e-commerce,165.35,buy_now_pay_later,South Center,CAMP0071
TXN00000181,2025-10-19 05:15:20.082623,CUST000034,PROD000023,in-store,34.9,cash,Suburban Center,CAMP0054
TXN00000182,2025-10-19 05:30:20.082623,CUST000044,PROD000001,in-store,36.03,credit_card,East Market,CAMP0025
TXN00000183,2025-10-19 05:45:20.082623,CUST000110,PROD000053,in-store,10.66,cash,Westside Mall,CAMP0068
TXN00000184,2025-10-19 06:00:20.082623,CUST000113,PROD000130,e-commerce,5.19,debit_card,Suburban Center,CAMP0024
TXN00000185,2025-10-19 06:15:20.082623,CUST000013,PROD000049,in-store,37.12,debit_card,Riverside,CAMP0014
TXN00000186,2025-10-19 06:30:20.082623,CUST000010,PROD000036,e-commerce,27.51,debit_card,South Center,CAMP0014
TXN00000187,2025-10-19 06:45:20.082623,CUST000095,PROD000021,in-store,18.44,debit_card,Metro Station,CAMP0022
TXN00000188,2025-10-19 07:00:20.082623,CUST000044,PROD000077,in-store,39.32,credit_card,South Center,CAMP0014
TXN00000189,2025-10-19 07:15:20.082623,CUST000096,PROD000028,e-commerce,31.77,buy_now_pay_later,Uptown,CAMP0058
TXN00000190,2025-10-19 07:30:20.082623,CUST000091,PROD000080,in-store,16.47,debit_card,Airport,CAMP0073
TXN00000191,2025-10-19 07:45:20.082623,CUST000176,PROD000026,e-commerce,421.78,cash,East Market,CAMP0030
TXN00000192,2025-10-19 08:00:20.082623,CUST000186,PROD000002,e-commerce,237.1,digital_wallet,North Plaza,CAMP0078
TXN00000193,2025-10-19 08:15:20.082623,CUST000073,PROD000058,in-store,83.55,debit_card,Uptown,CAMP0028
TXN00000194,2025-10-19 08:30:20.082623,CUST000149,PROD000118,e-commerce,38.71,credit_card,Downtown,CAMP0006
TXN00000195,2025-10-19 08:45:20.082623,CUST000171,PROD000075,e-commerce,32.62,cash,Riverside,CAMP0005
TXN00000196,2025-10-19 09:00:20.082623,CUST000004,PROD000094,e-commerce,502.32,digital_wallet,Riverside,CAMP0079
TXN00000197,2025-10-19 09:15:20.082623,CUST000141,PROD000126,e-commerce,20.3,cash,Uptown,CAMP0014
TXN00000198,2025-10-19 09:30:20.082623,CUST000014,PROD000149,in-store,16.56,credit_card,East Market,CAMP0037
TXN00000199,2025-10-19 09:45:20.082623,CUST000145,PROD000125,e-commerce,33.84,credit_card,Suburban Center,NONE
TXN00000200,2025-10-19 10:00:20.082623,CUST000097,PROD000086,e-commerce,22.22,cash,South Center,CAMP0055
TXN00000201,2025-10-19 10:15:20.082623,CUST000072,PROD000003,in-store,14.5,buy_now_pay_later,Riverside,CAMP0020
TXN00000202,2025-10-19 10:30:20.082623,CUST000066,PROD000113,in-store,16.39,debit_card,Westside Mall,CAMP0066
TXN00000203,2025-10-19 10:45:20.082623,CUST000185,PROD000022,in-store,13.86,buy_now_pay_later,Airport,CAMP0017
TXN00000204,2025-10-19 11:00:20.082623,CUST000035,PROD000087,in-store,39.72,digital_wallet,Westside Mall,CAMP0039
TXN00000205,2025-10-19 11:15:20.082623,CUST000013,PROD000097,e-commerce,206.4,debit_card,North Plaza,CAMP0024
TXN00000206,2025-10-19 11:30:20.082623,CUST000137,PROD000039,in-store,73.37,cash,Uptown,CAMP0007
TXN00000207,2025-10-19 11:45:20.082623,CUST000200,PROD000045,in-store,24.53,buy_now_pay_later,Suburban Center,CAMP0059
TXN00000208,2025-10-19 12:00:20.082623,CUST000026,PROD000055,in-store,40.57,digital_wallet,East Market,CAMP0070
TXN00000209,2025-10-19 12:15:20.082623,CUST000113,PROD000131,e-commerce,6.99,buy_now_pay_later,Downtown,NONE
TXN00000210,2025-10-19 12:30:20.082623,CUST000102,PROD000051,e-commerce,15.37,buy_now_pay_later,Riverside,CAMP0049
TXN00000211,2025-10-19 12:45:20.082623,CUST000074,PROD000085,e-commerce,92.29,buy_now_pay_later,South Center,CAMP0034
TXN00000212,2025-10-19 13:00:20.082623,CUST000111,PROD000077,in-store,11.97,credit_card,Riverside,CAMP0080
TXN00000213,2025-10-19 13:15:20.082623,CUST000033,PROD000111,e-commerce,65.66,cash,South Center,CAMP0066
TXN00000214,2025-10-19 13:30:20.082623,CUST000095,PROD000055,e-commerce,24.12,cash,Westside Mall,CAMP0072
TXN00000215,2025-10-19 13:45:20.082623,CUST000022,PROD000070,in-store,43.93,digital_wallet,Westside Mall,NONE
TXN00000216,2025-10-19 14:00:20.082623,CUST000072,PROD000117,e-commerce,61.09,buy_now_pay_later,Riverside,CAMP0054
TXN00000217,2025-10-19 14:15:20.082623,CUST000102,PROD000075,in-store,66.91,debit_card,East Market,CAMP0041
TXN00000218,2025-10-19 14:30:20.082623,CUST000043,PROD000010,in-store,14.95,credit_card,Westside Mall,CAMP0031
TXN00000219,2025-10-19 14:45:20.082623,CUST000117,PROD000138,e-commerce,12.59,credit_card,East Market,NONE
TXN00000220,2025-10-19 15:00:20.082623,CUST000083,PROD000105,e-commerce,55.23,debit_card,Riverside,CAMP0011
TXN00000221,2025-10-19 15:15:20.082623,CUST000084,PROD000046,e-commerce,42.45,buy_now_pay_later,Riverside,CAMP0019
TXN00000222,2025-10-19 15:30:20.082623,CUST000143,PROD000141,in-store,32.42,credit_card,East Market,CAMP0075
TXN00000223,2025-10-19 15:45:20.082623,CUST000053,PROD000042,e-commerce,63.22,debit_card,South Center,CAMP0076
