recommendation_id,user_id,content_id,explanation_text,reasoning_factors,similarity_score,preference_match_themes,created_at
REC-00000032,USER-0004592,CONTENT-000170,Matches your preference for Light storytelling with Very Complex plots,"Theme similarity,Cast preference",0.8017249027953351,"Artificial intelligence,Addiction recovery,Identity crisis",2025-11-10 04:56:48.783598
REC-00000033,USER-0001991,CONTENT-001706,Popular among viewers who share your interest in Documentary and Artificial intelligence,"Tone preference,Highly rated,Genre match,Trending content",0.7282747143007786,"Survival,Corporate intrigue",2025-11-10 05:01:48.783598
REC-00000034,USER-0003830,CONTENT-000992,Recommended because you enjoyed similar Class struggle themes in Documentary content,"Director preference,Cast preference,Popular with similar users,Theme similarity",0.6793448067468733,"Friendship bonds,Betrayal",2025-11-10 05:06:48.783598
REC-00000035,USER-0000187,CONTENT-001811,Similar to content you've watched with Generational conflict themes,"Genre match,Similar viewing history",0.858906245088941,"Class struggle,Good vs evil",2025-11-10 05:11:48.783598
REC-00000036,USER-0004851,CONTENT-001902,Based on your preference for Dark tone and Simple narrative complexity,"Highly rated,New release",0.8424834587601049,"Class struggle,Good vs evil,Moral ambiguity",2025-11-10 05:16:48.783598
REC-00000037,USER-0002597,CONTENT-000907,Similar to content you've watched with Addiction recovery themes,"Genre match,Tone preference,Popular with similar users,Director preference",0.9329463904663285,"Love triangle,Mental health",2025-11-10 05:21:48.783598
REC-00000038,USER-0002794,CONTENT-000991,Based on your preference for Whimsical tone and Complex narrative complexity,"Completion rate,Similar viewing history",0.8647663751113732,"Addiction recovery,Parallel universes,Moral ambiguity",2025-11-10 05:26:48.783598
REC-00000039,USER-0001644,CONTENT-000779,Similar to content you've watched with Identity crisis themes,"Trending content,Cast preference",0.93468783117509,"Love triangle,Good vs evil",2025-11-10 05:31:48.783598
REC-00000040,USER-0000181,CONTENT-001334,Recommended because you enjoyed similar Time travel themes in Drama content,"Genre match,Similar viewing history,Popular with similar users,Director preference",0.7448971315703939,"Mental health,Artificial intelligence,Survival",2025-11-10 05:36:48.783598
REC-00000041,USER-0003587,CONTENT-001895,Popular among viewers who share your interest in Action and Family dynamics,"New release,Popular with similar users,Completion rate,Narrative complexity",0.9336230414979099,"Post-apocalyptic,Political power",2025-11-10 05:41:48.783598
REC-00000042,USER-0000294,CONTENT-001353,Based on your preference for Serious tone and Simple narrative complexity,"Highly rated,Cast preference",0.7386324483681516,"Addiction recovery,Historical drama",2025-11-10 05:46:48.783598
REC-00000043,USER-0002621,CONTENT-000268,Recommended because you enjoyed similar Mental health themes in Adventure content,"Genre match,Theme similarity,New release",0.7618548552528556,"Artificial intelligence,Love triangle",2025-11-10 05:51:48.783598
REC-00000044,USER-0003336,CONTENT-001084,Matches your preference for Whimsical storytelling with Complex plots,"Director preference,Theme similarity,Tone preference,Genre match",0.6740307642597982,"Class struggle,Friendship bonds",2025-11-10 05:56:48.783598
REC-00000045,USER-0002787,CONTENT-000913,Matches your preference for Dark storytelling with Simple plots,"New release,Trending content,Narrative complexity,Similar viewing history",0.8080486675833416,"Friendship bonds,Revenge quest,Artificial intelligence",2025-11-10 06:01:48.783598
REC-00000046,USER-0004134,CONTENT-001811,Matches your preference for Gritty storytelling with Moderate plots,"Similar viewing history,Highly rated,Theme similarity,Cast preference",0.7534774039139653,"Time travel,Betrayal",2025-11-10 06:06:48.783598
REC-00000047,USER-0000541,CONTENT-000973,Similar to content you've watched with Redemption arc themes,"Genre match,Popular with similar users,Cast preference",0.8276793929382089,"Addiction recovery,Political power",2025-11-10 06:11:48.783598
REC-00000048,USER-0003193,CONTENT-000718,Popular among viewers who share your interest in Family and Mental health,"Trending content,New release,Highly rated",0.723108632432531,"Post-apocalyptic,Betrayal,Mental health",2025-11-10 06:16:48.783598
REC-00000049,USER-0004065,CONTENT-001584,Matches your preference for Gritty storytelling with Very Complex plots,"Director preference,New release,Cast preference",0.8100288808159397,"Revenge quest,Coming of age",2025-11-10 06:21:48.783598
REC-00000050,USER-0002269,CONTENT-001730,Matches your preference for Uplifting storytelling with Simple plots,"Similar viewing history,New release",0.6890984007278022,"Political power,Artificial intelligence,Time travel",2025-11-10 06:26:48.783598
REC-00000051,USER-0001390,CONTENT-000893,Recommended because you enjoyed similar Revenge quest themes in Fantasy content,"Popular with similar users,Director preference",0.8153541467040759,"Artificial intelligence,Historical drama",2025-11-10 06:31:48.783598
REC-00000052,USER-0003512,CONTENT-001227,Similar to content you've watched with Social justice themes,"Theme similarity,Cast preference,New release",0.9043764626904885,"Family dynamics,Corporate intrigue,Love triangle",2025-11-10 06:36:48.783598
REC-00000053,USER-0003630,CONTENT-001852,Similar to content you've watched with Generational conflict themes,"Cast preference,Theme similarity",0.7575949548648193,"Coming of age,Time travel,Redemption arc",2025-11-10 06:41:48.783598
REC-00000054,USER-0001726,CONTENT-001772,Based on your preference for Uplifting tone and Simple narrative complexity,"Narrative complexity,Genre match,Popular with similar users,Cast preference",0.8025106664344963,"Class struggle,Survival,Historical drama",2025-11-10 06:46:48.783598
REC-00000055,USER-0000755,CONTENT-000303,Popular among viewers who share your interest in Fantasy and Social justice,"Narrative complexity,Highly rated",0.928543887927832,"Coming of age,Political power,Addiction recovery",2025-11-10 06:51:48.783598
REC-00000056,USER-0004054,CONTENT-000445,Based on your preference for Gritty tone and Very Complex narrative complexity,"Completion rate,Theme similarity,Popular with similar users",0.8168547107749768,"Moral ambiguity,Post-apocalyptic,Coming of age",2025-11-10 06:56:48.783598
REC-00000057,USER-0002749,CONTENT-000809,Based on your preference for Serious tone and Simple narrative complexity,"Popular with similar users,Cast preference,Theme similarity,Completion rate",0.9394652694744369,"Class struggle,Parallel universes",2025-11-10 07:01:48.783598
REC-00000058,USER-0000500,CONTENT-000199,Similar to content you've watched with Identity crisis themes,"Trending content,Cast preference,Director preference",0.7835986737690365,"Time travel,Coming of age,Social justice",2025-11-10 07:06:48.783598
REC-00000059,USER-0004709,CONTENT-001852,Popular among viewers who share your interest in Animation and Time travel,"Popular with similar users,Trending content,Director preference",0.8850792700914176,"Parallel universes,Time travel",2025-11-10 07:11:48.783598
REC-00000060,USER-0001074,CONTENT-000131,Similar to content you've watched with Addiction recovery themes,"Similar viewing history,Highly rated",0.8073022675333006,"Coming of age,Social justice",2025-11-10 07:16:48.783598
REC-00000061,USER-0001045,CONTENT-001451,Popular among viewers who share your interest in Romance and Moral ambiguity,"Trending content,Tone preference",0.6731604753899049,"Historical drama,Good vs evil,Revenge quest",2025-11-10 07:21:48.783598
REC-00000062,USER-0001121,CONTENT-000031,Based on your preference for Light tone and Complex narrative complexity,"Tone preference,Genre match,New release,Director preference",0.9456027737807264,"Good vs evil,Generational conflict,Artificial intelligence",2025-11-10 07:26:48.783598
REC-00000063,USER-0001927,CONTENT-000860,Popular among viewers who share your interest in Action and Class struggle,"Highly rated,Completion rate,Similar viewing history",0.6982747358740415,"Coming of age,Political power",2025-11-10 07:31:48.783598
REC-00000064,USER-0000016,CONTENT-000339,Similar to content you've watched with Post-apocalyptic themes,"New release,Theme similarity,Completion rate",0.6915608104232137,"Coming of age,Class struggle",2025-11-10 07:36:48.783598
REC-00000065,USER-0000346,CONTENT-000798,Popular among viewers who share your interest in Horror and Good vs evil,"Popular with similar users,Cast preference,Genre match,New release",0.6515372381876969,"Class struggle,Love triangle,Social justice",2025-11-10 07:41:48.783598
REC-00000066,USER-0000716,CONTENT-001781,Recommended because you enjoyed similar Artificial intelligence themes in Action content,"Popular with similar users,Genre match,Narrative complexity",0.8644145940361496,"Class struggle,Family dynamics",2025-11-10 07:46:48.783598
REC-00000067,USER-0002847,CONTENT-001537,Recommended because you enjoyed similar Mental health themes in Drama content,"Popular with similar users,Trending content,Genre match,Completion rate",0.7938915564876299,"Friendship bonds,Historical drama",2025-11-10 07:51:48.783598
REC-00000068,USER-0004050,CONTENT-000170,Similar to content you've watched with Good vs evil themes,"Popular with similar users,Genre match,Similar viewing history",0.8351153834411199,"Moral ambiguity,Identity crisis,Political power",2025-11-10 07:56:48.783598
REC-00000069,USER-0003809,CONTENT-000998,Popular among viewers who share your interest in Horror and Artificial intelligence,"Highly rated,Completion rate",0.8751955053609133,"Time travel,Social justice",2025-11-10 08:01:48.783598
REC-00000070,USER-0002215,CONTENT-000879,Recommended because you enjoyed similar Social justice themes in SciFi content,"Tone preference,Popular with similar users,Cast preference,New release",0.9214852123854652,"Addiction recovery,Parallel universes,Love triangle",2025-11-10 08:06:48.783598
REC-00000071,USER-0001840,CONTENT-000879,Similar to content you've watched with Post-apocalyptic themes,"Genre match,Narrative complexity,Cast preference",0.96434527558193,"Love triangle,Historical drama",2025-11-10 08:11:48.783598
REC-00000072,USER-0000506,CONTENT-000467,Matches your preference for Gritty storytelling with Complex plots,"Tone preference,Similar viewing history",0.6816273482370676,"Identity crisis,Post-apocalyptic",2025-11-10 08:16:48.783598
REC-00000073,USER-0003477,CONTENT-001832,Popular among viewers who share your interest in Action and Redemption arc,"Genre match,Completion rate,Cast preference,Highly rated",0.7597168013707023,"Revenge quest,Corporate intrigue,Love triangle",2025-11-10 08:21:48.783598
REC-00000074,USER-0003637,CONTENT-001223,Based on your preference for Uplifting tone and Very Complex narrative complexity,"Director preference,Narrative complexity",0.9687254010678843,"Good vs evil,Mental health",2025-11-10 08:26:48.783598
REC-00000075,USER-0002979,CONTENT-001081,Based on your preference for Dark tone and Moderate narrative complexity,"Trending content,Narrative complexity,Highly rated",0.8774115493277065,"Betrayal,Good vs evil",2025-11-10 08:31:48.783598
REC-00000076,USER-0004867,CONTENT-001259,Recommended because you enjoyed similar Family dynamics themes in Horror content,"Genre match,New release",0.747234691524768,"Moral ambiguity,Identity crisis",2025-11-10 08:36:48.783598
REC-00000077,USER-0001164,CONTENT-001457,Matches your preference for Gritty storytelling with Simple plots,"Tone preference,New release,Completion rate",0.8053182281616404,"Identity crisis,Time travel,Artificial intelligence",2025-11-10 08:41:48.783598
REC-00000078,USER-0004768,CONTENT-001333,Matches your preference for Intense storytelling with Very Complex plots,"Popular with similar users,Completion rate,New release,Narrative complexity",0.9508865484171366,"Post-apocalyptic,Family dynamics,Moral ambiguity",2025-11-10 08:46:48.783598
REC-00000079,USER-0002791,CONTENT-001484,Popular among viewers who share your interest in Comedy and Political power,"Similar viewing history,Cast preference,Director preference",0.8836979096339984,"Class struggle,Time travel",2025-11-10 08:51:48.783598
REC-00000080,USER-0003967,CONTENT-000177,Matches your preference for Dark storytelling with Moderate plots,"Highly rated,Cast preference,Tone preference,Narrative complexity",0.8315452384238506,"Time travel,Political power",2025-11-10 08:56:48.783598
REC-00000081,USER-0001801,CONTENT-001658,Popular among viewers who share your interest in Fantasy and Corporate intrigue,"Director preference,Completion rate,Theme similarity",0.6898969085019333,"Artificial intelligence,Mental health,Family dynamics",2025-11-10 09:01:48.783598
REC-00000082,USER-0004818,CONTENT-001250,Based on your preference for Gritty tone and Complex narrative complexity,"New release,Director preference,Popular with similar users,Trending content",0.6780800428661884,"Redemption arc,Family dynamics,Class struggle",2025-11-10 09:06:48.783598
REC-00000083,USER-0001358,CONTENT-000448,Recommended because you enjoyed similar Time travel themes in Adventure content,"Cast preference,Tone preference",0.8561464565006728,"Revenge quest,Post-apocalyptic",2025-11-10 09:11:48.783598
REC-00000084,USER-0001345,CONTENT-000889,Recommended because you enjoyed similar Time travel themes in Thriller content,"Trending content,Director preference,Similar viewing history,Genre match",0.8986431595169694,"Coming of age,Class struggle",2025-11-10 09:16:48.783598
REC-00000085,USER-0000194,CONTENT-000480,Popular among viewers who share your interest in Mystery and Post-apocalyptic,"New release,Trending content,Director preference",0.8484834940649796,"Artificial intelligence,Identity crisis,Survival",2025-11-10 09:21:48.783598
REC-00000086,USER-0002758,CONTENT-000220,Recommended because you enjoyed similar Social justice themes in Documentary content,"Narrative complexity,Director preference,Genre match",0.8615219645356839,"Identity crisis,Coming of age,Revenge quest",2025-11-10 09:26:48.783598
REC-00000087,USER-0003408,CONTENT-001390,Based on your preference for Serious tone and Very Complex narrative complexity,"Completion rate,Trending content,Tone preference,Theme similarity",0.7449759727554144,"Generational conflict,Class struggle",2025-11-10 09:31:48.783598
REC-00000088,USER-0001679,CONTENT-001248,Matches your preference for Intense storytelling with Simple plots,"Theme similarity,Highly rated,Tone preference",0.6601328194434453,"Family dynamics,Post-apocalyptic,Survival",2025-11-10 09:36:48.783598
REC-00000089,USER-0004658,CONTENT-000752,Matches your preference for Gritty storytelling with Complex plots,"Highly rated,Director preference",0.7112244705878598,"Social justice,Generational conflict,Time travel",2025-11-10 09:41:48.783598
REC-00000090,USER-0002203,CONTENT-000317,Recommended because you enjoyed similar Generational conflict themes in Action content,"Narrative complexity,New release,Director preference",0.9679648805554617,"Time travel,Addiction recovery",2025-11-10 09:46:48.783598
REC-00000091,USER-0003596,CONTENT-000331,Popular among viewers who share your interest in Family and Artificial intelligence,"Cast preference,Director preference,New release",0.8981892057664606,"Parallel universes,Historical drama,Artificial intelligence",2025-11-10 09:51:48.783598
REC-00000092,USER-0000374,CONTENT-001197,Based on your preference for Gritty tone and Very Complex narrative complexity,"Narrative complexity,Similar viewing history,Popular with similar users,Genre match",0.8817465414344159,"Political power,Class struggle",2025-11-10 09:56:48.783598
REC-00000093,USER-0002891,CONTENT-001552,Popular among viewers who share your interest in SciFi and Post-apocalyptic,"Narrative complexity,Highly rated,New release,Genre match",0.6988233502059468,"Addiction recovery,Betrayal,Historical drama",2025-11-10 10:01:48.783598
REC-00000094,USER-0004658,CONTENT-001769,Similar to content you've watched with Family dynamics themes,"Completion rate,New release,Director preference,Cast preference",0.773761025477198,"Political power,Love triangle",2025-11-10 10:06:48.783598
REC-00000095,USER-0001498,CONTENT-000389,Matches your preference for Whimsical storytelling with Moderate plots,"Narrative complexity,New release,Completion rate,Cast preference",0.9233415615295296,"Revenge quest,Historical drama",2025-11-10 10:11:48.783598
REC-00000096,USER-0001066,CONTENT-001368,Similar to content you've watched with Identity crisis themes,"Genre match,Completion rate,Tone preference,Highly rated",0.7799903747364445,"Artificial intelligence,Friendship bonds,Political power",2025-11-10 10:16:48.783598
REC-00000097,USER-0004488,CONTENT-001991,Popular among viewers who share your interest in Drama and Time travel,"Trending content,Popular with similar users,Narrative complexity",0.8558468426992014,"Mental health,Betrayal,Post-apocalyptic",2025-11-10 10:21:48.783598
REC-00000098,USER-0002608,CONTENT-001210,Popular among viewers who share your interest in Documentary and Coming of age,"Director preference,Highly rated,Theme similarity",0.6887837813188338,"Family dynamics,Political power,Coming of age",2025-11-10 10:26:48.783598
REC-00000099,USER-0002654,CONTENT-000874,Popular among viewers who share your interest in Adventure and Coming of age,"Cast preference,Highly rated",0.9189864214432306,"Parallel universes,Post-apocalyptic,Moral ambiguity",2025-11-10 10:31:48.783598
REC-00000100,USER-0002462,CONTENT-000286,Matches your preference for Dark storytelling with Moderate plots,"Cast preference,Popular with similar users",0.7559406567494562,"Artificial intelligence,Corporate intrigue,Class struggle",2025-11-10 10:36:48.783598
REC-00000101,USER-0004119,CONTENT-000981,Popular among viewers who share your interest in Mystery and Redemption arc,"Highly rated,Completion rate,Similar viewing history",0.6581286270079834,"Love triangle,Time travel,Mental health",2025-11-10 10:41:48.783598
REC-00000102,USER-0000512,CONTENT-001774,Based on your preference for Dark tone and Very Complex narrative complexity,"New release,Genre match",0.7338883642189785,"Social justice,Mental health,Addiction recovery",2025-11-10 10:46:48.783598
REC-00000103,USER-0003409,CONTENT-001641,Matches your preference for Whimsical storytelling with Complex plots,"Completion rate,Genre match",0.764178317062327,"Political power,Post-apocalyptic,Love triangle",2025-11-10 10:51:48.783598
REC-00000104,USER-0001941,CONTENT-001126,Based on your preference for Intense tone and Complex narrative complexity,"Cast preference,Highly rated",0.6523013355934286,"Class struggle,Revenge quest,Identity crisis",2025-11-10 10:56:48.783598
REC-00000105,USER-0002749,CONTENT-000226,Recommended because you enjoyed similar Parallel universes themes in Animation content,"Completion rate,Highly rated",0.7447365438074164,"Identity crisis,Time travel,Betrayal",2025-11-10 11:01:48.783598
REC-00000106,USER-0001345,CONTENT-001496,Similar to content you've watched with Coming of age themes,"Popular with similar users,Trending content,Similar viewing history",0.7975711839515015,"Redemption arc,Coming of age,Betrayal",2025-11-10 11:06:48.783598
REC-00000107,USER-0004822,CONTENT-001492,Popular among viewers who share your interest in Fantasy and Post-apocalyptic,"Tone preference,Narrative complexity",0.7299750774353211,"Addiction recovery,Social justice,Time travel",2025-11-10 11:11:48.783598
REC-00000108,USER-0003354,CONTENT-000994,Popular among viewers who share your interest in Thriller and Political power,"Cast preference,Theme similarity,Tone preference",0.9734476165950032,"Coming of age,Historical drama,Survival",2025-11-10 11:16:48.783598
REC-00000109,USER-0004093,CONTENT-001755,Popular among viewers who share your interest in Documentary and Mental health,"Trending content,Similar viewing history,Popular with similar users,Completion rate",0.7421938526782101,"Social justice,Generational conflict",2025-11-10 11:21:48.783598
REC-00000110,USER-0000833,CONTENT-000462,Based on your preference for Dark tone and Moderate narrative complexity,"Director preference,Trending content,New release,Narrative complexity",0.7955764876045842,"Family dynamics,Identity crisis",2025-11-10 11:26:48.783598
REC-00000111,USER-0000685,CONTENT-001561,Similar to content you've watched with Corporate intrigue themes,"Tone preference,Genre match,Theme similarity",0.84432318711565,"Family dynamics,Artificial intelligence,Love triangle",2025-11-10 11:31:48.783598
REC-00000112,USER-0003879,CONTENT-001648,Recommended because you enjoyed similar Political power themes in Family content,"Tone preference,Genre match,Highly rated,Popular with similar users",0.6536318824990927,"Mental health,Addiction recovery",2025-11-10 11:36:48.783598
REC-00000113,USER-0001845,CONTENT-001701,Matches your preference for Gritty storytelling with Very Complex plots,"Trending content,Tone preference",0.6782966485668943,"Post-apocalyptic,Redemption arc,Friendship bonds",2025-11-10 11:41:48.783598
REC-00000114,USER-0003724,CONTENT-001767,Matches your preference for Gritty storytelling with Very Complex plots,"Cast preference,Director preference,Genre match,Completion rate",0.6643011828181645,"Friendship bonds,Artificial intelligence",2025-11-10 11:46:48.783598
REC-00000115,USER-0001133,CONTENT-001291,Similar to content you've watched with Moral ambiguity themes,"Popular with similar users,Director preference,Trending content",0.8338291605215771,"Artificial intelligence,Love triangle",2025-11-10 11:51:48.783598
REC-00000116,USER-0002175,CONTENT-001224,Matches your preference for Uplifting storytelling with Very Complex plots,"Theme similarity,Director preference,Highly rated,Completion rate",0.7166622877516734,"Identity crisis,Social justice",2025-11-10 11:56:48.783598
REC-00000117,USER-0000043,CONTENT-000962,Matches your preference for Intense storytelling with Very Complex plots,"Similar viewing history,New release,Trending content",0.7041946292280604,"Moral ambiguity,Survival,Historical drama",2025-11-10 12:01:48.783598
REC-00000118,USER-0002516,CONTENT-001911,Popular among viewers who share your interest in Horror and Generational conflict,"Genre match,Highly rated",0.6580403604580426,"Redemption arc,Identity crisis",2025-11-10 12:06:48.783598
REC-00000119,USER-0000059,CONTENT-001428,Popular among viewers who share your interest in Crime and Historical drama,"Cast preference,Narrative complexity",0.8466260357823011,"Generational conflict,Parallel universes",2025-11-10 12:11:48.783598
REC-00000120,USER-0000346,CONTENT-000105,Recommended because you enjoyed similar Betrayal themes in Mystery content,"Genre match,Director preference,Theme similarity,Highly rated",0.6699330231881125,"Mental health,Corporate intrigue,Post-apocalyptic",2025-11-10 12:16:48.783598
REC-00000121,USER-0004698,CONTENT-001469,Based on your preference for Light tone and Very Complex narrative complexity,"Director preference,New release,Genre match,Cast preference",0.8721079396415612,"Corporate intrigue,Love triangle",2025-11-10 12:21:48.783598
REC-00000122,USER-0002546,CONTENT-001856,Popular among viewers who share your interest in Family and Revenge quest,"Similar viewing history,Highly rated",0.8295868748841374,"Mental health,Moral ambiguity,Parallel universes",2025-11-10 12:26:48.783598
REC-00000123,USER-0000915,CONTENT-000649,Similar to content you've watched with Moral ambiguity themes,"Popular with similar users,Highly rated,Trending content",0.7240792601979236,"Betrayal,Artificial intelligence,Coming of age",2025-11-10 12:31:48.783598
REC-00000124,USER-0000071,CONTENT-001669,Popular among viewers who share your interest in Mystery and Betrayal,"Highly rated,Director preference",0.8747449058062834,"Betrayal,Coming of age,Family dynamics",2025-11-10 12:36:48.783598
REC-00000125,USER-0002199,CONTENT-001298,Based on your preference for Uplifting tone and Moderate narrative complexity,"Tone preference,Cast preference",0.6659289843006637,"Love triangle,Revenge quest",2025-11-10 12:41:48.783598
REC-00000126,USER-0004164,CONTENT-000862,Matches your preference for Gritty storytelling with Very Complex plots,"Tone preference,Genre match,Theme similarity,Narrative complexity",0.875637724722057,"Post-apocalyptic,Moral ambiguity",2025-11-10 12:46:48.783598
REC-00000127,USER-0004326,CONTENT-000052,Recommended because you enjoyed similar Moral ambiguity themes in Thriller content,"Genre match,Cast preference",0.8124612538722096,"Redemption arc,Identity crisis",2025-11-10 12:51:48.783598
