user_id,subscriber_id,preference_vector,liked_themes,disliked_themes,preferred_genres,avoided_genres,preferred_tone,complexity_preference,session_count,profile_maturity,last_updated,cold_start_phase
USER-0000010,SUB-0000010,"0.5965,0.1478,0.6930,0.1434,0.8624,0.4711,0.7153,0.5395,0.1663,0.1873,0.9053,0.9389,0.7666,0.1310,0.5471,0.0153,0.9126,0.1170,0.4743,0.6945","Survival,Artificial intelligence,Love triangle,Revenge quest,Mental health,Coming of age","Coming of age,Survival,Social justice","Horror,Animation,Documentary",Drama,Whimsical,Very Complex,15,Cold Start,2025-09-22 14:16:48.711304,False
USER-0000011,SUB-0000011,"0.6905,0.0625,0.6964,0.7720,0.0528,0.8647,0.9494,0.0976,0.9188,0.9474,0.4123,0.4100,0.9419,0.6124,0.6736,0.5713,0.0620,0.4400,0.8619,0.3827","Family dynamics,Post-apocalyptic,Mental health,Friendship bonds",Coming of age,"Fantasy,Documentary,Horror,Animation",Mystery,Light,Simple,15,Established,2025-09-22 14:31:48.711304,False
USER-0000012,SUB-0000012,"0.0211,0.3940,0.4537,0.1481,0.8772,0.9145,0.0116,0.8190,0.7357,0.6363,0.1126,0.4462,0.3903,0.8365,0.0137,0.0035,0.4948,0.2025,0.4605,0.4894","Generational conflict,Mental health,Artificial intelligence,Betrayal",Redemption arc,"Action,Romance,Drama",,Gritty,Complex,35,Mature,2025-09-22 14:46:48.711304,False
USER-0000013,SUB-0000013,"0.3906,0.5924,0.7439,0.5879,0.0583,0.8317,0.2177,0.1507,0.8214,0.8752,0.0746,0.1892,0.5807,0.9551,0.9574,0.7164,0.0801,0.2615,0.6095,0.2296","Corporate intrigue,Artificial intelligence,Revenge quest","Addiction recovery,Generational conflict","Fantasy,Family,Horror","Documentary,Animation",Intense,Very Complex,15,Developing,2025-09-22 15:01:48.711304,True
USER-0000014,SUB-0000014,"0.1204,0.6171,0.6759,0.2695,0.0894,0.6050,0.8059,0.5684,0.6927,0.0992,0.0844,0.2668,0.8296,0.5889,0.9421,0.8017,0.5065,0.2309,0.4787,0.4899","Political power,Addiction recovery,Good vs evil,Family dynamics,Historical drama","Good vs evil,Betrayal,Moral ambiguity","Adventure,Thriller",Mystery,Intense,Complex,2,Established,2025-09-22 15:16:48.711304,False
USER-0000015,SUB-0000015,"0.5708,0.9694,0.7471,0.5990,0.6247,0.8949,0.2160,0.1429,0.8511,0.8308,0.9206,0.5142,0.9601,0.3536,0.8546,0.0366,0.4182,0.5758,0.0758,0.5178","Class struggle,Survival,Mental health,Betrayal","Mental health,Addiction recovery","Adventure,Mystery,Animation,SciFi",,Serious,Very Complex,15,Developing,2025-09-22 15:31:48.711304,False
USER-0000016,SUB-0000016,"0.2473,0.1177,0.6334,0.2581,0.8728,0.0102,0.2671,0.8788,0.8324,0.2472,0.6207,0.6895,0.4083,0.4932,0.8595,0.6911,0.2205,0.2608,0.2896,0.0147","Revenge quest,Redemption arc,Historical drama,Betrayal,Love triangle",Moral ambiguity,"Crime,Mystery",,Whimsical,Simple,15,Developing,2025-09-22 15:46:48.711304,False
USER-0000017,SUB-0000017,"0.4830,0.7528,0.6529,0.5736,0.0319,0.1506,0.6852,0.1572,0.4629,0.7560,0.9172,0.8220,0.2485,0.2135,0.2138,0.7566,0.8305,0.5405,0.2573,0.0010","Love triangle,Parallel universes,Class struggle,Generational conflict",Class struggle,"Mystery,Comedy",Comedy,Gritty,Very Complex,2,Developing,2025-09-22 16:01:48.711304,False
USER-0000018,SUB-0000018,"0.9493,0.3696,0.2074,0.4612,0.2264,0.3687,0.2579,0.3069,0.3347,0.3964,0.2832,0.2149,0.5506,0.0248,0.0321,0.8587,0.3766,0.2925,0.1751,0.3272","Parallel universes,Corporate intrigue,Love triangle,Family dynamics,Identity crisis",Parallel universes,"Thriller,Drama,Family",,Light,Simple,15,Cold Start,2025-09-22 16:16:48.711304,False
USER-0000019,SUB-0000019,"0.4574,0.8041,0.6122,0.9725,0.9967,0.8573,0.6651,0.6985,0.2785,0.8050,0.5474,0.4852,0.4203,0.8695,0.4610,0.2706,0.0734,0.2748,0.5086,0.4728","Parallel universes,Good vs evil,Political power,Addiction recovery,Time travel","Coming of age,Revenge quest,Class struggle","Horror,Drama","Documentary,Family",Serious,Complex,35,Established,2025-09-22 16:31:48.711304,False
USER-0000020,SUB-0000020,"0.2828,0.3554,0.1067,0.4500,0.6640,0.1297,0.0635,0.4068,0.6194,0.8118,0.3111,0.5492,0.7003,0.3742,0.6578,0.9414,0.7616,0.0902,0.2866,0.7583","Corporate intrigue,Survival,Post-apocalyptic","Betrayal,Mental health","Fantasy,Action",Fantasy,Dark,Simple,75,Established,2025-09-22 16:46:48.711304,True
USER-0000021,SUB-0000021,"0.9789,0.8893,0.8761,0.5752,0.0676,0.0840,0.5973,0.4241,0.0801,0.3842,0.0856,0.0989,0.1833,0.6826,0.1096,0.3475,0.0229,0.0770,0.4046,0.1984","Political power,Love triangle,Parallel universes,Time travel,Survival,Corporate intrigue","Corporate intrigue,Generational conflict,Post-apocalyptic","Drama,Adventure,Comedy","Crime,Drama",Dark,Simple,35,Established,2025-09-22 17:01:48.711304,True
USER-0000022,SUB-0000022,"0.7874,0.5050,0.9397,0.3203,0.4356,0.9934,0.2445,0.0638,0.0427,0.5018,0.3636,0.9718,0.9331,0.0444,0.7090,0.8615,0.4085,0.8472,0.2109,0.5110","Friendship bonds,Betrayal,Love triangle,Survival,Historical drama,Identity crisis","Class struggle,Love triangle,Time travel","Documentary,Action",Thriller,Uplifting,Simple,15,Established,2025-09-22 17:16:48.711304,True
USER-0000023,SUB-0000023,"0.5643,0.6376,0.7183,0.0831,0.6303,0.6295,0.3251,0.3659,0.3747,0.9185,0.1899,0.8186,0.0991,0.0044,0.8723,0.8930,0.7098,0.6640,0.0045,0.2707","Redemption arc,Friendship bonds,Family dynamics,Corporate intrigue","Identity crisis,Post-apocalyptic","SciFi,Animation,Crime,Fantasy","Adventure,Romance",Light,Complex,35,Mature,2025-09-22 17:31:48.711304,False
USER-0000024,SUB-0000024,"0.3165,0.0410,0.2225,0.6842,0.4467,0.0864,0.1171,0.6863,0.7420,0.6302,0.9479,0.8994,0.5911,0.8015,0.6537,0.8674,0.8768,0.6801,0.5397,0.8039","Historical drama,Political power,Addiction recovery","Mental health,Survival,Redemption arc","Documentary,Comedy,Crime,Thriller",,Light,Complex,5,Cold Start,2025-09-22 17:46:48.711304,False
USER-0000025,SUB-0000025,"0.6092,0.7548,0.6781,0.8219,0.8821,0.5566,0.6879,0.3992,0.5485,0.4289,0.4182,0.3585,0.9218,0.0127,0.6932,0.5638,0.1206,0.4767,0.0762,0.1844","Social justice,Redemption arc,Class struggle,Good vs evil,Artificial intelligence","Corporate intrigue,Good vs evil","Action,Drama,Fantasy","Adventure,Thriller",Light,Moderate,35,Established,2025-09-22 18:01:48.711304,False
USER-0000026,SUB-0000026,"0.5171,0.3433,0.7863,0.8395,0.7494,0.4789,0.1509,0.7208,0.3893,0.9920,0.0206,0.9771,0.5903,0.3766,0.6456,0.9353,0.4391,0.2238,0.0785,0.5791","Family dynamics,Historical drama,Good vs evil,Identity crisis,Social justice",Moral ambiguity,"Family,Mystery,Action","Horror,Romance",Light,Very Complex,2,Cold Start,2025-09-22 18:16:48.711304,False
USER-0000027,SUB-0000027,"0.8298,0.0168,0.0788,0.3148,0.7450,0.8139,0.9702,0.2523,0.3667,0.5214,0.9331,0.6358,0.9193,0.2226,0.3151,0.9062,0.8814,0.8183,0.2576,0.8478","Redemption arc,Friendship bonds,Survival",Survival,"Crime,Animation,Fantasy",,Whimsical,Moderate,35,Established,2025-09-22 18:31:48.711304,False
USER-0000028,SUB-0000028,"0.1969,0.0882,0.5196,0.7008,0.8445,0.2387,0.8101,0.4031,0.4844,0.0699,0.4123,0.3365,0.7807,0.2943,0.4340,0.0079,0.7882,0.2712,0.4626,0.6498","Identity crisis,Redemption arc,Social justice",Corporate intrigue,"Comedy,Action,Fantasy,Thriller",,Uplifting,Complex,15,Established,2025-09-22 18:46:48.711304,True
USER-0000029,SUB-0000029,"0.6008,0.6118,0.0314,0.2042,0.1983,0.2997,0.8875,0.1685,0.0942,0.2575,0.3500,0.9620,0.7918,0.1578,0.6691,0.8340,0.9924,0.6175,0.2190,0.5506","Mental health,Identity crisis,Survival,Good vs evil,Social justice,Friendship bonds",Corporate intrigue,"Family,Mystery,Animation,Comedy",Horror,Serious,Moderate,2,Established,2025-09-22 19:01:48.711304,False
USER-0000030,SUB-0000030,"0.5780,0.4477,0.9417,0.4765,0.9979,0.4904,0.8328,0.0240,0.6752,0.1551,0.1008,0.0476,0.1754,0.3490,0.5834,0.8499,0.9630,0.0278,0.9424,0.0984","Survival,Time travel,Corporate intrigue,Redemption arc,Post-apocalyptic,Family dynamics","Identity crisis,Historical drama","Comedy,Fantasy,SciFi,Romance","Fantasy,Mystery",Dark,Very Complex,2,Developing,2025-09-22 19:16:48.711304,False
USER-0000031,SUB-0000031,"0.7250,0.6057,0.1204,0.1967,0.7197,0.1637,0.1843,0.6583,0.8821,0.0177,0.3702,0.8300,0.8838,0.5606,0.9230,0.3166,0.4367,0.0820,0.2066,0.7440","Historical drama,Love triangle,Good vs evil,Post-apocalyptic,Generational conflict,Friendship bonds","Identity crisis,Class struggle","Comedy,Mystery",,Light,Moderate,75,Developing,2025-09-22 19:31:48.711304,False
USER-0000032,SUB-0000032,"0.9838,0.4085,0.7203,0.2227,0.4943,0.9890,0.0764,0.7174,0.1677,0.6589,0.5510,0.5697,0.2191,0.2680,0.6544,0.6450,0.7592,0.5462,0.7828,0.4868","Time travel,Post-apocalyptic,Political power,Coming of age","Revenge quest,Friendship bonds","Animation,Documentary","Fantasy,Animation",Gritty,Very Complex,5,Established,2025-09-22 19:46:48.711304,False
USER-0000033,SUB-0000033,"0.6018,0.9263,0.4129,0.1553,0.4408,0.5982,0.3113,0.2071,0.2136,0.4147,0.6091,0.0604,0.1735,0.0414,0.0434,0.0063,0.4600,0.7717,0.7155,0.0144","Generational conflict,Identity crisis,Survival,Redemption arc,Addiction recovery,Love triangle","Class struggle,Good vs evil,Family dynamics","Thriller,Action,Documentary,Animation","Comedy,Documentary",Light,Moderate,15,Established,2025-09-22 20:01:48.711304,True
USER-0000034,SUB-0000034,"0.9445,0.8820,0.7960,0.1067,0.2472,0.2869,0.6193,0.6551,0.2204,0.2023,0.6965,0.0623,0.1233,0.7060,0.2471,0.4847,0.5430,0.9948,0.4439,0.9565","Historical drama,Parallel universes,Class struggle,Corporate intrigue","Redemption arc,Historical drama,Coming of age","Mystery,Thriller,Horror","Romance,Horror",Dark,Moderate,15,Established,2025-09-22 20:16:48.711304,False
USER-0000035,SUB-0000035,"0.9098,0.0378,0.4589,0.0143,0.7884,0.0183,0.6063,0.6816,0.1012,0.1482,0.3087,0.8585,0.3317,0.6497,0.7963,0.7672,0.4648,0.4200,0.0163,0.9415","Identity crisis,Revenge quest,Redemption arc","Addiction recovery,Survival","Action,Crime","Comedy,Documentary",Light,Very Complex,5,Developing,2025-09-22 20:31:48.711304,False
USER-0000036,SUB-0000036,"0.2938,0.2344,0.3793,0.9383,0.9093,0.2839,0.4018,0.4066,0.0023,0.7953,0.2215,0.1315,0.8783,0.9128,0.2094,0.4831,0.6973,0.3436,0.9857,0.6975","Post-apocalyptic,Mental health,Social justice","Generational conflict,Political power","Horror,Action,Crime",,Intense,Moderate,35,Mature,2025-09-22 20:46:48.711304,False
USER-0000037,SUB-0000037,"0.6831,0.4461,0.0888,0.3473,0.1573,0.6039,0.1117,0.1621,0.2668,0.2754,0.1551,0.8682,0.0213,0.1448,0.1968,0.0026,0.8902,0.8441,0.8144,0.6033","Political power,Social justice,Family dynamics","Good vs evil,Family dynamics,Love triangle","Animation,Fantasy,Mystery,Documentary",,Intense,Simple,5,Developing,2025-09-22 21:01:48.711304,False
USER-0000038,SUB-0000038,"0.9161,0.9591,0.8180,0.6922,0.0779,0.5886,0.6863,0.4728,0.1015,0.1683,0.3850,0.4377,0.4540,0.1444,0.0721,0.1096,0.4392,0.9791,0.0743,0.5627","Love triangle,Identity crisis,Time travel,Historical drama,Survival","Friendship bonds,Identity crisis","Documentary,Comedy,Romance",,Dark,Very Complex,35,Mature,2025-09-22 21:16:48.711304,False
USER-0000039,SUB-0000039,"0.9129,0.0240,0.5877,0.7172,0.7152,0.9630,0.3965,0.0952,0.7456,0.8227,0.5823,0.8546,0.8417,0.3993,0.0163,0.2935,0.0966,0.4046,0.4750,0.8660","Mental health,Generational conflict,Coming of age,Historical drama,Post-apocalyptic",Love triangle,"Adventure,Crime,Documentary",,Light,Simple,15,Cold Start,2025-09-22 21:31:48.711304,False
USER-0000040,SUB-0000040,"0.5812,0.2037,0.0106,0.7031,0.1573,0.8941,0.3008,0.7202,0.8709,0.3838,0.3056,0.8722,0.7075,0.5907,0.1241,0.9703,0.5529,0.0150,0.4526,0.2092","Survival,Coming of age,Corporate intrigue,Family dynamics","Post-apocalyptic,Betrayal","Family,Comedy,Drama",,Light,Very Complex,15,Mature,2025-09-22 21:46:48.711304,False
USER-0000041,SUB-0000041,"0.4186,0.6139,0.7977,0.5399,0.1011,0.5935,0.3630,0.4923,0.8162,0.3584,0.9494,0.5592,0.5704,0.9421,0.7463,0.5502,0.9668,0.3171,0.6127,0.1256","Post-apocalyptic,Love triangle,Identity crisis,Parallel universes",Revenge quest,"Romance,SciFi,Documentary","Drama,Crime",Serious,Complex,35,Mature,2025-09-22 22:01:48.711304,True
USER-0000042,SUB-0000042,"0.6787,0.5710,0.0524,0.8580,0.3305,0.9856,0.6506,0.3496,0.9701,0.7694,0.2059,0.0466,0.3475,0.3578,0.2160,0.2226,0.5080,0.7831,0.3610,0.5228","Corporate intrigue,Parallel universes,Addiction recovery,Mental health,Moral ambiguity,Good vs evil","Corporate intrigue,Class struggle,Mental health","Family,Horror",Action,Gritty,Simple,15,Established,2025-09-22 22:16:48.711304,False
USER-0000043,SUB-0000043,"0.8518,0.0973,0.1821,0.0066,0.0608,0.1647,0.2858,0.9388,0.3431,0.3798,0.9438,0.5021,0.0259,0.7434,0.3147,0.5486,0.1012,0.0958,0.5057,0.6026","Love triangle,Identity crisis,Friendship bonds,Social justice,Corporate intrigue","Moral ambiguity,Class struggle,Political power","Animation,Crime","SciFi,Animation",Whimsical,Moderate,2,Developing,2025-09-22 22:31:48.711304,False
USER-0000044,SUB-0000044,"0.8543,0.5693,0.1035,0.4429,0.8796,0.9872,0.1914,0.2954,0.4293,0.4117,0.9494,0.8093,0.8316,0.4868,0.0234,0.4483,0.2173,0.1496,0.7301,0.0412","Identity crisis,Addiction recovery,Good vs evil",Friendship bonds,"Mystery,Horror,Romance",,Uplifting,Very Complex,2,Mature,2025-09-22 22:46:48.711304,False
USER-0000045,SUB-0000045,"0.2741,0.3613,0.1771,0.9202,0.7869,0.6682,0.3004,0.0269,0.7051,0.6008,0.3755,0.6131,0.3141,0.6862,0.9299,0.1504,0.1378,0.6641,0.2170,0.1660","Historical drama,Social justice,Parallel universes,Political power,Survival","Corporate intrigue,Historical drama,Coming of age","Family,Crime,Documentary,Fantasy","SciFi,Action",Whimsical,Moderate,75,Mature,2025-09-22 23:01:48.711304,False
USER-0000046,SUB-0000046,"0.8549,0.2991,0.8982,0.1733,0.4834,0.1128,0.7334,0.5037,0.8011,0.1930,0.8463,0.7604,0.7470,0.6125,0.3889,0.2613,0.9556,0.2261,0.1531,0.4733","Political power,Time travel,Family dynamics","Mental health,Parallel universes","Family,Drama,Romance,Action","Crime,Drama",Serious,Very Complex,35,Established,2025-09-22 23:16:48.711304,False
USER-0000047,SUB-0000047,"0.2620,0.5952,0.9129,0.0069,0.7258,0.8943,0.5836,0.4916,0.7841,0.4956,0.0482,0.9117,0.1003,0.8250,0.1031,0.1015,0.6188,0.7494,0.0302,0.9271","Betrayal,Redemption arc,Artificial intelligence,Generational conflict","Parallel universes,Betrayal,Mental health","Action,Family,Adventure","SciFi,Mystery",Intense,Very Complex,2,Established,2025-09-22 23:31:48.711304,False
USER-0000048,SUB-0000048,"0.5460,0.5602,0.5683,0.8413,0.3625,0.4737,0.0485,0.5625,0.6616,0.2201,0.4474,0.4498,0.8282,0.1672,0.9173,0.0393,0.4559,0.0748,0.4948,0.2592","Political power,Family dynamics,Post-apocalyptic,Social justice,Revenge quest,Love triangle","Betrayal,Friendship bonds","Crime,Family",,Gritty,Moderate,2,Established,2025-09-22 23:46:48.711304,False
USER-0000049,SUB-0000049,"0.7300,0.5351,0.8165,0.3832,0.0767,0.5040,0.8128,0.7830,0.0041,0.3695,0.6099,0.4263,0.5268,0.1049,0.8504,0.5946,0.4232,0.9534,0.8781,0.2318","Coming of age,Love triangle,Mental health,Post-apocalyptic,Corporate intrigue",Love triangle,"Fantasy,Horror",Comedy,Dark,Very Complex,5,Mature,2025-09-23 00:01:48.711304,False
USER-0000050,SUB-0000050,"0.4608,0.0099,0.1670,0.9523,0.1572,0.8744,0.9061,0.7807,0.6782,0.6974,0.8770,0.2941,0.3185,0.9957,0.5956,0.1743,0.9597,0.1267,0.9496,0.6552","Generational conflict,Artificial intelligence,Love triangle,Parallel universes,Betrayal,Time travel","Generational conflict,Parallel universes","Comedy,Mystery",Mystery,Whimsical,Very Complex,15,Established,2025-09-23 00:16:48.711304,False
USER-0000051,SUB-0000051,"0.4012,0.1296,0.1664,0.7948,0.1947,0.6189,0.0992,0.8919,0.6550,0.8121,0.5930,0.4880,0.4468,0.8217,0.3658,0.7153,0.1954,0.6197,0.3588,0.6270","Redemption arc,Generational conflict,Historical drama","Friendship bonds,Historical drama","Horror,Thriller,Romance,Animation","Drama,Adventure",Serious,Complex,15,Established,2025-09-23 00:31:48.711304,False
USER-0000052,SUB-0000052,"0.4457,0.5937,0.7782,0.5865,0.6810,0.3662,0.3706,0.4722,0.0436,0.7163,0.8987,0.6923,0.6699,0.8121,0.5759,0.1003,0.1922,0.5295,0.0228,0.6132","Corporate intrigue,Time travel,Addiction recovery","Moral ambiguity,Historical drama","Drama,Horror,Romance,Comedy","Comedy,Crime",Gritty,Very Complex,35,Mature,2025-09-23 00:46:48.711304,False
USER-0000053,SUB-0000053,"0.3907,0.4194,0.2108,0.6063,0.5841,0.4908,0.2624,0.5867,0.9383,0.8738,0.5747,0.4084,0.5980,0.9191,0.6134,0.7776,0.5267,0.7165,0.1425,0.7429","Mental health,Corporate intrigue,Time travel",Political power,"Drama,Family",Family,Intense,Very Complex,35,Cold Start,2025-09-23 01:01:48.711304,False
USER-0000054,SUB-0000054,"0.9139,0.7340,0.3544,0.8267,0.8929,0.0197,0.8260,0.0707,0.6107,0.7689,0.4471,0.9936,0.5885,0.6885,0.7873,0.4544,0.4477,0.7601,0.6272,0.6429","Survival,Post-apocalyptic,Moral ambiguity,Betrayal",Good vs evil,"Family,Horror",,Light,Very Complex,2,Established,2025-09-23 01:16:48.711304,False
USER-0000055,SUB-0000055,"0.8174,0.9889,0.6476,0.8565,0.6016,0.4484,0.9715,0.5638,0.6568,0.0424,0.5033,0.7517,0.7349,0.1884,0.3980,0.2640,0.4312,0.0131,0.4500,0.2528","Friendship bonds,Redemption arc,Political power","Parallel universes,Corporate intrigue","Comedy,Documentary","Documentary,Comedy",Serious,Simple,2,Established,2025-09-23 01:31:48.711304,False
USER-0000056,SUB-0000056,"0.6807,0.8688,0.7915,0.2816,0.6185,0.1969,0.3851,0.6537,0.7579,0.6852,0.3226,0.3124,0.4684,0.4153,0.8094,0.7853,0.4646,0.8491,0.3933,0.2475","Betrayal,Friendship bonds,Social justice,Identity crisis,Time travel","Post-apocalyptic,Artificial intelligence","SciFi,Horror,Comedy,Animation",Animation,Whimsical,Complex,15,Cold Start,2025-09-23 01:46:48.711304,False
USER-0000057,SUB-0000057,"0.1925,0.0633,0.1271,0.0796,0.8682,0.5527,0.0236,0.4554,0.3910,0.4140,0.1454,0.3891,0.2953,0.3594,0.3710,0.6214,0.2409,0.4812,0.2975,0.2893","Redemption arc,Moral ambiguity,Love triangle,Family dynamics,Parallel universes","Betrayal,Mental health","Family,Fantasy,Thriller",Thriller,Uplifting,Simple,35,Established,2025-09-23 02:01:48.711304,False
USER-0000058,SUB-0000058,"0.8330,0.1635,0.7599,0.3409,0.9708,0.6866,0.4652,0.3709,0.8771,0.3856,0.2790,0.5805,0.9462,0.2151,0.8644,0.9156,0.7992,0.4498,0.2061,0.8407","Artificial intelligence,Historical drama,Mental health,Identity crisis,Post-apocalyptic,Revenge quest",Corporate intrigue,"Crime,Adventure",Family,Gritty,Simple,2,Cold Start,2025-09-23 02:16:48.711304,False
USER-0000059,SUB-0000059,"0.8871,0.1207,0.2274,0.7284,0.4956,0.0530,0.9992,0.8683,0.5088,0.2112,0.6698,0.5173,0.3711,0.2265,0.7174,0.6321,0.7507,0.5617,0.4547,0.0389","Historical drama,Identity crisis,Parallel universes",Moral ambiguity,"Action,Mystery,Romance","Thriller,Documentary",Whimsical,Simple,2,Established,2025-09-23 02:31:48.711304,True
USER-0000060,SUB-0000060,"0.3247,0.0687,0.7416,0.5063,0.9959,0.8330,0.2102,0.9370,0.0555,0.1749,0.1413,0.7388,0.1843,0.7631,0.7680,0.2864,0.0053,0.4887,0.9491,0.6782","Coming of age,Revenge quest,Family dynamics,Parallel universes",Generational conflict,"Adventure,Comedy,SciFi,Fantasy",,Light,Complex,15,Established,2025-09-23 02:46:48.711304,False
USER-0000061,SUB-0000061,"0.0138,0.7171,0.6389,0.3253,0.6641,0.6880,0.8852,0.8593,0.2153,0.2671,0.5240,0.6146,0.2945,0.2242,0.7621,0.8403,0.3456,0.7977,0.7635,0.4821","Corporate intrigue,Betrayal,Mental health,Survival",Post-apocalyptic,"Animation,Thriller,SciFi",,Dark,Complex,75,Mature,2025-09-23 03:01:48.711304,False
USER-0000062,SUB-0000062,"0.2621,0.3324,0.3848,0.2511,0.5531,0.5466,0.8282,0.3544,0.6125,0.8403,0.0557,0.4407,0.9929,0.3925,0.0505,0.7764,0.5366,0.6774,0.7408,0.0092","Parallel universes,Friendship bonds,Generational conflict,Identity crisis","Friendship bonds,Class struggle","Thriller,Horror,Fantasy,Crime",Adventure,Uplifting,Simple,35,Mature,2025-09-23 03:16:48.711304,True
USER-0000063,SUB-0000063,"0.5053,0.7978,0.7376,0.9824,0.8123,0.3226,0.0942,0.9125,0.5798,0.6533,0.4879,0.7272,0.5562,0.7435,0.7161,0.5182,0.8337,0.1555,0.0487,0.6286","Artificial intelligence,Historical drama,Political power,Redemption arc","Love triangle,Historical drama","Horror,Adventure",Romance,Uplifting,Moderate,15,Mature,2025-09-23 03:31:48.711304,False
USER-0000064,SUB-0000064,"0.6346,0.2079,0.7612,0.1100,0.1562,0.7244,0.4768,0.5283,0.6639,0.6143,0.2073,0.2050,0.8690,0.1635,0.4529,0.1869,0.4040,0.6424,0.1783,0.3411","Generational conflict,Historical drama,Political power",Good vs evil,"Drama,Family,Fantasy",Fantasy,Intense,Very Complex,5,Developing,2025-09-23 03:46:48.711304,False
USER-0000065,SUB-0000065,"0.1768,0.8936,0.0805,0.1098,0.3182,0.3015,0.9835,0.8655,0.3759,0.4075,0.5097,0.9754,0.1022,0.4025,0.8672,0.0182,0.7771,0.8210,0.6750,0.5326","Moral ambiguity,Good vs evil,Parallel universes","Post-apocalyptic,Friendship bonds,Good vs evil","Mystery,Family","Thriller,Documentary",Gritty,Simple,2,Mature,2025-09-23 04:01:48.711304,False
