cell_id,cell_name,technology,region,latitude,longitude,max_prb_capacity,vendor,deployment_date,neighbor_cell_list
cell-00064,Tower SOUTHWEST-0064,4G-LTE,northwest,26.496708876830496,-117.99733270452536,200,Samsung,2023-09-05 10:39:16.867975,"cell-00075,cell-00144,cell-00206,cell-00182,cell-00192,cell-00283,cell-00167"
cell-00065,Tower SOUTHWEST-0065,4G-LTE,northeast,31.105805562809252,-77.03515714044669,200,Samsung,2023-09-06 10:39:16.867975,"cell-00221,cell-00299,cell-00164,cell-00366"
cell-00066,Tower NORTHEAST-0066,4G-LTE,central,30.41579640003049,-115.12243459586723,150,Samsung,2023-09-07 10:39:16.867975,"cell-00295,cell-00253,cell-00247,cell-00379,cell-00241,cell-00260"
cell-00067,Tower SOUTHWEST-0067,5G-NSA,central,43.07288823092978,-94.50557485038121,150,Ericsson,2023-09-08 10:39:16.867975,"cell-00083,cell-00237,cell-00021,cell-00100,cell-00192,cell-00448,cell-00310"
cell-00068,Tower NORTHWEST-0068,5G-NSA,southwest,35.176387943409765,-115.21181979512257,150,Nokia,2023-09-09 10:39:16.867975,"cell-00353,cell-00251,cell-00420,cell-00256"
cell-00069,Tower NORTHWEST-0069,5G-NSA,central,29.771056858685576,-70.97743769251812,200,Samsung,2023-09-10 10:39:16.867975,"cell-00242,cell-00348,cell-00229"
cell-00070,Tower SOUTHEAST-0070,4G-LTE,northeast,35.431405817792196,-100.50222690287924,100,Nokia,2023-09-11 10:39:16.867975,"cell-00194,cell-00012,cell-00084,cell-00462,cell-00246,cell-00065"
cell-00071,Tower NORTHEAST-0071,4G-LTE,northwest,36.956278777572166,-76.9387609388469,200,Samsung,2023-09-12 10:39:16.867975,"cell-00288,cell-00443,cell-00131,cell-00429,cell-00316,cell-00140,cell-00411"
cell-00072,Tower NORTHEAST-0072,5G-SA,southeast,26.222169668175265,-124.17056006174644,150,Nokia,2023-09-13 10:39:16.867975,"cell-00203,cell-00154,cell-00153,cell-00011,cell-00251"
cell-00073,Tower SOUTHEAST-0073,4G-LTE,central,26.302808932397696,-96.81390938435341,50,Ericsson,2023-09-14 10:39:16.867975,"cell-00260,cell-00142,cell-00042,cell-00242,cell-00169"
cell-00074,Tower CENTRAL-0074,5G-SA,northeast,32.7518593235031,-98.8229956107778,150,Ericsson,2023-09-15 10:39:16.867975,"cell-00417,cell-00164,cell-00395,cell-00010,cell-00468,cell-00182"
cell-00075,Tower NORTHWEST-0075,4G-LTE,central,30.20497953502847,-82.9574830728761,200,Samsung,2023-09-16 10:39:16.867975,"cell-00147,cell-00228,cell-00041,cell-00045,cell-00162,cell-00298,cell-00093"
cell-00076,Tower SOUTHWEST-0076,5G-NSA,central,38.130470091244916,-78.29016465486636,100,Ericsson,2023-09-17 10:39:16.867975,"cell-00447,cell-00237,cell-00246,cell-00074,cell-00245,cell-00425,cell-00043"
cell-00077,Tower CENTRAL-0077,5G-SA,northwest,45.55875941443368,-120.96686575710382,50,Samsung,2023-09-18 10:39:16.867975,"cell-00224,cell-00454,cell-00097,cell-00153,cell-00314"
cell-00078,Tower SOUTHEAST-0078,5G-NSA,northwest,26.152171066575722,-114.51706820164739,150,Ericsson,2023-09-19 10:39:16.867975,"cell-00376,cell-00355,cell-00371,cell-00174,cell-00317"
cell-00079,Tower CENTRAL-0079,4G-LTE,central,41.0189634662892,-111.94011473712006,200,Samsung,2023-09-20 10:39:16.867975,"cell-00208,cell-00122,cell-00011,cell-00296,cell-00208"
cell-00080,Tower NORTHEAST-0080,4G-LTE,southeast,42.064267004885735,-94.10173916736589,150,Nokia,2023-09-21 10:39:16.867975,"cell-00322,cell-00498,cell-00118,cell-00180"
cell-00081,Tower SOUTHEAST-0081,5G-NSA,northwest,46.035834818213885,-105.18966076102345,150,Ericsson,2023-09-22 10:39:16.867975,"cell-00086,cell-00297,cell-00357,cell-00147,cell-00493,cell-00342,cell-00432"
cell-00082,Tower SOUTHEAST-0082,5G-SA,northeast,31.620913262768923,-68.56483927730412,50,Ericsson,2023-09-23 10:39:16.867975,"cell-00015,cell-00278,cell-00297,cell-00117"
cell-00083,Tower CENTRAL-0083,4G-LTE,southeast,28.459112226602528,-89.19010688033703,100,Nokia,2023-09-24 10:39:16.867975,"cell-00423,cell-00005,cell-00329"
cell-00084,Tower SOUTHEAST-0084,4G-LTE,southwest,45.273292896539566,-85.35216336569275,150,Ericsson,2023-09-25 10:39:16.867975,"cell-00457,cell-00416,cell-00137"
cell-00085,Tower SOUTHEAST-0085,4G-LTE,central,30.43575467852145,-118.06774345959302,150,Ericsson,2023-09-26 10:39:16.867975,"cell-00188,cell-00212,cell-00077,cell-00097"
cell-00086,Tower SOUTHEAST-0086,5G-NSA,northeast,31.59601915819425,-114.57277072175263,50,Nokia,2023-09-27 10:39:16.867975,"cell-00392,cell-00097,cell-00399,cell-00419,cell-00372"
cell-00087,Tower SOUTHEAST-0087,5G-SA,southeast,35.894852727584976,-118.80104889786845,50,Samsung,2023-09-28 10:39:16.867975,"cell-00253,cell-00406,cell-00302,cell-00056,cell-00331,cell-00164"
cell-00088,Tower CENTRAL-0088,5G-NSA,southeast,29.397853795377017,-83.76531441197574,100,Nokia,2023-09-29 10:39:16.867975,"cell-00188,cell-00253,cell-00023,cell-00472,cell-00472,cell-00279,cell-00057"
cell-00089,Tower SOUTHEAST-0089,4G-LTE,southeast,30.779059577458053,-69.82376207475437,150,Ericsson,2023-09-30 10:39:16.867975,"cell-00328,cell-00443,cell-00318,cell-00438,cell-00082,cell-00025"
cell-00090,Tower SOUTHEAST-0090,5G-SA,central,33.52021798695388,-89.44452256093015,200,Ericsson,2023-10-01 10:39:16.867975,"cell-00270,cell-00105,cell-00065,cell-00201,cell-00414,cell-00437"
cell-00091,Tower CENTRAL-0091,4G-LTE,northeast,39.59596439355546,-100.37204551597702,50,Samsung,2023-10-02 10:39:16.867975,"cell-00373,cell-00060,cell-00316,cell-00447"
cell-00092,Tower NORTHEAST-0092,4G-LTE,northeast,37.7704528373069,-101.93176652185423,50,Samsung,2023-10-03 10:39:16.867975,"cell-00287,cell-00229,cell-00034,cell-00467,cell-00446,cell-00079,cell-00081"
cell-00093,Tower CENTRAL-0093,5G-NSA,southwest,44.36106789451335,-77.80576625190129,50,Samsung,2023-10-04 10:39:16.867975,"cell-00266,cell-00383,cell-00402"
cell-00094,Tower SOUTHEAST-0094,4G-LTE,southeast,42.8121691254807,-67.54597304264351,100,Ericsson,2023-10-05 10:39:16.867975,"cell-00048,cell-00168,cell-00194,cell-00047,cell-00051,cell-00299,cell-00326"
cell-00095,Tower SOUTHEAST-0095,4G-LTE,southeast,28.87119640633103,-108.11619551904117,150,Samsung,2023-10-06 10:39:16.867975,"cell-00125,cell-00487,cell-00174,cell-00048,cell-00444"
cell-00096,Tower CENTRAL-0096,5G-SA,central,34.87459318266358,-73.82393513109791,150,Ericsson,2023-10-07 10:39:16.867975,"cell-00002,cell-00288,cell-00299,cell-00029,cell-00285,cell-00210,cell-00312"
cell-00097,Tower CENTRAL-0097,5G-SA,southwest,25.17287394395365,-83.82517830076401,50,Samsung,2023-10-08 10:39:16.867975,"cell-00125,cell-00076,cell-00492,cell-00369,cell-00411,cell-00394"
cell-00098,Tower SOUTHEAST-0098,5G-SA,northwest,35.24455676039109,-68.75946856336101,200,Nokia,2023-10-09 10:39:16.867975,"cell-00038,cell-00407,cell-00391"
cell-00099,Tower SOUTHEAST-0099,5G-NSA,central,36.73833246400046,-107.06698574500602,100,Nokia,2023-10-10 10:39:16.867975,"cell-00374,cell-00147,cell-00325,cell-00341,cell-00026,cell-00023,cell-00186"
cell-00100,Tower NORTHWEST-0100,4G-LTE,central,38.988881704019846,-74.69147158320342,200,Samsung,2023-10-11 10:39:16.867975,"cell-00269,cell-00320,cell-00294,cell-00401,cell-00427"
cell-00101,Tower NORTHWEST-0101,5G-SA,northwest,47.383371850432674,-88.41929014362888,50,Samsung,2023-10-12 10:39:16.867975,"cell-00230,cell-00058,cell-00162,cell-00159,cell-00409,cell-00211"
cell-00102,Tower CENTRAL-0102,4G-LTE,northwest,40.597607351089394,-113.84722277045775,100,Ericsson,2023-10-13 10:39:16.867975,"cell-00269,cell-00169,cell-00139,cell-00326,cell-00469,cell-00348,cell-00323"
cell-00103,Tower SOUTHWEST-0103,5G-SA,southeast,42.866902839413534,-95.3724667819144,150,Ericsson,2023-10-14 10:39:16.867975,"cell-00493,cell-00167,cell-00446,cell-00438,cell-00374,cell-00042"
cell-00104,Tower NORTHEAST-0104,4G-LTE,northwest,30.875778211207475,-122.25464063337134,200,Nokia,2023-10-15 10:39:16.867975,"cell-00163,cell-00131,cell-00381,cell-00113"
cell-00105,Tower NORTHEAST-0105,5G-NSA,northeast,45.91651047914005,-79.70464706944337,50,Samsung,2023-10-16 10:39:16.867975,"cell-00411,cell-00112,cell-00329"
cell-00106,Tower NORTHWEST-0106,4G-LTE,southwest,35.63546418571918,-80.12495171483518,150,Nokia,2023-10-17 10:39:16.867975,"cell-00181,cell-00470,cell-00252"
cell-00107,Tower CENTRAL-0107,5G-NSA,southwest,26.45258494632366,-89.17978739882776,150,Samsung,2023-10-18 10:39:16.867975,"cell-00208,cell-00010,cell-00256,cell-00481,cell-00226,cell-00217"
cell-00108,Tower NORTHWEST-0108,4G-LTE,northwest,34.67771666119881,-88.76705754576301,200,Nokia,2023-10-19 10:39:16.867975,"cell-00121,cell-00304,cell-00104,cell-00070"
cell-00109,Tower SOUTHWEST-0109,5G-NSA,northeast,42.102059297469495,-93.91188664466003,200,Samsung,2023-10-20 10:39:16.867975,"cell-00491,cell-00150,cell-00274"
cell-00110,Tower NORTHWEST-0110,4G-LTE,northeast,45.48535871066311,-103.47333920572719,200,Ericsson,2023-10-21 10:39:16.867975,"cell-00037,cell-00170,cell-00270,cell-00204,cell-00220"
cell-00111,Tower SOUTHWEST-0111,5G-NSA,central,30.183025353136138,-93.89607578416867,100,Nokia,2023-10-22 10:39:16.867975,"cell-00282,cell-00342,cell-00096"
cell-00112,Tower SOUTHEAST-0112,5G-SA,southwest,28.12036753126427,-91.6714467197617,50,Ericsson,2023-10-23 10:39:16.867975,"cell-00190,cell-00031,cell-00406,cell-00076"
cell-00113,Tower NORTHWEST-0113,5G-SA,northeast,25.332751802851565,-89.73295199755675,100,Ericsson,2023-10-24 10:39:16.867975,"cell-00415,cell-00246,cell-00229"
cell-00114,Tower NORTHEAST-0114,4G-LTE,northeast,29.66026964977165,-84.64785896868932,50,Nokia,2023-10-25 10:39:16.867975,"cell-00202,cell-00497,cell-00237"
cell-00115,Tower CENTRAL-0115,4G-LTE,southeast,34.76648107603451,-78.9699700871385,100,Nokia,2023-10-26 10:39:16.867975,"cell-00244,cell-00460,cell-00070,cell-00418,cell-00211,cell-00230,cell-00338"
cell-00116,Tower SOUTHEAST-0116,5G-SA,northeast,42.94178986320793,-67.48698339230359,200,Ericsson,2023-10-27 10:39:16.867975,"cell-00148,cell-00327,cell-00018,cell-00394,cell-00211,cell-00144,cell-00299"
cell-00117,Tower SOUTHEAST-0117,4G-LTE,central,32.89316645572609,-93.30061660638597,100,Samsung,2023-10-28 10:39:16.867975,"cell-00176,cell-00254,cell-00352"
cell-00118,Tower SOUTHWEST-0118,4G-LTE,northeast,34.45120915788617,-92.35555781513165,150,Nokia,2023-10-29 10:39:16.867975,"cell-00217,cell-00069,cell-00296"
cell-00119,Tower NORTHEAST-0119,5G-NSA,southeast,31.574952752398598,-88.98373693010626,50,Nokia,2023-10-30 10:39:16.867975,"cell-00442,cell-00210,cell-00264,cell-00097"
cell-00120,Tower NORTHWEST-0120,5G-SA,central,35.3432619542655,-74.68970618539696,100,Nokia,2023-10-31 10:39:16.867975,"cell-00050,cell-00493,cell-00365,cell-00154,cell-00277,cell-00126,cell-00087"
cell-00121,Tower NORTHEAST-0121,5G-NSA,northeast,47.049460217424304,-82.14010204699034,150,Samsung,2023-11-01 10:39:16.867975,"cell-00436,cell-00085,cell-00046,cell-00175,cell-00379,cell-00266,cell-00482"
cell-00122,Tower NORTHWEST-0122,5G-SA,central,37.420549472686744,-83.55338837205313,100,Ericsson,2023-11-02 10:39:16.867975,"cell-00420,cell-00286,cell-00315,cell-00190,cell-00147,cell-00180,cell-00470"
cell-00123,Tower NORTHWEST-0123,5G-NSA,northeast,25.856757595351336,-96.95454944209533,50,Ericsson,2023-11-03 10:39:16.867975,"cell-00023,cell-00309,cell-00282"
cell-00124,Tower SOUTHEAST-0124,5G-NSA,northwest,38.539850076555055,-115.53070706431474,200,Ericsson,2023-11-04 10:39:16.867975,"cell-00265,cell-00275,cell-00293,cell-00180,cell-00417,cell-00320,cell-00351"
cell-00125,Tower CENTRAL-0125,5G-SA,northeast,41.042740877718025,-117.1267559981814,100,Samsung,2023-11-05 10:39:16.867975,"cell-00278,cell-00313,cell-00396,cell-00258,cell-00249,cell-00247"
cell-00126,Tower NORTHWEST-0126,5G-SA,southwest,32.69569738826813,-71.1886761396872,150,Ericsson,2023-11-06 10:39:16.867975,"cell-00293,cell-00162,cell-00437,cell-00126,cell-00056,cell-00435,cell-00449"
cell-00127,Tower SOUTHWEST-0127,5G-NSA,northwest,47.37570759997634,-80.48013061223705,150,Ericsson,2023-11-07 10:39:16.867975,"cell-00273,cell-00498,cell-00473,cell-00012,cell-00374,cell-00365"
cell-00128,Tower SOUTHWEST-0128,4G-LTE,central,28.834682498463764,-111.4769238973375,200,Samsung,2023-11-08 10:39:16.867975,"cell-00049,cell-00098,cell-00415"
cell-00129,Tower NORTHWEST-0129,5G-NSA,northeast,45.557364356174276,-95.42194158607984,50,Nokia,2023-11-09 10:39:16.867975,"cell-00071,cell-00101,cell-00458,cell-00072,cell-00243,cell-00170"
cell-00130,Tower NORTHEAST-0130,4G-LTE,central,46.10473277388216,-119.381691568714,100,Samsung,2023-11-10 10:39:16.867975,"cell-00434,cell-00098,cell-00183,cell-00426"
cell-00131,Tower NORTHWEST-0131,5G-NSA,northeast,32.14991212717793,-87.24732658213205,50,Samsung,2023-11-11 10:39:16.867975,"cell-00363,cell-00124,cell-00158,cell-00035,cell-00354,cell-00367"
cell-00132,Tower SOUTHEAST-0132,5G-SA,northeast,48.412672804359815,-107.66050583714714,100,Samsung,2023-11-12 10:39:16.867975,"cell-00184,cell-00342,cell-00488,cell-00106,cell-00379,cell-00317"
cell-00133,Tower CENTRAL-0133,4G-LTE,northwest,39.171520810083145,-103.18187962933797,200,Ericsson,2023-11-13 10:39:16.867975,"cell-00486,cell-00447,cell-00092,cell-00369,cell-00292"
