@timestamp,handoff_id,handoff_type,source_cell_id,target_cell_id,handoff_result,failure_reason,handoff_latency_ms,imsi_hash,mme_host,ue_signal_strength_dbm
2025-11-10 18:27:16.924484,ho-00000062,S1,cell-00099,cell-00332,timeout,none,89,imsi-218586,mme-so-02,-120
2025-11-10 18:27:56.924484,ho-00000063,X2,cell-00344,cell-00215,success,weak_signal,151,imsi-944732,mme-no-33,-67
2025-11-10 18:28:36.924484,ho-00000064,X2,cell-00477,cell-00415,failure,none,21,imsi-518600,mme-so-32,-96
2025-11-10 18:29:16.924484,ho-00000065,X2,cell-00180,cell-00119,success,none,29,imsi-603944,mme-so-30,-118
2025-11-10 18:29:56.924484,ho-00000066,S1,cell-00022,cell-00144,success,none,59,imsi-844169,mme-no-17,-95
2025-11-10 18:30:36.924484,ho-00000067,X2,cell-00018,cell-00275,success,none,34,imsi-625528,mme-no-27,-83
2025-11-10 18:31:16.924484,ho-00000068,S1,cell-00218,cell-00395,success,none,46,imsi-689341,mme-so-11,-88
2025-11-10 18:31:56.924484,ho-00000069,intra-cell,cell-00472,cell-00471,timeout,none,17,imsi-983730,mme-so-42,-92
2025-11-10 18:32:36.924484,ho-00000070,X2,cell-00095,cell-00393,success,none,64,imsi-327865,mme-no-01,-63
2025-11-10 18:33:16.924484,ho-00000071,intra-cell,cell-00354,cell-00363,success,none,17,imsi-376322,mme-no-08,-82
2025-11-10 18:33:56.924484,ho-00000072,X2,cell-00228,cell-00034,success,none,76,imsi-918765,mme-no-16,-91
2025-11-10 18:34:36.924484,ho-00000073,X2,cell-00383,cell-00078,timeout,none,22,imsi-192268,mme-so-50,-71
2025-11-10 18:35:16.924484,ho-00000074,X2,cell-00336,cell-00244,success,none,105,imsi-855371,mme-so-42,-77
2025-11-10 18:35:56.924484,ho-00000075,inter-freq,cell-00445,cell-00341,success,none,58,imsi-899659,mme-no-37,-97
2025-11-10 18:36:36.924484,ho-00000076,X2,cell-00298,cell-00206,success,none,31,imsi-425120,mme-no-49,-105
2025-11-10 18:37:16.924484,ho-00000077,X2,cell-00432,cell-00044,failure,none,121,imsi-618869,mme-so-43,-120
2025-11-10 18:37:56.924484,ho-00000078,intra-cell,cell-00010,cell-00188,success,none,84,imsi-260266,mme-no-08,-80
2025-11-10 18:38:36.924484,ho-00000079,intra-cell,cell-00205,cell-00003,success,none,39,imsi-802245,mme-no-38,-112
2025-11-10 18:39:16.924484,ho-00000080,X2,cell-00436,cell-00364,success,none,70,imsi-803572,mme-no-34,-68
2025-11-10 18:39:56.924484,ho-00000081,X2,cell-00150,cell-00473,success,none,45,imsi-527536,mme-no-45,-74
2025-11-10 18:40:36.924484,ho-00000082,intra-cell,cell-00064,cell-00385,success,none,64,imsi-649324,mme-ce-48,-120
2025-11-10 18:41:16.924484,ho-00000083,X2,cell-00205,cell-00005,success,none,23,imsi-332891,mme-ce-24,-80
2025-11-10 18:41:56.924484,ho-00000084,X2,cell-00429,cell-00061,success,none,132,imsi-185170,mme-so-09,-65
2025-11-10 18:42:36.924484,ho-00000085,intra-cell,cell-00191,cell-00425,success,none,210,imsi-154540,mme-so-35,-67
2025-11-10 18:43:16.924484,ho-00000086,S1,cell-00393,cell-00160,success,none,91,imsi-686979,mme-ce-26,-109
2025-11-10 18:43:56.924484,ho-00000087,inter-freq,cell-00463,cell-00361,success,none,66,imsi-850392,mme-no-38,-105
2025-11-10 18:44:36.924484,ho-00000088,X2,cell-00415,cell-00085,success,weak_signal,105,imsi-375644,mme-ce-48,-114
2025-11-10 18:45:16.924484,ho-00000089,S1,cell-00324,cell-00082,failure,none,120,imsi-918549,mme-no-07,-80
2025-11-10 18:45:56.924484,ho-00000090,X2,cell-00082,cell-00296,success,resource_unavailable,135,imsi-855445,mme-no-31,-110
2025-11-10 18:46:36.924484,ho-00000091,X2,cell-00365,cell-00180,success,none,51,imsi-258323,mme-so-43,-119
2025-11-10 18:47:16.924484,ho-00000092,S1,cell-00416,cell-00189,success,none,25,imsi-760539,mme-so-43,-110
2025-11-10 18:47:56.924484,ho-00000093,X2,cell-00156,cell-00192,success,none,43,imsi-466174,mme-no-07,-117
2025-11-10 18:48:36.924484,ho-00000094,X2,cell-00038,cell-00087,success,none,70,imsi-692942,mme-ce-41,-71
2025-11-10 18:49:16.924484,ho-00000095,S1,cell-00251,cell-00153,success,none,37,imsi-345394,mme-no-34,-61
2025-11-10 18:49:56.924484,ho-00000096,intra-cell,cell-00262,cell-00086,success,none,32,imsi-699054,mme-so-03,-78
2025-11-10 18:50:36.924484,ho-00000097,X2,cell-00116,cell-00383,success,target_cell_congestion,70,imsi-539270,mme-ce-19,-69
2025-11-10 18:51:16.924484,ho-00000098,S1,cell-00307,cell-00238,success,none,51,imsi-915424,mme-so-02,-63
2025-11-10 18:51:56.924484,ho-00000099,S1,cell-00468,cell-00059,success,none,24,imsi-646821,mme-ce-24,-114
2025-11-10 18:52:36.924484,ho-00000100,intra-cell,cell-00415,cell-00132,success,none,39,imsi-614061,mme-no-04,-81
2025-11-10 18:53:16.924484,ho-00000101,S1,cell-00428,cell-00485,success,none,12,imsi-406843,mme-no-07,-86
2025-11-10 18:53:56.924484,ho-00000102,S1,cell-00234,cell-00425,success,none,117,imsi-797717,mme-ce-20,-116
2025-11-10 18:54:36.924484,ho-00000103,X2,cell-00075,cell-00456,failure,none,125,imsi-206216,mme-no-33,-112
2025-11-10 18:55:16.924484,ho-00000104,X2,cell-00223,cell-00496,success,none,33,imsi-582650,mme-ce-20,-71
2025-11-10 18:55:56.924484,ho-00000105,X2,cell-00342,cell-00443,success,none,130,imsi-567363,mme-no-38,-66
2025-11-10 18:56:36.924484,ho-00000106,intra-cell,cell-00133,cell-00400,success,none,78,imsi-858906,mme-no-16,-112
2025-11-10 18:57:16.924484,ho-00000107,X2,cell-00093,cell-00128,success,none,77,imsi-768143,mme-no-25,-83
2025-11-10 18:57:56.924484,ho-00000108,X2,cell-00276,cell-00399,failure,none,53,imsi-883385,mme-so-05,-95
2025-11-10 18:58:36.924484,ho-00000109,S1,cell-00251,cell-00287,timeout,none,35,imsi-799771,mme-no-34,-119
2025-11-10 18:59:16.924484,ho-00000110,X2,cell-00314,cell-00393,success,none,43,imsi-852169,mme-ce-21,-86
2025-11-10 18:59:56.924484,ho-00000111,inter-freq,cell-00051,cell-00301,success,none,30,imsi-203495,mme-no-45,-84
2025-11-10 19:00:36.924484,ho-00000112,S1,cell-00124,cell-00471,success,resource_unavailable,23,imsi-333869,mme-so-23,-94
2025-11-10 19:01:16.924484,ho-00000113,X2,cell-00189,cell-00082,failure,none,363,imsi-699649,mme-ce-21,-73
2025-11-10 19:01:56.924484,ho-00000114,X2,cell-00271,cell-00317,timeout,none,192,imsi-696978,mme-so-09,-66
2025-11-10 19:02:36.924484,ho-00000115,intra-cell,cell-00352,cell-00046,success,none,67,imsi-498831,mme-so-23,-107
2025-11-10 19:03:16.924484,ho-00000116,X2,cell-00009,cell-00024,success,target_cell_congestion,36,imsi-430956,mme-ce-41,-110
2025-11-10 19:03:56.924484,ho-00000117,X2,cell-00469,cell-00434,success,none,140,imsi-988912,mme-so-36,-107
2025-11-10 19:04:36.924484,ho-00000118,X2,cell-00481,cell-00241,success,none,30,imsi-589057,mme-so-23,-77
2025-11-10 19:05:16.924484,ho-00000119,X2,cell-00041,cell-00334,success,none,115,imsi-295539,mme-so-23,-69
2025-11-10 19:05:56.924484,ho-00000120,intra-cell,cell-00353,cell-00295,success,none,40,imsi-295815,mme-ce-46,-113
2025-11-10 19:06:36.924484,ho-00000121,X2,cell-00246,cell-00458,success,none,48,imsi-598513,mme-no-08,-68
2025-11-10 19:07:16.924484,ho-00000122,intra-cell,cell-00044,cell-00317,success,none,109,imsi-968738,mme-ce-41,-87
2025-11-10 19:07:56.924484,ho-00000123,X2,cell-00451,cell-00059,success,none,34,imsi-193386,mme-no-37,-92
2025-11-10 19:08:36.924484,ho-00000124,X2,cell-00470,cell-00185,success,none,36,imsi-739991,mme-so-18,-65
2025-11-10 19:09:16.924484,ho-00000125,X2,cell-00377,cell-00104,success,none,52,imsi-613301,mme-no-27,-98
2025-11-10 19:09:56.924484,ho-00000126,X2,cell-00050,cell-00299,success,none,47,imsi-441354,mme-ce-19,-82
2025-11-10 19:10:36.924484,ho-00000127,X2,cell-00437,cell-00171,success,none,37,imsi-949249,mme-so-28,-65
2025-11-10 19:11:16.924484,ho-00000128,S1,cell-00478,cell-00202,success,none,53,imsi-636335,mme-no-25,-103
2025-11-10 19:11:56.924484,ho-00000129,X2,cell-00193,cell-00274,success,none,102,imsi-110424,mme-no-39,-99
2025-11-10 19:12:36.924484,ho-00000130,intra-cell,cell-00310,cell-00074,timeout,none,96,imsi-529905,mme-so-35,-99
2025-11-10 19:13:16.924484,ho-00000131,S1,cell-00325,cell-00313,failure,none,34,imsi-645229,mme-so-28,-102
2025-11-10 19:13:56.924484,ho-00000132,intra-cell,cell-00309,cell-00146,failure,none,47,imsi-744730,mme-so-11,-73
2025-11-10 19:14:36.924484,ho-00000133,X2,cell-00246,cell-00482,success,none,107,imsi-556774,mme-so-05,-119
2025-11-10 19:15:16.924484,ho-00000134,X2,cell-00213,cell-00257,success,none,18,imsi-997840,mme-so-23,-87
2025-11-10 19:15:56.924484,ho-00000135,S1,cell-00154,cell-00267,success,none,72,imsi-899241,mme-so-09,-93
2025-11-10 19:16:36.924484,ho-00000136,S1,cell-00203,cell-00172,success,none,144,imsi-794671,mme-so-02,-110
2025-11-10 19:17:16.924484,ho-00000137,X2,cell-00039,cell-00255,success,none,39,imsi-501438,mme-no-31,-77
2025-11-10 19:17:56.924484,ho-00000138,inter-freq,cell-00228,cell-00267,success,none,21,imsi-884482,mme-no-49,-94
2025-11-10 19:18:36.924484,ho-00000139,intra-cell,cell-00369,cell-00295,success,none,124,imsi-937244,mme-no-25,-75
2025-11-10 19:19:16.924484,ho-00000140,X2,cell-00119,cell-00265,success,handoff_timeout,178,imsi-808606,mme-so-03,-72
2025-11-10 19:19:56.924484,ho-00000141,X2,cell-00146,cell-00371,success,none,35,imsi-934536,mme-ce-24,-83
2025-11-10 19:20:36.924484,ho-00000142,X2,cell-00231,cell-00017,success,resource_unavailable,30,imsi-806788,mme-no-45,-68
2025-11-10 19:21:16.924484,ho-00000143,X2,cell-00226,cell-00210,success,none,43,imsi-585770,mme-no-15,-109
2025-11-10 19:21:56.924484,ho-00000144,X2,cell-00406,cell-00337,success,none,38,imsi-349389,mme-so-18,-89
2025-11-10 19:22:36.924484,ho-00000145,S1,cell-00439,cell-00145,failure,weak_signal,52,imsi-337379,mme-no-12,-114
2025-11-10 19:23:16.924484,ho-00000146,X2,cell-00168,cell-00326,success,none,34,imsi-127323,mme-no-15,-91
2025-11-10 19:23:56.924484,ho-00000147,X2,cell-00476,cell-00011,success,none,58,imsi-149660,mme-no-25,-87
2025-11-10 19:24:36.924484,ho-00000148,intra-cell,cell-00286,cell-00343,success,none,61,imsi-758382,mme-so-11,-78
2025-11-10 19:25:16.924484,ho-00000149,S1,cell-00305,cell-00082,success,none,86,imsi-904046,mme-so-28,-62
2025-11-10 19:25:56.924484,ho-00000150,X2,cell-00474,cell-00179,success,none,46,imsi-511469,mme-ce-24,-111
2025-11-10 19:26:36.924484,ho-00000151,X2,cell-00150,cell-00351,failure,none,127,imsi-233536,mme-ce-46,-75
2025-11-10 19:27:16.924484,ho-00000152,S1,cell-00168,cell-00232,success,none,43,imsi-926266,mme-so-14,-109
2025-11-10 19:27:56.924484,ho-00000153,X2,cell-00214,cell-00197,timeout,none,31,imsi-540289,mme-so-11,-68
2025-11-10 19:28:36.924484,ho-00000154,S1,cell-00406,cell-00213,success,weak_signal,58,imsi-323084,mme-no-27,-63
2025-11-10 19:29:16.924484,ho-00000155,X2,cell-00035,cell-00109,success,none,27,imsi-517494,mme-so-10,-94
2025-11-10 19:29:56.924484,ho-00000156,S1,cell-00316,cell-00313,success,none,14,imsi-779569,mme-no-15,-77
2025-11-10 19:30:36.924484,ho-00000157,X2,cell-00422,cell-00335,success,none,33,imsi-865407,mme-no-39,-120
2025-11-10 19:31:16.924484,ho-00000158,S1,cell-00139,cell-00267,failure,none,68,imsi-498336,mme-no-22,-97
2025-11-10 19:31:56.924484,ho-00000159,X2,cell-00151,cell-00088,success,none,88,imsi-895193,mme-no-39,-105
2025-11-10 19:32:36.924484,ho-00000160,X2,cell-00372,cell-00220,success,none,29,imsi-325563,mme-no-31,-75
2025-11-10 19:33:16.924484,ho-00000161,S1,cell-00088,cell-00377,success,weak_signal,22,imsi-590880,mme-no-13,-108
2025-11-10 19:33:56.924484,ho-00000162,X2,cell-00436,cell-00067,success,target_cell_congestion,86,imsi-798954,mme-no-17,-109
2025-11-10 19:34:36.924484,ho-00000163,intra-cell,cell-00321,cell-00049,success,none,48,imsi-678552,mme-no-25,-85
2025-11-10 19:35:16.924484,ho-00000164,S1,cell-00174,cell-00474,success,none,34,imsi-960254,mme-so-05,-64
2025-11-10 19:35:56.924484,ho-00000165,S1,cell-00427,cell-00474,success,none,91,imsi-985534,mme-so-18,-91
2025-11-10 19:36:36.924484,ho-00000166,X2,cell-00232,cell-00498,failure,none,50,imsi-439247,mme-ce-19,-78
2025-11-10 19:37:16.924484,ho-00000167,X2,cell-00382,cell-00185,failure,none,81,imsi-748613,mme-no-12,-71
2025-11-10 19:37:56.924484,ho-00000168,intra-cell,cell-00199,cell-00168,success,none,38,imsi-917745,mme-so-23,-87
2025-11-10 19:38:36.924484,ho-00000169,S1,cell-00381,cell-00179,success,none,31,imsi-425237,mme-ce-26,-70
2025-11-10 19:39:16.924484,ho-00000170,X2,cell-00229,cell-00020,success,none,39,imsi-964467,mme-so-36,-97
2025-11-10 19:39:56.924484,ho-00000171,inter-freq,cell-00481,cell-00224,success,target_cell_congestion,33,imsi-535018,mme-no-04,-76
2025-11-10 19:40:36.924484,ho-00000172,X2,cell-00488,cell-00134,success,none,40,imsi-510046,mme-no-33,-64
2025-11-10 19:41:16.924484,ho-00000173,S1,cell-00170,cell-00092,success,none,103,imsi-664240,mme-no-08,-113
2025-11-10 19:41:56.924484,ho-00000174,intra-cell,cell-00256,cell-00320,success,none,22,imsi-586451,mme-no-33,-71
2025-11-10 19:42:36.924484,ho-00000175,intra-cell,cell-00169,cell-00394,success,none,37,imsi-309368,mme-ce-19,-81
2025-11-10 19:43:16.924484,ho-00000176,S1,cell-00480,cell-00395,failure,weak_signal,80,imsi-697904,mme-so-30,-79
2025-11-10 19:43:56.924484,ho-00000177,X2,cell-00375,cell-00404,success,none,15,imsi-113298,mme-so-28,-91
2025-11-10 19:44:36.924484,ho-00000178,S1,cell-00079,cell-00231,success,none,44,imsi-897531,mme-ce-21,-83
2025-11-10 19:45:16.924484,ho-00000179,X2,cell-00080,cell-00246,success,none,46,imsi-586624,mme-so-10,-91
2025-11-10 19:45:56.924484,ho-00000180,X2,cell-00043,cell-00227,success,none,213,imsi-731477,mme-no-04,-105
2025-11-10 19:46:36.924484,ho-00000181,intra-cell,cell-00344,cell-00099,failure,none,85,imsi-201282,mme-no-22,-112
2025-11-10 19:47:16.924484,ho-00000182,X2,cell-00113,cell-00070,success,none,58,imsi-815698,mme-so-03,-69
2025-11-10 19:47:56.924484,ho-00000183,S1,cell-00179,cell-00195,success,none,42,imsi-847529,mme-so-14,-113
2025-11-10 19:48:36.924484,ho-00000184,inter-freq,cell-00231,cell-00123,timeout,none,11,imsi-603241,mme-so-02,-73
2025-11-10 19:49:16.924484,ho-00000185,intra-cell,cell-00122,cell-00257,timeout,none,74,imsi-885599,mme-ce-41,-67
2025-11-10 19:49:56.924484,ho-00000186,intra-cell,cell-00252,cell-00176,success,none,26,imsi-112431,mme-no-29,-112
2025-11-10 19:50:36.924484,ho-00000187,X2,cell-00474,cell-00294,success,none,14,imsi-356581,mme-no-06,-98
2025-11-10 19:51:16.924484,ho-00000188,X2,cell-00108,cell-00015,failure,none,43,imsi-784449,mme-so-14,-117
2025-11-10 19:51:56.924484,ho-00000189,X2,cell-00405,cell-00442,success,target_cell_congestion,33,imsi-331914,mme-so-02,-71
2025-11-10 19:52:36.924484,ho-00000190,intra-cell,cell-00473,cell-00120,success,none,139,imsi-584807,mme-ce-26,-96
2025-11-10 19:53:16.924484,ho-00000191,S1,cell-00233,cell-00423,timeout,none,39,imsi-302738,mme-so-35,-101
2025-11-10 19:53:56.924484,ho-00000192,X2,cell-00037,cell-00480,success,none,38,imsi-952885,mme-so-02,-69
2025-11-10 19:54:36.924484,ho-00000193,X2,cell-00213,cell-00334,timeout,none,64,imsi-851068,mme-so-09,-107
2025-11-10 19:55:16.924484,ho-00000194,X2,cell-00442,cell-00320,success,target_cell_congestion,58,imsi-788140,mme-no-15,-110
2025-11-10 19:55:56.924484,ho-00000195,X2,cell-00407,cell-00449,success,none,21,imsi-212903,mme-so-02,-107
2025-11-10 19:56:36.924484,ho-00000196,X2,cell-00297,cell-00344,success,target_cell_congestion,17,imsi-938573,mme-so-10,-115
2025-11-10 19:57:16.924484,ho-00000197,X2,cell-00070,cell-00059,success,handoff_timeout,54,imsi-599443,mme-no-25,-113
2025-11-10 19:57:56.924484,ho-00000198,X2,cell-00188,cell-00318,success,none,21,imsi-183067,mme-no-31,-119
2025-11-10 19:58:36.924484,ho-00000199,X2,cell-00081,cell-00338,success,none,44,imsi-513206,mme-so-43,-104
2025-11-10 19:59:16.924484,ho-00000200,intra-cell,cell-00180,cell-00368,success,none,20,imsi-665580,mme-so-28,-88
2025-11-10 19:59:56.924484,ho-00000201,intra-cell,cell-00403,cell-00453,success,none,37,imsi-157514,mme-so-03,-103
2025-11-10 20:00:36.924484,ho-00000202,S1,cell-00416,cell-00035,success,none,166,imsi-809373,mme-so-02,-71
2025-11-10 20:01:16.924484,ho-00000203,X2,cell-00145,cell-00178,success,none,168,imsi-590927,mme-no-17,-112
2025-11-10 20:01:56.924484,ho-00000204,X2,cell-00404,cell-00366,success,none,53,imsi-621651,mme-no-29,-68
2025-11-10 20:02:36.924484,ho-00000205,X2,cell-00063,cell-00064,success,none,99,imsi-350797,mme-ce-19,-92
2025-11-10 20:03:16.924484,ho-00000206,X2,cell-00402,cell-00251,success,none,23,imsi-173453,mme-so-42,-120
2025-11-10 20:03:56.924484,ho-00000207,X2,cell-00255,cell-00047,success,weak_signal,108,imsi-833997,mme-no-07,-84
2025-11-10 20:04:36.924484,ho-00000208,intra-cell,cell-00315,cell-00382,success,none,47,imsi-634702,mme-ce-24,-110
2025-11-10 20:05:16.924484,ho-00000209,S1,cell-00359,cell-00306,success,none,36,imsi-604809,mme-no-12,-66
2025-11-10 20:05:56.924484,ho-00000210,S1,cell-00444,cell-00263,failure,resource_unavailable,44,imsi-824195,mme-so-11,-111
2025-11-10 20:06:36.924484,ho-00000211,X2,cell-00420,cell-00095,failure,none,22,imsi-741963,mme-no-22,-85
2025-11-10 20:07:16.924484,ho-00000212,X2,cell-00450,cell-00429,success,none,36,imsi-710802,mme-no-22,-99
2025-11-10 20:07:56.924484,ho-00000213,S1,cell-00366,cell-00482,success,none,174,imsi-525788,mme-ce-26,-101
2025-11-10 20:08:36.924484,ho-00000214,X2,cell-00042,cell-00317,timeout,none,43,imsi-425824,mme-no-27,-93
2025-11-10 20:09:16.924484,ho-00000215,X2,cell-00070,cell-00316,success,none,69,imsi-615921,mme-so-18,-62
2025-11-10 20:09:56.924484,ho-00000216,X2,cell-00211,cell-00112,success,none,38,imsi-651396,mme-so-28,-115
2025-11-10 20:10:36.924484,ho-00000217,S1,cell-00394,cell-00276,success,none,266,imsi-262042,mme-no-40,-113
2025-11-10 20:11:16.924484,ho-00000218,S1,cell-00030,cell-00380,success,none,40,imsi-598705,mme-ce-19,-99
2025-11-10 20:11:56.924484,ho-00000219,X2,cell-00061,cell-00202,success,none,69,imsi-273873,mme-no-33,-109
