@timestamp,event_id,mme_host,cluster_id,datacenter,procedure_type,procedure_result,procedure_latency_ms,cell_id,tracking_area_code,imsi_hash,reject_cause,s1ap_message_type,signaling_interface,message_direction
2025-11-10 23:45:16.875763,evt-00000052,mme-no-37,cluster-east-2,dc-seattle,TAU,success,132,cell-00147,tac-0025,imsi-649049,no_reject,DownlinkNASTransport,S6a,downlink
2025-11-10 23:45:46.875763,evt-00000053,mme-ce-19,cluster-west-2,dc-atlanta,TAU,success,59,cell-00415,tac-0093,imsi-253833,no_reject,InitialContextSetup,S6a,downlink
2025-11-10 23:46:16.875763,evt-00000054,mme-so-36,cluster-west-2,dc-dallas,Attach,success,80,cell-00463,tac-0062,imsi-416771,no_reject,InitialUEMessage,S1-MME,downlink
2025-11-10 23:46:46.875763,evt-00000055,mme-so-35,cluster-central,dc-atlanta,TAU,failure,28,cell-00357,tac-0047,imsi-248011,roaming_not_allowed,UplinkNASTransport,S1-MME,uplink
2025-11-10 23:47:16.875763,evt-00000056,mme-so-18,cluster-west-2,dc-chicago,TAU,success,102,cell-00158,tac-0080,imsi-955087,unknown_subscriber,InitialUEMessage,S1-MME,downlink
2025-11-10 23:47:46.875763,evt-00000057,mme-no-22,cluster-central,dc-dallas,Service Request,success,122,cell-00163,tac-0053,imsi-287151,no_reject,InitialContextSetup,S11,downlink
2025-11-10 23:48:16.875763,evt-00000058,mme-no-38,cluster-east-1,dc-seattle,Service Request,success,140,cell-00489,tac-0063,imsi-821849,no_reject,DownlinkNASTransport,S10,uplink
2025-11-10 23:48:46.875763,evt-00000059,mme-no-40,cluster-west-2,dc-atlanta,Attach,success,52,cell-00470,tac-0018,imsi-429367,no_reject,UEContextRelease,S6a,downlink
2025-11-10 23:49:16.875763,evt-00000060,mme-no-39,cluster-west-2,dc-chicago,Attach,success,112,cell-00420,tac-0006,imsi-672014,no_reject,UplinkNASTransport,S11,uplink
2025-11-10 23:49:46.875763,evt-00000061,mme-ce-19,cluster-west-1,dc-dallas,Detach,success,119,cell-00038,tac-0079,imsi-131289,congestion,UplinkNASTransport,S1-MME,uplink
2025-11-10 23:50:16.875763,evt-00000062,mme-so-03,cluster-central,dc-dallas,TAU,success,106,cell-00209,tac-0098,imsi-199809,no_reject,InitialUEMessage,S6a,downlink
2025-11-10 23:50:46.875763,evt-00000063,mme-no-45,cluster-east-1,dc-atlanta,TAU,success,356,cell-00043,tac-0048,imsi-897512,no_reject,UEContextRelease,S1-MME,downlink
2025-11-10 23:51:16.875763,evt-00000064,mme-ce-46,cluster-east-1,dc-dallas,Detach,success,151,cell-00332,tac-0026,imsi-415713,no_reject,DownlinkNASTransport,S6a,downlink
2025-11-10 23:51:46.875763,evt-00000065,mme-so-36,cluster-central,dc-atlanta,PDN Connectivity,success,101,cell-00067,tac-0071,imsi-893229,no_reject,UEContextRelease,S10,downlink
2025-11-10 23:52:16.875763,evt-00000066,mme-no-06,cluster-east-2,dc-newyork,Attach,success,91,cell-00491,tac-0090,imsi-372467,network_failure,InitialUEMessage,S11,downlink
2025-11-10 23:52:46.875763,evt-00000067,mme-ce-26,cluster-east-2,dc-dallas,Attach,timeout,53,cell-00080,tac-0028,imsi-974718,no_reject,InitialContextSetup,S6a,uplink
2025-11-10 23:53:16.875763,evt-00000068,mme-so-11,cluster-east-2,dc-newyork,TAU,success,378,cell-00116,tac-0037,imsi-239898,no_reject,UEContextRelease,S11,uplink
2025-11-10 23:53:46.875763,evt-00000069,mme-ce-21,cluster-central,dc-seattle,PDN Connectivity,failure,58,cell-00428,tac-0036,imsi-981503,no_reject,InitialContextSetup,S1-MME,uplink
2025-11-10 23:54:16.875763,evt-00000070,mme-so-28,cluster-west-1,dc-chicago,Attach,success,291,cell-00202,tac-0041,imsi-690225,no_reject,DownlinkNASTransport,S1-MME,downlink
2025-11-10 23:54:46.875763,evt-00000071,mme-so-18,cluster-east-1,dc-seattle,Detach,timeout,57,cell-00057,tac-0022,imsi-126657,no_reject,UEContextRelease,S1-MME,downlink
2025-11-10 23:55:16.875763,evt-00000072,mme-so-05,cluster-east-1,dc-seattle,Attach,success,121,cell-00095,tac-0059,imsi-340568,roaming_not_allowed,InitialContextSetup,S6a,downlink
2025-11-10 23:55:46.875763,evt-00000073,mme-no-39,cluster-east-2,dc-atlanta,TAU,failure,182,cell-00421,tac-0065,imsi-392209,no_reject,UplinkNASTransport,S1-MME,uplink
2025-11-10 23:56:16.875763,evt-00000074,mme-no-17,cluster-east-2,dc-chicago,TAU,success,117,cell-00179,tac-0061,imsi-804886,no_reject,UEContextRelease,S1-MME,downlink
2025-11-10 23:56:46.875763,evt-00000075,mme-so-43,cluster-west-1,dc-chicago,Service Request,success,457,cell-00154,tac-0090,imsi-346380,no_reject,InitialContextSetup,S1-MME,downlink
2025-11-10 23:57:16.875763,evt-00000076,mme-no-33,cluster-west-1,dc-dallas,Service Request,success,47,cell-00029,tac-0067,imsi-611799,no_reject,InitialContextSetup,S6a,uplink
2025-11-10 23:57:46.875763,evt-00000077,mme-no-37,cluster-east-1,dc-chicago,TAU,failure,63,cell-00338,tac-0083,imsi-802379,no_reject,InitialContextSetup,S10,uplink
2025-11-10 23:58:16.875763,evt-00000078,mme-so-23,cluster-east-2,dc-atlanta,Attach,success,146,cell-00378,tac-0070,imsi-402815,no_reject,UEContextRelease,S1-MME,downlink
2025-11-10 23:58:46.875763,evt-00000079,mme-so-32,cluster-central,dc-atlanta,Service Request,success,76,cell-00448,tac-0019,imsi-424621,no_reject,InitialUEMessage,S11,uplink
2025-11-10 23:59:16.875763,evt-00000080,mme-so-43,cluster-east-1,dc-chicago,TAU,success,34,cell-00430,tac-0076,imsi-556731,no_reject,UplinkNASTransport,S1-MME,uplink
2025-11-10 23:59:46.875763,evt-00000081,mme-ce-19,cluster-east-2,dc-dallas,Service Request,success,17,cell-00060,tac-0089,imsi-920056,no_reject,InitialUEMessage,S1-MME,downlink
2025-11-11 00:00:16.875763,evt-00000082,mme-ce-46,cluster-central,dc-seattle,TAU,success,55,cell-00289,tac-0017,imsi-539965,no_reject,DownlinkNASTransport,S1-MME,downlink
2025-11-11 00:00:46.875763,evt-00000083,mme-no-33,cluster-west-2,dc-atlanta,Service Request,success,46,cell-00362,tac-0061,imsi-820226,no_reject,UplinkNASTransport,S1-MME,downlink
2025-11-11 00:01:16.875763,evt-00000084,mme-ce-24,cluster-east-2,dc-atlanta,Attach,success,149,cell-00097,tac-0068,imsi-848741,no_reject,InitialContextSetup,S6a,downlink
2025-11-11 00:01:46.875763,evt-00000085,mme-no-15,cluster-central,dc-seattle,Attach,rejected,27,cell-00022,tac-0066,imsi-501678,no_reject,InitialContextSetup,S1-MME,uplink
2025-11-11 00:02:16.875763,evt-00000086,mme-no-37,cluster-east-1,dc-seattle,Service Request,success,187,cell-00127,tac-0054,imsi-577933,no_reject,UplinkNASTransport,S11,downlink
2025-11-11 00:02:46.875763,evt-00000087,mme-no-25,cluster-east-2,dc-newyork,Detach,success,54,cell-00266,tac-0060,imsi-729372,no_reject,InitialContextSetup,S6a,downlink
2025-11-11 00:03:16.875763,evt-00000088,mme-so-36,cluster-east-2,dc-dallas,Attach,success,289,cell-00298,tac-0031,imsi-504989,roaming_not_allowed,DownlinkNASTransport,S1-MME,uplink
2025-11-11 00:03:46.875763,evt-00000089,mme-so-09,cluster-west-1,dc-seattle,Attach,success,49,cell-00141,tac-0084,imsi-995313,no_reject,InitialContextSetup,S1-MME,uplink
2025-11-11 00:04:16.875763,evt-00000090,mme-no-04,cluster-east-1,dc-seattle,TAU,failure,442,cell-00302,tac-0023,imsi-908049,no_reject,InitialUEMessage,S6a,downlink
2025-11-11 00:04:46.875763,evt-00000091,mme-no-16,cluster-central,dc-newyork,Attach,failure,59,cell-00191,tac-0038,imsi-577730,no_reject,UEContextRelease,S1-MME,uplink
2025-11-11 00:05:16.875763,evt-00000092,mme-ce-24,cluster-west-1,dc-dallas,Attach,success,80,cell-00459,tac-0045,imsi-841906,no_reject,UEContextRelease,S1-MME,uplink
2025-11-11 00:05:46.875763,evt-00000093,mme-ce-41,cluster-east-2,dc-newyork,Service Request,success,258,cell-00042,tac-0043,imsi-780033,no_reject,InitialUEMessage,S10,uplink
2025-11-11 00:06:16.875763,evt-00000094,mme-no-08,cluster-east-2,dc-newyork,Detach,failure,37,cell-00252,tac-0006,imsi-910158,network_failure,DownlinkNASTransport,S6a,uplink
2025-11-11 00:06:46.875763,evt-00000095,mme-so-35,cluster-west-1,dc-seattle,Attach,success,78,cell-00466,tac-0007,imsi-239511,no_reject,InitialContextSetup,S1-MME,downlink
2025-11-11 00:07:16.875763,evt-00000096,mme-no-13,cluster-west-2,dc-seattle,Attach,success,42,cell-00244,tac-0043,imsi-147923,no_reject,UplinkNASTransport,S6a,uplink
2025-11-11 00:07:46.875763,evt-00000097,mme-no-38,cluster-east-2,dc-atlanta,Attach,success,86,cell-00456,tac-0060,imsi-305562,auth_failure,DownlinkNASTransport,S1-MME,downlink
2025-11-11 00:08:16.875763,evt-00000098,mme-no-45,cluster-west-1,dc-seattle,Attach,success,254,cell-00259,tac-0001,imsi-469098,roaming_not_allowed,DownlinkNASTransport,S11,downlink
2025-11-11 00:08:46.875763,evt-00000099,mme-no-15,cluster-central,dc-newyork,Detach,timeout,134,cell-00448,tac-0094,imsi-351603,no_reject,UplinkNASTransport,S1-MME,downlink
2025-11-11 00:09:16.875763,evt-00000100,mme-so-43,cluster-west-2,dc-dallas,Detach,success,314,cell-00231,tac-0016,imsi-854135,no_reject,DownlinkNASTransport,S6a,uplink
2025-11-11 00:09:46.875763,evt-00000101,mme-no-01,cluster-east-1,dc-newyork,Service Request,success,299,cell-00411,tac-0081,imsi-338496,no_reject,InitialUEMessage,S1-MME,uplink
2025-11-11 00:10:16.875763,evt-00000102,mme-no-31,cluster-west-1,dc-seattle,TAU,timeout,124,cell-00402,tac-0010,imsi-632948,no_reject,InitialUEMessage,S10,downlink
2025-11-11 00:10:46.875763,evt-00000103,mme-no-29,cluster-east-1,dc-newyork,TAU,success,162,cell-00433,tac-0048,imsi-423620,no_reject,InitialContextSetup,S10,uplink
2025-11-11 00:11:16.875763,evt-00000104,mme-ce-48,cluster-central,dc-atlanta,Service Request,success,30,cell-00197,tac-0050,imsi-643986,no_reject,UEContextRelease,S6a,downlink
2025-11-11 00:11:46.875763,evt-00000105,mme-so-28,cluster-east-2,dc-chicago,TAU,success,116,cell-00052,tac-0051,imsi-104282,no_reject,DownlinkNASTransport,S1-MME,downlink
2025-11-11 00:12:16.875763,evt-00000106,mme-ce-44,cluster-central,dc-atlanta,TAU,failure,65,cell-00452,tac-0098,imsi-646557,no_reject,DownlinkNASTransport,S6a,uplink
2025-11-11 00:12:46.875763,evt-00000107,mme-so-05,cluster-east-2,dc-chicago,Service Request,success,98,cell-00159,tac-0014,imsi-308565,no_reject,DownlinkNASTransport,S1-MME,downlink
2025-11-11 00:13:16.875763,evt-00000108,mme-no-27,cluster-central,dc-atlanta,TAU,failure,156,cell-00331,tac-0009,imsi-615644,no_reject,DownlinkNASTransport,S1-MME,downlink
2025-11-11 00:13:46.875763,evt-00000109,mme-ce-20,cluster-east-2,dc-dallas,Service Request,rejected,13,cell-00327,tac-0053,imsi-502088,no_reject,UplinkNASTransport,S6a,uplink
2025-11-11 00:14:16.875763,evt-00000110,mme-so-35,cluster-east-2,dc-newyork,TAU,success,155,cell-00375,tac-0040,imsi-453478,no_reject,InitialUEMessage,S1-MME,uplink
2025-11-11 00:14:46.875763,evt-00000111,mme-so-10,cluster-west-1,dc-dallas,TAU,success,209,cell-00321,tac-0027,imsi-945028,no_reject,UEContextRelease,S6a,uplink
2025-11-11 00:15:16.875763,evt-00000112,mme-no-45,cluster-west-2,dc-atlanta,Service Request,success,45,cell-00409,tac-0053,imsi-573548,no_reject,InitialContextSetup,S10,downlink
2025-11-11 00:15:46.875763,evt-00000113,mme-no-29,cluster-central,dc-atlanta,PDN Connectivity,success,178,cell-00321,tac-0097,imsi-263443,no_reject,InitialUEMessage,S1-MME,uplink
2025-11-11 00:16:16.875763,evt-00000114,mme-no-08,cluster-east-1,dc-seattle,Bearer Modification,failure,243,cell-00361,tac-0055,imsi-595954,network_failure,UplinkNASTransport,S1-MME,downlink
2025-11-11 00:16:46.875763,evt-00000115,mme-no-25,cluster-east-1,dc-chicago,Attach,success,67,cell-00015,tac-0079,imsi-601244,no_reject,UplinkNASTransport,S10,downlink
2025-11-11 00:17:16.875763,evt-00000116,mme-no-40,cluster-west-2,dc-atlanta,Attach,success,100,cell-00316,tac-0004,imsi-109178,no_reject,UplinkNASTransport,S6a,uplink
2025-11-11 00:17:46.875763,evt-00000117,mme-no-08,cluster-east-2,dc-dallas,PDN Connectivity,timeout,43,cell-00382,tac-0079,imsi-851973,no_reject,DownlinkNASTransport,S11,downlink
2025-11-11 00:18:16.875763,evt-00000118,mme-no-38,cluster-west-1,dc-seattle,Attach,success,99,cell-00375,tac-0061,imsi-649706,no_reject,InitialUEMessage,S1-MME,downlink
2025-11-11 00:18:46.875763,evt-00000119,mme-so-42,cluster-central,dc-seattle,PDN Connectivity,success,169,cell-00298,tac-0080,imsi-150919,no_reject,InitialContextSetup,S11,uplink
2025-11-11 00:19:16.875763,evt-00000120,mme-no-12,cluster-west-1,dc-chicago,TAU,success,5,cell-00150,tac-0085,imsi-427507,no_reject,InitialContextSetup,S6a,downlink
2025-11-11 00:19:46.875763,evt-00000121,mme-no-17,cluster-east-1,dc-dallas,Attach,success,76,cell-00224,tac-0021,imsi-891314,no_reject,InitialContextSetup,S1-MME,uplink
2025-11-11 00:20:16.875763,evt-00000122,mme-ce-46,cluster-central,dc-atlanta,TAU,success,108,cell-00262,tac-0015,imsi-462597,no_reject,InitialContextSetup,S6a,downlink
2025-11-11 00:20:46.875763,evt-00000123,mme-so-09,cluster-east-1,dc-chicago,Attach,success,147,cell-00420,tac-0093,imsi-478582,no_reject,InitialUEMessage,S1-MME,uplink
2025-11-11 00:21:16.875763,evt-00000124,mme-so-14,cluster-central,dc-chicago,Attach,success,47,cell-00321,tac-0071,imsi-268806,no_reject,DownlinkNASTransport,S6a,uplink
2025-11-11 00:21:46.875763,evt-00000125,mme-no-40,cluster-east-1,dc-atlanta,Attach,success,36,cell-00024,tac-0033,imsi-615307,no_reject,UEContextRelease,S6a,uplink
2025-11-11 00:22:16.875763,evt-00000126,mme-no-22,cluster-east-2,dc-dallas,Attach,success,186,cell-00268,tac-0049,imsi-671944,congestion,InitialContextSetup,S1-MME,downlink
2025-11-11 00:22:46.875763,evt-00000127,mme-no-49,cluster-central,dc-atlanta,TAU,success,20,cell-00093,tac-0044,imsi-682037,no_reject,UEContextRelease,S6a,downlink
2025-11-11 00:23:16.875763,evt-00000128,mme-ce-19,cluster-east-1,dc-seattle,TAU,success,93,cell-00291,tac-0076,imsi-878719,no_reject,InitialUEMessage,S11,uplink
2025-11-11 00:23:46.875763,evt-00000129,mme-no-31,cluster-west-2,dc-seattle,PDN Connectivity,success,64,cell-00437,tac-0024,imsi-871632,no_reject,InitialContextSetup,S1-MME,uplink
2025-11-11 00:24:16.875763,evt-00000130,mme-so-11,cluster-west-1,dc-dallas,TAU,success,80,cell-00175,tac-0032,imsi-460483,no_reject,InitialUEMessage,S1-MME,uplink
2025-11-11 00:24:46.875763,evt-00000131,mme-so-02,cluster-east-2,dc-seattle,Detach,success,291,cell-00287,tac-0091,imsi-690009,no_reject,InitialUEMessage,S1-MME,uplink
2025-11-11 00:25:16.875763,evt-00000132,mme-no-13,cluster-central,dc-atlanta,Attach,success,230,cell-00224,tac-0025,imsi-116207,no_reject,InitialContextSetup,S1-MME,uplink
2025-11-11 00:25:46.875763,evt-00000133,mme-no-27,cluster-east-2,dc-seattle,Attach,success,111,cell-00032,tac-0069,imsi-907770,no_reject,UEContextRelease,S1-MME,uplink
2025-11-11 00:26:16.875763,evt-00000134,mme-no-34,cluster-west-1,dc-seattle,TAU,success,125,cell-00214,tac-0012,imsi-865310,no_reject,UplinkNASTransport,S1-MME,uplink
2025-11-11 00:26:46.875763,evt-00000135,mme-so-14,cluster-east-2,dc-atlanta,PDN Connectivity,success,171,cell-00208,tac-0092,imsi-433694,no_reject,DownlinkNASTransport,S1-MME,uplink
2025-11-11 00:27:16.875763,evt-00000136,mme-so-10,cluster-central,dc-seattle,Service Request,success,164,cell-00226,tac-0021,imsi-612618,no_reject,InitialUEMessage,S1-MME,uplink
2025-11-11 00:27:46.875763,evt-00000137,mme-ce-19,cluster-east-1,dc-chicago,TAU,success,53,cell-00023,tac-0032,imsi-513741,no_reject,InitialUEMessage,S1-MME,uplink
2025-11-11 00:28:16.875763,evt-00000138,mme-ce-46,cluster-west-1,dc-atlanta,TAU,success,54,cell-00311,tac-0039,imsi-606155,no_reject,InitialContextSetup,S1-MME,uplink
2025-11-11 00:28:46.875763,evt-00000139,mme-no-47,cluster-east-1,dc-seattle,TAU,success,188,cell-00128,tac-0030,imsi-863790,no_reject,InitialContextSetup,S10,downlink
2025-11-11 00:29:16.875763,evt-00000140,mme-no-33,cluster-east-1,dc-chicago,TAU,success,45,cell-00147,tac-0057,imsi-849576,no_reject,UplinkNASTransport,S6a,downlink
2025-11-11 00:29:46.875763,evt-00000141,mme-no-33,cluster-east-2,dc-atlanta,TAU,success,37,cell-00349,tac-0029,imsi-805295,auth_failure,DownlinkNASTransport,S1-MME,uplink
2025-11-11 00:30:16.875763,evt-00000142,mme-no-25,cluster-central,dc-atlanta,Bearer Modification,success,30,cell-00017,tac-0036,imsi-894623,no_reject,UplinkNASTransport,S1-MME,uplink
2025-11-11 00:30:46.875763,evt-00000143,mme-so-11,cluster-east-1,dc-atlanta,Service Request,success,80,cell-00404,tac-0069,imsi-379114,no_reject,UplinkNASTransport,S11,downlink
