@timestamp,ran_node_id,cell_id,handover_attempts,handover_failures,handover_type,source_rat,target_rat,ue_count
2026-01-06 17:48:07.412666,RAN-012,CELL-0038,220,145,INTER-RAT-4G-5G,LTE,NR,984
2026-02-28 15:44:28.412666,RAN-044,CELL-0001,254,7,INTRA-FREQ,NR,LTE,24
2026-02-01 21:20:04.412666,RAN-009,CELL-0006,145,18,INTER-FREQ,UMTS,LTE,295
2026-02-19 16:45:10.412666,RAN-046,CELL-0082,177,9,INTER-FREQ,NR,LTE,118
2026-03-10 13:27:56.412666,RAN-027,CELL-0036,196,162,INTER-RAT-4G-5G,LTE,NR,326
2026-03-10 13:29:28.412666,RAN-028,CELL-0008,141,73,INTER-RAT-4G-5G,LTE,NR,618
2025-12-27 08:26:34.412666,RAN-014,CELL-0149,382,41,INTER-RAT-5G-4G,UMTS,NR,414
2026-01-06 16:51:46.412666,RAN-008,CELL-0011,104,61,INTER-FREQ,NR,LTE,456
2026-02-07 12:11:29.412666,RAN-029,CELL-0032,287,242,INTER-RAT-5G-4G,NR,LTE,271
2026-02-07 12:25:11.412666,RAN-007,CELL-0018,241,182,INTER-FREQ,NR,LTE,136
2026-02-07 11:36:51.412666,RAN-001,CELL-0029,288,254,INTER-FREQ,LTE,NR,416
2026-01-12 01:01:10.412666,RAN-015,CELL-0025,298,191,INTER-RAT-5G-4G,NR,LTE,342
2025-12-21 02:13:28.412666,RAN-020,CELL-0043,257,171,INTER-RAT-5G-4G,LTE,NR,541
2026-02-07 12:08:27.412666,RAN-001,CELL-0016,78,48,INTER-FREQ,NR,LTE,771
2026-01-06 17:52:05.412666,RAN-006,CELL-0008,55,42,INTER-RAT-4G-5G,NR,LTE,582
2026-01-12 00:59:28.412666,RAN-018,CELL-0041,178,80,INTER-RAT-4G-5G,LTE,NR,146
2025-12-21 04:18:58.412666,RAN-020,CELL-0048,65,49,INTER-RAT-4G-5G,LTE,NR,753
2026-02-07 12:24:36.412666,RAN-026,CELL-0046,255,210,INTER-RAT-4G-5G,LTE,NR,926
2026-02-07 11:33:25.412666,RAN-007,CELL-0046,134,118,INTER-RAT-5G-4G,LTE,NR,159
2025-12-21 04:39:39.412666,RAN-020,CELL-0012,156,111,INTER-FREQ,LTE,NR,885
2026-03-10 14:04:17.412666,RAN-023,CELL-0050,260,192,INTER-FREQ,LTE,NR,364
2025-12-21 04:51:23.412666,RAN-020,CELL-0037,289,217,INTER-FREQ,LTE,NR,605
2026-01-07 00:49:17.412666,RAN-046,CELL-0112,207,6,INTER-RAT-4G-5G,NR,UMTS,92
2025-12-21 04:47:20.412666,RAN-002,CELL-0045,139,80,INTER-RAT-5G-4G,LTE,NR,525
2025-12-21 03:03:39.412666,RAN-002,CELL-0030,260,192,INTER-RAT-4G-5G,LTE,NR,697
2026-03-10 14:35:44.412666,RAN-027,CELL-0010,67,30,INTER-FREQ,LTE,NR,340
2026-03-10 14:54:01.412666,RAN-002,CELL-0033,135,75,INTER-RAT-4G-5G,LTE,NR,112
2025-12-21 02:42:46.412666,RAN-008,CELL-0034,73,33,INTER-RAT-4G-5G,LTE,NR,848
2025-12-17 12:37:22.412666,RAN-013,CELL-0066,68,2,INTER-FREQ,LTE,UMTS,344
2025-12-21 04:18:36.412666,RAN-012,CELL-0018,165,146,INTER-FREQ,NR,LTE,996
2026-03-10 13:39:58.412666,RAN-011,CELL-0034,149,104,INTER-FREQ,LTE,NR,187
2026-01-13 19:10:27.412666,RAN-024,CELL-0029,405,72,INTRA-FREQ,NR,LTE,460
2026-01-06 16:39:16.412666,RAN-006,CELL-0018,64,36,INTER-RAT-4G-5G,LTE,NR,163
2026-01-12 02:02:41.412666,RAN-014,CELL-0022,284,88,INTER-RAT-4G-5G,LTE,NR,757
2026-01-06 15:51:38.412666,RAN-008,CELL-0016,185,141,INTER-RAT-4G-5G,LTE,NR,430
2025-12-15 06:24:17.412666,RAN-033,CELL-0066,174,17,INTRA-FREQ,UMTS,NR,576
2026-02-07 12:09:06.412666,RAN-001,CELL-0014,279,140,INTER-FREQ,LTE,NR,226
2025-12-19 16:42:59.412666,RAN-043,CELL-0176,363,5,EMERGENCY,NR,UMTS,655
2026-01-31 04:18:06.412666,RAN-005,CELL-0061,232,42,INTER-RAT-4G-5G,LTE,UMTS,686
2026-03-10 14:15:34.412666,RAN-028,CELL-0016,134,94,INTER-FREQ,NR,LTE,553
2026-02-19 01:59:17.412666,RAN-049,CELL-0198,102,2,INTER-RAT-5G-4G,UMTS,LTE,151
2026-01-12 01:30:22.412666,RAN-014,CELL-0034,159,105,INTER-RAT-5G-4G,NR,LTE,178
2026-01-25 20:17:39.412666,RAN-035,CELL-0074,195,18,INTER-RAT-4G-5G,LTE,NR,46
2026-01-24 14:31:40.412666,RAN-027,CELL-0160,59,9,INTRA-FREQ,NR,LTE,669
2026-03-10 13:06:21.412666,RAN-023,CELL-0020,267,148,INTER-RAT-5G-4G,NR,LTE,367
2025-12-21 04:42:18.412666,RAN-008,CELL-0037,107,89,INTER-RAT-5G-4G,LTE,NR,647
2026-01-10 14:32:25.412666,RAN-032,CELL-0115,307,25,EMERGENCY,LTE,NR,678
2026-01-12 01:48:21.412666,RAN-018,CELL-0016,117,71,INTER-RAT-4G-5G,LTE,NR,130
2026-02-02 23:21:46.412666,RAN-037,CELL-0108,82,45,INTER-FREQ,NR,UMTS,286
2026-01-04 14:48:48.412666,RAN-003,CELL-0015,372,27,INTER-FREQ,LTE,NR,758
2026-01-06 18:40:24.412666,RAN-012,CELL-0025,183,125,INTER-RAT-4G-5G,LTE,NR,485
2026-02-02 17:29:08.412666,RAN-050,CELL-0131,380,89,INTER-FREQ,NR,UMTS,615
2025-12-21 02:19:42.412666,RAN-015,CELL-0148,436,112,INTRA-FREQ,UMTS,LTE,639
2026-01-06 17:04:56.412666,RAN-008,CELL-0033,300,197,INTER-RAT-5G-4G,NR,LTE,415
2026-01-06 17:25:42.412666,RAN-012,CELL-0024,137,78,INTER-RAT-4G-5G,LTE,NR,605
2025-12-26 17:56:19.412666,RAN-017,CELL-0081,361,43,INTER-FREQ,LTE,UMTS,269
2025-12-21 04:34:29.412666,RAN-008,CELL-0038,97,90,INTER-RAT-4G-5G,LTE,NR,466
2026-03-10 13:39:39.412666,RAN-001,CELL-0048,225,125,INTER-FREQ,LTE,NR,852
2026-03-10 14:27:45.412666,RAN-001,CELL-0015,228,196,INTER-FREQ,LTE,NR,400
2026-03-10 14:12:30.412666,RAN-002,CELL-0034,262,162,INTER-RAT-5G-4G,NR,LTE,281
2026-01-23 23:30:31.412666,RAN-025,CELL-0039,126,20,INTER-FREQ,UMTS,NR,474
2026-01-23 09:30:55.412666,RAN-044,CELL-0124,44,3,INTER-FREQ,NR,UMTS,483
2025-12-21 02:06:59.412666,RAN-008,CELL-0041,90,52,INTER-FREQ,LTE,NR,364
2026-01-06 18:09:55.412666,RAN-008,CELL-0040,144,91,INTER-RAT-4G-5G,LTE,NR,511
2026-01-06 18:04:06.412666,RAN-006,CELL-0008,196,108,INTER-RAT-4G-5G,LTE,NR,928
2026-01-12 02:07:18.412666,RAN-015,CELL-0001,227,117,INTER-RAT-5G-4G,NR,LTE,428
2026-02-07 12:17:22.412666,RAN-005,CELL-0048,206,160,INTER-RAT-4G-5G,NR,LTE,599
2025-12-17 08:39:37.412666,RAN-014,CELL-0077,99,8,INTER-RAT-4G-5G,UMTS,LTE,209
2025-12-21 02:06:06.412666,RAN-012,CELL-0042,136,106,INTER-RAT-4G-5G,LTE,NR,111
2026-02-26 05:16:47.412666,RAN-001,CELL-0188,404,4,INTRA-FREQ,UMTS,NR,364
2026-01-23 14:10:03.412666,RAN-028,CELL-0148,221,18,INTER-FREQ,LTE,UMTS,557
2025-12-31 07:19:00.412666,RAN-039,CELL-0188,19,4,INTER-RAT-4G-5G,LTE,NR,330
2026-01-06 16:51:02.412666,RAN-012,CELL-0023,197,111,INTER-RAT-5G-4G,LTE,NR,108
2026-02-07 12:27:43.412666,RAN-029,CELL-0020,258,193,INTER-RAT-5G-4G,NR,LTE,657
2026-02-14 11:54:19.412666,RAN-044,CELL-0102,453,9,INTRA-FREQ,LTE,NR,169
2026-01-20 02:12:42.412666,RAN-031,CELL-0189,113,47,INTER-RAT-5G-4G,NR,UMTS,523
2026-03-10 13:56:59.412666,RAN-027,CELL-0027,149,74,INTER-FREQ,NR,LTE,524
2026-03-10 14:29:48.412666,RAN-002,CELL-0023,189,158,INTER-RAT-4G-5G,NR,LTE,622
2026-01-12 01:55:09.412666,RAN-014,CELL-0020,116,60,INTER-RAT-4G-5G,LTE,NR,126
2026-02-26 10:07:47.412666,RAN-018,CELL-0131,53,4,INTER-FREQ,LTE,UMTS,184
2026-02-07 12:03:56.412666,RAN-029,CELL-0033,299,241,INTER-FREQ,NR,LTE,575
2026-01-18 08:49:06.412666,RAN-038,CELL-0151,402,7,INTER-RAT-4G-5G,LTE,NR,673
2025-12-21 02:42:29.412666,RAN-012,CELL-0049,281,228,INTER-RAT-4G-5G,NR,LTE,149
2026-03-10 13:16:17.412666,RAN-023,CELL-0030,53,35,INTER-FREQ,NR,LTE,501
2025-12-27 18:11:40.412666,RAN-032,CELL-0163,38,1,INTRA-FREQ,NR,LTE,420
2026-01-12 20:33:57.412666,RAN-027,CELL-0103,91,22,EMERGENCY,LTE,UMTS,498
2026-03-10 14:07:34.412666,RAN-023,CELL-0016,137,93,INTER-RAT-5G-4G,NR,LTE,331
2025-12-21 03:31:54.412666,RAN-008,CELL-0050,189,132,INTER-RAT-4G-5G,LTE,NR,204
2026-02-07 12:16:39.412666,RAN-001,CELL-0041,74,29,INTER-FREQ,LTE,NR,396
2026-02-07 11:49:20.412666,RAN-003,CELL-0027,211,190,INTER-FREQ,NR,LTE,501
2026-01-12 00:58:53.412666,RAN-014,CELL-0005,216,146,INTER-FREQ,NR,LTE,287
2026-02-07 11:36:12.412666,RAN-029,CELL-0022,51,44,INTER-FREQ,NR,LTE,833
2026-01-12 02:38:37.412666,RAN-014,CELL-0025,97,63,INTER-RAT-5G-4G,LTE,NR,786
2025-12-24 22:55:02.412666,RAN-006,CELL-0142,210,20,INTER-FREQ,UMTS,LTE,699
2025-12-21 03:16:45.412666,RAN-008,CELL-0036,254,189,INTER-RAT-4G-5G,LTE,NR,503
2026-01-06 17:00:42.412666,RAN-008,CELL-0050,86,67,INTER-RAT-5G-4G,LTE,NR,791
2026-03-08 08:41:39.412666,RAN-029,CELL-0115,151,40,INTRA-FREQ,NR,UMTS,687
2026-03-05 16:11:38.412666,RAN-028,CELL-0054,462,108,INTRA-FREQ,NR,LTE,282
2026-03-10 14:05:20.412666,RAN-028,CELL-0028,298,172,INTER-FREQ,LTE,NR,892
2025-12-21 02:19:13.412666,RAN-008,CELL-0036,135,109,INTER-RAT-4G-5G,LTE,NR,205
2026-02-13 21:10:53.412666,RAN-048,CELL-0120,205,24,INTER-RAT-5G-4G,NR,UMTS,96
2025-12-26 10:32:19.412666,RAN-041,CELL-0057,323,24,INTRA-FREQ,NR,LTE,586
2026-02-07 11:41:32.412666,RAN-029,CELL-0035,118,54,INTER-FREQ,LTE,NR,126
2026-01-06 17:00:24.412666,RAN-008,CELL-0016,215,207,INTER-RAT-4G-5G,LTE,NR,764
2025-12-11 04:04:21.412666,RAN-047,CELL-0091,225,4,INTER-RAT-5G-4G,NR,UMTS,354
2026-01-06 17:40:44.412666,RAN-006,CELL-0032,186,148,INTER-FREQ,NR,LTE,167
2026-02-07 11:32:54.412666,RAN-026,CELL-0040,92,65,INTER-RAT-5G-4G,NR,LTE,718
2026-03-10 14:31:37.412666,RAN-002,CELL-0006,112,71,INTER-FREQ,LTE,NR,309
2026-01-06 18:28:28.412666,RAN-012,CELL-0009,119,81,INTER-RAT-5G-4G,NR,LTE,753
2026-01-12 02:43:23.412666,RAN-015,CELL-0025,181,56,INTER-RAT-4G-5G,NR,LTE,157
2025-12-21 03:39:33.412666,RAN-012,CELL-0020,147,113,INTER-RAT-4G-5G,LTE,NR,174
2025-12-21 03:23:00.412666,RAN-020,CELL-0020,275,198,INTER-RAT-4G-5G,NR,LTE,734
2025-12-22 16:53:49.412666,RAN-046,CELL-0031,419,42,INTRA-FREQ,UMTS,LTE,459
2026-01-06 18:10:14.412666,RAN-012,CELL-0037,213,48,INTER-RAT-4G-5G,LTE,NR,931
2026-02-14 22:09:36.412666,RAN-007,CELL-0037,85,0,INTER-FREQ,NR,UMTS,565
2025-12-21 02:02:45.412666,RAN-012,CELL-0024,108,81,INTER-RAT-4G-5G,NR,LTE,375
2026-01-12 01:16:20.412666,RAN-015,CELL-0031,98,80,INTER-RAT-5G-4G,LTE,NR,305
2026-03-10 13:34:01.412666,RAN-028,CELL-0004,149,63,INTER-FREQ,NR,LTE,171
2026-01-06 16:04:53.412666,RAN-008,CELL-0025,276,220,INTER-FREQ,NR,LTE,406
2026-02-07 12:01:47.412666,RAN-001,CELL-0048,72,51,INTER-RAT-5G-4G,LTE,NR,350
2026-01-06 18:46:27.412666,RAN-006,CELL-0024,230,173,INTER-FREQ,NR,LTE,491
2026-01-04 18:37:31.412666,RAN-035,CELL-0004,69,6,INTRA-FREQ,UMTS,LTE,768
2026-02-07 12:05:09.412666,RAN-001,CELL-0001,64,53,INTER-FREQ,LTE,NR,298
2026-02-13 20:48:47.412666,RAN-030,CELL-0079,338,74,INTER-FREQ,LTE,UMTS,221
2026-02-07 00:03:15.412666,RAN-015,CELL-0117,268,39,INTER-FREQ,UMTS,NR,126
2025-12-15 17:23:59.412666,RAN-038,CELL-0037,438,21,INTER-RAT-4G-5G,NR,LTE,18
2026-01-12 02:19:17.412666,RAN-014,CELL-0003,91,55,INTER-FREQ,NR,LTE,985
2026-01-12 01:27:11.412666,RAN-015,CELL-0039,293,232,INTER-FREQ,NR,LTE,721
2026-02-07 12:26:58.412666,RAN-019,CELL-0047,156,124,INTER-RAT-4G-5G,NR,LTE,363
2026-02-07 12:12:14.412666,RAN-005,CELL-0046,85,51,INTER-RAT-5G-4G,LTE,NR,950
2025-12-25 21:29:39.412666,RAN-045,CELL-0124,55,0,INTER-FREQ,UMTS,LTE,754
2025-12-21 04:32:04.412666,RAN-020,CELL-0034,283,127,INTER-RAT-5G-4G,LTE,NR,454
2026-01-12 02:16:27.412666,RAN-014,CELL-0001,130,76,INTER-FREQ,LTE,NR,278
2026-02-19 00:22:22.412666,RAN-036,CELL-0030,145,0,INTER-FREQ,UMTS,NR,459
2025-12-21 03:14:37.412666,RAN-002,CELL-0009,271,198,INTER-RAT-5G-4G,LTE,NR,841
2026-02-03 23:45:24.412666,RAN-022,CELL-0060,211,9,INTER-RAT-4G-5G,LTE,NR,503
2026-01-06 16:26:21.412666,RAN-006,CELL-0002,294,194,INTER-FREQ,LTE,NR,253
2025-12-21 03:11:38.412666,RAN-002,CELL-0016,61,45,INTER-RAT-5G-4G,LTE,NR,332
2026-02-08 12:05:14.412666,RAN-037,CELL-0016,117,4,INTER-FREQ,LTE,NR,526
2026-03-10 13:50:36.412666,RAN-001,CELL-0040,269,63,INTER-RAT-4G-5G,LTE,NR,237
2026-01-06 17:34:10.412666,RAN-012,CELL-0043,208,71,INTER-FREQ,NR,LTE,159
2025-12-23 21:27:41.412666,RAN-034,CELL-0005,119,8,INTER-FREQ,LTE,UMTS,434
2026-02-07 12:25:15.412666,RAN-003,CELL-0042,73,64,INTER-FREQ,LTE,NR,459
2026-01-06 18:36:35.412666,RAN-008,CELL-0031,109,71,INTER-FREQ,LTE,NR,178
2026-01-12 01:46:38.412666,RAN-014,CELL-0028,264,234,INTER-RAT-4G-5G,LTE,NR,780
2025-12-15 01:03:17.412666,RAN-001,CELL-0081,62,10,INTER-FREQ,LTE,UMTS,50
2026-01-06 18:18:47.412666,RAN-012,CELL-0018,85,38,INTER-RAT-4G-5G,NR,LTE,504
2026-03-08 23:49:12.412666,RAN-017,CELL-0126,129,6,INTER-FREQ,LTE,NR,607
2026-03-10 13:05:27.412666,RAN-002,CELL-0005,116,62,INTER-RAT-4G-5G,LTE,NR,139
2026-03-10 13:49:26.412666,RAN-001,CELL-0043,243,167,INTER-RAT-5G-4G,LTE,NR,663
2026-02-07 11:43:59.412666,RAN-001,CELL-0026,128,64,INTER-RAT-4G-5G,NR,LTE,639
2026-01-06 18:17:22.412666,RAN-012,CELL-0026,196,176,INTER-RAT-5G-4G,LTE,NR,236
2026-02-07 11:54:45.412666,RAN-026,CELL-0006,199,135,INTER-RAT-4G-5G,NR,LTE,794
2026-03-10 14:34:43.412666,RAN-011,CELL-0009,141,91,INTER-FREQ,NR,LTE,958
2026-02-05 18:12:40.412666,RAN-008,CELL-0153,11,1,INTRA-FREQ,UMTS,NR,76
2026-03-04 08:14:53.412666,RAN-015,CELL-0182,355,73,INTER-FREQ,UMTS,NR,455
2026-03-10 14:53:55.412666,RAN-011,CELL-0004,210,154,INTER-RAT-4G-5G,NR,LTE,960
2026-01-08 17:35:20.412666,RAN-004,CELL-0180,316,19,INTRA-FREQ,NR,LTE,386
2026-01-12 02:19:26.412666,RAN-018,CELL-0011,102,54,INTER-RAT-4G-5G,LTE,NR,346
2025-12-21 02:30:59.412666,RAN-012,CELL-0032,94,67,INTER-RAT-5G-4G,NR,LTE,633
2026-02-28 02:43:31.412666,RAN-002,CELL-0156,142,21,EMERGENCY,LTE,UMTS,468
2026-02-08 01:48:50.412666,RAN-024,CELL-0193,232,71,INTRA-FREQ,UMTS,LTE,192
2026-02-18 21:37:40.412666,RAN-030,CELL-0019,92,5,INTRA-FREQ,NR,UMTS,645
2025-12-17 19:49:42.412666,RAN-035,CELL-0065,121,0,INTRA-FREQ,LTE,UMTS,170
2026-01-12 02:44:21.412666,RAN-015,CELL-0028,82,51,INTER-RAT-4G-5G,LTE,NR,420
2026-03-10 13:16:46.412666,RAN-011,CELL-0039,255,180,INTER-FREQ,NR,LTE,517
2026-01-12 01:24:34.412666,RAN-015,CELL-0008,70,50,INTER-FREQ,NR,LTE,858
2026-02-05 22:49:49.412666,RAN-021,CELL-0041,65,0,INTRA-FREQ,UMTS,NR,604
2026-01-06 18:19:43.412666,RAN-012,CELL-0033,286,179,INTER-RAT-4G-5G,LTE,NR,527
2026-03-01 09:46:31.412666,RAN-022,CELL-0053,334,13,EMERGENCY,LTE,NR,651
2026-03-10 14:16:44.412666,RAN-001,CELL-0013,140,98,INTER-RAT-5G-4G,LTE,NR,114
2026-01-19 11:16:12.412666,RAN-043,CELL-0034,214,1,INTRA-FREQ,UMTS,LTE,147
2026-02-04 14:30:19.412666,RAN-004,CELL-0068,266,31,INTER-FREQ,LTE,UMTS,132
2025-12-25 08:40:04.412666,RAN-004,CELL-0081,409,9,INTER-RAT-4G-5G,NR,UMTS,642
2026-02-22 07:36:00.412666,RAN-032,CELL-0131,142,11,INTRA-FREQ,LTE,NR,377
2025-12-13 04:39:09.412666,RAN-003,CELL-0145,471,56,INTER-FREQ,UMTS,LTE,140
2026-01-12 01:22:22.412666,RAN-014,CELL-0050,71,58,INTER-RAT-5G-4G,LTE,NR,682
2025-12-21 03:53:25.412666,RAN-008,CELL-0006,251,174,INTER-FREQ,NR,LTE,117
2026-02-19 17:00:26.412666,RAN-002,CELL-0130,370,25,EMERGENCY,LTE,UMTS,787
2026-02-07 11:59:04.412666,RAN-029,CELL-0014,119,110,INTER-RAT-4G-5G,LTE,NR,515
2025-12-21 06:26:45.412666,RAN-046,CELL-0012,89,6,INTER-RAT-4G-5G,LTE,UMTS,767
2026-02-16 05:08:34.412666,RAN-007,CELL-0019,477,12,INTER-FREQ,NR,UMTS,526
2026-02-07 11:47:39.412666,RAN-029,CELL-0036,130,100,INTER-RAT-5G-4G,LTE,NR,527
2025-12-20 07:58:05.412666,RAN-022,CELL-0013,293,40,INTER-FREQ,LTE,UMTS,623
2026-02-11 12:47:51.412666,RAN-035,CELL-0184,41,4,INTER-RAT-5G-4G,NR,LTE,623
2025-12-21 04:24:12.412666,RAN-002,CELL-0019,256,169,INTER-RAT-4G-5G,LTE,NR,389
2026-01-12 02:26:38.412666,RAN-018,CELL-0009,160,118,INTER-FREQ,LTE,NR,881
2026-01-12 02:41:14.412666,RAN-018,CELL-0001,228,141,INTER-RAT-5G-4G,NR,LTE,333
2026-02-26 14:26:57.412666,RAN-025,CELL-0001,376,17,INTRA-FREQ,LTE,NR,275
2026-01-06 16:08:11.412666,RAN-006,CELL-0016,149,117,INTER-RAT-5G-4G,LTE,NR,606
2026-01-21 16:59:19.412666,RAN-021,CELL-0170,383,87,INTER-FREQ,NR,LTE,530
2025-12-21 02:57:22.412666,RAN-002,CELL-0037,237,146,INTER-FREQ,LTE,NR,752
2026-03-10 14:18:21.412666,RAN-002,CELL-0039,101,84,INTER-RAT-5G-4G,NR,LTE,765
2026-03-03 14:25:08.412666,RAN-021,CELL-0042,394,26,INTER-RAT-4G-5G,NR,LTE,296
2026-03-10 13:00:03.412666,RAN-028,CELL-0046,252,222,INTER-RAT-4G-5G,LTE,NR,475
2025-12-21 02:33:13.412666,RAN-020,CELL-0044,227,180,INTER-FREQ,NR,LTE,883
2026-01-06 17:57:35.412666,RAN-008,CELL-0027,204,138,INTER-RAT-4G-5G,LTE,NR,196
2026-01-12 02:19:58.412666,RAN-015,CELL-0034,134,79,INTER-RAT-4G-5G,LTE,NR,336
2026-01-06 21:32:22.412666,RAN-045,CELL-0115,22,1,INTRA-FREQ,NR,UMTS,135
2026-02-01 02:03:26.412666,RAN-049,CELL-0161,131,4,EMERGENCY,NR,UMTS,469
2026-02-07 11:30:55.412666,RAN-003,CELL-0028,219,181,INTER-RAT-4G-5G,NR,LTE,622
2026-02-11 14:38:45.412666,RAN-018,CELL-0176,463,68,INTER-RAT-4G-5G,LTE,NR,141
2026-03-10 13:15:57.412666,RAN-027,CELL-0030,137,105,INTER-FREQ,LTE,NR,383
2026-03-10 13:53:31.412666,RAN-001,CELL-0022,253,124,INTER-RAT-5G-4G,NR,LTE,674
2026-01-04 16:57:20.412666,RAN-024,CELL-0061,107,0,INTER-FREQ,NR,LTE,413
2026-01-06 16:17:50.412666,RAN-006,CELL-0010,221,89,INTER-RAT-4G-5G,NR,LTE,759
2026-02-10 23:43:46.412666,RAN-007,CELL-0079,42,1,INTER-RAT-4G-5G,NR,UMTS,755
2026-02-07 12:25:58.412666,RAN-029,CELL-0001,128,64,INTER-RAT-5G-4G,NR,LTE,340
2026-02-03 20:49:59.412666,RAN-036,CELL-0062,39,0,INTRA-FREQ,LTE,NR,570
2026-03-10 13:32:19.412666,RAN-002,CELL-0040,230,106,INTER-RAT-4G-5G,LTE,NR,983
2026-01-06 16:23:26.412666,RAN-012,CELL-0033,52,43,INTER-RAT-4G-5G,NR,LTE,782
2026-01-06 17:46:09.412666,RAN-006,CELL-0040,92,41,INTER-RAT-4G-5G,NR,LTE,530
2025-12-21 03:46:22.412666,RAN-012,CELL-0011,189,153,INTER-FREQ,LTE,NR,672
2026-02-07 11:56:09.412666,RAN-029,CELL-0030,210,99,INTER-FREQ,NR,LTE,349
2026-02-07 12:09:10.412666,RAN-029,CELL-0007,144,65,INTER-RAT-4G-5G,NR,LTE,728
2026-02-07 12:21:29.412666,RAN-005,CELL-0001,279,224,INTER-FREQ,LTE,NR,526
2026-01-18 20:01:57.412666,RAN-038,CELL-0131,30,0,INTER-FREQ,UMTS,NR,220
2026-02-07 12:28:11.412666,RAN-003,CELL-0021,168,82,INTER-FREQ,LTE,NR,722
2026-02-02 16:31:26.412666,RAN-025,CELL-0186,348,33,INTRA-FREQ,LTE,NR,745
2026-02-11 21:49:57.412666,RAN-049,CELL-0103,415,13,INTER-RAT-5G-4G,UMTS,LTE,229
2025-12-30 11:07:38.412666,RAN-039,CELL-0074,374,32,INTER-FREQ,UMTS,LTE,334
2026-02-07 11:45:04.412666,RAN-007,CELL-0010,135,82,INTER-RAT-5G-4G,LTE,NR,605
2026-03-10 13:07:33.412666,RAN-027,CELL-0025,107,87,INTER-FREQ,NR,LTE,341
2026-01-06 17:29:08.412666,RAN-008,CELL-0043,127,48,INTER-FREQ,LTE,NR,772
2026-01-06 17:31:24.412666,RAN-012,CELL-0027,98,59,INTER-RAT-5G-4G,LTE,NR,272
2025-12-28 12:24:28.412666,RAN-003,CELL-0083,459,60,INTER-FREQ,UMTS,LTE,435
2026-03-10 13:55:22.412666,RAN-002,CELL-0010,87,71,INTER-RAT-4G-5G,LTE,NR,478
2026-01-19 16:51:52.412666,RAN-033,CELL-0127,158,6,INTER-FREQ,UMTS,NR,648
