metric_id,@timestamp,network.cell.id,network.cell.prb_utilization_dl_pct,network.cell.prb_utilization_ul_pct,kpi.call_drop_rate,kpi.call_success_rate,network.procedure.success_rate,network.handover.success_rate,network.rrc.connection_success_rate,network.cell.active_subscribers,network.transport.latency_ms,network.transport.packet_loss_pct,capacity.busy_hour.prb_utilization_p95,network.cell.availability_pct
MET-0000000014,2025-11-05 03:09:00.424718,CELL-00098,54.16,76.48,2.898,95.39,96.18,94.59,95.22,245,32.38,0.865,93.44,99.07
MET-0000000015,2025-11-05 03:14:00.424718,CELL-00031,50.06,69.79,2.985,95.5,95.26,98.67,97.98,110,24.52,1.256,83.64,99.14
MET-0000000016,2025-11-05 03:19:00.424718,CELL-00074,35.01,29.64,2.937,98.77,98.49,94.2,97.99,696,9.45,0.976,82.87,99.741
MET-0000000017,2025-11-05 03:24:00.424718,CELL-00128,86.35,53.04,0.396,97.1,96.45,96.32,96.95,367,27.64,1.839,60.04,99.345
MET-0000000018,2025-11-05 03:29:00.424718,CELL-00030,90.91,32.67,2.421,95.21,96.67,92.94,96.94,556,7.18,0.818,61.76,99.859
MET-0000000019,2025-11-05 03:34:00.424718,CELL-00010,44.65,18.06,0.905,97.73,97.02,97.57,96.68,112,7.08,0.938,68.09,99.055
MET-0000000020,2025-11-05 03:39:00.424718,CELL-00037,70.56,22.25,0.316,99.19,97.34,92.21,98.92,769,41.71,0.546,79.94,99.036
MET-0000000021,2025-11-05 03:44:00.424718,CELL-00003,25.95,78.32,2.421,98.99,94.25,93.17,99.48,212,7.41,0.884,81.26,99.423
MET-0000000022,2025-11-05 03:49:00.424718,CELL-00134,65.58,34.98,2.856,99.58,95.17,94.33,97.66,722,44.17,1.306,68.76,99.027
MET-0000000023,2025-11-05 03:54:00.424718,CELL-00092,35.07,20.13,0.461,95.89,97.9,93.42,97.01,157,22.63,1.038,79.94,99.05
MET-0000000024,2025-11-05 03:59:00.424718,CELL-00115,39.21,42.62,1.574,96.85,94.99,95.02,95.39,493,12.06,0.09,82.27,99.985
MET-0000000025,2025-11-05 04:04:00.424718,CELL-00064,28.47,75.94,0.827,98.41,95.33,94.6,97.69,693,49.09,0.204,83.7,99.985
MET-0000000026,2025-11-05 04:09:00.424718,CELL-00061,23.91,31.89,2.077,96.08,97.68,92.51,95.93,227,33.26,0.88,63.91,99.596
MET-0000000027,2025-11-05 04:14:00.424718,CELL-00093,60.91,73.97,0.952,97.21,94.37,96.91,96.3,543,42.6,1.322,88.45,99.725
MET-0000000028,2025-11-05 04:19:00.424718,CELL-00044,72.15,22.74,3.002,96.87,98.65,92.49,99.66,370,11.0,1.001,79.58,99.008
MET-0000000029,2025-11-05 04:24:00.424718,CELL-00104,42.96,61.16,1.197,97.22,94.17,96.85,96.12,701,5.83,0.768,79.64,99.333
MET-0000000030,2025-11-05 04:29:00.424718,CELL-00024,61.04,20.49,0.237,96.25,98.09,94.46,98.69,50,14.57,1.568,62.31,99.684
MET-0000000031,2025-11-05 04:34:00.424718,CELL-00122,83.58,77.43,2.636,97.63,99.03,95.95,95.7,118,18.3,1.179,75.14,99.543
MET-0000000032,2025-11-05 04:39:00.424718,CELL-00039,35.69,58.4,2.077,98.58,97.91,94.42,96.5,93,25.09,1.041,81.26,99.586
MET-0000000033,2025-11-05 04:44:00.424718,CELL-00091,34.82,72.16,1.37,97.5,94.89,96.76,96.7,129,22.97,0.848,68.52,99.474
MET-0000000034,2025-11-05 04:49:00.424718,CELL-00077,36.67,15.71,1.202,97.16,95.04,97.27,95.45,680,15.75,0.863,60.4,99.076
MET-0000000035,2025-11-05 04:54:00.424718,CELL-00098,57.41,40.43,2.704,97.14,95.52,94.7,99.78,266,11.16,0.685,76.03,99.39
MET-0000000036,2025-11-05 04:59:00.424718,CELL-00092,33.79,43.82,3.32,95.32,99.25,95.69,97.11,451,19.18,0.998,72.01,99.651
MET-0000000037,2025-11-05 05:04:00.424718,CELL-00097,67.48,69.98,2.196,95.21,94.45,92.05,97.75,470,49.69,1.041,64.72,99.65
MET-0000000038,2025-11-05 05:09:00.424718,CELL-00090,34.2,53.85,0.272,98.99,95.71,96.87,98.01,706,28.86,1.046,60.07,99.232
MET-0000000039,2025-11-05 05:14:00.424718,CELL-00033,58.56,28.72,0.697,96.4,97.73,94.13,97.36,356,23.72,1.408,70.83,99.501
MET-0000000040,2025-11-05 05:19:00.424718,CELL-00092,83.08,27.68,1.699,96.55,96.26,95.99,98.1,224,24.92,0.761,77.57,99.052
MET-0000000041,2025-11-05 05:24:00.424718,CELL-00053,88.56,32.64,2.219,95.61,97.31,96.29,97.92,459,44.06,0.544,70.87,99.484
MET-0000000042,2025-11-05 05:29:00.424718,CELL-00122,39.11,59.81,1.803,96.85,96.42,95.41,98.39,697,18.28,0.128,68.37,99.831
MET-0000000043,2025-11-05 05:34:00.424718,CELL-00110,65.2,26.05,1.88,99.82,95.93,92.75,97.72,730,34.8,1.138,96.94,99.675
MET-0000000044,2025-11-05 05:39:00.424718,CELL-00020,88.99,22.13,0.524,96.23,94.72,97.53,95.02,528,34.17,1.175,80.29,99.709
MET-0000000045,2025-11-05 05:44:00.424718,CELL-00034,77.35,70.49,1.721,95.38,96.04,95.89,97.13,770,44.24,0.086,93.53,99.989
MET-0000000046,2025-11-05 05:49:00.424718,CELL-00137,87.74,57.1,2.338,98.39,96.73,93.75,98.1,716,34.68,1.395,96.06,99.292
MET-0000000047,2025-11-05 05:54:00.424718,CELL-00102,78.62,76.22,3.256,99.58,98.11,93.7,97.86,77,49.93,1.176,90.07,99.957
MET-0000000048,2025-11-05 05:59:00.424718,CELL-00026,43.96,58.35,2.593,99.36,96.77,97.08,95.34,313,8.25,0.463,93.68,99.109
MET-0000000049,2025-11-05 06:04:00.424718,CELL-00049,45.73,60.32,1.445,96.61,97.09,94.27,96.79,410,37.99,1.98,91.92,99.571
MET-0000000050,2025-11-05 06:09:00.424718,CELL-00050,93.95,18.74,1.272,95.04,96.47,94.61,97.65,700,49.52,0.806,83.18,99.287
MET-0000000051,2025-11-05 06:14:00.424718,CELL-00090,64.55,63.3,3.274,96.08,96.85,95.42,98.71,412,15.13,1.085,68.15,99.172
MET-0000000052,2025-11-05 06:19:00.424718,CELL-00009,68.24,47.85,1.236,98.65,96.24,92.61,99.07,467,43.18,1.399,60.63,99.003
MET-0000000053,2025-11-05 06:24:00.424718,CELL-00112,93.08,53.57,0.244,97.06,97.24,98.1,97.16,754,26.35,0.148,73.9,99.069
MET-0000000054,2025-11-05 06:29:00.424718,CELL-00097,82.33,65.7,2.2,96.67,95.6,96.27,95.51,767,34.25,1.54,93.99,99.002
MET-0000000055,2025-11-05 06:34:00.424718,CELL-00080,69.02,51.68,2.404,95.98,94.75,95.85,96.14,271,41.99,1.612,63.53,99.203
MET-0000000056,2025-11-05 06:39:00.424718,CELL-00006,90.21,20.96,0.487,99.53,95.37,96.34,98.82,308,49.26,1.925,81.71,99.298
MET-0000000057,2025-11-05 06:44:00.424718,CELL-00023,42.73,17.49,2.186,96.95,98.79,93.83,98.94,505,42.57,0.672,93.17,99.237
MET-0000000058,2025-11-05 06:49:00.424718,CELL-00100,82.71,61.37,0.352,96.88,96.82,98.53,99.71,627,11.52,1.402,65.05,99.371
MET-0000000059,2025-11-05 06:54:00.424718,CELL-00134,74.74,33.85,0.892,97.29,96.13,93.95,95.44,459,26.04,0.604,75.53,99.151
MET-0000000060,2025-11-05 06:59:00.424718,CELL-00058,41.68,71.85,1.156,99.74,99.22,93.15,97.99,555,48.99,0.142,74.29,99.448
MET-0000000061,2025-11-05 07:04:00.424718,CELL-00027,34.48,47.25,2.831,98.24,94.34,92.5,99.49,643,27.19,1.783,87.98,99.521
MET-0000000062,2025-11-05 07:09:00.424718,CELL-00095,81.29,25.09,1.807,98.79,98.34,93.51,96.35,615,37.14,1.551,94.53,99.295
MET-0000000063,2025-11-05 07:14:00.424718,CELL-00099,91.04,66.22,2.535,99.47,94.51,92.97,95.91,249,11.27,1.632,70.7,99.462
MET-0000000064,2025-11-05 07:19:00.424718,CELL-00088,73.29,41.26,0.679,95.1,99.38,96.54,98.9,584,6.79,0.885,67.55,99.821
MET-0000000065,2025-11-05 07:24:00.424718,CELL-00125,67.09,33.11,3.005,97.54,96.81,94.92,98.24,385,11.58,0.095,88.8,99.389
MET-0000000066,2025-11-05 07:29:00.424718,CELL-00124,76.38,73.31,1.227,97.64,99.43,93.7,96.36,690,20.48,1.818,61.84,99.564
MET-0000000067,2025-11-05 07:34:00.424718,CELL-00031,62.16,63.56,0.128,97.07,98.73,96.96,95.09,605,43.5,0.8,90.56,99.389
MET-0000000068,2025-11-05 07:39:00.424718,CELL-00074,37.1,76.89,3.096,96.91,95.72,95.63,97.87,62,12.27,0.392,80.28,99.648
MET-0000000069,2025-11-05 07:44:00.424718,CELL-00145,69.16,39.01,1.314,99.44,96.71,95.96,99.74,749,22.3,0.506,96.41,99.346
MET-0000000070,2025-11-05 07:49:00.424718,CELL-00097,75.12,26.53,2.634,97.88,94.1,98.24,98.68,659,45.44,0.612,72.54,99.864
MET-0000000071,2025-11-05 07:54:00.424718,CELL-00074,50.41,53.16,2.269,95.42,96.09,92.56,96.11,504,13.14,0.101,67.55,99.063
MET-0000000072,2025-11-05 07:59:00.424718,CELL-00127,43.33,29.72,3.196,99.26,96.06,95.14,95.92,771,9.31,1.047,82.6,99.019
MET-0000000073,2025-11-05 08:04:00.424718,CELL-00146,90.25,46.77,3.402,99.19,95.45,97.1,97.52,246,21.52,0.986,96.53,99.945
MET-0000000074,2025-11-05 08:09:00.424718,CELL-00110,44.92,56.37,2.853,96.9,95.35,96.61,98.54,421,48.16,0.045,64.31,99.066
MET-0000000075,2025-11-05 08:14:00.424718,CELL-00012,31.21,38.53,1.147,95.93,97.62,97.96,96.43,281,43.46,1.76,91.76,99.096
MET-0000000076,2025-11-05 08:19:00.424718,CELL-00008,74.46,40.9,2.936,97.78,96.72,98.99,96.43,722,45.55,0.954,62.29,99.346
MET-0000000077,2025-11-05 08:24:00.424718,CELL-00012,70.98,64.24,2.701,98.85,96.66,94.33,95.49,769,49.7,1.126,94.74,99.237
MET-0000000078,2025-11-05 08:29:00.424718,CELL-00083,84.0,63.77,2.49,95.53,94.95,98.75,98.3,227,34.28,0.597,82.92,99.883
MET-0000000079,2025-11-05 08:34:00.424718,CELL-00122,56.22,19.63,3.207,97.64,98.5,94.34,97.98,218,48.55,1.005,83.14,99.051
MET-0000000080,2025-11-05 08:39:00.424718,CELL-00031,28.23,20.92,1.027,99.34,96.0,97.8,97.97,655,12.34,1.914,62.55,99.747
MET-0000000081,2025-11-05 08:44:00.424718,CELL-00105,65.59,47.7,0.311,96.47,99.14,92.56,97.33,141,43.82,1.227,78.49,99.124
MET-0000000082,2025-11-05 08:49:00.424718,CELL-00097,38.98,19.69,1.408,96.08,97.35,95.42,96.56,251,46.28,0.994,64.3,99.064
MET-0000000083,2025-11-05 08:54:00.424718,CELL-00134,77.04,79.14,1.53,95.72,95.74,93.72,97.88,335,25.17,0.888,77.02,99.157
MET-0000000084,2025-11-05 08:59:00.424718,CELL-00131,21.41,29.05,0.276,99.3,96.98,94.22,96.86,421,32.64,1.729,79.8,99.645
MET-0000000085,2025-11-05 09:04:00.424718,CELL-00014,92.48,67.05,1.708,97.26,96.59,97.19,98.67,774,26.64,1.254,85.65,99.414
MET-0000000086,2025-11-05 09:09:00.424718,CELL-00130,91.99,59.65,0.436,98.05,94.59,92.09,99.59,71,45.73,0.974,78.07,99.433
MET-0000000087,2025-11-05 09:14:00.424718,CELL-00017,89.11,27.49,3.186,99.39,94.42,94.47,97.18,100,11.41,0.153,72.28,99.202
MET-0000000088,2025-11-05 09:19:00.424718,CELL-00023,56.99,28.97,2.54,97.76,94.4,94.25,96.32,590,23.5,0.457,81.97,99.599
MET-0000000089,2025-11-05 09:24:00.424718,CELL-00049,59.9,41.93,0.257,97.74,94.88,98.39,99.4,347,44.17,0.078,61.65,99.08
MET-0000000090,2025-11-05 09:29:00.424718,CELL-00057,21.0,31.01,1.929,98.64,97.16,92.35,95.27,729,37.44,1.275,65.73,99.94
MET-0000000091,2025-11-05 09:34:00.424718,CELL-00080,53.61,35.38,2.598,96.92,95.1,95.44,96.05,336,47.94,1.723,74.2,99.979
MET-0000000092,2025-11-05 09:39:00.424718,CELL-00007,73.38,37.83,0.985,96.03,94.26,97.21,97.37,610,46.24,0.145,60.8,99.537
MET-0000000093,2025-11-05 09:44:00.424718,CELL-00081,75.39,56.97,1.729,98.91,94.42,98.76,99.49,245,45.71,1.298,66.44,99.713
MET-0000000094,2025-11-05 09:49:00.424718,CELL-00004,90.91,79.14,1.712,96.29,94.34,92.53,97.86,579,15.11,1.444,84.22,99.595
MET-0000000095,2025-11-05 09:54:00.424718,CELL-00006,31.59,29.12,3.386,95.26,98.74,97.3,99.54,301,42.95,1.09,89.48,99.662
MET-0000000096,2025-11-05 09:59:00.424718,CELL-00116,79.39,35.47,3.026,98.63,97.06,96.26,98.46,740,26.14,0.999,63.26,99.322
MET-0000000097,2025-11-05 10:04:00.424718,CELL-00073,45.74,20.54,2.438,98.68,94.78,94.39,98.65,195,32.08,1.093,71.76,99.61
MET-0000000098,2025-11-05 10:09:00.424718,CELL-00055,34.05,23.17,2.18,98.05,94.57,95.45,99.36,712,37.7,0.923,72.12,99.907
MET-0000000099,2025-11-05 10:14:00.424718,CELL-00046,54.79,43.05,0.675,95.25,94.4,92.82,95.46,145,22.14,1.822,96.39,99.199
MET-0000000100,2025-11-05 10:19:00.424718,CELL-00099,54.32,63.09,0.145,99.53,96.21,93.27,99.46,84,33.28,0.035,96.07,99.918
MET-0000000101,2025-11-05 10:24:00.424718,CELL-00047,72.64,67.25,2.751,98.37,97.27,92.84,98.41,91,6.1,0.869,64.7,99.087
MET-0000000102,2025-11-05 10:29:00.424718,CELL-00001,23.57,53.26,1.297,96.33,98.05,94.46,98.86,374,34.03,0.446,79.81,99.765
MET-0000000103,2025-11-05 10:34:00.424718,CELL-00042,63.0,54.37,3.373,96.67,97.17,95.7,95.95,262,33.72,1.795,95.17,99.16
MET-0000000104,2025-11-05 10:39:00.424718,CELL-00148,25.14,22.31,0.778,96.17,95.55,93.22,95.05,702,9.16,0.408,89.79,99.324
MET-0000000105,2025-11-05 10:44:00.424718,CELL-00139,30.24,77.14,2.241,99.36,98.11,97.27,95.65,150,41.28,1.812,76.82,99.832
MET-0000000106,2025-11-05 10:49:00.424718,CELL-00022,76.54,52.03,0.587,97.6,94.42,94.33,95.79,277,49.49,0.777,87.78,99.262
MET-0000000107,2025-11-05 10:54:00.424718,CELL-00054,36.49,28.89,1.267,98.0,98.27,96.82,98.83,217,36.74,0.567,94.11,99.742
MET-0000000108,2025-11-05 10:59:00.424718,CELL-00087,88.72,26.19,0.828,97.66,95.67,96.98,99.55,116,33.54,0.829,84.64,99.117
MET-0000000109,2025-11-05 11:04:00.424718,CELL-00058,55.5,73.02,0.172,99.32,97.94,97.77,99.72,325,34.07,0.689,95.16,99.992
MET-0000000110,2025-11-05 11:09:00.424718,CELL-00026,91.93,46.72,3.164,99.34,96.58,98.23,97.34,438,24.97,1.015,80.06,99.644
MET-0000000111,2025-11-05 11:14:00.424718,CELL-00059,85.16,28.07,1.292,97.32,95.48,92.58,98.98,737,14.17,1.402,70.8,99.406
MET-0000000112,2025-11-05 11:19:00.424718,CELL-00114,81.71,64.75,1.301,99.45,98.42,98.84,95.66,783,28.68,0.602,70.15,99.96
MET-0000000113,2025-11-05 11:24:00.424718,CELL-00089,38.97,55.1,3.057,96.13,95.36,96.76,95.27,562,44.36,1.688,91.61,99.209
MET-0000000114,2025-11-05 11:29:00.424718,CELL-00019,70.06,78.82,2.903,98.69,97.99,92.95,97.44,285,22.24,0.689,81.24,99.133
MET-0000000115,2025-11-05 11:34:00.424718,CELL-00150,32.04,41.58,1.791,98.16,94.84,97.67,98.89,497,26.95,0.097,64.93,99.081
MET-0000000116,2025-11-05 11:39:00.424718,CELL-00123,50.66,43.73,0.338,96.9,95.67,92.05,99.3,208,37.49,1.656,82.68,99.596
MET-0000000117,2025-11-05 11:44:00.424718,CELL-00013,64.14,55.82,1.658,95.74,95.8,96.81,99.53,734,20.49,1.903,66.79,99.64
MET-0000000118,2025-11-05 11:49:00.424718,CELL-00003,63.52,61.71,0.671,96.48,95.37,95.43,96.05,87,24.82,0.322,83.43,99.383
MET-0000000119,2025-11-05 11:54:00.424718,CELL-00022,23.6,55.69,2.983,98.28,94.21,96.14,98.02,588,40.51,0.707,72.16,99.817
MET-0000000120,2025-11-05 11:59:00.424718,CELL-00132,76.29,30.15,2.57,99.28,97.31,97.96,96.73,388,18.92,1.493,76.31,99.278
MET-0000000121,2025-11-05 12:04:00.424718,CELL-00003,93.51,43.28,0.461,95.87,99.36,95.22,97.08,441,6.13,0.722,87.31,99.101
MET-0000000122,2025-11-05 12:09:00.424718,CELL-00089,89.31,36.27,0.116,98.83,96.2,97.69,95.13,387,18.61,0.542,70.99,99.894
MET-0000000123,2025-11-05 12:14:00.424718,CELL-00020,32.17,68.56,0.623,97.55,95.42,93.87,98.49,794,43.09,0.462,82.24,99.006
MET-0000000124,2025-11-05 12:19:00.424718,CELL-00126,24.19,37.45,3.372,98.05,97.61,95.45,99.42,766,37.7,1.279,64.38,99.427
MET-0000000125,2025-11-05 12:24:00.424718,CELL-00090,70.08,28.03,3.029,95.24,97.02,97.84,97.94,189,38.56,1.398,97.24,99.245
MET-0000000126,2025-11-05 12:29:00.424718,CELL-00013,54.37,23.46,1.269,96.5,96.36,93.76,99.6,699,41.24,0.68,92.85,99.652
MET-0000000127,2025-11-05 12:34:00.424718,CELL-00056,55.48,40.9,0.238,99.23,95.06,98.47,99.59,299,42.54,1.824,71.01,99.041
MET-0000000128,2025-11-05 12:39:00.424718,CELL-00073,37.97,69.42,3.484,96.14,98.94,93.61,95.92,556,32.74,0.184,78.57,99.548
MET-0000000129,2025-11-05 12:44:00.424718,CELL-00051,36.71,48.15,2.363,95.22,98.41,95.45,98.43,344,29.08,0.749,82.29,99.436
MET-0000000130,2025-11-05 12:49:00.424718,CELL-00072,89.56,59.78,3.194,95.88,95.45,92.84,96.17,531,30.68,1.616,60.26,99.454
MET-0000000131,2025-11-05 12:54:00.424718,CELL-00086,69.7,61.23,2.022,98.28,99.39,98.13,95.41,155,17.86,1.441,68.76,99.627
MET-0000000132,2025-11-05 12:59:00.424718,CELL-00109,42.22,65.37,0.421,96.82,97.33,97.14,97.33,258,14.26,0.315,81.84,99.806
MET-0000000133,2025-11-05 13:04:00.424718,CELL-00131,46.2,74.69,3.417,99.27,98.65,93.97,99.41,478,30.02,1.121,89.76,99.044
MET-0000000134,2025-11-05 13:09:00.424718,CELL-00132,26.23,70.69,1.595,97.8,98.0,97.95,99.33,209,24.7,1.285,93.55,99.788
MET-0000000135,2025-11-05 13:14:00.424718,CELL-00129,55.28,57.3,1.251,99.28,96.08,96.36,98.4,309,39.12,1.246,63.8,99.917
MET-0000000136,2025-11-05 13:19:00.424718,CELL-00146,86.73,77.72,2.828,99.33,94.46,95.01,98.97,236,48.5,1.979,88.13,99.784
MET-0000000137,2025-11-05 13:24:00.424718,CELL-00070,91.66,16.68,1.371,96.39,94.19,94.61,99.09,261,42.1,1.056,95.71,99.261
MET-0000000138,2025-11-05 13:29:00.424718,CELL-00026,76.77,29.32,1.419,99.59,95.31,95.74,95.43,134,38.79,1.639,95.29,99.288
MET-0000000139,2025-11-05 13:34:00.424718,CELL-00113,58.35,43.74,1.072,97.94,95.68,95.36,96.84,694,7.16,1.557,82.95,99.739
MET-0000000140,2025-11-05 13:39:00.424718,CELL-00145,78.64,19.07,2.251,97.22,94.85,92.03,97.33,188,13.45,0.173,71.7,99.636
MET-0000000141,2025-11-05 13:44:00.424718,CELL-00052,83.1,22.7,2.607,98.03,97.08,95.63,95.1,624,15.39,1.794,61.97,99.2
MET-0000000142,2025-11-05 13:49:00.424718,CELL-00029,27.12,49.91,0.682,95.78,97.73,92.5,97.39,102,30.8,0.418,91.02,99.41
MET-0000000143,2025-11-05 13:54:00.424718,CELL-00063,88.79,43.63,0.3,99.14,96.7,92.68,97.42,409,34.92,1.285,84.8,99.364
MET-0000000144,2025-11-05 13:59:00.424718,CELL-00150,67.96,61.18,0.587,95.83,98.83,92.76,97.77,466,33.42,1.592,72.05,99.527
MET-0000000145,2025-11-05 14:04:00.424718,CELL-00047,75.21,64.28,1.743,96.82,97.89,98.77,97.46,733,42.09,0.016,90.64,99.351
MET-0000000146,2025-11-05 14:09:00.424718,CELL-00060,53.47,32.95,3.308,98.18,96.93,94.14,97.52,588,7.17,1.253,74.83,99.091
MET-0000000147,2025-11-05 14:14:00.424718,CELL-00118,24.56,38.11,0.774,95.77,96.09,93.04,99.26,164,11.94,1.218,84.23,99.955
MET-0000000148,2025-11-05 14:19:00.424718,CELL-00067,35.38,34.2,2.949,96.18,97.17,94.01,99.52,330,48.49,1.667,75.11,99.5
MET-0000000149,2025-11-05 14:24:00.424718,CELL-00122,48.34,65.15,0.382,98.06,96.3,93.28,98.02,406,39.19,1.868,91.85,99.237
MET-0000000150,2025-11-05 14:29:00.424718,CELL-00070,53.61,20.93,1.592,96.77,96.29,93.09,96.64,270,20.76,1.726,67.48,99.008
MET-0000000151,2025-11-05 14:34:00.424718,CELL-00012,61.97,19.51,2.687,95.42,97.95,92.79,98.12,524,30.56,1.283,70.19,99.02
MET-0000000152,2025-11-05 14:39:00.424718,CELL-00136,79.87,49.78,0.55,96.61,97.26,95.22,96.0,385,47.03,0.563,78.54,99.905
MET-0000000153,2025-11-05 14:44:00.424718,CELL-00008,23.5,73.28,0.296,96.12,96.04,94.44,97.34,588,22.3,1.637,91.39,99.86
MET-0000000154,2025-11-05 14:49:00.424718,CELL-00067,28.76,46.04,1.03,96.94,98.04,98.92,99.2,58,41.86,1.549,82.65,99.818
MET-0000000155,2025-11-05 14:54:00.424718,CELL-00065,41.12,66.45,2.501,96.44,95.68,97.26,98.07,202,29.47,0.961,60.55,99.323
MET-0000000156,2025-11-05 14:59:00.424718,CELL-00080,53.32,76.04,2.002,98.25,99.0,98.5,98.6,661,17.68,0.551,68.04,99.562
MET-0000000157,2025-11-05 15:04:00.424718,CELL-00093,92.33,44.08,1.554,98.87,99.36,93.13,98.82,177,45.35,0.616,72.2,99.033
MET-0000000158,2025-11-05 15:09:00.424718,CELL-00018,24.92,70.57,2.208,97.58,95.07,94.89,95.02,113,10.7,1.133,75.86,99.427
MET-0000000159,2025-11-05 15:14:00.424718,CELL-00138,86.8,66.97,1.56,98.93,95.58,94.12,96.3,80,19.06,1.762,64.11,99.999
MET-0000000160,2025-11-05 15:19:00.424718,CELL-00091,62.26,24.51,0.676,97.33,94.69,93.1,95.47,228,24.18,0.098,75.11,99.531
MET-0000000161,2025-11-05 15:24:00.424718,CELL-00072,84.91,75.47,1.791,99.85,99.17,96.69,96.78,219,22.29,0.357,79.36,99.171
MET-0000000162,2025-11-05 15:29:00.424718,CELL-00016,39.11,78.13,0.48,96.54,96.79,97.49,99.14,230,19.57,1.192,68.41,99.533
MET-0000000163,2025-11-05 15:34:00.424718,CELL-00014,34.58,65.76,2.911,95.66,94.7,93.19,98.95,476,7.82,0.769,73.71,99.954
MET-0000000164,2025-11-05 15:39:00.424718,CELL-00071,46.02,51.92,1.862,99.88,98.33,97.28,96.11,655,41.25,0.613,89.36,99.008
MET-0000000165,2025-11-05 15:44:00.424718,CELL-00140,52.75,20.76,3.14,96.99,98.98,98.32,96.78,529,40.84,1.617,76.27,99.815
MET-0000000166,2025-11-05 15:49:00.424718,CELL-00019,53.27,22.67,2.122,99.04,99.16,98.21,98.0,181,36.42,1.963,64.6,99.183
MET-0000000167,2025-11-05 15:54:00.424718,CELL-00026,78.78,45.13,1.147,95.25,97.65,96.1,96.4,440,16.19,1.506,93.75,99.572
MET-0000000168,2025-11-05 15:59:00.424718,CELL-00092,78.96,47.5,1.042,98.83,98.05,92.56,95.7,161,11.24,0.078,64.69,99.075
MET-0000000169,2025-11-05 16:04:00.424718,CELL-00046,86.97,27.53,2.307,99.28,94.94,92.08,97.55,715,34.96,0.894,68.21,99.661
MET-0000000170,2025-11-05 16:09:00.424718,CELL-00146,91.16,67.98,0.188,99.43,95.35,92.38,97.09,616,45.88,1.187,73.96,99.592
MET-0000000171,2025-11-05 16:14:00.424718,CELL-00075,92.55,64.69,2.032,98.44,97.95,96.73,98.67,710,25.98,0.975,94.07,99.555
MET-0000000172,2025-11-05 16:19:00.424718,CELL-00095,84.23,54.81,2.435,99.08,97.35,96.71,97.71,580,24.96,0.141,97.61,99.151
MET-0000000173,2025-11-05 16:24:00.424718,CELL-00143,54.08,44.0,0.579,95.39,94.81,98.15,95.96,633,14.01,0.533,61.61,99.349
MET-0000000174,2025-11-05 16:29:00.424718,CELL-00138,65.64,70.05,0.551,95.92,96.84,93.39,97.96,346,19.77,0.69,73.77,99.184
MET-0000000175,2025-11-05 16:34:00.424718,CELL-00016,57.59,50.77,2.834,97.76,99.32,93.41,99.24,93,47.08,1.547,87.11,99.294
MET-0000000176,2025-11-05 16:39:00.424718,CELL-00083,60.59,23.86,2.447,95.35,95.61,92.21,98.78,749,49.21,0.895,60.99,99.318
MET-0000000177,2025-11-05 16:44:00.424718,CELL-00003,68.77,75.2,3.115,98.49,95.57,98.11,99.27,512,14.76,0.193,69.84,99.283
