event_id,@timestamp,network.cell.id,network.procedure.type,network.procedure.result_code,network.procedure.success,network.procedure.duration_ms,subscriber.imsi,network.radio.rsrp_dbm,network.radio.rsrq_db,network.radio.sinr_db,network.handover.source_cell,network.handover.target_cell,network.handover.success,network.rrc.connection_result,network.vendor.name,network.technology,network.region.id,event.description
EVT-0000000011,2025-11-10 23:44:30.370058,CELL-00067,RRC_CONNECTION,REJECT,True,514.9,310260198686004,-100.9,-18.5,15.9,CELL-00104,CELL-00076,None,ESTABLISHED,Samsung,LTE-A,REGION-11,"Signaling event: RRC_CONNECTION REJECT at CELL-00067, 514.9ms, radio quality RSRP=-100.9 SINR=15.9"
EVT-0000000012,2025-11-10 23:45:00.370058,CELL-00076,SERVICE_REQUEST,SUCCESS,True,217.6,310260280181869,-76.7,-7.1,11.6,None,None,None,ESTABLISHED,Samsung,LTE-A,REGION-06,"SERVICE_REQUEST SUCCESS on LTE-A cell CELL-00076, took 217.6ms, signal strength -76.7dBm"
EVT-0000000013,2025-11-10 23:45:30.370058,CELL-00077,SERVICE_REQUEST,SUCCESS,True,393.8,310260826347411,-92.7,-5.8,23.4,None,None,True,TIMEOUT,Nokia,5G NR,REGION-12,"SERVICE_REQUEST procedure on cell CELL-00077, result SUCCESS, duration 393.8ms, RSRP -92.7dBm"
EVT-0000000014,2025-11-10 23:46:00.370058,CELL-00021,RRC_CONNECTION,SUCCESS,True,410.0,310260280181869,-102.8,-5.3,21.7,None,None,True,ESTABLISHED,Nokia,LTE-A,REGION-02,"RRC_CONNECTION SUCCESS on LTE-A cell CELL-00021, took 410.0ms, signal strength -102.8dBm"
EVT-0000000015,2025-11-10 23:46:30.370058,CELL-00140,DETACH,SUCCESS,True,369.5,310260668550106,-97.0,-17.9,-4.9,CELL-00078,None,None,ESTABLISHED,Nokia,5G NR,REGION-10,"Signaling event: DETACH SUCCESS at CELL-00140, 369.5ms, radio quality RSRP=-97.0 SINR=-4.9"
EVT-0000000016,2025-11-10 23:47:00.370058,CELL-00071,HANDOVER,SUCCESS,False,388.3,310260500621015,-101.2,-9.1,5.8,None,None,None,ESTABLISHED,Nokia,LTE-A,REGION-13,"HANDOVER procedure on cell CELL-00071, result SUCCESS, duration 388.3ms, RSRP -101.2dBm"
EVT-0000000017,2025-11-10 23:47:30.370058,CELL-00072,SERVICE_REQUEST,SUCCESS,True,255.1,310260376551538,-76.8,-9.5,19.1,None,CELL-00147,False,ESTABLISHED,Samsung,5G NR,REGION-05,"SERVICE_REQUEST procedure on cell CELL-00072, result SUCCESS, duration 255.1ms, RSRP -76.8dBm"
EVT-0000000018,2025-11-10 23:48:00.370058,CELL-00124,SERVICE_REQUEST,SUCCESS,True,453.3,310260305393526,-93.0,-9.4,8.0,None,CELL-00010,None,ESTABLISHED,Nokia,LTE,REGION-06,"SERVICE_REQUEST SUCCESS on LTE cell CELL-00124, took 453.3ms, signal strength -93.0dBm"
EVT-0000000019,2025-11-10 23:48:30.370058,CELL-00050,ATTACH,SUCCESS,True,582.2,310260706438048,-85.4,-15.4,-3.1,None,CELL-00143,None,ESTABLISHED,Ericsson,LTE-A,REGION-02,"Signaling event: ATTACH SUCCESS at CELL-00050, 582.2ms, radio quality RSRP=-85.4 SINR=-3.1"
EVT-0000000020,2025-11-10 23:49:00.370058,CELL-00059,PAGING_RESPONSE,SUCCESS,True,199.2,310260858708828,-75.2,-7.7,24.1,None,None,None,SUCCESS,Samsung,5G NR,REGION-09,"PAGING_RESPONSE SUCCESS on 5G NR cell CELL-00059, took 199.2ms, signal strength -75.2dBm"
EVT-0000000021,2025-11-10 23:49:30.370058,CELL-00102,ATTACH,SUCCESS,True,478.5,310260910208442,-112.3,-16.6,9.1,CELL-00010,None,False,ESTABLISHED,Samsung,LTE-A,REGION-08,"Signaling event: ATTACH SUCCESS at CELL-00102, 478.5ms, radio quality RSRP=-112.3 SINR=9.1"
EVT-0000000022,2025-11-10 23:50:00.370058,CELL-00104,TAU,SUCCESS,True,350.4,310260866503461,-77.2,-8.2,22.0,None,CELL-00092,None,ESTABLISHED,Nokia,LTE-A,REGION-02,"TAU procedure on cell CELL-00104, result SUCCESS, duration 350.4ms, RSRP -77.2dBm"
EVT-0000000023,2025-11-10 23:50:30.370058,CELL-00064,BEARER_SETUP,TIMEOUT,True,720.6,310260962633577,-80.9,-18.2,1.7,None,None,False,ESTABLISHED,Ericsson,5G NR,REGION-03,"BEARER_SETUP procedure on cell CELL-00064, result TIMEOUT, duration 720.6ms, RSRP -80.9dBm"
EVT-0000000024,2025-11-10 23:51:00.370058,CELL-00148,TAU,SUCCESS,True,324.6,310260404339959,-96.6,-14.7,-3.0,None,None,None,REJECTED,Samsung,LTE,REGION-10,"TAU SUCCESS on LTE cell CELL-00148, took 324.6ms, signal strength -96.6dBm"
EVT-0000000025,2025-11-10 23:51:30.370058,CELL-00006,PAGING_RESPONSE,REJECT,True,229.7,310260343029724,-103.2,-6.2,8.1,None,None,None,SUCCESS,Samsung,LTE,REGION-07,"PAGING_RESPONSE procedure on cell CELL-00006, result REJECT, duration 229.7ms, RSRP -103.2dBm"
EVT-0000000026,2025-11-10 23:52:00.370058,CELL-00042,SERVICE_REQUEST,SUCCESS,True,371.1,310260424964301,-76.7,-12.3,19.2,None,None,None,ESTABLISHED,Nokia,5G NR,REGION-13,"SERVICE_REQUEST procedure on cell CELL-00042, result SUCCESS, duration 371.1ms, RSRP -76.7dBm"
EVT-0000000027,2025-11-10 23:52:30.370058,CELL-00012,RRC_CONNECTION,SUCCESS,True,663.7,310260369908290,-105.5,-14.9,11.8,None,None,None,ESTABLISHED,Ericsson,5G NR,REGION-11,"Signaling event: RRC_CONNECTION SUCCESS at CELL-00012, 663.7ms, radio quality RSRP=-105.5 SINR=11.8"
EVT-0000000028,2025-11-10 23:53:00.370058,CELL-00127,HANDOVER,SUCCESS,True,304.6,310260627858372,-85.2,-11.9,1.7,CELL-00014,None,None,ESTABLISHED,Ericsson,5G NR,REGION-14,"HANDOVER SUCCESS on 5G NR cell CELL-00127, took 304.6ms, signal strength -85.2dBm"
EVT-0000000029,2025-11-10 23:53:30.370058,CELL-00116,HANDOVER,RADIO_FAILURE,True,664.7,310260137496337,-80.9,-14.0,12.7,None,None,None,ESTABLISHED,Ericsson,5G NR,REGION-05,"HANDOVER procedure on cell CELL-00116, result RADIO_FAILURE, duration 664.7ms, RSRP -80.9dBm"
EVT-0000000030,2025-11-10 23:54:00.370058,CELL-00059,BEARER_MODIFY,REJECT,True,423.6,310260123692221,-117.6,-10.1,4.7,None,None,None,ESTABLISHED,Nokia,LTE-A,REGION-06,"BEARER_MODIFY REJECT on LTE-A cell CELL-00059, took 423.6ms, signal strength -117.6dBm"
EVT-0000000031,2025-11-10 23:54:30.370058,CELL-00072,HANDOVER,SUCCESS,True,470.6,310260411281703,-115.6,-10.8,-2.6,None,None,False,ESTABLISHED,Nokia,LTE,REGION-10,"Signaling event: HANDOVER SUCCESS at CELL-00072, 470.6ms, radio quality RSRP=-115.6 SINR=-2.6"
EVT-0000000032,2025-11-10 23:55:00.370058,CELL-00148,SERVICE_REQUEST,SUCCESS,True,514.6,310260288645997,-79.2,-6.1,22.2,None,CELL-00099,None,SUCCESS,Ericsson,5G NR,REGION-09,"Signaling event: SERVICE_REQUEST SUCCESS at CELL-00148, 514.6ms, radio quality RSRP=-79.2 SINR=22.2"
EVT-0000000033,2025-11-10 23:55:30.370058,CELL-00096,BEARER_SETUP,TIMEOUT,True,552.4,310260596898681,-99.7,-5.2,-1.2,CELL-00044,CELL-00084,None,SUCCESS,Nokia,5G NR,REGION-11,"BEARER_SETUP procedure on cell CELL-00096, result TIMEOUT, duration 552.4ms, RSRP -99.7dBm"
EVT-0000000034,2025-11-10 23:56:00.370058,CELL-00060,TAU,SUCCESS,True,623.4,310260439089137,-90.7,-12.9,1.0,None,None,False,ESTABLISHED,Nokia,LTE-A,REGION-13,"TAU procedure on cell CELL-00060, result SUCCESS, duration 623.4ms, RSRP -90.7dBm"
EVT-0000000035,2025-11-10 23:56:30.370058,CELL-00026,BEARER_SETUP,SUCCESS,True,626.2,310260652413871,-91.3,-8.8,19.7,None,CELL-00058,None,ESTABLISHED,Ericsson,LTE-A,REGION-15,"BEARER_SETUP procedure on cell CELL-00026, result SUCCESS, duration 626.2ms, RSRP -91.3dBm"
EVT-0000000036,2025-11-10 23:57:00.370058,CELL-00118,HANDOVER,SUCCESS,True,483.0,310260814033468,-111.1,-5.5,2.0,CELL-00079,CELL-00063,True,ESTABLISHED,Nokia,LTE,REGION-11,"HANDOVER procedure on cell CELL-00118, result SUCCESS, duration 483.0ms, RSRP -111.1dBm"
EVT-0000000037,2025-11-10 23:57:30.370058,CELL-00072,PAGING_RESPONSE,SUCCESS,True,216.6,310260693965962,-92.5,-14.6,11.7,None,None,False,ESTABLISHED,Nokia,LTE-A,REGION-13,"PAGING_RESPONSE procedure on cell CELL-00072, result SUCCESS, duration 216.6ms, RSRP -92.5dBm"
EVT-0000000038,2025-11-10 23:58:00.370058,CELL-00046,HANDOVER,SUCCESS,True,379.0,310260593536677,-70.2,-14.0,8.8,CELL-00076,None,False,ESTABLISHED,Samsung,LTE,REGION-02,"Signaling event: HANDOVER SUCCESS at CELL-00046, 379.0ms, radio quality RSRP=-70.2 SINR=8.8"
EVT-0000000039,2025-11-10 23:58:30.370058,CELL-00106,HANDOVER,SUCCESS,True,784.4,310260313714967,-96.0,-16.1,3.7,CELL-00082,CELL-00095,None,ESTABLISHED,Samsung,5G NR,REGION-15,"Signaling event: HANDOVER SUCCESS at CELL-00106, 784.4ms, radio quality RSRP=-96.0 SINR=3.7"
EVT-0000000040,2025-11-10 23:59:00.370058,CELL-00122,PAGING_RESPONSE,SUCCESS,True,283.7,310260910208442,-80.2,-7.3,5.6,None,None,None,ESTABLISHED,Ericsson,LTE-A,REGION-01,"PAGING_RESPONSE procedure on cell CELL-00122, result SUCCESS, duration 283.7ms, RSRP -80.2dBm"
EVT-0000000041,2025-11-10 23:59:30.370058,CELL-00075,BEARER_SETUP,SUCCESS,True,237.2,310260699000036,-119.8,-6.6,14.3,None,None,None,ESTABLISHED,Nokia,5G NR,REGION-06,"Signaling event: BEARER_SETUP SUCCESS at CELL-00075, 237.2ms, radio quality RSRP=-119.8 SINR=14.3"
EVT-0000000042,2025-11-11 00:00:00.370058,CELL-00035,SERVICE_REQUEST,SUCCESS,True,342.5,310260582686417,-85.3,-13.5,20.9,CELL-00085,CELL-00122,True,ESTABLISHED,Ericsson,5G NR,REGION-06,"SERVICE_REQUEST procedure on cell CELL-00035, result SUCCESS, duration 342.5ms, RSRP -85.3dBm"
EVT-0000000043,2025-11-11 00:00:30.370058,CELL-00110,RRC_CONNECTION,SUCCESS,True,313.4,310260858518367,-85.0,-11.3,22.1,None,CELL-00052,None,ESTABLISHED,Samsung,LTE,REGION-06,"RRC_CONNECTION SUCCESS on LTE cell CELL-00110, took 313.4ms, signal strength -85.0dBm"
EVT-0000000044,2025-11-11 00:01:00.370058,CELL-00009,ATTACH,SUCCESS,True,669.8,310260777603725,-99.8,-7.5,-3.3,CELL-00099,None,None,ESTABLISHED,Nokia,LTE,REGION-13,"ATTACH SUCCESS on LTE cell CELL-00009, took 669.8ms, signal strength -99.8dBm"
EVT-0000000045,2025-11-11 00:01:30.370058,CELL-00082,PAGING_RESPONSE,SUCCESS,True,287.1,310260858518367,-116.0,-8.4,-3.3,CELL-00147,None,None,SUCCESS,Ericsson,5G NR,REGION-05,"PAGING_RESPONSE SUCCESS on 5G NR cell CELL-00082, took 287.1ms, signal strength -116.0dBm"
EVT-0000000046,2025-11-11 00:02:00.370058,CELL-00059,DETACH,REJECT,True,301.4,310260612601135,-99.6,-14.7,7.4,None,None,None,ESTABLISHED,Nokia,5G NR,REGION-04,"DETACH procedure on cell CELL-00059, result REJECT, duration 301.4ms, RSRP -99.6dBm"
EVT-0000000047,2025-11-11 00:02:30.370058,CELL-00035,PAGING_RESPONSE,SUCCESS,True,587.6,310260998632570,-110.0,-5.8,-0.1,None,None,False,ESTABLISHED,Ericsson,LTE-A,REGION-04,"PAGING_RESPONSE SUCCESS on LTE-A cell CELL-00035, took 587.6ms, signal strength -110.0dBm"
EVT-0000000048,2025-11-11 00:03:00.370058,CELL-00080,TAU,SUCCESS,True,255.3,310260219279896,-119.6,-14.0,4.8,None,None,False,ESTABLISHED,Ericsson,LTE,REGION-04,"Signaling event: TAU SUCCESS at CELL-00080, 255.3ms, radio quality RSRP=-119.6 SINR=4.8"
EVT-0000000049,2025-11-11 00:03:30.370058,CELL-00129,PAGING_RESPONSE,SUCCESS,True,367.4,310260774242938,-109.6,-18.5,4.1,CELL-00027,None,False,ESTABLISHED,Ericsson,5G NR,REGION-10,"Signaling event: PAGING_RESPONSE SUCCESS at CELL-00129, 367.4ms, radio quality RSRP=-109.6 SINR=4.1"
EVT-0000000050,2025-11-11 00:04:00.370058,CELL-00024,RRC_CONNECTION,SUCCESS,False,164.6,310260349295683,-72.8,-9.8,6.6,None,None,None,TIMEOUT,Nokia,5G NR,REGION-14,"Signaling event: RRC_CONNECTION SUCCESS at CELL-00024, 164.6ms, radio quality RSRP=-72.8 SINR=6.6"
EVT-0000000051,2025-11-11 00:04:30.370058,CELL-00033,BEARER_MODIFY,SUCCESS,True,249.8,310260756907887,-76.9,-9.3,17.5,None,None,None,ESTABLISHED,Nokia,5G NR,REGION-15,"BEARER_MODIFY procedure on cell CELL-00033, result SUCCESS, duration 249.8ms, RSRP -76.9dBm"
EVT-0000000052,2025-11-11 00:05:00.370058,CELL-00077,BEARER_MODIFY,SUCCESS,True,707.7,310260765297936,-113.7,-13.2,22.1,None,CELL-00084,True,ESTABLISHED,Ericsson,LTE-A,REGION-04,"BEARER_MODIFY SUCCESS on LTE-A cell CELL-00077, took 707.7ms, signal strength -113.7dBm"
EVT-0000000053,2025-11-11 00:05:30.370058,CELL-00081,ATTACH,SUCCESS,True,522.9,310260411260872,-103.7,-7.3,1.7,CELL-00147,CELL-00120,None,ESTABLISHED,Samsung,LTE-A,REGION-02,"ATTACH procedure on cell CELL-00081, result SUCCESS, duration 522.9ms, RSRP -103.7dBm"
EVT-0000000054,2025-11-11 00:06:00.370058,CELL-00139,ATTACH,SUCCESS,True,226.9,310260489661195,-75.1,-5.1,5.7,None,None,None,ESTABLISHED,Ericsson,LTE-A,REGION-02,"ATTACH SUCCESS on LTE-A cell CELL-00139, took 226.9ms, signal strength -75.1dBm"
EVT-0000000055,2025-11-11 00:06:30.370058,CELL-00120,SERVICE_REQUEST,SUCCESS,True,362.7,310260954586868,-72.0,-6.6,4.7,CELL-00058,None,None,ESTABLISHED,Nokia,LTE,REGION-14,"Signaling event: SERVICE_REQUEST SUCCESS at CELL-00120, 362.7ms, radio quality RSRP=-72.0 SINR=4.7"
EVT-0000000056,2025-11-11 00:07:00.370058,CELL-00059,HANDOVER,SUCCESS,True,762.2,310260326524014,-97.4,-11.0,12.5,None,None,None,ESTABLISHED,Samsung,5G NR,REGION-12,"HANDOVER procedure on cell CELL-00059, result SUCCESS, duration 762.2ms, RSRP -97.4dBm"
EVT-0000000057,2025-11-11 00:07:30.370058,CELL-00017,ATTACH,SUCCESS,True,232.9,310260506678541,-79.9,-9.8,11.2,None,CELL-00107,True,SUCCESS,Nokia,LTE,REGION-14,"Signaling event: ATTACH SUCCESS at CELL-00017, 232.9ms, radio quality RSRP=-79.9 SINR=11.2"
EVT-0000000058,2025-11-11 00:08:00.370058,CELL-00128,SERVICE_REQUEST,REJECT,True,296.5,310260488661282,-89.4,-14.7,3.8,None,None,None,ESTABLISHED,Nokia,LTE-A,REGION-14,"SERVICE_REQUEST REJECT on LTE-A cell CELL-00128, took 296.5ms, signal strength -89.4dBm"
EVT-0000000059,2025-11-11 00:08:30.370058,CELL-00104,DETACH,SUCCESS,True,342.1,310260291815312,-107.1,-10.6,16.7,None,None,None,ESTABLISHED,Samsung,LTE,REGION-03,"DETACH SUCCESS on LTE cell CELL-00104, took 342.1ms, signal strength -107.1dBm"
EVT-0000000060,2025-11-11 00:09:00.370058,CELL-00076,DETACH,SUCCESS,True,222.6,310260369908290,-90.8,-11.8,20.6,CELL-00099,None,None,ESTABLISHED,Ericsson,LTE,REGION-14,"DETACH SUCCESS on LTE cell CELL-00076, took 222.6ms, signal strength -90.8dBm"
EVT-0000000061,2025-11-11 00:09:30.370058,CELL-00007,BEARER_SETUP,TIMEOUT,True,715.6,310260627858372,-78.3,-18.5,4.8,None,CELL-00031,None,ESTABLISHED,Ericsson,LTE,REGION-13,"Signaling event: BEARER_SETUP TIMEOUT at CELL-00007, 715.6ms, radio quality RSRP=-78.3 SINR=4.8"
EVT-0000000062,2025-11-11 00:10:00.370058,CELL-00066,SERVICE_REQUEST,SUCCESS,True,222.0,310260740373672,-99.3,-13.9,19.5,None,None,True,REJECTED,Samsung,5G NR,REGION-04,"SERVICE_REQUEST SUCCESS on 5G NR cell CELL-00066, took 222.0ms, signal strength -99.3dBm"
EVT-0000000063,2025-11-11 00:10:30.370058,CELL-00081,ATTACH,SUCCESS,True,329.6,310260214842521,-70.7,-13.9,0.9,None,CELL-00055,None,TIMEOUT,Ericsson,5G NR,REGION-09,"ATTACH SUCCESS on 5G NR cell CELL-00081, took 329.6ms, signal strength -70.7dBm"
EVT-0000000064,2025-11-11 00:11:00.370058,CELL-00053,PAGING_RESPONSE,TIMEOUT,True,478.9,310260814033468,-96.2,-7.6,4.1,CELL-00150,CELL-00139,None,ESTABLISHED,Ericsson,LTE,REGION-02,"PAGING_RESPONSE TIMEOUT on LTE cell CELL-00053, took 478.9ms, signal strength -96.2dBm"
EVT-0000000065,2025-11-11 00:11:30.370058,CELL-00100,BEARER_SETUP,SUCCESS,True,389.6,310260740373672,-72.5,-9.0,15.5,None,CELL-00067,None,ESTABLISHED,Ericsson,LTE-A,REGION-06,"Signaling event: BEARER_SETUP SUCCESS at CELL-00100, 389.6ms, radio quality RSRP=-72.5 SINR=15.5"
EVT-0000000066,2025-11-11 00:12:00.370058,CELL-00013,ATTACH,SUCCESS,True,293.0,310260344733844,-73.5,-6.0,20.2,None,None,None,ESTABLISHED,Ericsson,5G NR,REGION-14,"Signaling event: ATTACH SUCCESS at CELL-00013, 293.0ms, radio quality RSRP=-73.5 SINR=20.2"
EVT-0000000067,2025-11-11 00:12:30.370058,CELL-00029,DETACH,SUCCESS,True,244.3,310260251152505,-79.3,-15.0,12.7,CELL-00145,CELL-00023,True,REJECTED,Ericsson,5G NR,REGION-10,"DETACH procedure on cell CELL-00029, result SUCCESS, duration 244.3ms, RSRP -79.3dBm"
EVT-0000000068,2025-11-11 00:13:00.370058,CELL-00123,BEARER_MODIFY,SUCCESS,True,679.0,310260833730976,-73.3,-13.2,-4.3,None,None,None,ESTABLISHED,Nokia,LTE,REGION-09,"BEARER_MODIFY SUCCESS on LTE cell CELL-00123, took 679.0ms, signal strength -73.3dBm"
EVT-0000000069,2025-11-11 00:13:30.370058,CELL-00129,HANDOVER,SUCCESS,True,456.5,310260431477582,-73.1,-16.2,0.9,None,None,False,SUCCESS,Samsung,LTE,REGION-10,"HANDOVER SUCCESS on LTE cell CELL-00129, took 456.5ms, signal strength -73.1dBm"
EVT-0000000070,2025-11-11 00:14:00.370058,CELL-00012,ATTACH,SUCCESS,True,334.3,310260382325683,-73.6,-10.1,15.1,None,None,None,ESTABLISHED,Nokia,5G NR,REGION-07,"ATTACH procedure on cell CELL-00012, result SUCCESS, duration 334.3ms, RSRP -73.6dBm"
EVT-0000000071,2025-11-11 00:14:30.370058,CELL-00120,ATTACH,SUCCESS,True,433.5,310260954586868,-113.2,-10.8,2.8,None,None,None,ESTABLISHED,Samsung,LTE-A,REGION-04,"ATTACH SUCCESS on LTE-A cell CELL-00120, took 433.5ms, signal strength -113.2dBm"
EVT-0000000072,2025-11-11 00:15:00.370058,CELL-00099,PAGING_RESPONSE,SUCCESS,True,923.1,310260402920316,-78.5,-7.3,12.0,None,None,True,ESTABLISHED,Ericsson,LTE-A,REGION-13,"Signaling event: PAGING_RESPONSE SUCCESS at CELL-00099, 923.1ms, radio quality RSRP=-78.5 SINR=12.0"
EVT-0000000073,2025-11-11 00:15:30.370058,CELL-00143,ATTACH,SUCCESS,True,742.0,310260943164557,-101.9,-12.4,12.6,None,None,None,ESTABLISHED,Ericsson,5G NR,REGION-05,"ATTACH SUCCESS on 5G NR cell CELL-00143, took 742.0ms, signal strength -101.9dBm"
EVT-0000000074,2025-11-11 00:16:00.370058,CELL-00138,TAU,SUCCESS,True,369.1,310260866503461,-81.4,-11.4,17.0,CELL-00033,CELL-00015,None,ESTABLISHED,Ericsson,LTE-A,REGION-05,"TAU SUCCESS on LTE-A cell CELL-00138, took 369.1ms, signal strength -81.4dBm"
EVT-0000000075,2025-11-11 00:16:30.370058,CELL-00103,RRC_CONNECTION,SUCCESS,True,283.9,310260303269953,-114.0,-16.8,24.3,None,None,None,ESTABLISHED,Nokia,LTE,REGION-08,"RRC_CONNECTION procedure on cell CELL-00103, result SUCCESS, duration 283.9ms, RSRP -114.0dBm"
EVT-0000000076,2025-11-11 00:17:00.370058,CELL-00011,BEARER_MODIFY,SUCCESS,True,552.2,310260567612753,-101.0,-14.9,-3.3,None,None,False,REJECTED,Samsung,LTE-A,REGION-14,"BEARER_MODIFY procedure on cell CELL-00011, result SUCCESS, duration 552.2ms, RSRP -101.0dBm"
EVT-0000000077,2025-11-11 00:17:30.370058,CELL-00145,PAGING_RESPONSE,SUCCESS,True,550.2,310260106825017,-81.3,-17.3,21.3,None,None,None,ESTABLISHED,Nokia,5G NR,REGION-11,"PAGING_RESPONSE SUCCESS on 5G NR cell CELL-00145, took 550.2ms, signal strength -81.3dBm"
EVT-0000000078,2025-11-11 00:18:00.370058,CELL-00071,BEARER_MODIFY,SUCCESS,True,282.5,310260338624268,-95.8,-17.7,23.1,None,None,None,ESTABLISHED,Nokia,LTE-A,REGION-09,"Signaling event: BEARER_MODIFY SUCCESS at CELL-00071, 282.5ms, radio quality RSRP=-95.8 SINR=23.1"
EVT-0000000079,2025-11-11 00:18:30.370058,CELL-00025,BEARER_MODIFY,SUCCESS,False,721.5,310260136974729,-90.9,-11.0,17.2,CELL-00150,None,None,ESTABLISHED,Nokia,LTE,REGION-09,"Signaling event: BEARER_MODIFY SUCCESS at CELL-00025, 721.5ms, radio quality RSRP=-90.9 SINR=17.2"
EVT-0000000080,2025-11-11 00:19:00.370058,CELL-00128,HANDOVER,SUCCESS,True,172.7,310260582686417,-114.2,-11.8,11.5,None,None,False,ESTABLISHED,Samsung,5G NR,REGION-08,"Signaling event: HANDOVER SUCCESS at CELL-00128, 172.7ms, radio quality RSRP=-114.2 SINR=11.5"
EVT-0000000081,2025-11-11 00:19:30.370058,CELL-00106,SERVICE_REQUEST,SUCCESS,True,812.4,310260540151266,-85.3,-12.4,-2.2,CELL-00059,None,None,ESTABLISHED,Ericsson,LTE-A,REGION-05,"SERVICE_REQUEST SUCCESS on LTE-A cell CELL-00106, took 812.4ms, signal strength -85.3dBm"
EVT-0000000082,2025-11-11 00:20:00.370058,CELL-00033,PAGING_RESPONSE,SUCCESS,True,360.2,310260349295683,-96.3,-7.6,0.4,None,None,None,ESTABLISHED,Ericsson,5G NR,REGION-11,"Signaling event: PAGING_RESPONSE SUCCESS at CELL-00033, 360.2ms, radio quality RSRP=-96.3 SINR=0.4"
EVT-0000000083,2025-11-11 00:20:30.370058,CELL-00115,BEARER_MODIFY,SUCCESS,True,570.4,310260369908290,-88.9,-9.4,16.0,None,None,None,ESTABLISHED,Samsung,LTE,REGION-05,"BEARER_MODIFY SUCCESS on LTE cell CELL-00115, took 570.4ms, signal strength -88.9dBm"
EVT-0000000084,2025-11-11 00:21:00.370058,CELL-00013,RRC_CONNECTION,SUCCESS,False,567.3,310260383910667,-108.1,-13.3,4.0,None,None,None,ESTABLISHED,Samsung,5G NR,REGION-09,"RRC_CONNECTION procedure on cell CELL-00013, result SUCCESS, duration 567.3ms, RSRP -108.1dBm"
