incident.id,@timestamp,incident.detection_time,incident.resolution_time,incident.mttr_minutes,incident.mttd_minutes,incident.severity,incident.type,network.cell.id,network.region.id,incident.root_cause,incident.affected_subscribers,incident.description,incident.resolution_notes
INC-000011,2025-12-05 00:39:00.425816,2025-12-05 00:39:00.425816,2025-12-05 01:16:00.425816,66.0,43.4,High,Core Network,CELL-00015,REGION-02,Software Bug,1867,"High severity Core Network at CELL-00015, 1867 users impacted, identified cause: Software Bug",Issue resolved: hardware replacement. Cause identified as Software Bug. Total resolution time 66.0 minutes
INC-000012,2025-12-04 16:39:00.425816,2025-12-04 16:39:00.425816,2025-12-04 20:35:00.425816,107.3,3.5,Low,Capacity Congestion,CELL-00148,REGION-12,Power Issue,416,"Incident Capacity Congestion detected at cell CELL-00148, Low level, 416 subscribers affected, cause: Power Issue","Power Issue addressed through equipment restart. Detection time: 3.5min, resolution time: 107.3min"
INC-000013,2025-12-04 08:39:00.425816,2025-12-04 08:39:00.425816,2025-12-04 11:40:00.425816,221.7,18.8,Medium,Cell Outage,CELL-00003,REGION-10,Backhaul Congestion,749,"Cell Outage incident on cell CELL-00003, severity Medium, affecting 749 subscribers, root cause: Backhaul Congestion",Issue resolved: equipment restart. Cause identified as Backhaul Congestion. Total resolution time 221.7 minutes
INC-000014,2025-12-04 00:39:00.425816,2025-12-04 00:39:00.425816,2025-12-04 04:35:00.425816,45.4,5.3,Low,Core Network,CELL-00007,REGION-13,Power Issue,817,"Core Network incident on cell CELL-00007, severity Low, affecting 817 subscribers, root cause: Power Issue","Resolved by transport rerouting. MTTR: 45.4min, MTTD: 5.3min. Root cause: Power Issue"
INC-000015,2025-12-03 16:39:00.425816,2025-12-03 16:39:00.425816,2025-12-03 18:24:00.425816,65.5,23.3,Medium,Handover Failure,CELL-00145,REGION-08,Transport Degradation,1818,"Handover Failure incident on cell CELL-00145, severity Medium, affecting 1818 subscribers, root cause: Transport Degradation",Issue resolved: equipment restart. Cause identified as Transport Degradation. Total resolution time 65.5 minutes
INC-000016,2025-12-03 08:39:00.425816,2025-12-03 08:39:00.425816,2025-12-03 10:33:00.425816,192.7,22.4,Low,Handover Failure,CELL-00029,REGION-11,Transport Degradation,1424,"Low severity Handover Failure at CELL-00029, 1424 users impacted, identified cause: Transport Degradation","Transport Degradation addressed through software patch. Detection time: 22.4min, resolution time: 192.7min"
INC-000017,2025-12-03 00:39:00.425816,2025-12-03 00:39:00.425816,2025-12-03 01:29:00.425816,122.6,33.5,Medium,Core Network,CELL-00020,REGION-03,Backhaul Congestion,1807,"Medium severity Core Network at CELL-00020, 1807 users impacted, identified cause: Backhaul Congestion","Resolved by configuration rollback. MTTR: 122.6min, MTTD: 33.5min. Root cause: Backhaul Congestion"
INC-000018,2025-12-02 16:39:00.425816,2025-12-02 16:39:00.425816,2025-12-02 19:29:00.425816,162.7,36.8,High,Core Network,CELL-00020,REGION-05,Backhaul Congestion,1191,"High severity Core Network at CELL-00020, 1191 users impacted, identified cause: Backhaul Congestion",Issue resolved: configuration rollback. Cause identified as Backhaul Congestion. Total resolution time 162.7 minutes
INC-000019,2025-12-02 08:39:00.425816,2025-12-02 08:39:00.425816,2025-12-02 09:03:00.425816,83.5,16.4,Low,Degraded Performance,CELL-00002,REGION-03,Backhaul Congestion,1926,"Degraded Performance incident on cell CELL-00002, severity Low, affecting 1926 subscribers, root cause: Backhaul Congestion",Issue resolved: hardware replacement. Cause identified as Backhaul Congestion. Total resolution time 83.5 minutes
INC-000020,2025-12-02 00:39:00.425816,2025-12-02 00:39:00.425816,2025-12-02 02:04:00.425816,111.9,21.7,Medium,Handover Failure,CELL-00054,REGION-03,Transport Degradation,283,"Handover Failure incident on cell CELL-00054, severity Medium, affecting 283 subscribers, root cause: Transport Degradation","Transport Degradation addressed through configuration rollback. Detection time: 21.7min, resolution time: 111.9min"
INC-000021,2025-12-01 16:39:00.425816,2025-12-01 16:39:00.425816,2025-12-01 16:57:00.425816,238.4,43.2,High,Capacity Congestion,CELL-00040,REGION-02,Capacity Limit,1558,"Capacity Congestion incident on cell CELL-00040, severity High, affecting 1558 subscribers, root cause: Capacity Limit","Capacity Limit addressed through transport rerouting. Detection time: 43.2min, resolution time: 238.4min"
INC-000022,2025-12-01 08:39:00.425816,2025-12-01 08:39:00.425816,2025-12-01 12:32:00.425816,208.4,14.4,High,Capacity Congestion,CELL-00126,REGION-14,Backhaul Congestion,127,"Incident Capacity Congestion detected at cell CELL-00126, High level, 127 subscribers affected, cause: Backhaul Congestion","Resolved by equipment restart. MTTR: 208.4min, MTTD: 14.4min. Root cause: Backhaul Congestion"
INC-000023,2025-12-01 00:39:00.425816,2025-12-01 00:39:00.425816,2025-12-01 04:24:00.425816,56.7,44.0,Low,Transport Issue,CELL-00023,REGION-07,Capacity Limit,1468,"Transport Issue incident on cell CELL-00023, severity Low, affecting 1468 subscribers, root cause: Capacity Limit","Resolved by transport rerouting. MTTR: 56.7min, MTTD: 44.0min. Root cause: Capacity Limit"
INC-000024,2025-11-30 16:39:00.425816,2025-11-30 16:39:00.425816,2025-11-30 19:19:00.425816,88.3,42.4,Low,Cell Outage,CELL-00044,REGION-11,Power Issue,752,"Low severity Cell Outage at CELL-00044, 752 users impacted, identified cause: Power Issue","Power Issue addressed through parameter optimization. Detection time: 42.4min, resolution time: 88.3min"
INC-000025,2025-11-30 08:39:00.425816,2025-11-30 08:39:00.425816,2025-11-30 11:27:00.425816,73.2,25.2,Medium,Core Network,CELL-00035,REGION-13,Transport Degradation,1962,"Core Network incident on cell CELL-00035, severity Medium, affecting 1962 subscribers, root cause: Transport Degradation","Transport Degradation addressed through hardware replacement. Detection time: 25.2min, resolution time: 73.2min"
INC-000026,2025-11-30 00:39:00.425816,2025-11-30 00:39:00.425816,2025-11-30 02:10:00.425816,57.0,16.0,Critical,Capacity Congestion,CELL-00113,REGION-12,Capacity Limit,595,"Critical severity Capacity Congestion at CELL-00113, 595 users impacted, identified cause: Capacity Limit",Issue resolved: parameter optimization. Cause identified as Capacity Limit. Total resolution time 57.0 minutes
INC-000027,2025-11-29 16:39:00.425816,2025-11-29 16:39:00.425816,2025-11-29 20:08:00.425816,133.6,11.8,Critical,Core Network,CELL-00066,REGION-09,Power Issue,1447,"Core Network incident on cell CELL-00066, severity Critical, affecting 1447 subscribers, root cause: Power Issue",Issue resolved: configuration rollback. Cause identified as Power Issue. Total resolution time 133.6 minutes
INC-000028,2025-11-29 08:39:00.425816,2025-11-29 08:39:00.425816,2025-11-29 11:20:00.425816,37.0,21.7,Medium,Capacity Congestion,CELL-00060,REGION-10,Transport Degradation,1410,"Incident Capacity Congestion detected at cell CELL-00060, Medium level, 1410 subscribers affected, cause: Transport Degradation","Resolved by configuration rollback. MTTR: 37.0min, MTTD: 21.7min. Root cause: Transport Degradation"
INC-000029,2025-11-29 00:39:00.425816,2025-11-29 00:39:00.425816,2025-11-29 03:13:00.425816,118.2,26.2,Medium,Cell Outage,CELL-00030,REGION-10,Hardware Failure,885,"Cell Outage incident on cell CELL-00030, severity Medium, affecting 885 subscribers, root cause: Hardware Failure",Issue resolved: configuration rollback. Cause identified as Hardware Failure. Total resolution time 118.2 minutes
INC-000030,2025-11-28 16:39:00.425816,2025-11-28 16:39:00.425816,2025-11-28 19:53:00.425816,42.9,41.6,High,Cell Outage,CELL-00072,REGION-09,Hardware Failure,1357,"High severity Cell Outage at CELL-00072, 1357 users impacted, identified cause: Hardware Failure","Hardware Failure addressed through software patch. Detection time: 41.6min, resolution time: 42.9min"
INC-000031,2025-11-28 08:39:00.425816,2025-11-28 08:39:00.425816,2025-11-28 10:35:00.425816,189.1,33.5,Medium,Degraded Performance,CELL-00027,REGION-12,Software Bug,31,"Degraded Performance incident on cell CELL-00027, severity Medium, affecting 31 subscribers, root cause: Software Bug","Software Bug addressed through capacity expansion. Detection time: 33.5min, resolution time: 189.1min"
INC-000032,2025-11-28 00:39:00.425816,2025-11-28 00:39:00.425816,2025-11-28 02:58:00.425816,203.3,15.3,Low,Degraded Performance,CELL-00071,REGION-07,Software Bug,103,"Low severity Degraded Performance at CELL-00071, 103 users impacted, identified cause: Software Bug","Software Bug addressed through software patch. Detection time: 15.3min, resolution time: 203.3min"
INC-000033,2025-11-27 16:39:00.425816,2025-11-27 16:39:00.425816,2025-11-27 17:46:00.425816,62.0,24.2,Medium,Cell Outage,CELL-00150,REGION-08,Power Issue,1733,"Medium severity Cell Outage at CELL-00150, 1733 users impacted, identified cause: Power Issue",Issue resolved: hardware replacement. Cause identified as Power Issue. Total resolution time 62.0 minutes
INC-000034,2025-11-27 08:39:00.425816,2025-11-27 08:39:00.425816,2025-11-27 09:09:00.425816,41.3,37.5,Medium,Degraded Performance,CELL-00085,REGION-12,Configuration Error,1515,"Medium severity Degraded Performance at CELL-00085, 1515 users impacted, identified cause: Configuration Error","Configuration Error addressed through hardware replacement. Detection time: 37.5min, resolution time: 41.3min"
INC-000035,2025-11-27 00:39:00.425816,2025-11-27 00:39:00.425816,2025-11-27 02:35:00.425816,24.8,17.9,Medium,Transport Issue,CELL-00031,REGION-15,Power Issue,435,"Transport Issue incident on cell CELL-00031, severity Medium, affecting 435 subscribers, root cause: Power Issue","Power Issue addressed through configuration rollback. Detection time: 17.9min, resolution time: 24.8min"
INC-000036,2025-11-26 16:39:00.425816,2025-11-26 16:39:00.425816,2025-11-26 20:16:00.425816,226.9,8.8,Medium,Cell Outage,CELL-00088,REGION-12,Power Issue,633,"Cell Outage incident on cell CELL-00088, severity Medium, affecting 633 subscribers, root cause: Power Issue","Resolved by equipment restart. MTTR: 226.9min, MTTD: 8.8min. Root cause: Power Issue"
INC-000037,2025-11-26 08:39:00.425816,2025-11-26 08:39:00.425816,2025-11-26 09:02:00.425816,179.3,42.0,Low,Transport Issue,CELL-00121,REGION-06,Transport Degradation,1747,"Transport Issue incident on cell CELL-00121, severity Low, affecting 1747 subscribers, root cause: Transport Degradation",Issue resolved: equipment restart. Cause identified as Transport Degradation. Total resolution time 179.3 minutes
INC-000038,2025-11-26 00:39:00.425816,2025-11-26 00:39:00.425816,2025-11-26 03:14:00.425816,107.4,23.7,Medium,Cell Outage,CELL-00047,REGION-13,Backhaul Congestion,1905,"Incident Cell Outage detected at cell CELL-00047, Medium level, 1905 subscribers affected, cause: Backhaul Congestion","Backhaul Congestion addressed through hardware replacement. Detection time: 23.7min, resolution time: 107.4min"
INC-000039,2025-11-25 16:39:00.425816,2025-11-25 16:39:00.425816,2025-11-25 16:59:00.425816,204.5,9.7,High,Degraded Performance,CELL-00142,REGION-12,Backhaul Congestion,612,"Degraded Performance incident on cell CELL-00142, severity High, affecting 612 subscribers, root cause: Backhaul Congestion","Backhaul Congestion addressed through hardware replacement. Detection time: 9.7min, resolution time: 204.5min"
INC-000040,2025-11-25 08:39:00.425816,2025-11-25 08:39:00.425816,2025-11-25 12:35:00.425816,83.7,23.6,Low,Core Network,CELL-00046,REGION-01,Configuration Error,1330,"Core Network incident on cell CELL-00046, severity Low, affecting 1330 subscribers, root cause: Configuration Error","Resolved by capacity expansion. MTTR: 83.7min, MTTD: 23.6min. Root cause: Configuration Error"
INC-000041,2025-11-25 00:39:00.425816,2025-11-25 00:39:00.425816,2025-11-25 03:48:00.425816,76.3,14.6,High,Capacity Congestion,CELL-00124,REGION-15,Configuration Error,399,"Capacity Congestion incident on cell CELL-00124, severity High, affecting 399 subscribers, root cause: Configuration Error",Issue resolved: capacity expansion. Cause identified as Configuration Error. Total resolution time 76.3 minutes
INC-000042,2025-11-24 16:39:00.425816,2025-11-24 16:39:00.425816,2025-11-24 17:43:00.425816,205.4,27.0,High,Handover Failure,CELL-00095,REGION-08,Configuration Error,1184,"Incident Handover Failure detected at cell CELL-00095, High level, 1184 subscribers affected, cause: Configuration Error","Configuration Error addressed through equipment restart. Detection time: 27.0min, resolution time: 205.4min"
INC-000043,2025-11-24 08:39:00.425816,2025-11-24 08:39:00.425816,2025-11-24 09:35:00.425816,113.7,6.0,High,Cell Outage,CELL-00070,REGION-10,Transport Degradation,508,"Incident Cell Outage detected at cell CELL-00070, High level, 508 subscribers affected, cause: Transport Degradation",Issue resolved: configuration rollback. Cause identified as Transport Degradation. Total resolution time 113.7 minutes
INC-000044,2025-11-24 00:39:00.425816,2025-11-24 00:39:00.425816,2025-11-24 02:07:00.425816,232.6,37.1,Medium,Degraded Performance,CELL-00024,REGION-07,Software Bug,444,"Degraded Performance incident on cell CELL-00024, severity Medium, affecting 444 subscribers, root cause: Software Bug",Issue resolved: parameter optimization. Cause identified as Software Bug. Total resolution time 232.6 minutes
INC-000045,2025-11-23 16:39:00.425816,2025-11-23 16:39:00.425816,2025-11-23 18:09:00.425816,177.5,36.1,Medium,Transport Issue,CELL-00148,REGION-02,Configuration Error,558,"Medium severity Transport Issue at CELL-00148, 558 users impacted, identified cause: Configuration Error","Resolved by equipment restart. MTTR: 177.5min, MTTD: 36.1min. Root cause: Configuration Error"
INC-000046,2025-11-23 08:39:00.425816,2025-11-23 08:39:00.425816,2025-11-23 12:22:00.425816,88.8,34.1,High,Handover Failure,CELL-00083,REGION-12,Power Issue,1066,"High severity Handover Failure at CELL-00083, 1066 users impacted, identified cause: Power Issue",Issue resolved: hardware replacement. Cause identified as Power Issue. Total resolution time 88.8 minutes
INC-000047,2025-11-23 00:39:00.425816,2025-11-23 00:39:00.425816,2025-11-23 01:28:00.425816,119.2,16.3,High,Transport Issue,CELL-00093,REGION-09,Capacity Limit,1080,"Transport Issue incident on cell CELL-00093, severity High, affecting 1080 subscribers, root cause: Capacity Limit",Issue resolved: hardware replacement. Cause identified as Capacity Limit. Total resolution time 119.2 minutes
INC-000048,2025-11-22 16:39:00.425816,2025-11-22 16:39:00.425816,2025-11-22 19:39:00.425816,233.4,17.9,Critical,Handover Failure,CELL-00109,REGION-07,Hardware Failure,1139,"Critical severity Handover Failure at CELL-00109, 1139 users impacted, identified cause: Hardware Failure","Resolved by transport rerouting. MTTR: 233.4min, MTTD: 17.9min. Root cause: Hardware Failure"
INC-000049,2025-11-22 08:39:00.425816,2025-11-22 08:39:00.425816,2025-11-22 11:11:00.425816,90.3,35.3,Low,Handover Failure,CELL-00068,REGION-15,Configuration Error,53,"Low severity Handover Failure at CELL-00068, 53 users impacted, identified cause: Configuration Error",Issue resolved: configuration rollback. Cause identified as Configuration Error. Total resolution time 90.3 minutes
INC-000050,2025-11-22 00:39:00.425816,2025-11-22 00:39:00.425816,2025-11-22 02:22:00.425816,27.6,10.6,Medium,Handover Failure,CELL-00019,REGION-09,Configuration Error,1338,"Handover Failure incident on cell CELL-00019, severity Medium, affecting 1338 subscribers, root cause: Configuration Error","Resolved by capacity expansion. MTTR: 27.6min, MTTD: 10.6min. Root cause: Configuration Error"
INC-000051,2025-11-21 16:39:00.425816,2025-11-21 16:39:00.425816,2025-11-21 20:31:00.425816,194.6,28.7,High,Capacity Congestion,CELL-00070,REGION-01,Capacity Limit,1298,"Incident Capacity Congestion detected at cell CELL-00070, High level, 1298 subscribers affected, cause: Capacity Limit",Issue resolved: capacity expansion. Cause identified as Capacity Limit. Total resolution time 194.6 minutes
INC-000052,2025-11-21 08:39:00.425816,2025-11-21 08:39:00.425816,2025-11-21 10:14:00.425816,99.9,32.0,Low,Degraded Performance,CELL-00074,REGION-15,Transport Degradation,370,"Low severity Degraded Performance at CELL-00074, 370 users impacted, identified cause: Transport Degradation","Resolved by hardware replacement. MTTR: 99.9min, MTTD: 32.0min. Root cause: Transport Degradation"
INC-000053,2025-11-21 00:39:00.425816,2025-11-21 00:39:00.425816,2025-11-21 03:55:00.425816,181.4,23.4,Medium,Core Network,CELL-00137,REGION-07,Software Bug,131,"Incident Core Network detected at cell CELL-00137, Medium level, 131 subscribers affected, cause: Software Bug","Resolved by parameter optimization. MTTR: 181.4min, MTTD: 23.4min. Root cause: Software Bug"
INC-000054,2025-11-20 16:39:00.425816,2025-11-20 16:39:00.425816,2025-11-20 18:53:00.425816,63.8,31.6,Medium,Degraded Performance,CELL-00048,REGION-04,Capacity Limit,1805,"Degraded Performance incident on cell CELL-00048, severity Medium, affecting 1805 subscribers, root cause: Capacity Limit","Capacity Limit addressed through capacity expansion. Detection time: 31.6min, resolution time: 63.8min"
INC-000055,2025-11-20 08:39:00.425816,2025-11-20 08:39:00.425816,2025-11-20 10:54:00.425816,163.0,17.5,Medium,Cell Outage,CELL-00122,REGION-06,Transport Degradation,1821,"Medium severity Cell Outage at CELL-00122, 1821 users impacted, identified cause: Transport Degradation","Transport Degradation addressed through parameter optimization. Detection time: 17.5min, resolution time: 163.0min"
INC-000056,2025-11-20 00:39:00.425816,2025-11-20 00:39:00.425816,2025-11-20 01:45:00.425816,89.1,6.0,Medium,Cell Outage,CELL-00024,REGION-02,Configuration Error,800,"Incident Cell Outage detected at cell CELL-00024, Medium level, 800 subscribers affected, cause: Configuration Error","Resolved by configuration rollback. MTTR: 89.1min, MTTD: 6.0min. Root cause: Configuration Error"
INC-000057,2025-11-19 16:39:00.425816,2025-11-19 16:39:00.425816,2025-11-19 17:51:00.425816,153.0,28.5,Medium,Capacity Congestion,CELL-00114,REGION-13,Capacity Limit,977,"Incident Capacity Congestion detected at cell CELL-00114, Medium level, 977 subscribers affected, cause: Capacity Limit",Issue resolved: hardware replacement. Cause identified as Capacity Limit. Total resolution time 153.0 minutes
INC-000058,2025-11-19 08:39:00.425816,2025-11-19 08:39:00.425816,2025-11-19 12:15:00.425816,88.1,25.4,High,Core Network,CELL-00027,REGION-14,Capacity Limit,952,"High severity Core Network at CELL-00027, 952 users impacted, identified cause: Capacity Limit",Issue resolved: parameter optimization. Cause identified as Capacity Limit. Total resolution time 88.1 minutes
INC-000059,2025-11-19 00:39:00.425816,2025-11-19 00:39:00.425816,2025-11-19 01:31:00.425816,175.9,30.5,Medium,Degraded Performance,CELL-00070,REGION-06,Power Issue,286,"Incident Degraded Performance detected at cell CELL-00070, Medium level, 286 subscribers affected, cause: Power Issue","Power Issue addressed through transport rerouting. Detection time: 30.5min, resolution time: 175.9min"
INC-000060,2025-11-18 16:39:00.425816,2025-11-18 16:39:00.425816,2025-11-18 17:32:00.425816,183.1,19.0,Medium,Handover Failure,CELL-00044,REGION-10,Power Issue,1063,"Medium severity Handover Failure at CELL-00044, 1063 users impacted, identified cause: Power Issue",Issue resolved: hardware replacement. Cause identified as Power Issue. Total resolution time 183.1 minutes
INC-000061,2025-11-18 08:39:00.425816,2025-11-18 08:39:00.425816,2025-11-18 10:57:00.425816,151.7,35.9,Medium,Cell Outage,CELL-00054,REGION-15,Backhaul Congestion,405,"Cell Outage incident on cell CELL-00054, severity Medium, affecting 405 subscribers, root cause: Backhaul Congestion",Issue resolved: transport rerouting. Cause identified as Backhaul Congestion. Total resolution time 151.7 minutes
INC-000062,2025-11-18 00:39:00.425816,2025-11-18 00:39:00.425816,2025-11-18 01:08:00.425816,36.2,30.5,Medium,Core Network,CELL-00047,REGION-06,Transport Degradation,1458,"Medium severity Core Network at CELL-00047, 1458 users impacted, identified cause: Transport Degradation","Resolved by parameter optimization. MTTR: 36.2min, MTTD: 30.5min. Root cause: Transport Degradation"
INC-000063,2025-11-17 16:39:00.425816,2025-11-17 16:39:00.425816,2025-11-17 17:05:00.425816,66.7,29.7,Critical,Handover Failure,CELL-00072,REGION-08,Software Bug,312,"Handover Failure incident on cell CELL-00072, severity Critical, affecting 312 subscribers, root cause: Software Bug","Software Bug addressed through parameter optimization. Detection time: 29.7min, resolution time: 66.7min"
INC-000064,2025-11-17 08:39:00.425816,2025-11-17 08:39:00.425816,2025-11-17 09:48:00.425816,50.8,12.6,Medium,Degraded Performance,CELL-00075,REGION-09,Capacity Limit,1351,"Incident Degraded Performance detected at cell CELL-00075, Medium level, 1351 subscribers affected, cause: Capacity Limit",Issue resolved: configuration rollback. Cause identified as Capacity Limit. Total resolution time 50.8 minutes
INC-000065,2025-11-17 00:39:00.425816,2025-11-17 00:39:00.425816,2025-11-17 01:30:00.425816,163.3,25.8,High,Capacity Congestion,CELL-00132,REGION-04,Hardware Failure,1206,"High severity Capacity Congestion at CELL-00132, 1206 users impacted, identified cause: Hardware Failure",Issue resolved: capacity expansion. Cause identified as Hardware Failure. Total resolution time 163.3 minutes
INC-000066,2025-11-16 16:39:00.425816,2025-11-16 16:39:00.425816,2025-11-16 19:07:00.425816,170.5,2.9,High,Capacity Congestion,CELL-00113,REGION-13,Software Bug,550,"Capacity Congestion incident on cell CELL-00113, severity High, affecting 550 subscribers, root cause: Software Bug","Resolved by capacity expansion. MTTR: 170.5min, MTTD: 2.9min. Root cause: Software Bug"
INC-000067,2025-11-16 08:39:00.425816,2025-11-16 08:39:00.425816,2025-11-16 11:55:00.425816,66.2,2.1,High,Core Network,CELL-00006,REGION-03,Power Issue,131,"Core Network incident on cell CELL-00006, severity High, affecting 131 subscribers, root cause: Power Issue",Issue resolved: parameter optimization. Cause identified as Power Issue. Total resolution time 66.2 minutes
INC-000068,2025-11-16 00:39:00.425816,2025-11-16 00:39:00.425816,2025-11-16 02:39:00.425816,147.8,20.5,High,Capacity Congestion,CELL-00127,REGION-11,Backhaul Congestion,1024,"Incident Capacity Congestion detected at cell CELL-00127, High level, 1024 subscribers affected, cause: Backhaul Congestion","Resolved by transport rerouting. MTTR: 147.8min, MTTD: 20.5min. Root cause: Backhaul Congestion"
INC-000069,2025-11-15 16:39:00.425816,2025-11-15 16:39:00.425816,2025-11-15 17:54:00.425816,95.2,3.1,Medium,Handover Failure,CELL-00118,REGION-13,Transport Degradation,1831,"Handover Failure incident on cell CELL-00118, severity Medium, affecting 1831 subscribers, root cause: Transport Degradation","Transport Degradation addressed through equipment restart. Detection time: 3.1min, resolution time: 95.2min"
INC-000070,2025-11-15 08:39:00.425816,2025-11-15 08:39:00.425816,2025-11-15 09:26:00.425816,232.5,37.5,Medium,Transport Issue,CELL-00028,REGION-01,Software Bug,1892,"Medium severity Transport Issue at CELL-00028, 1892 users impacted, identified cause: Software Bug",Issue resolved: capacity expansion. Cause identified as Software Bug. Total resolution time 232.5 minutes
INC-000071,2025-11-15 00:39:00.425816,2025-11-15 00:39:00.425816,2025-11-15 03:11:00.425816,156.0,15.3,Low,Capacity Congestion,CELL-00051,REGION-08,Hardware Failure,1613,"Low severity Capacity Congestion at CELL-00051, 1613 users impacted, identified cause: Hardware Failure",Issue resolved: hardware replacement. Cause identified as Hardware Failure. Total resolution time 156.0 minutes
INC-000072,2025-11-14 16:39:00.425816,2025-11-14 16:39:00.425816,2025-11-14 18:02:00.425816,89.8,2.4,Low,Transport Issue,CELL-00022,REGION-04,Power Issue,422,"Low severity Transport Issue at CELL-00022, 422 users impacted, identified cause: Power Issue",Issue resolved: parameter optimization. Cause identified as Power Issue. Total resolution time 89.8 minutes
INC-000073,2025-11-14 08:39:00.425816,2025-11-14 08:39:00.425816,2025-11-14 10:41:00.425816,228.1,13.8,Critical,Cell Outage,CELL-00075,REGION-13,Power Issue,355,"Incident Cell Outage detected at cell CELL-00075, Critical level, 355 subscribers affected, cause: Power Issue",Issue resolved: parameter optimization. Cause identified as Power Issue. Total resolution time 228.1 minutes
INC-000074,2025-11-14 00:39:00.425816,2025-11-14 00:39:00.425816,2025-11-14 02:25:00.425816,227.4,11.4,Medium,Transport Issue,CELL-00039,REGION-01,Power Issue,1728,"Transport Issue incident on cell CELL-00039, severity Medium, affecting 1728 subscribers, root cause: Power Issue","Power Issue addressed through parameter optimization. Detection time: 11.4min, resolution time: 227.4min"
INC-000075,2025-11-13 16:39:00.425816,2025-11-13 16:39:00.425816,2025-11-13 20:05:00.425816,54.9,32.3,Critical,Handover Failure,CELL-00056,REGION-07,Backhaul Congestion,816,"Incident Handover Failure detected at cell CELL-00056, Critical level, 816 subscribers affected, cause: Backhaul Congestion",Issue resolved: configuration rollback. Cause identified as Backhaul Congestion. Total resolution time 54.9 minutes
